date,aluminum buy
2020-08-25,3854
2020-08-26,3859
2020-08-27,3862
2020-08-28,3936
2020-08-29,3890
2020-08-30,3829
2020-08-31,3448
2020-09-01,2977
2020-09-02,3018
2020-09-03,3181
2020-09-04,3109
2020-09-05,3250
2020-09-06,3367
2020-09-07,3246
2020-09-08,2793
2020-09-09,2805
2020-09-10,3020
2020-09-11,2983
2020-09-12,3084
2020-09-13,3044
2020-09-14,3040
2020-09-15,3125
2020-09-16,3239
2020-09-17,3021
2020-09-18,2858
2020-09-19,2844
2020-09-20,2902
2020-09-21,2866
2020-09-22,2879
2020-09-23,2902
2020-09-24,2917
2020-09-25,2947
2020-09-26,2948
2020-09-27,2692
2020-09-28,2968
2020-09-29,2946
2020-09-30,2815
2020-10-01,2926
2020-10-02,2909
2020-10-03,2892
2020-10-04,2641
2020-10-05,2930
2020-10-06,3022
2020-10-07,3023
2020-10-08,3156
2020-10-09,2908
2020-10-10,2677
2020-10-11,2746
2020-10-12,2871
2020-10-13,2983
2020-10-14,3018
2020-10-15,3009
2020-10-16,2939
2020-10-17,2490
2020-10-18,2597
2020-10-19,2759
2020-10-20,2827
2020-10-21,2864
2020-10-22,2913
2020-10-23,3011
2020-10-24,3036
2020-10-25,3174
2020-10-26,3089
2020-10-27,3031
2020-10-28,3285
2020-10-29,3315
2020-10-30,3355
2020-10-31,3356
2020-11-01,3351
2020-11-02,3406
2020-11-03,3360
2020-11-04,3142
2020-11-05,3033
2020-11-06,2758
2020-11-07,2543
2020-11-08,2473
2020-11-09,2622
2020-11-10,2520
2020-11-11,2568
2020-11-12,2572
2020-11-13,2477
2020-11-14,2151
2020-11-15,2237
2020-11-16,2340
2020-11-17,2322
2020-11-18,2075
2020-11-19,2386
2020-11-20,2423
2020-11-21,2387
2020-11-22,2218
2020-11-23,2214
2020-11-24,2217
2020-11-25,2068
2020-11-26,1978
2020-11-27,1907
2020-11-28,2000
2020-11-29,1979
2020-11-30,1962
2020-12-01,2072
2020-12-02,2205
2020-12-03,2110
2020-12-04,1993
2020-12-05,2029
2020-12-06,2062
2020-12-07,2066
2020-12-08,1793
2020-12-09,1719
2020-12-10,1960
2020-12-11,2005
2020-12-12,1874
2020-12-13,1829
2020-12-14,1832
2020-12-15,1763
2020-12-16,1883
2020-12-17,1880
2020-12-18,2026
2020-12-19,2165
2020-12-20,2204
2020-12-21,2028
2020-12-22,2035
2020-12-23,2073
2020-12-24,2117
2020-12-25,2055
2020-12-26,2039
2020-12-27,1969
2020-12-28,1976
2020-12-29,1896
2020-12-30,1941
2020-12-31,2064
2021-01-01,2104
2021-01-02,2164
2021-01-03,2626
2021-01-04,2109
2021-01-05,2197
2021-01-06,2258
2021-01-07,2299
2021-01-08,2251
2021-01-09,2280
2021-01-10,2271
2021-01-11,2166
2021-01-12,2267
2021-01-13,2273
2021-01-14,2535
2021-01-15,3104
2021-01-16,2491
2021-01-17,2527
2021-01-18,2572
2021-01-19,2593
2021-01-20,2595
2021-01-21,2602
2021-01-22,2646
2021-01-23,2483
2021-01-24,2477
2021-01-25,2361
2021-01-26,2386
2021-01-27,2472
2021-01-28,2498
2021-01-29,2545
2021-01-30,2542
2021-01-31,2518
2021-02-01,2628
2021-02-02,2490
2021-02-03,2571
2021-02-04,2563
2021-02-05,2484
2021-02-06,2591
2021-02-07,2587
2021-02-08,2622
2021-02-09,2603
2021-02-10,2641
2021-02-11,2676
2021-02-12,2789
2021-02-13,2717
2021-02-14,2767
2021-02-15,2614
2021-02-16,2451
2021-02-17,2546
2021-02-18,2568
2021-02-19,2598
2021-02-20,2632
2021-02-21,2518
2021-02-22,2562
2021-02-23,2619
2021-02-24,2690
2021-02-25,2728
2021-02-26,2730
2021-02-27,2733
2021-02-28,2839
2021-03-01,2949
2021-03-02,2885
2021-03-03,2651
2021-03-04,2873
2021-03-05,2845
2021-03-06,3064
2021-03-07,3024
2021-03-08,3095
2021-03-09,3098
2021-03-10,3121
2021-03-11,3132
2021-03-12,3041
2021-03-13,3046
2021-03-14,3150
2021-03-15,3169
2021-03-16,3177
2021-03-17,3209
2021-03-18,3213
2021-03-19,3284
2021-03-20,3270
2021-03-21,3193
2021-03-22,3219
2021-03-23,3310
2021-03-24,3343
2021-03-25,3361
2021-03-26,3443
2021-03-27,3621
2021-03-28,3605
2021-03-29,3586
2021-03-30,3301
2021-03-31,3574
2021-04-01,3678
2021-04-02,3734
2021-04-03,3769
2021-04-04,3742
2021-04-05,3620
2021-04-06,3449
2021-04-07,3563
2021-04-08,3750
2021-04-09,3738
2021-04-10,3477
2021-04-11,3627
2021-04-12,3529
2021-04-13,3627
2021-04-14,3811
2021-04-15,3806
2021-04-16,3747
2021-04-17,3374
2021-04-18,3456
2021-04-19,3387
2021-04-20,3592
2021-04-21,3725
2021-04-22,3662
2021-04-23,3570
2021-04-24,3631
2021-04-25,3563
2021-04-26,3546
2021-04-27,5925
2021-04-28,3568
2021-04-29,3571
2021-04-30,3329
2021-05-01,3415
2021-05-02,3504
2021-05-03,3711
2021-05-04,3548
2021-05-05,3515
2021-05-06,3223
2021-05-07,3241
2021-05-08,3368
2021-05-09,3268
2021-05-10,3155
2021-05-11,2989
2021-05-12,3004
2021-05-13,2922
2021-05-14,3041
2021-05-15,3169
2021-05-16,3247
2021-05-17,3217
2021-05-18,3079
2021-05-19,3165
2021-05-20,3308
2021-05-21,3321
2021-05-22,3247
2021-05-23,3347
2021-05-24,3287
2021-05-25,3547
2021-05-26,3327
2021-05-27,3406
2021-05-28,3325
2021-05-29,3339
2021-05-30,3060
2021-05-31,3068
2021-06-01,2942
2021-06-02,3022
2021-06-03,3093
2021-06-04,3146
2021-06-05,3228
2021-06-06,3261
2021-06-07,3300
2021-06-08,3416
2021-06-09,3559
2021-06-10,3568
2021-06-11,3468
2021-06-12,3035
2021-06-13,2997
2021-06-14,2426
2021-06-15,2757
2021-06-16,2694
2021-06-17,2623
2021-06-18,2709
2021-06-19,2983
2021-06-20,3047
2021-06-21,2987
2021-06-22,2816
2021-06-23,2901
2021-06-24,3042
2021-06-25,2926
2021-06-26,2897
2021-06-27,2892
2021-06-28,2904
2021-06-29,2880
2021-06-30,2683
2021-07-01,2897
2021-07-02,2982
2021-07-03,2928
2021-07-04,2886
2021-07-05,2746
2021-07-06,2789
2021-07-07,2837
2021-07-08,2996
2021-07-09,2910
