date,bauxite buy
2020-08-25,5775
2020-08-26,5595
2020-08-27,5215
2020-08-28,5345
2020-08-29,5343
2020-08-30,5164
2020-08-31,4160
2020-09-01,4530
2020-09-02,4741
2020-09-03,4784
2020-09-04,4746
2020-09-05,4620
2020-09-06,4233
2020-09-07,4388
2020-09-08,4645
2020-09-09,4693
2020-09-10,4663
2020-09-11,4405
2020-09-12,4160
2020-09-13,4149
2020-09-14,4211
2020-09-15,4251
2020-09-16,4210
2020-09-17,3839
2020-09-18,3847
2020-09-19,3877
2020-09-20,3874
2020-09-21,3910
2020-09-22,3925
2020-09-23,4054
2020-09-24,4115
2020-09-25,4001
2020-09-26,3684
2020-09-27,3721
2020-09-28,3767
2020-09-29,3812
2020-09-30,3830
2020-10-01,3824
2020-10-02,3851
2020-10-03,3691
2020-10-04,3619
2020-10-05,4247
2020-10-06,4252
2020-10-07,4164
2020-10-08,4161
2020-10-09,4014
2020-10-10,3707
2020-10-11,3830
2020-10-12,3897
2020-10-13,4030
2020-10-14,4379
2020-10-15,4154
2020-10-16,3845
2020-10-17,3442
2020-10-18,3848
2020-10-19,3933
2020-10-20,3780
2020-10-21,3612
2020-10-22,3634
2020-10-23,3678
2020-10-24,3687
2020-10-25,3706
2020-10-26,3791
2020-10-27,3819
2020-10-28,3820
2020-10-29,3831
2020-10-30,3865
2020-10-31,3083
2020-11-01,2865
2020-11-02,3064
2020-11-03,8521
2020-11-04,2727
2020-11-05,2832
2020-11-06,2831
2020-11-07,2736
2020-11-08,2220
2020-11-09,2483
2020-11-10,2560
2020-11-11,3028
2020-11-12,3082
2020-11-13,3111
2020-11-14,3065
2020-11-15,3143
2020-11-16,3134
2020-11-17,3266
2020-11-18,3554
2020-11-19,3596
2020-11-20,3721
2020-11-21,3630
2020-11-22,3501
2020-11-23,2908
2020-11-24,2764
2020-11-25,3104
2020-11-26,3098
2020-11-27,3083
2020-11-28,3115
2020-11-29,3138
2020-11-30,3110
2020-12-01,2799
2020-12-02,2812
2020-12-03,2794
2020-12-04,2792
2020-12-05,2790
2020-12-06,2387
2020-12-07,2441
2020-12-08,2505
2020-12-09,2845
2020-12-10,2732
2020-12-11,2779
2020-12-12,2825
2020-12-13,2968
2020-12-14,3286
2020-12-15,2932
2020-12-16,1943
2020-12-17,2140
2020-12-18,2143
2020-12-19,1968
2020-12-20,2155
2020-12-21,2423
2020-12-22,3057
2020-12-23,3079
2020-12-24,2918
2020-12-25,3090
2020-12-26,2632
2020-12-27,2824
2020-12-28,2620
2020-12-29,2706
2020-12-30,2731
2020-12-31,2778
2021-01-01,2794
2021-01-02,2857
2021-01-03,2859
2021-01-04,2516
2021-01-05,2579
2021-01-06,2732
2021-01-07,3035
2021-01-08,3096
2021-01-09,3038
2021-01-10,3131
2021-01-11,3169
2021-01-12,3295
2021-01-13,3193
2021-01-14,3786
2021-01-15,3544
2021-01-16,3458
2021-01-17,3483
2021-01-18,3507
2021-01-19,3504
2021-01-20,3168
2021-01-21,3034
2021-01-22,3055
2021-01-23,3109
2021-01-24,3304
2021-01-25,3362
2021-01-26,3411
2021-01-27,3439
2021-01-28,3455
2021-01-29,3472
2021-01-30,3477
2021-01-31,3658
2021-02-01,4045
2021-02-02,4066
2021-02-03,4070
2021-02-04,4049
2021-02-05,3160
2021-02-06,3520
2021-02-07,3605
2021-02-08,3595
2021-02-09,3606
2021-02-10,3671
2021-02-11,3693
2021-02-12,3729
2021-02-13,3771
2021-02-14,3796
2021-02-15,3880
2021-02-16,3841
2021-02-17,3598
2021-02-18,3330
2021-02-19,3886
2021-02-20,4155
2021-02-21,3893
2021-02-22,3726
2021-02-23,3720
2021-02-24,3806
2021-02-25,3848
2021-02-26,3842
2021-02-27,3852
2021-02-28,3863
2021-03-01,3867
2021-03-02,3841
2021-03-03,3997
2021-03-04,3938
2021-03-05,3771
