date,coal buy
2020-08-25,5118
2020-08-26,5102
2020-08-27,4857
2020-08-28,4792
2020-08-29,4296
2020-08-30,4317
2020-08-31,4325
2020-09-01,4129
2020-09-02,3577
2020-09-03,4079
2020-09-04,4173
2020-09-05,4198
2020-09-06,4225
2020-09-07,4269
2020-09-08,4298
2020-09-09,4306
2020-09-10,4260
2020-09-11,3898
2020-09-12,3815
2020-09-13,3800
2020-09-14,3800
2020-09-15,3836
2020-09-16,3866
2020-09-17,3844
2020-09-18,3901
2020-09-19,4193
2020-09-20,3438
2020-09-21,3559
2020-09-22,3730
2020-09-23,3772
2020-09-24,3855
2020-09-25,3859
2020-09-26,3501
2020-09-27,3328
2020-09-28,3409
2020-09-29,3478
2020-09-30,3468
2020-10-01,3445
2020-10-02,3257
2020-10-03,3405
2020-10-04,3420
2020-10-05,3428
2020-10-06,3820
2020-10-07,3918
2020-10-08,3816
2020-10-09,3665
2020-10-10,3597
2020-10-11,3557
2020-10-12,3471
2020-10-13,3147
2020-10-14,3254
2020-10-15,3246
2020-10-16,3251
2020-10-17,3003
2020-10-18,2752
2020-10-19,2834
2020-10-20,2903
2020-10-21,2882
2020-10-22,2856
2020-10-23,2797
2020-10-24,5973
2020-10-25,2906
2020-10-26,3211
2020-10-27,3330
2020-10-28,3532
2020-10-29,3611
2020-10-30,3868
2020-10-31,3635
2020-11-01,3710
2020-11-02,3206
2020-11-03,2792
2020-11-04,2596
2020-11-05,2718
2020-11-06,2623
2020-11-07,2616
2020-11-08,2872
2020-11-09,3193
2020-11-10,2858
2020-11-11,2859
2020-11-12,2873
2020-11-13,2712
2020-11-14,2726
2020-11-15,2849
2020-11-16,2782
2020-11-17,2783
2020-11-18,2797
2020-11-19,2652
2020-11-20,2833
2020-11-21,3131
2020-11-22,3688
2020-11-23,3191
2020-11-24,3172
2020-11-25,3041
2020-11-26,3017
2020-11-27,2758
2020-11-28,2627
2020-11-29,2664
2020-11-30,2697
2020-12-01,2946
2020-12-02,2811
2020-12-03,2792
2020-12-04,2820
2020-12-05,2812
2020-12-06,2831
2020-12-07,2828
2020-12-08,2811
2020-12-09,2821
2020-12-10,2854
2020-12-11,2920
2020-12-12,2954
2020-12-13,2964
2020-12-14,2681
2020-12-15,2662
2020-12-16,2674
2020-12-17,2530
2020-12-18,2710
2020-12-19,2744
2020-12-20,2741
2020-12-21,2779
2020-12-22,2808
2020-12-23,2857
2020-12-24,2992
2020-12-25,3058
2020-12-26,3289
2020-12-27,3172
2020-12-28,3074
2020-12-29,3075
2020-12-30,3108
2020-12-31,3211
2021-01-01,3214
2021-01-02,3291
2021-01-03,3305
2021-01-04,3303
2021-01-05,2976
2021-01-06,2954
2021-01-07,2955
2021-01-08,2935
2021-01-09,3011
2021-01-10,3053
2021-01-11,3044
2021-01-12,3072
2021-01-13,3130
2021-01-14,3365
2021-01-15,3246
2021-01-16,3249
2021-01-17,3157
2021-01-18,3244
2021-01-19,3210
2021-01-20,3204
2021-01-21,2515
2021-01-22,3141
2021-01-23,3161
2021-01-24,3250
2021-01-25,3254
2021-01-26,3204
2021-01-27,3346
2021-01-28,3328
2021-01-29,3437
2021-01-30,3571
2021-01-31,3411
2021-02-01,3888
2021-02-02,3911
2021-02-03,3759
2021-02-04,3705
2021-02-05,3705
2021-02-06,3706
2021-02-07,3527
2021-02-08,3696
2021-02-09,3394
2021-02-10,3330
2021-02-11,3383
2021-02-12,3244
2021-02-13,3236
2021-02-14,3168
2021-02-15,3040
2021-02-16,3128
2021-02-17,3213
2021-02-18,3360
2021-02-19,3359
2021-02-20,3425
2021-02-21,3491
2021-02-22,3419
2021-02-23,3410
2021-02-24,3403
2021-02-25,3130
2021-02-26,3186
2021-02-27,3207
2021-02-28,3223
2021-03-01,3192
2021-03-02,3118
2021-03-03,3010
2021-03-04,2958
2021-03-05,3090
2021-03-06,3064
2021-03-07,3024
2021-03-08,3196
2021-03-09,3053
2021-03-10,3185
2021-03-11,3170
2021-03-12,3011
2021-03-13,3498
2021-03-14,3037
2021-03-15,3031
2021-03-16,3020
2021-03-17,3079
2021-03-18,3095
2021-03-19,3252
2021-03-20,3529
2021-03-21,3256
2021-03-22,3149
2021-03-23,2934
2021-03-24,3073
2021-03-25,3120
2021-03-26,2968
2021-03-27,2955
2021-03-28,3015
2021-03-29,3107
2021-03-30,3037
2021-03-31,2915
2021-04-01,2600
2021-04-02,2955
2021-04-03,3395
2021-04-04,3261
2021-04-05,3251
2021-04-06,3231
2021-04-07,3668
2021-04-08,2899
2021-04-09,3100
2021-04-10,3105
2021-04-11,3485
2021-04-12,3467
2021-04-13,3368
2021-04-14,3329
2021-04-15,3442
2021-04-16,3797
2021-04-17,3316
2021-04-18,3426
2021-04-19,3453
2021-04-20,3550
2021-04-21,3606
2021-04-22,3633
2021-04-23,3567
2021-04-24,3386
2021-04-25,3589
2021-04-26,3781
