date,credits buy
2020-08-25,25794000
2020-08-26,
2020-08-27,26126500
2020-08-28,26168063
2020-08-29,24853183
2020-08-30,24017694
2020-08-31,23277790
2020-09-01,21609835
2020-09-02,21893333
2020-09-03,21967089
2020-09-04,21294637
2020-09-05,21110393
2020-09-06,21142626
2020-09-07,21001092
2020-09-08,20482425
2020-09-09,20121575
2020-09-10,21093626
2020-09-11,20891250
2020-09-12,21226666
2020-09-13,21034375
2020-09-14,20719200
2020-09-15,21127778
2020-09-16,21002164
2020-09-17,21200001
2020-09-18,20883333
2020-09-19,21111111
2020-09-20,21200100
2020-09-21,21160482
2020-09-22,20865000
2020-09-23,20870006
2020-09-24,
2020-09-25,21366666
2020-09-26,21545000
2020-09-27,21555601
2020-09-28,21570871
2020-09-29,
2020-09-30,21600001
2020-10-01,20806721
2020-10-02,20362031
2020-10-03,20058100
2020-10-04,20187431
2020-10-05,20171000
2020-10-06,20133543
2020-10-07,19486667
2020-10-08,19370002
2020-10-09,19806010
2020-10-10,20075000
2020-10-11,
2020-10-12,
2020-10-13,21204547
2020-10-14,20142969
2020-10-15,21100057
2020-10-16,20200002
2020-10-17,20323338
2020-10-18,20110000
2020-10-19,20194222
2020-10-20,20107631
2020-10-21,20080001
2020-10-22,
2020-10-23,20464285
2020-10-24,20520000
2020-10-25,20846533
2020-10-26,20805091
2020-10-27,22209446
2020-10-28,22545000
2020-10-29,21001573
2020-10-30,21833412
2020-10-31,23500333
2020-11-01,20166524
2020-11-02,21550999
2020-11-03,22151400
2020-11-04,22207277
2020-11-05,22677692
2020-11-06,22000001
2020-11-07,20050002
2020-11-08,
2020-11-09,
2020-11-10,21775001
2020-11-11,21576925
2020-11-12,22100000
2020-11-13,21281931
2020-11-14,
2020-11-15,
2020-11-16,22120000
2020-11-17,23525000
2020-11-18,21907143
2020-11-19,
2020-11-20,20772316
2020-11-21,22030000
2020-11-22,23422200
2020-11-23,21000001
2020-11-24,25000000
2020-11-25,20513625
2020-11-26,20422285
2020-11-27,20401004
2020-11-28,20420001
2020-11-29,
2020-11-30,20496916
2020-12-01,20284445
2020-12-02,20186669
2020-12-03,20260021
2020-12-04,20336554
2020-12-05,
2020-12-06,21135353
2020-12-07,21600000
2020-12-08,21027504
2020-12-09,20413167
2020-12-10,20216667
2020-12-11,20268666
2020-12-12,20221000
2020-12-13,20213000
2020-12-14,20205274
2020-12-15,20054875
2020-12-16,20013916
2020-12-17,20100743
2020-12-18,20584811
2020-12-19,20069420
2020-12-20,20577496
2020-12-21,20458464
2020-12-22,20523000
2020-12-23,20544208
2020-12-24,20353000
2020-12-25,20584710
2020-12-26,20673884
2020-12-27,20372639
2020-12-28,20500000
2020-12-29,20081769
2020-12-30,20168000
2020-12-31,20170333
2021-01-01,19396224
2021-01-02,20020039
2021-01-03,20200000
2021-01-04,20455250
2021-01-05,20048514
2021-01-06,20063444
2021-01-07,20274942
2021-01-08,20222335
2021-01-09,19900500
2021-01-10,
2021-01-11,20100000
2021-01-12,19798624
2021-01-13,20250000
2021-01-14,20500000
2021-01-15,20125751
2021-01-16,19043336
2021-01-17,16716750
2021-01-18,19783751
2021-01-19,19292555
2021-01-20,19800924
2021-01-21,19503003
2021-01-22,20010000
2021-01-23,19509700
2021-01-24,19545210
2021-01-25,20000001
2021-01-26,19603167
2021-01-27,
2021-01-28,
2021-01-29,20169420
2021-01-30,20945972
2021-01-31,20400000
2021-02-01,19968985
2021-02-02,19827500
2021-02-03,
2021-02-04,20054880
2021-02-05,20150501
2021-02-06,20027250
2021-02-07,20075000
2021-02-08,20133576
2021-02-09,20116056
2021-02-10,20122740
2021-02-11,20951205
2021-02-12,20515564
2021-02-13,21033335
2021-02-14,20524409
2021-02-15,20233000
2021-02-16,20300001
2021-02-17,20807217
2021-02-18,21081910
2021-02-19,20712500
2021-02-20,21136531
2021-02-21,21000000
2021-02-22,21590000
2021-02-23,21232992
2021-02-24,21510000
2021-02-25,21275000
2021-02-26,21966678
2021-02-27,21181496
2021-02-28,21394445
2021-03-01,20433683
2021-03-02,20104335
2021-03-03,20200007
2021-03-04,20228512
2021-03-05,20090938
2021-03-06,20200001
2021-03-07,20275569
2021-03-08,20383336
2021-03-09,20502642
2021-03-10,20377804
2021-03-11,20145002
2021-03-12,20111001
2021-03-13,20200194
2021-03-14,20488473
2021-03-15,20808880
2021-03-16,20337432
2021-03-17,20300001
2021-03-18,20236944
2021-03-19,20038502
2021-03-20,20333366
2021-03-21,20152849
2021-03-22,20525025
2021-03-23,20605000
2021-03-24,21061545
2021-03-25,22100000
2021-03-26,22000000
2021-03-27,21400000
2021-03-28,19178667
2021-03-29,21300000
2021-03-30,20529001
2021-03-31,
2021-04-01,20229242
2021-04-02,20320000
2021-04-03,20700003
2021-04-04,21815714
2021-04-05,21583333
2021-04-06,20883341
2021-04-07,21216733
2021-04-08,21320070
2021-04-09,20870034
2021-04-10,22227095
2021-04-11,21377500
2021-04-12,20881779
2021-04-13,20484166
2021-04-14,22000286
2021-04-15,22221571
2021-04-16,21104003
2021-04-17,22050000
2021-04-18,21425833
2021-04-19,21550001
2021-04-20,23000000
2021-04-21,22140300
2021-04-22,21211503
2021-04-23,21705001
2021-04-24,21377692
2021-04-25,21180000
2021-04-26,21714612
2021-04-27,20438205
2021-04-28,21107408
2021-04-29,21280723
2021-04-30,20276667
2021-05-01,20014123
2021-05-02,20134615
2021-05-03,20503605
2021-05-04,20541668
2021-05-05,19908105
2021-05-06,20365222
2021-05-07,20332576
2021-05-08,20611113
2021-05-09,20200805
2021-05-10,20296800
2021-05-11,20040400
2021-05-12,20050018
2021-05-13,19627416
2021-05-14,20001000
2021-05-15,
2021-05-16,21700001
2021-05-17,20853001
2021-05-18,19135000
2021-05-19,19913600
2021-05-20,20361111
2021-05-21,20500000
2021-05-22,20401200
2021-05-23,20103233
2021-05-24,20281000
2021-05-25,20796222
2021-05-26,20103500
2021-05-27,20093334
2021-05-28,20500000
2021-05-29,20667625
2021-05-30,20572428
2021-05-31,20501835
2021-06-01,20413384
2021-06-02,18896001
2021-06-03,20130114
2021-06-04,20218207
2021-06-05,20678333
2021-06-06,20066000
2021-06-07,
2021-06-08,17494400
2021-06-09,
2021-06-10,20375035
2021-06-11,20176000
2021-06-12,20000001
2021-06-13,20307500
2021-06-14,19895138
2021-06-15,20039710
2021-06-16,20283333
2021-06-17,
2021-06-18,20084630
2021-06-19,20000000
2021-06-20,20501999
2021-06-21,20500286
2021-06-22,20634000
2021-06-23,20287626
2021-06-24,20017369
2021-06-25,20500000
2021-06-26,20073583
2021-06-27,20100000
2021-06-28,20183333
2021-06-29,20028333
2021-06-30,18405304
2021-07-01,19603494
2021-07-02,19540703
2021-07-03,
2021-07-04,20272222
2021-07-05,20250000
2021-07-06,
2021-07-07,
2021-07-08,20233334
2021-07-09,20308750
2021-07-10,20302500
2021-07-11,18138250
2021-07-12,20686200
2021-07-13,20812500
2021-07-14,20390000
2021-07-15,20000050
2021-07-16,20550002
2021-07-17,20050038
2021-07-18,20033618
2021-07-19,20294500
2021-07-20,20258000
2021-07-21,20105125
2021-07-22,20100130
2021-07-23,20601001
2021-07-24,20151001
2021-07-25,20002947
2021-07-26,20295285
2021-07-27,20015278
2021-07-28,20233333
2021-07-29,20190000
2021-07-30,20360000
2021-07-31,20328167
2021-08-01,20178145
2021-08-02,20180457
2021-08-03,21823907
2021-08-04,22087480
2021-08-05,21636363
2021-08-06,21257000
2021-08-07,20966666
2021-08-08,
2021-08-09,22200200
2021-08-10,20630267
2021-08-11,20788909
2021-08-12,21983333
2021-08-13,20666668
2021-08-14,20758001
2021-08-15,20800000
2021-08-16,23500000
2021-08-17,
2021-08-18,21481837
2021-08-19,22712622
2021-08-20,21080401
2021-08-21,21366667
2021-08-22,20915390
2021-08-23,20427792
2021-08-24,20462500
2021-08-25,20496000
2021-08-26,20317254
2021-08-27,
2021-08-28,20578884
2021-08-29,20478642
2021-08-30,20441337
2021-08-31,
2021-09-01,20256727
2021-09-02,20094955
2021-09-03,20079743
2021-09-04,20366667
2021-09-05,21066668
2021-09-06,20054630
2021-09-07,20000001
2021-09-08,20478418
2021-09-09,20381334
2021-09-10,20105505
2021-09-11,20337385
2021-09-12,20291819
2021-09-13,20061056
2021-09-14,20156668
