date,food buy
2020-08-25,181
2020-08-26,178
2020-08-27,192
2020-08-28,172
2020-08-29,171
2020-08-30,161
2020-08-31,152
2020-09-01,183
2020-09-02,164
2020-09-03,158
2020-09-04,153
2020-09-05,140
2020-09-06,128
2020-09-07,129
2020-09-08,125
2020-09-09,134
2020-09-10,138
2020-09-11,136
2020-09-12,131
2020-09-13,128
2020-09-14,137
2020-09-15,137
2020-09-16,137
2020-09-17,141
2020-09-18,136
2020-09-19,137
2020-09-20,135
2020-09-21,137
2020-09-22,142
2020-09-23,139
2020-09-24,143
2020-09-25,145
2020-09-26,145
2020-09-27,133
2020-09-28,160
2020-09-29,146
2020-09-30,147
2020-10-01,142
2020-10-02,143
2020-10-03,144
2020-10-04,144
2020-10-05,143
2020-10-06,144
2020-10-07,144
2020-10-08,144
2020-10-09,143
2020-10-10,137
2020-10-11,149
2020-10-12,145
2020-10-13,145
2020-10-14,144
2020-10-15,144
2020-10-16,142
2020-10-17,139
2020-10-18,136
2020-10-19,138
2020-10-20,140
2020-10-21,138
2020-10-22,132
2020-10-23,129
2020-10-24,132
2020-10-25,142
2020-10-26,135
2020-10-27,158
2020-10-28,142
2020-10-29,143
2020-10-30,148
2020-10-31,228
2020-11-01,148
2020-11-02,162
2020-11-03,160
2020-11-04,146
2020-11-05,167
2020-11-06,160
2020-11-07,163
2020-11-08,168
2020-11-09,165
2020-11-10,165
2020-11-11,171
2020-11-12,163
2020-11-13,169
2020-11-14,172
2020-11-15,171
2020-11-16,165
2020-11-17,164
2020-11-18,169
2020-11-19,168
2020-11-20,171
2020-11-21,180
2020-11-22,169
2020-11-23,166
2020-11-24,173
2020-11-25,179
2020-11-26,172
2020-11-27,160
2020-11-28,171
2020-11-29,166
2020-11-30,164
2020-12-01,156
2020-12-02,154
2020-12-03,147
2020-12-04,148
2020-12-05,143
2020-12-06,291
2020-12-07,146
2020-12-08,149
2020-12-09,153
2020-12-10,145
2020-12-11,144
2020-12-12,148
2020-12-13,144
2020-12-14,149
2020-12-15,128
2020-12-16,134
2020-12-17,138
2020-12-18,139
2020-12-19,137
2020-12-20,138
2020-12-21,138
2020-12-22,136
2020-12-23,128
2020-12-24,129
2020-12-25,129
2020-12-26,132
2020-12-27,139
2020-12-28,138
2020-12-29,130
2020-12-30,129
2020-12-31,127
2021-01-01,129
2021-01-02,132
2021-01-03,133
2021-01-04,132
2021-01-05,131
2021-01-06,133
2021-01-07,133
2021-01-08,131
2021-01-09,130
2021-01-10,131
2021-01-11,128
2021-01-12,167
2021-01-13,128
2021-01-14,126
2021-01-15,125
2021-01-16,123
2021-01-17,122
2021-01-18,124
2021-01-19,128
2021-01-20,124
2021-01-21,126
2021-01-22,129
2021-01-23,136
2021-01-24,126
2021-01-25,122
2021-01-26,114
2021-01-27,115
2021-01-28,113
2021-01-29,113
2021-01-30,109
2021-01-31,107
2021-02-01,109
2021-02-02,135
2021-02-03,114
2021-02-04,111
2021-02-05,111
2021-02-06,110
2021-02-07,111
2021-02-08,112
2021-02-09,113
2021-02-10,113
2021-02-11,113
2021-02-12,114
2021-02-13,113
2021-02-14,114
2021-02-15,111
2021-02-16,112
2021-02-17,126
2021-02-18,111
2021-02-19,114
2021-02-20,116
2021-02-21,116
2021-02-22,116
2021-02-23,117
2021-02-24,119
2021-02-25,118
2021-02-26,114
2021-02-27,115
2021-02-28,116
2021-03-01,116
2021-03-02,119
2021-03-03,116
2021-03-04,116
2021-03-05,116
2021-03-06,115
2021-03-07,114
2021-03-08,113
2021-03-09,116
2021-03-10,145
2021-03-11,117
2021-03-12,181
2021-03-13,117
2021-03-14,119
2021-03-15,118
2021-03-16,116
2021-03-17,116
2021-03-18,117
2021-03-19,118
2021-03-20,116
2021-03-21,117
2021-03-22,117
2021-03-23,118
2021-03-24,118
2021-03-25,117
2021-03-26,117
2021-03-27,127
2021-03-28,129
2021-03-29,119
2021-03-30,117
2021-03-31,119
2021-04-01,131
2021-04-02,119
2021-04-03,118
2021-04-04,119
2021-04-05,118
2021-04-06,131
2021-04-07,119
2021-04-08,120
2021-04-09,119
2021-04-10,119
2021-04-11,119
2021-04-12,121
2021-04-13,120
2021-04-14,119
2021-04-15,119
2021-04-16,118
2021-04-17,116
2021-04-18,114
2021-04-19,114
2021-04-20,115
2021-04-21,112
2021-04-22,111
2021-04-23,111
2021-04-24,112
2021-04-25,113
2021-04-26,112
2021-04-27,112
2021-04-28,108
2021-04-29,110
2021-04-30,120
2021-05-01,108
2021-05-02,113
2021-05-03,116
2021-05-04,113
2021-05-05,116
2021-05-06,117
2021-05-07,120
2021-05-08,118
2021-05-09,116
2021-05-10,120
2021-05-11,112
2021-05-12,108
2021-05-13,108
2021-05-14,106
2021-05-15,110
2021-05-16,107
2021-05-17,108
2021-05-18,105
2021-05-19,104
2021-05-20,99
2021-05-21,103
2021-05-22,105
2021-05-23,114
2021-05-24,118
2021-05-25,114
2021-05-26,112
2021-05-27,105
2021-05-28,104
2021-05-29,112
2021-05-30,117
2021-05-31,119
2021-06-01,125
2021-06-02,122
2021-06-03,123
2021-06-04,122
2021-06-05,120
2021-06-06,119
2021-06-07,119
2021-06-08,224
2021-06-09,126
2021-06-10,122
2021-06-11,125
2021-06-12,123
2021-06-13,117
2021-06-14,100
2021-06-15,131
2021-06-16,104
2021-06-17,92
2021-06-18,103
2021-06-19,101
2021-06-20,105
2021-06-21,102
2021-06-22,100
2021-06-23,100
2021-06-24,99
2021-06-25,99
2021-06-26,100
2021-06-27,99
2021-06-28,98
2021-06-29,98
2021-06-30,96
2021-07-01,100
2021-07-02,96
2021-07-03,98
2021-07-04,98
2021-07-05,98
2021-07-06,99
2021-07-07,98
2021-07-08,101
2021-07-09,100
2021-07-10,100
2021-07-11,98
2021-07-12,99
2021-07-13,110
2021-07-14,136
2021-07-15,101
2021-07-16,100
2021-07-17,99
2021-07-18,103
2021-07-19,101
2021-07-20,100
2021-07-21,100
2021-07-22,133
2021-07-23,102
2021-07-24,102
2021-07-25,96
2021-07-26,100
2021-07-27,101
2021-07-28,103
2021-07-29,102
2021-07-30,101
2021-07-31,101
2021-08-01,101
2021-08-02,102
2021-08-03,101
2021-08-04,101
2021-08-05,102
2021-08-06,102
2021-08-07,104
2021-08-08,102
2021-08-09,102
2021-08-10,103
2021-08-11,112
2021-08-12,102
2021-08-13,101
2021-08-14,102
2021-08-15,103
2021-08-16,105
2021-08-17,113
2021-08-18,109
2021-08-19,109
2021-08-20,112
2021-08-21,226
2021-08-22,115
2021-08-23,120
2021-08-24,121
2021-08-25,121
2021-08-26,115
2021-08-27,118
2021-08-28,121
2021-08-29,113
2021-08-30,120
2021-08-31,121
2021-09-01,123
2021-09-02,129
2021-09-03,123
2021-09-04,119
2021-09-05,122
2021-09-06,132
2021-09-07,131
2021-09-08,131
2021-09-09,136
2021-09-10,137
2021-09-11,133
2021-09-12,134
2021-09-13,141
2021-09-14,140
2021-09-15,138
2021-09-16,137
2021-09-17,128
2021-09-18,119
2021-09-19,122
2021-09-20,121
2021-09-21,127
2021-09-22,124
2021-09-23,126
2021-09-24,126
2021-09-25,128
2021-09-26,130
2021-09-27,132
2021-09-28,136
2021-09-29,135
2021-09-30,134
2021-10-01,136
2021-10-02,132
2021-10-03,138
2021-10-04,135
2021-10-05,142
2021-10-06,135
2021-10-07,136
2021-10-08,139
2021-10-09,133
2021-10-10,148
2021-10-11,133
2021-10-12,138
2021-10-13,134
2021-10-14,129
2021-10-15,125
2021-10-16,121
2021-10-17,123
2021-10-18,126
2021-10-19,136
2021-10-20,124
2021-10-21,127
2021-10-22,131
2021-10-23,128
2021-10-24,127
2021-10-25,122
2021-10-26,120
2021-10-27,121
2021-10-28,120
2021-10-29,120
2021-10-30,119
2021-10-31,122
2021-11-01,119
2021-11-02,118
2021-11-03,120
2021-11-04,118
2021-11-05,118
2021-11-06,113
2021-11-07,112
2021-11-08,109
2021-11-09,109
2021-11-10,110
2021-11-11,109
2021-11-12,110
2021-11-13,109
2021-11-14,108
2021-11-15,113
2021-11-16,112
2021-11-17,114
2021-11-18,115
2021-11-19,112
2021-11-20,112
2021-11-21,110
2021-11-22,111
2021-11-23,112
2021-11-24,113
2021-11-25,114
2021-11-26,114
2021-11-27,113
2021-11-28,114
2021-11-29,115
2021-11-30,118
2021-12-01,115
2021-12-02,116
2021-12-03,115
2021-12-04,116
2021-12-05,115
2021-12-06,116
2021-12-07,123
2021-12-08,190
2021-12-09,120
2021-12-10,126
2021-12-11,129
2021-12-12,128
2021-12-13,121
2021-12-14,119
2021-12-15,120
2021-12-16,122
2021-12-17,124
2021-12-18,124
2021-12-19,124
2021-12-20,122
2021-12-21,133
2021-12-22,127
2021-12-23,131
2021-12-24,129
2021-12-25,127
2021-12-26,133
2021-12-27,133
2021-12-28,129
2021-12-29,127
2021-12-30,126
2021-12-31,119
2022-01-01,115
2022-01-02,114
2022-01-03,121
2022-01-04,126
2022-01-05,222
2022-01-06,149
2022-01-07,124
2022-01-08,126
2022-01-09,126
2022-01-10,124
2022-01-11,125
2022-01-12,125
2022-01-13,126
2022-01-14,125
2022-01-15,124
2022-01-16,125
2022-01-17,125
2022-01-18,126
2022-01-19,126
2022-01-20,127
2022-01-21,127
2022-01-22,130
2022-01-23,130
2022-01-24,131
2022-01-25,133
2022-01-26,137
2022-01-27,138
2022-01-28,139
2022-01-29,140
2022-01-30,142
2022-01-31,144
2022-02-01,145
2022-02-02,151
2022-02-03,148
2022-02-04,154
2022-02-05,160
2022-02-06,162
2022-02-07,244
2022-02-08,169
2022-02-09,182
2022-02-10,224
2022-02-11,177
2022-02-12,191
2022-02-13,161
2022-02-14,161
2022-02-15,144
2022-02-16,143
2022-02-17,142
2022-02-18,157
2022-02-19,157
2022-02-20,154
2022-02-21,147
2022-02-22,143
2022-02-23,133
2022-02-24,140
2022-02-25,137
2022-02-26,130
2022-02-27,135
2022-02-28,131
2022-03-01,131
2022-03-02,134
2022-03-03,131
2022-03-04,127
2022-03-05,128
2022-03-06,129
2022-03-07,130
2022-03-08,128
2022-03-09,126
2022-03-10,124
2022-03-11,124
2022-03-12,128
2022-03-13,133
2022-03-14,129
2022-03-15,135
2022-03-16,128
2022-03-17,130
2022-03-18,130
2022-03-19,130
2022-03-20,132
2022-03-21,133
2022-03-22,132
2022-03-23,132
2022-03-24,134
2022-03-25,134
2022-03-26,135
2022-03-27,135
2022-03-28,133
2022-03-29,134
2022-03-30,135
2022-03-31,135
2022-04-01,135
2022-04-02,162
2022-04-03,135
2022-04-04,142
2022-04-05,136
2022-04-06,136
2022-04-07,137
2022-04-08,134
2022-04-09,133
2022-04-10,134
2022-04-11,135
2022-04-12,141
2022-04-13,134
2022-04-14,135
2022-04-15,132
2022-04-16,130
2022-04-17,130
2022-04-18,129
2022-04-19,129
2022-04-20,127
2022-04-21,137
2022-04-22,122
2022-04-23,120
2022-04-24,118
2022-04-25,121
2022-04-26,126
2022-04-27,124
2022-04-28,124
2022-04-29,123
2022-04-30,130
2022-05-01,123
2022-05-02,126
2022-05-03,164
2022-05-04,122
2022-05-05,123
2022-05-06,125
2022-05-07,122
2022-05-08,120
2022-05-09,121
2022-05-10,118
2022-05-11,128
2022-05-12,117
2022-05-13,118
2022-05-14,118
2022-05-15,119
2022-05-16,125
2022-05-17,117
2022-05-18,127
2022-05-19,128
2022-05-20,132
2022-05-21,128
2022-05-22,133
2022-05-23,128
2022-05-24,134
2022-05-25,130
2022-05-26,131
2022-05-27,131
2022-05-28,128
2022-05-29,127
2022-05-30,128
2022-05-31,132
2022-06-01,125
2022-06-02,130
2022-06-03,134
2022-06-04,132
2022-06-05,136
2022-06-06,134
2022-06-07,132
2022-06-08,135
2022-06-09,137
2022-06-10,135
2022-06-11,135
2022-06-12,129
2022-06-13,133
2022-06-14,133
2022-06-15,134
2022-06-16,134
2022-06-17,138
2022-06-18,138
2022-06-19,136
2022-06-20,138
2022-06-21,140
2022-06-22,145
2022-06-23,143
2022-06-24,141
2022-06-25,149
2022-06-26,142
2022-06-27,144
2022-06-28,143
2022-06-29,143
2022-06-30,147
2022-07-01,149
2022-07-02,149
2022-07-03,154
2022-07-04,156
2022-07-05,160
2022-07-06,182
2022-07-07,160
2022-07-08,154
2022-07-09,159
2022-07-10,160
2022-07-11,164
2022-07-12,179
2022-07-13,172
2022-07-14,174
2022-07-15,175
2022-07-16,176
2022-07-17,177
2022-07-18,183
2022-07-19,186
2022-07-20,186
2022-07-21,186
2022-07-22,182
2022-07-23,189
2022-07-24,196
2022-07-25,199
2022-07-26,199
2022-07-27,195
2022-07-28,197
2022-07-29,200
2022-07-30,200
2022-07-31,186
2022-08-01,185
2022-08-02,190
2022-08-03,191
