date,gasoline buy
2020-08-25,5308
2020-08-26,4980
2020-08-27,4764
2020-08-28,4828
2020-08-29,4049
2020-08-30,3970
2020-08-31,4056
2020-09-01,3827
2020-09-02,3438
2020-09-03,3706
2020-09-04,3561
2020-09-05,3527
2020-09-06,3502
2020-09-07,3078
2020-09-08,2985
2020-09-09,2874
2020-09-10,2966
2020-09-11,2978
2020-09-12,2934
2020-09-13,2938
2020-09-14,3031
2020-09-15,3013
2020-09-16,3185
2020-09-17,3120
2020-09-18,3090
2020-09-19,3007
2020-09-20,2758
2020-09-21,2741
2020-09-22,2762
2020-09-23,2776
2020-09-24,2926
2020-09-25,3069
2020-09-26,2957
2020-09-27,2897
2020-09-28,2805
2020-09-29,2820
2020-09-30,2840
2020-10-01,2934
2020-10-02,3409
2020-10-03,3440
2020-10-04,3304
2020-10-05,3212
2020-10-06,3223
2020-10-07,3223
2020-10-08,2975
2020-10-09,2751
2020-10-10,4675
2020-10-11,2870
2020-10-12,2914
2020-10-13,3099
2020-10-14,3128
2020-10-15,3163
2020-10-16,3137
2020-10-17,3103
2020-10-18,3020
2020-10-19,3281
2020-10-20,3304
2020-10-21,3183
2020-10-22,3164
2020-10-23,3436
2020-10-24,3435
2020-10-25,3520
2020-10-26,3540
2020-10-27,3677
2020-10-28,3663
2020-10-29,3650
2020-10-30,3757
2020-10-31,3686
2020-11-01,3476
2020-11-02,2957
2020-11-03,4099
2020-11-04,3316
2020-11-05,3987
2020-11-06,3812
2020-11-07,3777
2020-11-08,3868
2020-11-09,3890
2020-11-10,4040
2020-11-11,3645
2020-11-12,4186
2020-11-13,3610
2020-11-14,2464
2020-11-15,2947
2020-11-16,3002
2020-11-17,3054
2020-11-18,3037
2020-11-19,3051
2020-11-20,3084
2020-11-21,3082
2020-11-22,3104
2020-11-23,3137
2020-11-24,3187
2020-11-25,3184
2020-11-26,3197
2020-11-27,3194
2020-11-28,3224
2020-11-29,2784
2020-11-30,2804
2020-12-01,2798
2020-12-02,2859
2020-12-03,3100
2020-12-04,3194
2020-12-05,3222
2020-12-06,3279
2020-12-07,3099
2020-12-08,2776
2020-12-09,2805
2020-12-10,2825
2020-12-11,2798
2020-12-12,2802
2020-12-13,2816
2020-12-14,2706
2020-12-15,2525
2020-12-16,2453
2020-12-17,2441
2020-12-18,2434
2020-12-19,2440
2020-12-20,2531
2020-12-21,2609
2020-12-22,2897
2020-12-23,3159
2020-12-24,3166
2020-12-25,3049
2020-12-26,3022
2020-12-27,2761
2020-12-28,2797
