date,iron buy
2020-08-25,5408
2020-08-26,5066
2020-08-27,4906
2020-08-28,4629
2020-08-29,4575
2020-08-30,4517
2020-08-31,4392
2020-09-01,4069
2020-09-02,4180
2020-09-03,4253
2020-09-04,4223
2020-09-05,4195
2020-09-06,4263
2020-09-07,4259
2020-09-08,4325
2020-09-09,4278
2020-09-10,3286
2020-09-11,3554
2020-09-12,3664
2020-09-13,3741
2020-09-14,3772
2020-09-15,3755
2020-09-16,3671
2020-09-17,3774
2020-09-18,3821
2020-09-19,3746
2020-09-20,3025
2020-09-21,3475
2020-09-22,3625
2020-09-23,3737
2020-09-24,3813
2020-09-25,3810
2020-09-26,3697
2020-09-27,3348
2020-09-28,3483
2020-09-29,3545
2020-09-30,3507
2020-10-01,3577
2020-10-02,3332
2020-10-03,2876
2020-10-04,4907
2020-10-05,3559
2020-10-06,3646
2020-10-07,3544
2020-10-08,3308
2020-10-09,3233
2020-10-10,3382
2020-10-11,3434
2020-10-12,3518
2020-10-13,3573
2020-10-14,3624
2020-10-15,3527
2020-10-16,3174
2020-10-17,3285
2020-10-18,3256
2020-10-19,3239
2020-10-20,2705
2020-10-21,3266
2020-10-22,3431
2020-10-23,3436
2020-10-24,3375
2020-10-25,3411
2020-10-26,3676
2020-10-27,3696
2020-10-28,3799
2020-10-29,3797
2020-10-30,3835
2020-10-31,2598
2020-11-01,2957
2020-11-02,2978
2020-11-03,2787
2020-11-04,2556
2020-11-05,2569
2020-11-06,2658
2020-11-07,2679
2020-11-08,2974
2020-11-09,3187
2020-11-10,2848
2020-11-11,2995
2020-11-12,3137
2020-11-13,3127
2020-11-14,3124
2020-11-15,2955
2020-11-16,2660
2020-11-17,2678
2020-11-18,2734
2020-11-19,2589
2020-11-20,2612
2020-11-21,2647
2020-11-22,2091
2020-11-23,2526
2020-11-24,2568
2020-11-25,2709
2020-11-26,2638
2020-11-27,2083
2020-11-28,2522
2020-11-29,2615
2020-11-30,2557
2020-12-01,2356
2020-12-02,2925
2020-12-03,2432
2020-12-04,2443
2020-12-05,2419
2020-12-06,2450
2020-12-07,2470
2020-12-08,2504
2020-12-09,2555
2020-12-10,2609
2020-12-11,2610
2020-12-12,2633
2020-12-13,2631
2020-12-14,2629
2020-12-15,2485
2020-12-16,2358
2020-12-17,2242
2020-12-18,2399
2020-12-19,2530
2020-12-20,2486
2020-12-21,2330
2020-12-22,3101
2020-12-23,2926
2020-12-24,2819
2020-12-25,2827
2020-12-26,2846
2020-12-27,2895
2020-12-28,2915
2020-12-29,2939
2020-12-30,3001
2020-12-31,3026
2021-01-01,2924
2021-01-02,2933
2021-01-03,2982
2021-01-04,2963
2021-01-05,2560
2021-01-06,2680
2021-01-07,3032
2021-01-08,3014
2021-01-09,3009
2021-01-10,3023
2021-01-11,3033
2021-01-12,2879
2021-01-13,2881
2021-01-14,2906
2021-01-15,2952
2021-01-16,2945
2021-01-17,2895
2021-01-18,2860
2021-01-19,2860
2021-01-20,2677
2021-01-21,2756
2021-01-22,2806
2021-01-23,3173
2021-01-24,2856
2021-01-25,2787
2021-01-26,2789
2021-01-27,3164
2021-01-28,3386
2021-01-29,3349
2021-01-30,3288
2021-01-31,3247
2021-02-01,3379
2021-02-02,3436
2021-02-03,3475
2021-02-04,3445
2021-02-05,3302
2021-02-06,3343
2021-02-07,3241
2021-02-08,3165
2021-02-09,3272
2021-02-10,3294
2021-02-11,3290
2021-02-12,3321
2021-02-13,3302
2021-02-14,3279
2021-02-15,2869
2021-02-16,2928
2021-02-17,2828
2021-02-18,2975
2021-02-19,3246
2021-02-20,3251
2021-02-21,3253
2021-02-22,3297
2021-02-23,3320
2021-02-24,3494
2021-02-25,3448
2021-02-26,3394
2021-02-27,3344
2021-02-28,3236
2021-03-01,3407
2021-03-02,3504
2021-03-03,3326
2021-03-04,3102
2021-03-05,3171
2021-03-06,3277
2021-03-07,3140
2021-03-08,3159
2021-03-09,3207
2021-03-10,3269
2021-03-11,3239
2021-03-12,3132
2021-03-13,3153
2021-03-14,3134
2021-03-15,3227
2021-03-16,3292
2021-03-17,3427
2021-03-18,3434
2021-03-19,3514
2021-03-20,3624
2021-03-21,3656
2021-03-22,3669
2021-03-23,3674
2021-03-24,3638
2021-03-25,3376
2021-03-26,3318
2021-03-27,3517
2021-03-28,3660
2021-03-29,3627
2021-03-30,3330
2021-03-31,3493
2021-04-01,3260
2021-04-02,3624
2021-04-03,3893
2021-04-04,3892
2021-04-05,3892
2021-04-06,3660
2021-04-07,3703
2021-04-08,3466
2021-04-09,3203
2021-04-10,3307
2021-04-11,3360
2021-04-12,3334
2021-04-13,3319
2021-04-14,3483
2021-04-15,3832
2021-04-16,3811
2021-04-17,3825
2021-04-18,3667
2021-04-19,3785
2021-04-20,3895
2021-04-21,3798
2021-04-22,3794
2021-04-23,3564
2021-04-24,3480
2021-04-25,3527
2021-04-26,3554
2021-04-27,3648
2021-04-28,3683
2021-04-29,3646
2021-04-30,3400
2021-05-01,3401
2021-05-02,3370
2021-05-03,3437
2021-05-04,3262
2021-05-05,3094
2021-05-06,3115
2021-05-07,3136
2021-05-08,3074
2021-05-09,2731
2021-05-10,2764
2021-05-11,2776
2021-05-12,2801
2021-05-13,2810
2021-05-14,2862
