date,lead buy
2020-08-25,5717
2020-08-26,5440
2020-08-27,5210
2020-08-28,5219
2020-08-29,5370
2020-08-30,5405
2020-08-31,5405
2020-09-01,4614
2020-09-02,4916
2020-09-03,4568
2020-09-04,4299
2020-09-05,4385
2020-09-06,4629
2020-09-07,4700
2020-09-08,4629
2020-09-09,4634
2020-09-10,4153
2020-09-11,4210
2020-09-12,3901
2020-09-13,3336
2020-09-14,4216
2020-09-15,3652
2020-09-16,3694
2020-09-17,3738
2020-09-18,3728
2020-09-19,3413
2020-09-20,3437
2020-09-21,3637
2020-09-22,3658
2020-09-23,3861
2020-09-24,4098
2020-09-25,4099
2020-09-26,4180
2020-09-27,4173
2020-09-28,4357
2020-09-29,4308
2020-09-30,4163
2020-10-01,3932
2020-10-02,3654
2020-10-03,3648
2020-10-04,3676
2020-10-05,3721
2020-10-06,3755
2020-10-07,3824
2020-10-08,3904
2020-10-09,3962
2020-10-10,4116
2020-10-11,4160
2020-10-12,4168
2020-10-13,4166
2020-10-14,3844
2020-10-15,3907
2020-10-16,3688
2020-10-17,3307
2020-10-18,3353
2020-10-19,3380
2020-10-20,3385
2020-10-21,3433
2020-10-22,3479
2020-10-23,3496
2020-10-24,3742
2020-10-25,3794
2020-10-26,3857
2020-10-27,3970
2020-10-28,4096
2020-10-29,4345
2020-10-30,4547
2020-10-31,4260
2020-11-01,3096
2020-11-02,2744
2020-11-03,3080
2020-11-04,3288
2020-11-05,3348
2020-11-06,3074
2020-11-07,3444
2020-11-08,3581
2020-11-09,4174
2020-11-10,4377
2020-11-11,4027
2020-11-12,4048
2020-11-13,4046
2020-11-14,3958
2020-11-15,3043
2020-11-16,3230
2020-11-17,3877
2020-11-18,4063
2020-11-19,4155
2020-11-20,4156
2020-11-21,4573
2020-11-22,6176
2020-11-23,4677
2020-11-24,4542
2020-11-25,4581
2020-11-26,4487
2020-11-27,3294
2020-11-28,3411
2020-11-29,3467
2020-11-30,3578
2020-12-01,3608
2020-12-02,3611
2020-12-03,3627
2020-12-04,3678
2020-12-05,3631
2020-12-06,3772
2020-12-07,3840
2020-12-08,3857
2020-12-09,4041
2020-12-10,3867
2020-12-11,3549
2020-12-12,3628
2020-12-13,3627
2020-12-14,3720
2020-12-15,3710
2020-12-16,2704
2020-12-17,3093
2020-12-18,3199
2020-12-19,3259
2020-12-20,3309
2020-12-21,3323
2020-12-22,3341
2020-12-23,3375
2020-12-24,3379
2020-12-25,3487
2020-12-26,3486
2020-12-27,3450
2020-12-28,3415
2020-12-29,3593
2020-12-30,3895
2020-12-31,3911
2021-01-01,3870
2021-01-02,3758
2021-01-03,3707
2021-01-04,3213
2021-01-05,3242
2021-01-06,3275
2021-01-07,3627
2021-01-08,3571
2021-01-09,3565
2021-01-10,3510
2021-01-11,3413
2021-01-12,3675
2021-01-13,3472
2021-01-14,3474
2021-01-15,3360
2021-01-16,3039
2021-01-17,3194
2021-01-18,3196
2021-01-19,3128
2021-01-20,3009
2021-01-21,2979
2021-01-22,2980
2021-01-23,3048
2021-01-24,3095
2021-01-25,3238
2021-01-26,3295
2021-01-27,3296
2021-01-28,3293
2021-01-29,3279
2021-01-30,3476
2021-01-31,3348
2021-02-01,3437
2021-02-02,3492
2021-02-03,3794
2021-02-04,3883
2021-02-05,3842
2021-02-06,3864
2021-02-07,3869
2021-02-08,3895
2021-02-09,3944
2021-02-10,4124
2021-02-11,4046
2021-02-12,4010
2021-02-13,3677
2021-02-14,3682
2021-02-15,3700
2021-02-16,3697
2021-02-17,3428
2021-02-18,3052
2021-02-19,3404
2021-02-20,3498
2021-02-21,3595
2021-02-22,3615
2021-02-23,3620
2021-02-24,3665
2021-02-25,3676
2021-02-26,3677
2021-02-27,3677
2021-02-28,3770
2021-03-01,3892
2021-03-02,3907
2021-03-03,3928
2021-03-04,3913
2021-03-05,3853
2021-03-06,3934
2021-03-07,4006
2021-03-08,4077
2021-03-09,4043
2021-03-10,3937
2021-03-11,3781
2021-03-12,3373
2021-03-13,3830
2021-03-14,3813
2021-03-15,3749
2021-03-16,3747
2021-03-17,3633
2021-03-18,3606
2021-03-19,3730
2021-03-20,3848
2021-03-21,3860
2021-03-22,3848
2021-03-23,3876
2021-03-24,3894
2021-03-25,3907
2021-03-26,3560
2021-03-27,3532
2021-03-28,3589
2021-03-29,3703
2021-03-30,3720
2021-03-31,3749
2021-04-01,3841
2021-04-02,3852
2021-04-03,3874
2021-04-04,4060
2021-04-05,4033
2021-04-06,3882
2021-04-07,3917
2021-04-08,3931
2021-04-09,3972
2021-04-10,4001
2021-04-11,3957
2021-04-12,3710
2021-04-13,3265
2021-04-14,4016
2021-04-15,3958
2021-04-16,3756
2021-04-17,3831
2021-04-18,3886
2021-04-19,4328
2021-04-20,4387
2021-04-21,3986
2021-04-22,4112
2021-04-23,4058
2021-04-24,4058
2021-04-25,4063
2021-04-26,3880
2021-04-27,3879
2021-04-28,3909
2021-04-29,3934
2021-04-30,3886
2021-05-01,3489
2021-05-02,3472
2021-05-03,3497
2021-05-04,3458
2021-05-05,3413
2021-05-06,3353
2021-05-07,3356
2021-05-08,3358
2021-05-09,3304
2021-05-10,3238
2021-05-11,3518
2021-05-12,3328
2021-05-13,3363
2021-05-14,3389
2021-05-15,3425
2021-05-16,3461
2021-05-17,3467
2021-05-18,3470
2021-05-19,3501
2021-05-20,3480
2021-05-21,3497
2021-05-22,3555
2021-05-23,3672
2021-05-24,3351
2021-05-25,3172
2021-05-26,3444
2021-05-27,3454
2021-05-28,3473
2021-05-29,3501
2021-05-30,3504
2021-05-31,3588
2021-06-01,3604
2021-06-02,3541
2021-06-03,2983
2021-06-04,3049
2021-06-05,3072
2021-06-06,3151
2021-06-07,3299
2021-06-08,3318
2021-06-09,3345
2021-06-10,3553
2021-06-11,3465
2021-06-12,3474
2021-06-13,3465
2021-06-14,2690
2021-06-15,2403
2021-06-16,2665
2021-06-17,3344
2021-06-18,3529
2021-06-19,3568
2021-06-20,3607
2021-06-21,3619
2021-06-22,3687
2021-06-23,3570
2021-06-24,3556
2021-06-25,3623
2021-06-26,3742
2021-06-27,3711
2021-06-28,3784
2021-06-29,3788
2021-06-30,3508
2021-07-01,3648
2021-07-02,3910
2021-07-03,3749
2021-07-04,3726
2021-07-05,3744
2021-07-06,3721
2021-07-07,3731
2021-07-08,3823
2021-07-09,3994
2021-07-10,4075
2021-07-11,4059
2021-07-12,3970
2021-07-13,3825
2021-07-14,3833
2021-07-15,3850
2021-07-16,3843
2021-07-17,3901
2021-07-18,3891
2021-07-19,3962
2021-07-20,3907
2021-07-21,3907
2021-07-22,3951
2021-07-23,3930
2021-07-24,3892
2021-07-25,3901
2021-07-26,3752
2021-07-27,3757
2021-07-28,3786
2021-07-29,3790
2021-07-30,3794
2021-07-31,3830
2021-08-01,3911
2021-08-02,3916
2021-08-03,3488
2021-08-04,3888
2021-08-05,3782
2021-08-06,3760
2021-08-07,3809
2021-08-08,3766
2021-08-09,3877
2021-08-10,3811
2021-08-11,3769
2021-08-12,3751
2021-08-13,3763
2021-08-14,3851
2021-08-15,3956
2021-08-16,3954
2021-08-17,4024
2021-08-18,4010
2021-08-19,4023
2021-08-20,3707
2021-08-21,3500
2021-08-22,3803
2021-08-23,4030
2021-08-24,4011
2021-08-25,4007
2021-08-26,4026
2021-08-27,4022
2021-08-28,3527
2021-08-29,3863
2021-08-30,3722
2021-08-31,3823
2021-09-01,3857
2021-09-02,3950
2021-09-03,4004
2021-09-04,3984
2021-09-05,3801
2021-09-06,3813
2021-09-07,3781
2021-09-08,3908
2021-09-09,3913
2021-09-10,3775
2021-09-11,3849
2021-09-12,3847
2021-09-13,3855
2021-09-14,3904
2021-09-15,3874
2021-09-16,3875
2021-09-17,3919
2021-09-18,3601
2021-09-19,3551
2021-09-20,3415
2021-09-21,3379
2021-09-22,3535
2021-09-23,12190
2021-09-24,3676
2021-09-25,3713
2021-09-26,3729
2021-09-27,3773
2021-09-28,3737
2021-09-29,3588
2021-09-30,3604
2021-10-01,3540
2021-10-02,3434
2021-10-03,3552
2021-10-04,3619
2021-10-05,3636
2021-10-06,3647
2021-10-07,3588
2021-10-08,3384
2021-10-09,3318
2021-10-10,3505
2021-10-11,3193
2021-10-12,3659
2021-10-13,3666
2021-10-14,3431
2021-10-15,3671
2021-10-16,3697
2021-10-17,3675
2021-10-18,3547
2021-10-19,3610
2021-10-20,3699
2021-10-21,3718
2021-10-22,3713
2021-10-23,3667
2021-10-24,3641
2021-10-25,3608
2021-10-26,3601
2021-10-27,3615
2021-10-28,3617
2021-10-29,3674
2021-10-30,3574
2021-10-31,3404
2021-11-01,3469
2021-11-02,3525
2021-11-03,3591
2021-11-04,3571
2021-11-05,3667
2021-11-06,3659
2021-11-07,3633
2021-11-08,3612
2021-11-09,3638
2021-11-10,3711
2021-11-11,3651
2021-11-12,3549
2021-11-13,3498
2021-11-14,3621
2021-11-15,3562
2021-11-16,3573
2021-11-17,3601
2021-11-18,3609
2021-11-19,3613
2021-11-20,3621
2021-11-21,3607
2021-11-22,3624
2021-11-23,3642
2021-11-24,3638
2021-11-25,3667
2021-11-26,3697
2021-11-27,3723
2021-11-28,3733
2021-11-29,3734
2021-11-30,3795
2021-12-01,3845
2021-12-02,3838
2021-12-03,3896
2021-12-04,3897
2021-12-05,3845
2021-12-06,3684
2021-12-07,3559
2021-12-08,2975
2021-12-09,3662
2021-12-10,3733
2021-12-11,3597
2021-12-12,3427
2021-12-13,3444
2021-12-14,3498
2021-12-15,3709
2021-12-16,4007
2021-12-17,3996
2021-12-18,3951
2021-12-19,3880
2021-12-20,2780
2021-12-21,3563
2021-12-22,3465
2021-12-23,3624
2021-12-24,3589
2021-12-25,3619
2021-12-26,3632
2021-12-27,3679
2021-12-28,3644
2021-12-29,3712
2021-12-30,3731
2021-12-31,3735
2022-01-01,3732
2022-01-02,3743
2022-01-03,3768
2022-01-04,3798
2022-01-05,3765
2022-01-06,3772
2022-01-07,3472
2022-01-08,3412
2022-01-09,3486
2022-01-10,3527
2022-01-11,3571
2022-01-12,3621
2022-01-13,3694
2022-01-14,3692
2022-01-15,3702
2022-01-16,3752
2022-01-17,3798
2022-01-18,3823
2022-01-19,3838
2022-01-20,3854
2022-01-21,3854
2022-01-22,3828
2022-01-23,3607
2022-01-24,3580
2022-01-25,3317
2022-01-26,3234
2022-01-27,3521
2022-01-28,3549
2022-01-29,3679
2022-01-30,3613
2022-01-31,3643
2022-02-01,3665
2022-02-02,3668
2022-02-03,3810
2022-02-04,3866
2022-02-05,3508
2022-02-06,3528
2022-02-07,3587
2022-02-08,3720
2022-02-09,3718
2022-02-10,3634
2022-02-11,3714
2022-02-12,3776
2022-02-13,3868
2022-02-14,3866
2022-02-15,3805
2022-02-16,3518
2022-02-17,3586
2022-02-18,3619
2022-02-19,3604
2022-02-20,3621
2022-02-21,3660
2022-02-22,3674
2022-02-23,3672
2022-02-24,3658
2022-02-25,3509
2022-02-26,3423
2022-02-27,3492
2022-02-28,3559
2022-03-01,3561
2022-03-02,3568
2022-03-03,3568
2022-03-04,3491
2022-03-05,3443
2022-03-06,3537
2022-03-07,3534
2022-03-08,3563
2022-03-09,3570
2022-03-10,3542
2022-03-11,3525
2022-03-12,3490
2022-03-13,3499
2022-03-14,3499
2022-03-15,3519
2022-03-16,3552
2022-03-17,3517
2022-03-18,3511
2022-03-19,3399
2022-03-20,3440
2022-03-21,3457
2022-03-22,3494
2022-03-23,3538
2022-03-24,3466
2022-03-25,3519
2022-03-26,3567
2022-03-27,3653
2022-03-28,3686
2022-03-29,3690
2022-03-30,3448
2022-03-31,3670
2022-04-01,3740
2022-04-02,3765
2022-04-03,3785
2022-04-04,3764
2022-04-05,4201
2022-04-06,3886
2022-04-07,3894
2022-04-08,3904
2022-04-09,3937
2022-04-10,3910
2022-04-11,3931
2022-04-12,3928
2022-04-13,3906
2022-04-14,3916
2022-04-15,3947
2022-04-16,3898
2022-04-17,3583
2022-04-18,3517
2022-04-19,3407
2022-04-20,3368
2022-04-21,3373
2022-04-22,3358
2022-04-23,3415
2022-04-24,3431
2022-04-25,3468
2022-04-26,3454
2022-04-27,3473
2022-04-28,3496
2022-04-29,3527
2022-04-30,3479
2022-05-01,3514
2022-05-02,3562
2022-05-03,3559
2022-05-04,3406
2022-05-05,3388
2022-05-06,3380
2022-05-07,3349
2022-05-08,3446
2022-05-09,3407
2022-05-10,3390
2022-05-11,3454
2022-05-12,3511
2022-05-13,3508
2022-05-14,3458
2022-05-15,3457
2022-05-16,3546
2022-05-17,3481
2022-05-18,3395
2022-05-19,3284
2022-05-20,3270
2022-05-21,3053
2022-05-22,3264
2022-05-23,3446
2022-05-24,3586
2022-05-25,3552
2022-05-26,3460
2022-05-27,3265
2022-05-28,3335
2022-05-29,3638
2022-05-30,3442
2022-05-31,3498
2022-06-01,3537
2022-06-02,3501
2022-06-03,3727
2022-06-04,3571
2022-06-05,3674
2022-06-06,3659
2022-06-07,3675
2022-06-08,3961
2022-06-09,3893
2022-06-10,3832
2022-06-11,3843
2022-06-12,3847
2022-06-13,3836
2022-06-14,3726
2022-06-15,3681
2022-06-16,3745
2022-06-17,3706
2022-06-18,3748
2022-06-19,3658
2022-06-20,3726
2022-06-21,3695
2022-06-22,3730
2022-06-23,3746
2022-06-24,3788
2022-06-25,3678
2022-06-26,3651
2022-06-27,3550
2022-06-28,3594
2022-06-29,3523
2022-06-30,3144
2022-07-01,3219
2022-07-02,3426
2022-07-03,3434
2022-07-04,3356
2022-07-05,3406
2022-07-06,3510
2022-07-07,3432
2022-07-08,3353
2022-07-09,3333
2022-07-10,3358
2022-07-11,3425
2022-07-12,3537
2022-07-13,3468
2022-07-14,3464
2022-07-15,3419
2022-07-16,3343
2022-07-17,3364
2022-07-18,3463
2022-07-19,3506
2022-07-20,3355
2022-07-21,3243
2022-07-22,3247
2022-07-23,3237
2022-07-24,3081
2022-07-25,3157
2022-07-26,3512
2022-07-27,3444
2022-07-28,3352
2022-07-29,4033
2022-07-30,3414
2022-07-31,3387
2022-08-01,3361
2022-08-02,3537
2022-08-03,3382
2022-08-04,3505
2022-08-05,4149
2022-08-06,3665
2022-08-07,3673
2022-08-08,3706
2022-08-09,3893
2022-08-10,3915
2022-08-11,3848
2022-08-12,3810
2022-08-13,3826
2022-08-14,3875
2022-08-15,3824
2022-08-16,3816
2022-08-17,3806
2022-08-18,3775
2022-08-19,3790
2022-08-20,3791
2022-08-21,3820
2022-08-22,3813
2022-08-23,3849
2022-08-24,3864
2022-08-25,3876
2022-08-26,3780
2022-08-27,3758
2022-08-28,3785
2022-08-29,3722
2022-08-30,3680
2022-08-31,3543
2022-09-01,3401
2022-09-02,3463
2022-09-03,3617
2022-09-04,3512
2022-09-05,3424
2022-09-06,3427
2022-09-07,3397
2022-09-08,3617
2022-09-09,3574
2022-09-10,3481
2022-09-11,3597
2022-09-12,3724
2022-09-13,3647
2022-09-14,3503
2022-09-15,3546
2022-09-16,3205
