date,oil buy
2020-08-25,5437
2020-08-26,5449
2020-08-27,5320
2020-08-28,5298
2020-08-29,5276
2020-08-30,4939
2020-08-31,4689
2020-09-01,4577
2020-09-02,5027
2020-09-03,4700
2020-09-04,4721
2020-09-05,4699
2020-09-06,4428
2020-09-07,4464
2020-09-08,4356
2020-09-09,4103
2020-09-10,3599
2020-09-11,3775
2020-09-12,3841
2020-09-13,3905
2020-09-14,3960
2020-09-15,3853
2020-09-16,3878
2020-09-17,3983
2020-09-18,4030
2020-09-19,4008
2020-09-20,3831
2020-09-21,3870
2020-09-22,3888
2020-09-23,3392
2020-09-24,3420
2020-09-25,3335
2020-09-26,3494
2020-09-27,3602
2020-09-28,3784
2020-09-29,3805
2020-09-30,3851
2020-10-01,3741
2020-10-02,3811
2020-10-03,3754
2020-10-04,3205
2020-10-05,3428
2020-10-06,3441
2020-10-07,3445
2020-10-08,3440
2020-10-09,3551
2020-10-10,3686
2020-10-11,3580
2020-10-12,3640
2020-10-13,3629
2020-10-14,3680
2020-10-15,3637
2020-10-16,2898
2020-10-17,3015
2020-10-18,3074
2020-10-19,3131
2020-10-20,2889
2020-10-21,3003
2020-10-22,2923
2020-10-23,2933
2020-10-24,2907
2020-10-25,2901
2020-10-26,3003
2020-10-27,2936
2020-10-28,2943
2020-10-29,2951
2020-10-30,3207
2020-10-31,3123
2020-11-01,3201
2020-11-02,3160
2020-11-03,2680
2020-11-04,2085
2020-11-05,2929
2020-11-06,2597
2020-11-07,2587
2020-11-08,2594
2020-11-09,2588
2020-11-10,2514
2020-11-11,5044
2020-11-12,2966
2020-11-13,3009
2020-11-14,3023
2020-11-15,2947
2020-11-16,2653
2020-11-17,2676
2020-11-18,2748
2020-11-19,2863
2020-11-20,2850
2020-11-21,2923
2020-11-22,2870
2020-11-23,2959
2020-11-24,2902
2020-11-25,3057
2020-11-26,3068
2020-11-27,2924
2020-11-28,2452
2020-11-29,2391
2020-11-30,2326
2020-12-01,2573
2020-12-02,2758
2020-12-03,2787
2020-12-04,2855
2020-12-05,2996
2020-12-06,3012
2020-12-07,3014
2020-12-08,2864
2020-12-09,2821
2020-12-10,2813
2020-12-11,2924
2020-12-12,2809
2020-12-13,2816
2020-12-14,2831
2020-12-15,2643
2020-12-16,2860
2020-12-17,2733
2020-12-18,2776
2020-12-19,2841
2020-12-20,2876
2020-12-21,2891
2020-12-22,2905
2020-12-23,2907
2020-12-24,2891
2020-12-25,2705
2020-12-26,2919
2020-12-27,2924
2020-12-28,2745
2020-12-29,2767
2020-12-30,2769
2020-12-31,2802
2021-01-01,2991
2021-01-02,3246
2021-01-03,3067
2021-01-04,3191
2021-01-05,3227
2021-01-06,3246
2021-01-07,3264
2021-01-08,3269
2021-01-09,3051
2021-01-10,2947
2021-01-11,2956
2021-01-12,3000
2021-01-13,3247
2021-01-14,3625
2021-01-15,3609
2021-01-16,3222
2021-01-17,3314
2021-01-18,3303
2021-01-19,3302
2021-01-20,3237
2021-01-21,3292
2021-01-22,3826
2021-01-23,3465
2021-01-24,3405
2021-01-25,3439
2021-01-26,3458
2021-01-27,3534
2021-01-28,3598
2021-01-29,3701
2021-01-30,3732
2021-01-31,3807
2021-02-01,3828
