date,steel buy
2020-08-25,5496
2020-08-26,5057
2020-08-27,5130
2020-08-28,5187
2020-08-29,5082
2020-08-30,5091
2020-08-31,4964
2020-09-01,4516
2020-09-02,4447
2020-09-03,4450
2020-09-04,4111
2020-09-05,4229
2020-09-06,4310
2020-09-07,4291
2020-09-08,3445
2020-09-09,3823
2020-09-10,3842
2020-09-11,3917
2020-09-12,3932
2020-09-13,3958
2020-09-14,4014
2020-09-15,4026
2020-09-16,3763
2020-09-17,3775
2020-09-18,3832
2020-09-19,3858
2020-09-20,3879
2020-09-21,3703
2020-09-22,3718
2020-09-23,3833
2020-09-24,3878
2020-09-25,3815
2020-09-26,3679
2020-09-27,3105
2020-09-28,3325
2020-09-29,3462
2020-09-30,3574
2020-10-01,3633
2020-10-02,3697
2020-10-03,3623
2020-10-04,3603
2020-10-05,3587
2020-10-06,3667
2020-10-07,3683
2020-10-08,3637
2020-10-09,3343
2020-10-10,3391
2020-10-11,3444
2020-10-12,3447
2020-10-13,3505
2020-10-14,3590
2020-10-15,3531
2020-10-16,3540
2020-10-17,3620
2020-10-18,3713
2020-10-19,3802
2020-10-20,3697
2020-10-21,3713
2020-10-22,3762
2020-10-23,3803
2020-10-24,3913
2020-10-25,3934
2020-10-26,4022
2020-10-27,4884
2020-10-28,5184
2020-10-29,5134
2020-10-30,5347
2020-10-31,5329
2020-11-01,5298
2020-11-02,5698
2020-11-03,5467
2020-11-04,5396
2020-11-05,5286
2020-11-06,4802
2020-11-07,4982
2020-11-08,5036
2020-11-09,5065
2020-11-10,5022
2020-11-11,4995
2020-11-12,9843
2020-11-13,4724
2020-11-14,4748
2020-11-15,4225
2020-11-16,4260
2020-11-17,4428
2020-11-18,4160
2020-11-19,4026
2020-11-20,3947
2020-11-21,3980
2020-11-22,4011
2020-11-23,3934
2020-11-24,3956
2020-11-25,3967
2020-11-26,3977
2020-11-27,3579
2020-11-28,3540
2020-11-29,3355
2020-11-30,3352
2020-12-01,3357
2020-12-02,3463
2020-12-03,3496
2020-12-04,3515
2020-12-05,3518
2020-12-06,3363
2020-12-07,3636
2020-12-08,3185
2020-12-09,3199
2020-12-10,3218
2020-12-11,3239
2020-12-12,3276
2020-12-13,3375
2020-12-14,3209
2020-12-15,3021
2020-12-16,2785
2020-12-17,2748
2020-12-18,2701
2020-12-19,2959
2020-12-20,2926
2020-12-21,2914
2020-12-22,3158
2020-12-23,3242
2020-12-24,3342
2020-12-25,3267
2020-12-26,3257
2020-12-27,2869
2020-12-28,3080
2020-12-29,3138
2020-12-30,3150
2020-12-31,3182
2021-01-01,3217
2021-01-02,3231
2021-01-03,3199
2021-01-04,3218
2021-01-05,3225
2021-01-06,3229
2021-01-07,3218
2021-01-08,3048
2021-01-09,3129
2021-01-10,3202
2021-01-11,3228
2021-01-12,3192
2021-01-13,3111
2021-01-14,3103
2021-01-15,3118
2021-01-16,3154
2021-01-17,3216
2021-01-18,3254
2021-01-19,3336
2021-01-20,3377
2021-01-21,3482
2021-01-22,3366
2021-01-23,2774
2021-01-24,3186
2021-01-25,3155
2021-01-26,3152
2021-01-27,3161
2021-01-28,3171
2021-01-29,3177
2021-01-30,3100
2021-01-31,3129
2021-02-01,3192
2021-02-02,3127
2021-02-03,3253
2021-02-04,3221
2021-02-05,3192
2021-02-06,3160
2021-02-07,3147
2021-02-08,3276
2021-02-09,3091
2021-02-10,3104
2021-02-11,3120
2021-02-12,3133
2021-02-13,3261
2021-02-14,3294
2021-02-15,3241
2021-02-16,3262
2021-02-17,3278
2021-02-18,3278
2021-02-19,3313
2021-02-20,3291
2021-02-21,3211
2021-02-22,3229
2021-02-23,3377
2021-02-24,3485
2021-02-25,3424
2021-02-26,3391
2021-02-27,3364
2021-02-28,3350
2021-03-01,3350
2021-03-02,3328
2021-03-03,3451
2021-03-04,3504
2021-03-05,3540
2021-03-06,3621
2021-03-07,3545
2021-03-08,3576
2021-03-09,3589
2021-03-10,3759
2021-03-11,3759
2021-03-12,3827
2021-03-13,4089
2021-03-14,4025
2021-03-15,3870
2021-03-16,3720
2021-03-17,3838
2021-03-18,3790
2021-03-19,3963
2021-03-20,3980
2021-03-21,3851
2021-03-22,3756
2021-03-23,3823
2021-03-24,3865
2021-03-25,3956
2021-03-26,3987
2021-03-27,4028
2021-03-28,4102
2021-03-29,4168
2021-03-30,4074
2021-03-31,4161
2021-04-01,4244
2021-04-02,4232
2021-04-03,4184
2021-04-04,4133
2021-04-05,4190
2021-04-06,4823
2021-04-07,4435
2021-04-08,4622
2021-04-09,4756
2021-04-10,4462
2021-04-11,4775
2021-04-12,4783
2021-04-13,4756
2021-04-14,4939
2021-04-15,4930
2021-04-16,4881
2021-04-17,4823
2021-04-18,4658
2021-04-19,4622
2021-04-20,4678
2021-04-21,4667
2021-04-22,4636
2021-04-23,4588
2021-04-24,4517
2021-04-25,4318
2021-04-26,4273
2021-04-27,4269
2021-04-28,4215
2021-04-29,4216
2021-04-30,4304
2021-05-01,4387
2021-05-02,4610
2021-05-03,4532
2021-05-04,4388
2021-05-05,4182
2021-05-06,4042
2021-05-07,4162
2021-05-08,4084
2021-05-09,4070
2021-05-10,3914
2021-05-11,3800
2021-05-12,3735
2021-05-13,3724
2021-05-14,3770
2021-05-15,3844
2021-05-16,3956
2021-05-17,3877
2021-05-18,3729
2021-05-19,3766
2021-05-20,3760
2021-05-21,3803
2021-05-22,4024
2021-05-23,4327
2021-05-24,4366
2021-05-25,4401
2021-05-26,4372
2021-05-27,3949
2021-05-28,4068
2021-05-29,3997
2021-05-30,3821
2021-05-31,4088
2021-06-01,4356
2021-06-02,4331
2021-06-03,4370
2021-06-04,4316
2021-06-05,4025
2021-06-06,4081
2021-06-07,4205
2021-06-08,4403
2021-06-09,4401
2021-06-10,4423
2021-06-11,4011
2021-06-12,4400
2021-06-13,4302
2021-06-14,3256
2021-06-15,3412
2021-06-16,3570
2021-06-17,3698
2021-06-18,3658
2021-06-19,3736
2021-06-20,3708
2021-06-21,3701
2021-06-22,3785
2021-06-23,3912
2021-06-24,3902
2021-06-25,3860
2021-06-26,3926
2021-06-27,3913
2021-06-28,3826
2021-06-29,3594
2021-06-30,3582
2021-07-01,3741
2021-07-02,3779
2021-07-03,3785
2021-07-04,3760
2021-07-05,3731
2021-07-06,3799
2021-07-07,3864
2021-07-08,3871
2021-07-09,3869
2021-07-10,3861
2021-07-11,3710
2021-07-12,3756
2021-07-13,3784
2021-07-14,3875
2021-07-15,3903
2021-07-16,3805
2021-07-17,3750
2021-07-18,3743
2021-07-19,3778
2021-07-20,3815
2021-07-21,3809
2021-07-22,3792
2021-07-23,3816
2021-07-24,3856
2021-07-25,3832
2021-07-26,3776
2021-07-27,3680
