date,uranium buy
2020-08-25,3863
2020-08-26,3759
2020-08-27,2878
2020-08-28,3303
2020-08-29,3495
2020-08-30,3161
2020-08-31,3026
2020-09-01,3038
2020-09-02,3071
2020-09-03,3126
2020-09-04,3075
2020-09-05,2930
2020-09-06,2466
2020-09-07,2588
2020-09-08,2753
2020-09-09,2674
2020-09-10,2691
2020-09-11,2709
2020-09-12,2704
2020-09-13,2805
2020-09-14,2320
2020-09-15,2417
2020-09-16,2303
2020-09-17,2354
2020-09-18,2358
2020-09-19,2258
2020-09-20,2267
2020-09-21,2303
2020-09-22,2253
2020-09-23,2328
2020-09-24,2607
2020-09-25,2587
2020-09-26,2353
2020-09-27,2349
2020-09-28,2544
2020-09-29,2581
2020-09-30,2903
2020-10-01,2719
2020-10-02,2692
2020-10-03,2670
2020-10-04,2658
2020-10-05,2490
2020-10-06,2080
2020-10-07,2103
2020-10-08,2282
2020-10-09,2653
2020-10-10,2832
2020-10-11,3049
2020-10-12,3155
2020-10-13,3073
2020-10-14,3061
2020-10-15,2950
2020-10-16,2611
2020-10-17,2653
2020-10-18,2646
2020-10-19,2714
2020-10-20,2744
2020-10-21,2795
2020-10-22,2809
2020-10-23,2799
2020-10-24,2790
2020-10-25,2718
2020-10-26,2636
2020-10-27,2650
2020-10-28,2673
2020-10-29,2697
2020-10-30,2756
2020-10-31,2617
2020-11-01,2381
2020-11-02,2421
2020-11-03,2322
2020-11-04,2206
2020-11-05,2314
2020-11-06,2360
2020-11-07,2379
2020-11-08,2384
2020-11-09,2453
2020-11-10,2421
2020-11-11,2421
2020-11-12,1985
2020-11-13,1858
2020-11-14,1891
2020-11-15,1894
2020-11-16,1929
2020-11-17,1902
2020-11-18,2008
2020-11-19,1964
2020-11-20,1906
2020-11-21,1501
2020-11-22,1603
2020-11-23,1895
2020-11-24,2020
2020-11-25,2002
2020-11-26,1718
2020-11-27,1733
2020-11-28,1707
2020-11-29,1651
2020-11-30,1660
2020-12-01,1708
2020-12-02,1873
2020-12-03,1878
2020-12-04,1810
2020-12-05,1825
2020-12-06,1836
2020-12-07,1512
2020-12-08,1690
2020-12-09,1727
2020-12-10,1709
2020-12-11,1722
2020-12-12,1712
2020-12-13,1630
2020-12-14,1510
2020-12-15,1449
2020-12-16,1456
2020-12-17,1678
2020-12-18,1679
2020-12-19,1691
2020-12-20,1836
2020-12-21,1862
2020-12-22,1898
2020-12-23,1917
2020-12-24,1929
2020-12-25,1911
2020-12-26,1707
2020-12-27,1617
2020-12-28,1688
2020-12-29,1880
2020-12-30,1902
2020-12-31,1907
2021-01-01,1800
2021-01-02,1804
2021-01-03,1808
2021-01-04,1988
2021-01-05,2170
2021-01-06,2150
2021-01-07,2157
2021-01-08,2170
2021-01-09,2197
2021-01-10,2110
2021-01-11,1966
2021-01-12,2000
2021-01-13,1984
2021-01-14,1887
2021-01-15,1851
2021-01-16,1877
2021-01-17,1972
2021-01-18,2011
2021-01-19,1998
2021-01-20,1842
2021-01-21,1940
2021-01-22,2185
2021-01-23,2184
2021-01-24,2091
2021-01-25,2047
2021-01-26,2001
2021-01-27,1987
2021-01-28,2008
2021-01-29,1952
2021-01-30,2014
2021-01-31,2087
2021-02-01,2413
2021-02-02,2270
2021-02-03,2246
2021-02-04,2266
2021-02-05,2340
2021-02-06,2387
2021-02-07,2167
2021-02-08,2296
2021-02-09,2509
2021-02-10,2492
2021-02-11,2518
2021-02-12,2520
2021-02-13,2522
2021-02-14,2536
2021-02-15,2527
2021-02-16,2146
2021-02-17,2231
2021-02-18,2241
2021-02-19,2316
2021-02-20,2361
2021-02-21,2383
2021-02-22,2453
2021-02-23,2470
2021-02-24,2559
2021-02-25,2614
2021-02-26,2645
2021-02-27,2677
2021-02-28,2782
2021-03-01,2761
2021-03-02,2774
2021-03-03,2508
2021-03-04,2605
2021-03-05,2643
2021-03-06,2644
2021-03-07,2623
2021-03-08,2471
2021-03-09,2777
2021-03-10,2900
2021-03-11,2855
2021-03-12,2721
2021-03-13,2721
2021-03-14,2591
2021-03-15,2523
2021-03-16,2591
2021-03-17,2616
2021-03-18,2623
2021-03-19,2744
2021-03-20,2905
2021-03-21,2936
2021-03-22,2948
2021-03-23,2962
2021-03-24,3021
2021-03-25,3055
2021-03-26,3132
2021-03-27,3193
2021-03-28,3154
2021-03-29,3216
2021-03-30,3254
2021-03-31,3308
2021-04-01,3340
2021-04-02,3416
2021-04-03,3438
2021-04-04,3547
2021-04-05,3461
2021-04-06,3135
2021-04-07,3163
2021-04-08,3242
2021-04-09,3333
2021-04-10,3330
2021-04-11,3328
2021-04-12,2817
2021-04-13,2602
2021-04-14,2795
2021-04-15,3046
2021-04-16,3388
2021-04-17,3567
2021-04-18,3506
2021-04-19,3329
2021-04-20,3451
2021-04-21,3485
2021-04-22,3552
2021-04-23,3281
2021-04-24,3336
2021-04-25,3089
2021-04-26,2915
2021-04-27,2948
2021-04-28,3093
2021-04-29,3119
2021-04-30,3138
2021-05-01,3157
2021-05-02,3292
2021-05-03,2915
2021-05-04,3146
2021-05-05,3029
2021-05-06,3087
2021-05-07,3112
2021-05-08,3131
2021-05-09,3022
2021-05-10,2766
2021-05-11,2854
2021-05-12,2867
2021-05-13,2908
2021-05-14,2850
2021-05-15,2765
2021-05-16,2779
2021-05-17,2777
2021-05-18,2926
2021-05-19,3059
2021-05-20,2925
2021-05-21,2912
2021-05-22,3007
2021-05-23,3070
2021-05-24,3105
2021-05-25,3047
2021-05-26,2746
2021-05-27,2429
2021-05-28,2664
2021-05-29,2672
2021-05-30,2724
2021-05-31,2685
2021-06-01,2683
2021-06-02,2458
2021-06-03,2570
2021-06-04,2670
2021-06-05,2684
2021-06-06,2697
2021-06-07,2706
2021-06-08,2120
2021-06-09,2466
2021-06-10,2593
2021-06-11,2608
2021-06-12,2604
2021-06-13,2076
2021-06-14,1604
2021-06-15,1754
2021-06-16,1994
2021-06-17,2247
2021-06-18,2506
2021-06-19,2413
2021-06-20,2363
2021-06-21,2231
2021-06-22,2274
2021-06-23,2334
2021-06-24,2382
