date,aluminum sell
2020-08-25,4390
2020-08-26,4146
2020-08-27,4094
2020-08-28,4178
2020-08-29,4229
2020-08-30,4049
2020-08-31,3817
2020-09-01,3475
2020-09-02,3321
2020-09-03,3325
2020-09-04,3332
2020-09-05,3612
2020-09-06,3688
2020-09-07,3494
2020-09-08,3259
2020-09-09,3163
2020-09-10,3353
2020-09-11,3259
2020-09-12,3182
2020-09-13,3140
2020-09-14,3128
2020-09-15,3482
2020-09-16,3315
2020-09-17,3145
2020-09-18,3009
2020-09-19,2977
2020-09-20,2988
2020-09-21,2985
2020-09-22,2985
2020-09-23,3116
2020-09-24,3155
2020-09-25,3277
2020-09-26,3069
2020-09-27,3044
2020-09-28,3150
2020-09-29,3068
2020-09-30,3056
2020-10-01,2990
2020-10-02,3012
2020-10-03,3029
2020-10-04,3038
2020-10-05,3212
2020-10-06,3402
2020-10-07,3248
2020-10-08,3226
2020-10-09,3137
2020-10-10,3047
2020-10-11,2973
2020-10-12,3064
2020-10-13,3149
2020-10-14,3099
2020-10-15,3106
2020-10-16,3050
2020-10-17,2969
2020-10-18,3062
2020-10-19,3107
2020-10-20,3059
2020-10-21,3029
2020-10-22,3032
2020-10-23,3147
2020-10-24,3211
2020-10-25,3369
2020-10-26,3426
2020-10-27,4089
2020-10-28,3688
2020-10-29,3667
2020-10-30,3639
2020-10-31,3703
2020-11-01,3901
2020-11-02,4132
2020-11-03,3784
2020-11-04,3585
2020-11-05,3375
2020-11-06,3140
2020-11-07,2995
2020-11-08,2808
2020-11-09,2891
2020-11-10,2862
2020-11-11,2788
2020-11-12,2718
2020-11-13,2708
2020-11-14,2826
2020-11-15,2602
2020-11-16,2617
2020-11-17,2532
2020-11-18,2388
2020-11-19,2498
2020-11-20,2894
2020-11-21,2537
2020-11-22,2429
2020-11-23,2379
2020-11-24,2349
2020-11-25,2310
2020-11-26,2259
2020-11-27,2261
2020-11-28,2245
2020-11-29,2183
2020-11-30,2242
2020-12-01,2479
2020-12-02,2352
2020-12-03,2310
2020-12-04,2276
2020-12-05,2276
2020-12-06,2222
2020-12-07,2226
2020-12-08,2182
2020-12-09,2220
