date,bauxite sell
2020-08-25,5938
2020-08-26,5777
2020-08-27,5891
2020-08-28,5914
2020-08-29,5655
2020-08-30,5622
2020-08-31,5544
2020-09-01,5116
2020-09-02,5006
2020-09-03,4943
2020-09-04,4748
2020-09-05,4671
2020-09-06,4823
2020-09-07,5019
2020-09-08,5661
2020-09-09,5070
2020-09-10,4773
2020-09-11,4557
2020-09-12,4453
2020-09-13,4417
2020-09-14,4310
2020-09-15,4277
2020-09-16,4230
2020-09-17,4143
2020-09-18,4159
2020-09-19,4080
2020-09-20,4020
2020-09-21,4078
2020-09-22,4515
2020-09-23,4942
2020-09-24,4530
2020-09-25,4116
2020-09-26,3892
2020-09-27,3962
2020-09-28,3993
2020-09-29,4002
2020-09-30,4055
2020-10-01,3999
2020-10-02,3987
2020-10-03,3965
2020-10-04,4031
2020-10-05,4761
2020-10-06,4585
2020-10-07,4320
2020-10-08,4218
2020-10-09,4235
2020-10-10,4034
2020-10-11,4068
2020-10-12,4695
2020-10-13,4332
2020-10-14,4355
2020-10-15,4280
2020-10-16,4128
2020-10-17,3833
2020-10-18,4594
2020-10-19,4227
2020-10-20,3976
2020-10-21,3946
2020-10-22,3912
2020-10-23,3962
2020-10-24,3975
2020-10-25,4028
2020-10-26,3969
2020-10-27,4034
2020-10-28,3953
2020-10-29,4038
2020-10-30,4423
2020-10-31,4110
2020-11-01,3690
2020-11-02,4836
2020-11-03,3412
2020-11-04,3267
2020-11-05,3087
2020-11-06,3050
2020-11-07,2999
2020-11-08,3189
2020-11-09,3390
2020-11-10,3782
2020-11-11,3358
2020-11-12,3368
2020-11-13,3260
2020-11-14,3232
2020-11-15,3333
2020-11-16,3709
2020-11-17,3795
2020-11-18,3727
2020-11-19,3753
2020-11-20,3907
2020-11-21,3884
2020-11-22,3678
2020-11-23,3629
2020-11-24,3597
2020-11-25,3473
2020-11-26,3639
2020-11-27,3659
2020-11-28,3516
2020-11-29,3382
2020-11-30,3218
2020-12-01,3146
2020-12-02,3169
2020-12-03,2948
2020-12-04,2940
2020-12-05,2893
2020-12-06,2904
2020-12-07,2780
2020-12-08,2942
2020-12-09,2947
2020-12-10,2972
2020-12-11,2956
2020-12-12,2990
2020-12-13,3517
2020-12-14,3620
2020-12-15,3180
2020-12-16,2489
2020-12-17,2235
2020-12-18,2157
2020-12-19,2274
2020-12-20,2497
2020-12-21,2841
2020-12-22,3208
2020-12-23,3247
2020-12-24,3123
2020-12-25,3118
2020-12-26,3122
2020-12-27,3152
2020-12-28,3114
2020-12-29,3026
2020-12-30,2980
2020-12-31,2886
2021-01-01,2978
2021-01-02,3211
2021-01-03,3114
2021-01-04,2946
2021-01-05,2921
2021-01-06,3092
2021-01-07,3197
2021-01-08,3201
2021-01-09,3259
2021-01-10,3385
2021-01-11,3316
2021-01-12,3332
2021-01-13,3380
2021-01-14,3971
2021-01-15,3231
2021-01-16,3690
2021-01-17,3596
2021-01-18,3634
2021-01-19,3555
2021-01-20,3472
2021-01-21,3158
2021-01-22,3228
2021-01-23,3284
2021-01-24,3784
2021-01-25,3683
2021-01-26,3577
2021-01-27,3498
2021-01-28,3517
2021-01-29,3545
2021-01-30,3533
2021-01-31,3965
2021-02-01,4544
2021-02-02,4260
2021-02-03,4147
2021-02-04,4077
2021-02-05,4023
2021-02-06,3998
2021-02-07,3899
2021-02-08,3819
2021-02-09,3865
2021-02-10,3908
2021-02-11,3904
2021-02-12,4419
2021-02-13,4110
2021-02-14,4047
2021-02-15,4040
2021-02-16,3856
2021-02-17,3959
2021-02-18,3858
2021-02-19,4368
2021-02-20,3806
2021-02-21,3985
2021-02-22,3902
2021-02-23,3863
2021-02-24,3895
2021-02-25,4150
2021-02-26,3954
2021-02-27,3945
2021-02-28,3857
2021-03-01,3930
2021-03-02,4265
2021-03-03,4023
2021-03-04,4053
2021-03-05,4082
2021-03-06,4573
2021-03-07,4370
2021-03-08,4269
