date,coal sell
2020-08-25,5428
2020-08-26,5195
2020-08-27,4986
2020-08-28,4776
2020-08-29,4326
2020-08-30,4508
2020-08-31,4632
2020-09-01,4562
2020-09-02,4043
2020-09-03,4510
2020-09-04,4622
2020-09-05,4348
2020-09-06,4214
2020-09-07,4484
2020-09-08,4222
2020-09-09,4455
2020-09-10,4223
2020-09-11,4188
2020-09-12,4002
2020-09-13,3932
2020-09-14,3916
2020-09-15,4161
2020-09-16,4035
2020-09-17,4190
2020-09-18,3976
2020-09-19,3852
2020-09-20,3689
2020-09-21,3916
2020-09-22,4296
2020-09-23,4048
2020-09-24,3920
2020-09-25,3913
2020-09-26,3857
2020-09-27,3802
2020-09-28,3935
2020-09-29,3631
2020-09-30,3659
2020-10-01,3728
2020-10-02,3575
2020-10-03,3581
2020-10-04,3636
2020-10-05,3911
2020-10-06,4351
2020-10-07,4011
2020-10-08,3906
2020-10-09,3740
2020-10-10,3935
2020-10-11,3643
2020-10-12,3539
2020-10-13,3469
2020-10-14,3415
2020-10-15,3431
2020-10-16,3449
2020-10-17,3311
2020-10-18,3245
2020-10-19,3171
2020-10-20,3025
2020-10-21,2990
2020-10-22,2965
2020-10-23,2939
2020-10-24,3063
2020-10-25,3573
2020-10-26,3427
2020-10-27,3659
2020-10-28,3620
2020-10-29,4167
2020-10-30,4369
2020-10-31,4332
2020-11-01,3881
2020-11-02,3772
2020-11-03,3368
2020-11-04,3443
2020-11-05,2963
2020-11-06,2883
2020-11-07,2893
2020-11-08,3302
2020-11-09,3423
2020-11-10,3073
2020-11-11,2962
2020-11-12,2909
2020-11-13,3013
2020-11-14,3142
2020-11-15,3200
2020-11-16,2975
2020-11-17,3256
2020-11-18,2901
2020-11-19,3002
2020-11-20,3159
2020-11-21,3823
2020-11-22,3819
2020-11-23,3366
2020-11-24,3248
2020-11-25,3227
2020-11-26,3088
2020-11-27,3053
2020-11-28,2939
2020-11-29,2971
2020-11-30,2909
2020-12-01,2974
2020-12-02,3432
2020-12-03,3083
2020-12-04,3094
2020-12-05,2978
2020-12-06,3174
2020-12-07,3016
2020-12-08,2955
2020-12-09,3030
2020-12-10,3316
2020-12-11,3195
2020-12-12,3113
2020-12-13,3025
2020-12-14,3077
2020-12-15,3312
2020-12-16,3033
2020-12-17,2990
2020-12-18,2871
2020-12-19,2853
2020-12-20,2859
2020-12-21,2874
2020-12-22,2922
2020-12-23,3120
2020-12-24,3255
2020-12-25,3484
2020-12-26,3477
2020-12-27,3325
2020-12-28,3183
2020-12-29,3176
2020-12-30,3413
2020-12-31,3506
2021-01-01,3316
2021-01-02,3396
2021-01-03,3717
2021-01-04,3392
2021-01-05,3309
2021-01-06,3199
2021-01-07,3141
2021-01-08,3028
2021-01-09,3350
2021-01-10,3259
2021-01-11,3220
2021-01-12,3229
2021-01-13,3381
2021-01-14,3395
2021-01-15,3424
2021-01-16,3348
2021-01-17,3289
2021-01-18,3313
2021-01-19,3362
2021-01-20,3300
2021-01-21,3188
2021-01-22,3231
2021-01-23,3270
2021-01-24,3566
2021-01-25,3380
2021-01-26,3273
2021-01-27,3520
2021-01-28,3397
2021-01-29,3607
2021-01-30,3629
2021-01-31,3620
2021-02-01,4213
2021-02-02,3965
2021-02-03,3783
2021-02-04,3878
2021-02-05,3795
2021-02-06,3843
2021-02-07,3849
2021-02-08,3739
2021-02-09,3654
2021-02-10,3636
2021-02-11,3536
2021-02-12,3465
2021-02-13,3396
2021-02-14,3364
2021-02-15,3273
2021-02-16,3378
2021-02-17,3474
2021-02-18,3546
2021-02-19,3416
2021-02-20,3527
2021-02-21,3592
2021-02-22,3429
2021-02-23,3355
2021-02-24,3376
2021-02-25,3298
2021-02-26,3256
2021-02-27,3210
2021-02-28,3267
2021-03-01,3240
2021-03-02,3237
2021-03-03,3314
2021-03-04,3263
2021-03-05,3222
2021-03-06,3221
2021-03-07,3306
2021-03-08,3414
2021-03-09,3387
2021-03-10,3392
2021-03-11,3323
2021-03-12,3183
2021-03-13,3262
2021-03-14,3274
2021-03-15,3179
2021-03-16,3288
2021-03-17,3590
2021-03-18,3429
2021-03-19,3583
2021-03-20,3588
2021-03-21,3527
2021-03-22,3407
2021-03-23,3222
2021-03-24,3386
2021-03-25,3255
2021-03-26,3301
2021-03-27,3370
2021-03-28,3312
2021-03-29,3299
2021-03-30,3272
2021-03-31,3166
2021-04-01,3165
2021-04-02,3353
2021-04-03,3423
2021-04-04,3424
2021-04-05,3407
2021-04-06,3330
2021-04-07,3281
2021-04-08,3234
2021-04-09,3367
2021-04-10,3672
2021-04-11,4155
2021-04-12,3810
2021-04-13,3702
2021-04-14,3806
2021-04-15,3709
2021-04-16,3485
2021-04-17,3722
2021-04-18,3672
2021-04-19,3675
2021-04-20,3953
2021-04-21,3818
2021-04-22,3661
2021-04-23,4250
2021-04-24,3655
2021-04-25,4293
2021-04-26,3961
2021-04-27,3951
2021-04-28,4014
2021-04-29,3819
2021-04-30,3709
2021-05-01,3497
2021-05-02,3636
2021-05-03,3770
2021-05-04,3815
2021-05-05,3681
2021-05-06,3551
2021-05-07,3397
2021-05-08,3431
2021-05-09,3191
2021-05-10,3069
2021-05-11,3171
2021-05-12,3179
2021-05-13,3027
2021-05-14,3314
2021-05-15,3468
2021-05-16,3105
2021-05-17,3259
2021-05-18,3460
2021-05-19,3601
2021-05-20,3488
2021-05-21,3308
2021-05-22,3179
2021-05-23,3088
2021-05-24,3302
2021-05-25,3396
2021-05-26,3194
2021-05-27,3054
2021-05-28,3203
2021-05-29,2976
2021-05-30,3119
2021-05-31,2981
2021-06-01,2961
2021-06-02,2892
2021-06-03,3298
2021-06-04,3331
2021-06-05,3165
2021-06-06,3179
2021-06-07,3220
2021-06-08,3052
2021-06-09,3147
2021-06-10,3083
2021-06-11,3054
2021-06-12,2933
2021-06-13,2849
2021-06-14,2849
2021-06-15,2903
2021-06-16,2835
2021-06-17,3065
2021-06-18,2894
2021-06-19,2907
2021-06-20,3165
2021-06-21,3221
2021-06-22,3210
2021-06-23,3166
2021-06-24,3225
2021-06-25,3144
2021-06-26,3157
2021-06-27,3252
2021-06-28,3348
2021-06-29,3550
2021-06-30,3372
2021-07-01,3517
2021-07-02,3358
2021-07-03,3319
2021-07-04,3390
2021-07-05,3384
2021-07-06,3374
2021-07-07,3379
2021-07-08,3570
2021-07-09,3698
2021-07-10,3570
2021-07-11,3705
2021-07-12,3664
2021-07-13,4073
2021-07-14,3847
2021-07-15,3683
2021-07-16,3731
2021-07-17,3860
2021-07-18,3939
2021-07-19,3933
2021-07-20,3940
2021-07-21,4151
2021-07-22,3897
2021-07-23,3967
2021-07-24,4120
2021-07-25,3962
2021-07-26,3805
2021-07-27,3808
2021-07-28,3803
2021-07-29,3835
2021-07-30,4053
2021-07-31,3923
2021-08-01,4067
2021-08-02,4007
2021-08-03,4005
2021-08-04,3990
2021-08-05,3967
2021-08-06,3995
2021-08-07,4074
2021-08-08,4029
2021-08-09,3967
2021-08-10,3996
2021-08-11,3944
2021-08-12,3873
2021-08-13,3875
2021-08-14,3803
2021-08-15,3792
2021-08-16,3820
2021-08-17,3899
2021-08-18,3815
2021-08-19,3820
2021-08-20,3700
2021-08-21,3768
2021-08-22,3990
2021-08-23,3852
2021-08-24,3831
2021-08-25,3792
2021-08-26,3692
2021-08-27,3663
2021-08-28,3761
2021-08-29,3720
2021-08-30,3667
2021-08-31,3567
2021-09-01,3602
2021-09-02,3423
2021-09-03,3507
2021-09-04,3518
2021-09-05,3478
2021-09-06,3382
2021-09-07,3394
2021-09-08,3535
2021-09-09,3441
2021-09-10,3377
2021-09-11,3354
2021-09-12,3280
2021-09-13,3252
2021-09-14,3311
2021-09-15,3373
2021-09-16,3450
2021-09-17,3396
2021-09-18,3397
2021-09-19,3334
2021-09-20,3294
2021-09-21,3476
2021-09-22,3536
2021-09-23,3410
2021-09-24,3348
2021-09-25,3338
2021-09-26,3323
2021-09-27,3509
2021-09-28,3698
2021-09-29,3431
2021-09-30,3466
2021-10-01,3342
2021-10-02,3300
2021-10-03,3360
2021-10-04,3444
2021-10-05,3430
