date,credits sell
2020-08-25,28769340
2020-08-26,29316123
2020-08-27,28412281
2020-08-28,29334000
2020-08-29,28806365
2020-08-30,27637500
2020-08-31,27114478
2020-09-01,25178105
2020-09-02,25093689
2020-09-03,24263999
2020-09-04,24385702
2020-09-05,25442594
2020-09-06,24585074
2020-09-07,24151851
2020-09-08,23435642
2020-09-09,22899522
2020-09-10,23638094
2020-09-11,23449979
2020-09-12,23691899
2020-09-13,23401626
2020-09-14,23613434
2020-09-15,23142826
2020-09-16,22976057
2020-09-17,22997724
2020-09-18,22749997
2020-09-19,22749997
2020-09-20,23345618
2020-09-21,23685099
2020-09-22,23077754
2020-09-23,23187499
2020-09-24,22989499
2020-09-25,23073249
2020-09-26,22977926
2020-09-27,22999998
2020-09-28,22803286
2020-09-29,23401176
2020-09-30,23009571
2020-10-01,21934179
2020-10-02,22318072
2020-10-03,22043320
2020-10-04,22091229
2020-10-05,21671602
2020-10-06,21993899
2020-10-07,21993518
2020-10-08,21533475
2020-10-09,22005166
2020-10-10,22230296
2020-10-11,22876261
2020-10-12,22224268
2020-10-13,22598571
2020-10-14,22622110
2020-10-15,21195434
2020-10-16,22897066
2020-10-17,22896093
2020-10-18,22738308
2020-10-19,22596811
2020-10-20,21843237
2020-10-21,21694219
2020-10-22,22561699
2020-10-23,22805355
2020-10-24,22856299
2020-10-25,22845555
2020-10-26,23578290
2020-10-27,28189933
2020-10-28,26651767
2020-10-29,25318175
2020-10-30,26808023
2020-10-31,28047618
2020-11-01,25892698
2020-11-02,27258368
2020-11-03,26841956
2020-11-04,28122010
2020-11-05,27184235
2020-11-06,27283615
2020-11-07,27248250
2020-11-08,26368000
2020-11-09,26636226
2020-11-10,26952998
2020-11-11,25163181
2020-11-12,26124999
2020-11-13,24647999
2020-11-14,23288816
2020-11-15,26731738
2020-11-16,26878249
2020-11-17,26497499
2020-11-18,26467920
2020-11-19,26380317
2020-11-20,27517320
2020-11-21,28645473
2020-11-22,27699999
2020-11-23,27110776
2020-11-24,26635713
2020-11-25,26680907
2020-11-26,26957664
2020-11-27,26404373
2020-11-28,25451937
2020-11-29,24474772
2020-11-30,25072846
2020-12-01,24755865
2020-12-02,23243535
2020-12-03,24096942
2020-12-04,24092222
2020-12-05,23740849
2020-12-06,23093748
2020-12-07,23549999
2020-12-08,23609718
2020-12-09,23824995
2020-12-10,23657247
2020-12-11,23049999
2020-12-12,23516912
2020-12-13,20288333
2020-12-14,23471296
2020-12-15,23588072
2020-12-16,23035561
2020-12-17,23511150
2020-12-18,23469538
2020-12-19,23505799
2020-12-20,23210242
2020-12-21,23498655
2020-12-22,16907824
2020-12-23,23024337
2020-12-24,22869970
2020-12-25,22805470
2020-12-26,22236475
2020-12-27,22569787
2020-12-28,22148422
2020-12-29,21726315
2020-12-30,22028268
2020-12-31,22235780
2021-01-01,21630636
2021-01-02,21114343
2021-01-03,21276537
2021-01-04,21192274
2021-01-05,21243705
2021-01-06,20234884
2021-01-07,21554562
2021-01-08,21071066
2021-01-09,20764037
2021-01-10,21260292
2021-01-11,21162595
2021-01-12,21414208
2021-01-13,21482499
2021-01-14,21494579
2021-01-15,21516803
2021-01-16,21705454
2021-01-17,21319124
2021-01-18,19331128
2021-01-19,21088665
2021-01-20,20889799
2021-01-21,21053142
2021-01-22,21123800
2021-01-23,20574782
2021-01-24,21177172
2021-01-25,21104714
2021-01-26,21060672
2021-01-27,21182618
2021-01-28,21008181
2021-01-29,21212120
2021-01-30,19301309
2021-01-31,21131637
2021-02-01,20609807
2021-02-02,20668517
2021-02-03,21439258
2021-02-04,21533414
2021-02-05,21595240
2021-02-06,21290232
2021-02-07,21667487
2021-02-08,21943561
2021-02-09,21932110
2021-02-10,22496176
2021-02-11,22411982
2021-02-12,24380880
2021-02-13,25334285
2021-02-14,23499544
2021-02-15,22821808
2021-02-16,20357140
2021-02-17,22244274
2021-02-18,22880469
2021-02-19,22952658
2021-02-20,24707917
2021-02-21,23383331
2021-02-22,23199999
2021-02-23,23476189
2021-02-24,23322218
2021-02-25,22883768
2021-02-26,24149336
2021-02-27,26704997
2021-02-28,25386624
2021-03-01,23932043
2021-03-02,22061141
2021-03-03,21844386
2021-03-04,21695850
2021-03-05,22079768
2021-03-06,22598094
2021-03-07,22649998
2021-03-08,21471916
2021-03-09,22155555
2021-03-10,22155368
2021-03-11,22145250
2021-03-12,22671832
2021-03-13,22263874
2021-03-14,22351732
2021-03-15,22893693
2021-03-16,22335955
2021-03-17,21678666
2021-03-18,21695852
2021-03-19,22541404
2021-03-20,22926905
2021-03-21,23286659
2021-03-22,11961111
