date,gasoline sell
2020-08-25,5696
2020-08-26,5281
2020-08-27,5014
2020-08-28,4843
2020-08-29,4824
2020-08-30,4479
2020-08-31,4350
2020-09-01,4117
2020-09-02,4009
2020-09-03,3876
2020-09-04,3723
2020-09-05,3602
2020-09-06,3618
2020-09-07,3355
2020-09-08,3068
2020-09-09,3000
2020-09-10,3138
2020-09-11,3128
2020-09-12,3034
2020-09-13,3124
2020-09-14,3095
2020-09-15,3387
2020-09-16,3441
2020-09-17,3347
2020-09-18,3150
2020-09-19,3117
2020-09-20,2904
2020-09-21,2817
2020-09-22,2915
2020-09-23,2938
2020-09-24,3271
2020-09-25,3287
2020-09-26,3150
2020-09-27,3041
2020-09-28,3059
2020-09-29,3010
2020-09-30,2981
2020-10-01,3287
2020-10-02,3884
2020-10-03,3680
2020-10-04,3492
2020-10-05,3443
2020-10-06,3353
2020-10-07,3274
2020-10-08,3286
2020-10-09,3298
2020-10-10,3282
2020-10-11,3139
2020-10-12,3222
2020-10-13,3269
2020-10-14,3250
2020-10-15,3366
2020-10-16,3341
2020-10-17,3275
2020-10-18,3267
2020-10-19,3429
2020-10-20,3357
2020-10-21,3283
2020-10-22,3405
2020-10-23,3901
2020-10-24,3619
2020-10-25,3681
2020-10-26,3694
2020-10-27,4189
2020-10-28,3786
2020-10-29,3874
2020-10-30,4053
2020-10-31,4039
2020-11-01,4196
2020-11-02,4291
2020-11-03,4656
2020-11-04,4665
2020-11-05,4463
2020-11-06,4192
2020-11-07,4103
2020-11-08,4164
2020-11-09,4140
2020-11-10,5158
2020-11-11,4824
2020-11-12,4389
2020-11-13,4016
2020-11-14,3784
2020-11-15,3487
2020-11-16,3505
2020-11-17,3558
2020-11-18,3381
2020-11-19,3306
2020-11-20,3242
2020-11-21,3370
2020-11-22,3533
2020-11-23,3744
2020-11-24,3586
2020-11-25,3381
2020-11-26,3465
2020-11-27,3406
2020-11-28,3343
2020-11-29,3151
2020-11-30,3018
2020-12-01,2977
2020-12-02,3158
2020-12-03,3355
2020-12-04,3418
2020-12-05,3505
2020-12-06,3467
2020-12-07,3265
2020-12-08,3180
2020-12-09,3146
2020-12-10,3077
2020-12-11,2988
2020-12-12,3019
2020-12-13,2989
2020-12-14,2933
2020-12-15,2684
2020-12-16,2775
2020-12-17,2590
2020-12-18,2526
2020-12-19,2503
2020-12-20,2620
2020-12-21,2821
2020-12-22,3081
2020-12-23,3404
2020-12-24,3225
2020-12-25,3099
2020-12-26,3141
2020-12-27,3067
2020-12-28,2960
2020-12-29,2888
2020-12-30,2973
2020-12-31,2906
2021-01-01,2888
2021-01-02,3051
2021-01-03,3031
2021-01-04,2991
2021-01-05,2918
2021-01-06,2867
2021-01-07,2848
2021-01-08,2850
2021-01-09,2871
2021-01-10,2871
2021-01-11,2810
2021-01-12,2796
2021-01-13,2792
2021-01-14,2816
2021-01-15,2863
2021-01-16,2973
2021-01-17,2900
2021-01-18,2905
2021-01-19,3237
2021-01-20,3126
2021-01-21,2999
2021-01-22,3054
2021-01-23,3073
2021-01-24,2962
2021-01-25,2832
2021-01-26,2851
2021-01-27,2896
2021-01-28,3068
2021-01-29,3167
2021-01-30,3138
2021-01-31,3088
2021-02-01,3070
2021-02-02,2944
2021-02-03,2888
2021-02-04,2888
2021-02-05,2899
2021-02-06,2885
2021-02-07,2850
2021-02-08,3058
2021-02-09,3022
2021-02-10,3016
2021-02-11,3122
2021-02-12,3153
2021-02-13,3123
2021-02-14,3065
2021-02-15,3033
2021-02-16,3014
2021-02-17,3017
2021-02-18,2984
2021-02-19,2967
2021-02-20,2983
2021-02-21,3116
2021-02-22,3184
2021-02-23,3284
2021-02-24,3454
2021-02-25,3325
2021-02-26,3254
2021-02-27,3257
2021-02-28,3178
2021-03-01,3191
2021-03-02,3159
2021-03-03,3433
2021-03-04,3508
2021-03-05,3569
2021-03-06,3448
2021-03-07,3324
2021-03-08,3349
2021-03-09,3245
2021-03-10,3226
2021-03-11,3373
2021-03-12,3452
2021-03-13,3700
2021-03-14,3660
2021-03-15,3608
2021-03-16,3503
2021-03-17,3584
2021-03-18,3581
2021-03-19,3745
2021-03-20,3705
2021-03-21,3629
2021-03-22,3478
2021-03-23,3537
2021-03-24,3508
2021-03-25,3680
2021-03-26,3800
2021-03-27,3816
2021-03-28,3699
2021-03-29,3713
2021-03-30,3676
2021-03-31,4165
2021-04-01,3989
2021-04-02,3818
2021-04-03,3854
2021-04-04,3763
2021-04-05,3736
2021-04-06,3795
2021-04-07,3929
2021-04-08,3871
2021-04-09,3863
2021-04-10,3854
2021-04-11,4019
2021-04-12,4067
2021-04-13,3904
2021-04-14,4070
2021-04-15,3989
2021-04-16,3943
2021-04-17,3738
2021-04-18,3747
2021-04-19,3804
2021-04-20,3787
2021-04-21,3781
2021-04-22,3701
2021-04-23,3733
2021-04-24,3773
2021-04-25,3777
2021-04-26,3695
2021-04-27,3653
2021-04-28,3581
2021-04-29,3566
2021-04-30,3473
2021-05-01,3526
2021-05-02,3650
2021-05-03,3947
2021-05-04,3809
2021-05-05,3859
2021-05-06,3774
2021-05-07,3633
2021-05-08,3413
2021-05-09,3402
2021-05-10,3337
2021-05-11,3263
2021-05-12,3067
2021-05-13,3106
2021-05-14,3226
2021-05-15,3056
2021-05-16,3055
2021-05-17,3076
2021-05-18,2966
2021-05-19,3015
2021-05-20,3133
2021-05-21,3284
2021-05-22,3217
2021-05-23,3361
2021-05-24,3696
2021-05-25,3855
2021-05-26,3799
2021-05-27,3619
2021-05-28,3649
2021-05-29,3554
2021-05-30,3362
2021-05-31,3167
2021-06-01,3141
2021-06-02,3604
2021-06-03,3923
2021-06-04,3844
2021-06-05,3757
2021-06-06,3654
2021-06-07,3592
2021-06-08,3715
2021-06-09,3803
2021-06-10,3711
2021-06-11,3818
2021-06-12,3719
2021-06-13,3677
2021-06-14,3322
2021-06-15,3042
2021-06-16,2998
2021-06-17,3037
2021-06-18,2949
2021-06-19,2960
2021-06-20,2962
2021-06-21,3106
2021-06-22,3142
2021-06-23,3022
2021-06-24,3124
2021-06-25,3255
2021-06-26,3256
2021-06-27,3186
2021-06-28,3253
2021-06-29,3337
2021-06-30,3604
2021-07-01,3449
2021-07-02,3413
2021-07-03,3502
2021-07-04,3449
2021-07-05,3461
2021-07-06,3425
2021-07-07,3402
2021-07-08,3349
2021-07-09,3413
2021-07-10,3390
2021-07-11,3313
2021-07-12,3221
2021-07-13,3291
2021-07-14,3407
2021-07-15,3327
2021-07-16,3257
2021-07-17,3221
2021-07-18,3220
2021-07-19,3405
2021-07-20,3339
2021-07-21,3260
2021-07-22,3237
2021-07-23,3292
2021-07-24,3274
2021-07-25,3537
2021-07-26,3415
2021-07-27,3378
2021-07-28,3406
2021-07-29,3463
2021-07-30,3799
2021-07-31,3494
2021-08-01,3465
2021-08-02,3459
2021-08-03,3453
2021-08-04,3403
2021-08-05,3367
2021-08-06,3385
2021-08-07,3417
2021-08-08,3510
2021-08-09,3545
2021-08-10,3488
2021-08-11,3456
2021-08-12,3430
2021-08-13,3432
2021-08-14,3439
2021-08-15,3798
2021-08-16,3893
2021-08-17,3754
2021-08-18,3816
2021-08-19,3635
2021-08-20,3592
2021-08-21,3495
2021-08-22,3411
2021-08-23,3307
2021-08-24,3353
2021-08-25,3376
2021-08-26,3803
2021-08-27,3559
2021-08-28,3421
2021-08-29,3386
2021-08-30,3464
2021-08-31,3481
2021-09-01,3385
2021-09-02,3362
2021-09-03,3297
2021-09-04,3514
2021-09-05,3431
2021-09-06,3401
2021-09-07,3425
2021-09-08,3529
2021-09-09,3310
2021-09-10,3381
2021-09-11,3381
2021-09-12,3306
2021-09-13,3308
2021-09-14,3287
2021-09-15,3257
2021-09-16,3265
2021-09-17,3267
2021-09-18,3169
2021-09-19,3014
2021-09-20,2986
2021-09-21,3017
2021-09-22,3011
2021-09-23,3175
2021-09-24,3243
2021-09-25,3191
2021-09-26,3154
2021-09-27,3134
2021-09-28,3189
2021-09-29,3081
2021-09-30,3085
2021-10-01,3164
2021-10-02,3097
2021-10-03,3074
2021-10-04,3062
2021-10-05,3126
2021-10-06,3139
2021-10-07,3076
2021-10-08,3155
2021-10-09,3143
2021-10-10,3108
2021-10-11,3062
2021-10-12,3058
2021-10-13,3258
2021-10-14,3172
2021-10-15,3173
2021-10-16,3143
2021-10-17,3086
2021-10-18,3213
2021-10-19,3383
2021-10-20,3308
2021-10-21,3233
2021-10-22,3185
2021-10-23,3221
2021-10-24,3222
2021-10-25,3168
2021-10-26,3198
2021-10-27,3197
2021-10-28,3142
2021-10-29,3168
2021-10-30,3143
2021-10-31,3106
2021-11-01,3204
2021-11-02,3134
2021-11-03,3123
2021-11-04,3142
2021-11-05,3194
2021-11-06,3168
2021-11-07,3139
2021-11-08,3135
2021-11-09,3119
2021-11-10,3138
2021-11-11,3113
2021-11-12,3078
2021-11-13,3070
2021-11-14,3084
2021-11-15,3077
2021-11-16,3075
2021-11-17,3081
2021-11-18,3189
2021-11-19,3264
2021-11-20,3247
2021-11-21,3221
2021-11-22,3243
2021-11-23,3137
2021-11-24,3140
2021-11-25,3169
2021-11-26,3164
2021-11-27,3162
2021-11-28,3169
2021-11-29,3312
2021-11-30,3342
2021-12-01,3335
2021-12-02,3264
2021-12-03,3418
2021-12-04,3411
2021-12-05,3379
2021-12-06,3621
2021-12-07,3598
2021-12-08,3624
2021-12-09,3629
2021-12-10,3620
2021-12-11,3634
2021-12-12,3568
2021-12-13,3495
2021-12-14,3534
2021-12-15,3604
2021-12-16,3475
2021-12-17,3390
2021-12-18,3533
2021-12-19,3707
2021-12-20,3693
2021-12-21,3524
2021-12-22,3420
2021-12-23,3429
2021-12-24,3422
2021-12-25,3507
2021-12-26,3346
2021-12-27,3156
2021-12-28,3306
2021-12-29,3270
2021-12-30,3174
2021-12-31,3051
2022-01-01,3048
2022-01-02,3100
2022-01-03,3159
2022-01-04,3237
2022-01-05,3130
2022-01-06,3070
2022-01-07,3041
2022-01-08,3128
2022-01-09,3174
2022-01-10,3107
2022-01-11,3066
2022-01-12,3076
2022-01-13,3119
2022-01-14,3171
2022-01-15,3154
2022-01-16,3236
2022-01-17,3333
2022-01-18,3283
2022-01-19,3279
2022-01-20,3274
2022-01-21,3752
2022-01-22,3645
2022-01-23,3618
2022-01-24,3660
2022-01-25,3545
2022-01-26,3451
2022-01-27,3365
2022-01-28,3285
