date,iron sell
2020-08-25,5508
2020-08-26,5173
2020-08-27,5111
2020-08-28,5052
2020-08-29,4920
2020-08-30,4773
2020-08-31,4740
2020-09-01,4545
2020-09-02,4333
2020-09-03,4403
2020-09-04,4327
2020-09-05,4436
2020-09-06,4322
2020-09-07,4454
2020-09-08,4496
2020-09-09,4426
2020-09-10,4242
2020-09-11,4161
2020-09-12,4136
2020-09-13,4098
2020-09-14,4024
2020-09-15,3834
2020-09-16,3830
2020-09-17,3804
2020-09-18,3889
2020-09-19,3901
2020-09-20,3739
2020-09-21,3933
2020-09-22,4058
2020-09-23,4044
2020-09-24,3999
2020-09-25,3922
2020-09-26,3922
2020-09-27,4017
2020-09-28,4490
2020-09-29,3780
2020-09-30,3805
2020-10-01,4359
2020-10-02,3552
2020-10-03,3302
2020-10-04,3495
2020-10-05,3838
2020-10-06,3784
2020-10-07,3562
2020-10-08,3565
2020-10-09,3534
2020-10-10,3694
2020-10-11,3675
2020-10-12,4122
2020-10-13,3784
2020-10-14,3661
2020-10-15,3657
2020-10-16,3667
2020-10-17,3553
2020-10-18,3436
2020-10-19,3343
2020-10-20,3488
2020-10-21,3753
2020-10-22,3600
2020-10-23,3516
2020-10-24,3738
2020-10-25,3706
2020-10-26,4271
2020-10-27,4463
2020-10-28,3875
2020-10-29,4097
2020-10-30,4019
2020-10-31,3682
2020-11-01,3867
2020-11-02,3371
2020-11-03,3129
2020-11-04,3086
2020-11-05,2802
2020-11-06,2972
2020-11-07,3001
2020-11-08,3964
2020-11-09,3313
2020-11-10,3029
2020-11-11,3237
2020-11-12,3819
2020-11-13,3310
2020-11-14,3124
2020-11-15,3066
2020-11-16,2819
2020-11-17,3346
2020-11-18,3027
2020-11-19,2888
2020-11-20,2857
2020-11-21,3001
2020-11-22,3282
2020-11-23,2957
2020-11-24,2787
2020-11-25,2900
2020-11-26,2650
2020-11-27,3020
2020-11-28,3247
2020-11-29,3115
2020-11-30,2827
2020-12-01,2721
2020-12-02,2939
2020-12-03,2654
2020-12-04,2697
2020-12-05,2521
2020-12-06,2687
2020-12-07,2830
2020-12-08,2775
2020-12-09,2967
2020-12-10,2951
2020-12-11,2858
2020-12-12,2860
2020-12-13,2745
2020-12-14,2674
2020-12-15,2769
2020-12-16,2635
2020-12-17,2413
2020-12-18,2758
2020-12-19,2783
2020-12-20,2537
2020-12-21,2500
2020-12-22,2644
2020-12-23,3010
2020-12-24,2889
2020-12-25,3050
2020-12-26,3067
2020-12-27,3239
2020-12-28,3088
2020-12-29,3276
2020-12-30,3198
2020-12-31,3095
2021-01-01,3067
2021-01-02,3095
2021-01-03,3799
2021-01-04,3103
2021-01-05,2892
2021-01-06,2848
2021-01-07,3387
2021-01-08,3147
2021-01-09,3174
2021-01-10,3181
2021-01-11,3108
2021-01-12,3059
2021-01-13,3082
2021-01-14,3112
2021-01-15,3105
2021-01-16,3079
2021-01-17,3020
2021-01-18,2985
2021-01-19,2935
2021-01-20,2815
2021-01-21,2873
2021-01-22,2921
2021-01-23,3194
2021-01-24,2926
2021-01-25,2886
2021-01-26,2962
2021-01-27,3408
2021-01-28,3518
2021-01-29,3375
2021-01-30,3387
2021-01-31,3357
2021-02-01,3545
2021-02-02,3552
2021-02-03,3389
2021-02-04,3460
2021-02-05,3508
2021-02-06,3301
2021-02-07,3399
2021-02-08,3341
2021-02-09,3516
2021-02-10,3453
2021-02-11,3256
2021-02-12,3583
2021-02-13,3586
2021-02-14,3451
2021-02-15,3203
2021-02-16,3028
2021-02-17,3137
2021-02-18,3412
2021-02-19,3362
2021-02-20,3356
2021-02-21,3332
2021-02-22,3422
2021-02-23,3345
2021-02-24,3466
2021-02-25,3366
2021-02-26,3430
2021-02-27,3376
2021-02-28,3602
2021-03-01,3638
2021-03-02,3377
2021-03-03,3340
2021-03-04,3442
2021-03-05,3268
2021-03-06,3371
2021-03-07,3513
2021-03-08,3418
2021-03-09,3384
2021-03-10,3396
2021-03-11,3324
2021-03-12,3213
2021-03-13,3303
2021-03-14,3399
2021-03-15,3621
2021-03-16,3723
2021-03-17,3658
2021-03-18,3704
2021-03-19,4106
2021-03-20,4203
2021-03-21,3983
2021-03-22,3691
2021-03-23,3834
2021-03-24,3714
2021-03-25,3827
2021-03-26,3801
2021-03-27,4164
2021-03-28,3892
2021-03-29,3823
2021-03-30,3688
2021-03-31,3535
2021-04-01,3455
2021-04-02,4167
2021-04-03,4250
2021-04-04,3999
2021-04-05,4030
2021-04-06,3867
2021-04-07,3731
2021-04-08,3671
2021-04-09,3632
2021-04-10,3520
