date,lead sell
2020-08-25,5914
2020-08-26,5858
2020-08-27,5637
2020-08-28,5775
2020-08-29,5782
2020-08-30,5435
2020-08-31,5733
2020-09-01,5319
2020-09-02,5247
2020-09-03,4962
2020-09-04,4684
2020-09-05,4629
2020-09-06,4802
2020-09-07,4902
2020-09-08,4830
2020-09-09,4814
2020-09-10,4640
2020-09-11,4479
2020-09-12,4096
2020-09-13,4025
2020-09-14,4069
2020-09-15,3886
2020-09-16,3991
2020-09-17,3986
2020-09-18,3873
2020-09-19,3839
2020-09-20,3756
2020-09-21,3937
2020-09-22,4616
2020-09-23,4642
2020-09-24,4511
2020-09-25,4311
2020-09-26,4415
2020-09-27,4634
2020-09-28,4598
2020-09-29,4442
2020-09-30,4514
2020-10-01,4398
2020-10-02,4114
2020-10-03,3958
2020-10-04,3982
2020-10-05,4021
2020-10-06,3862
2020-10-07,4018
2020-10-08,4195
2020-10-09,4183
2020-10-10,4190
2020-10-11,4243
2020-10-12,4214
2020-10-13,4172
2020-10-14,4051
2020-10-15,4119
2020-10-16,3963
2020-10-17,3773
2020-10-18,3723
2020-10-19,3572
2020-10-20,3644
2020-10-21,3651
2020-10-22,3683
2020-10-23,3645
2020-10-24,3996
2020-10-25,4279
2020-10-26,4198
2020-10-27,4224
2020-10-28,5264
2020-10-29,5380
2020-10-30,4927
2020-10-31,4813
2020-11-01,4426
2020-11-02,4204
2020-11-03,4024
2020-11-04,4168
2020-11-05,3653
2020-11-06,3412
2020-11-07,3878
2020-11-08,4318
2020-11-09,4767
2020-11-10,4532
2020-11-11,4374
2020-11-12,4364
2020-11-13,4284
2020-11-14,4144
2020-11-15,4138
2020-11-16,4094
2020-11-17,5153
2020-11-18,4833
2020-11-19,4921
2020-11-20,4788
2020-11-21,5670
2020-11-22,4923
2020-11-23,4844
2020-11-24,4846
2020-11-25,4771
2020-11-26,4630
2020-11-27,4325
2020-11-28,4137
2020-11-29,4331
2020-11-30,4086
2020-12-01,3778
2020-12-02,3794
2020-12-03,3957
2020-12-04,3954
2020-12-05,4024
2020-12-06,4290
2020-12-07,4209
2020-12-08,4350
2020-12-09,4248
2020-12-10,4209
2020-12-11,4130
2020-12-12,4118
2020-12-13,3986
2020-12-14,3958
2020-12-15,3850
2020-12-16,3569
2020-12-17,3437
2020-12-18,3364
2020-12-19,3373
2020-12-20,3329
2020-12-21,3374
2020-12-22,3482
2020-12-23,3496
2020-12-24,3606
2020-12-25,3558
2020-12-26,3518
2020-12-27,3529
2020-12-28,3696
2020-12-29,4094
2020-12-30,4063
2020-12-31,4151
2021-01-01,4035
2021-01-02,3969
2021-01-03,3801
2021-01-04,3574
2021-01-05,3387
2021-01-06,3407
2021-01-07,3857
2021-01-08,3631
2021-01-09,3586
2021-01-10,3556
2021-01-11,3547
2021-01-12,3859
2021-01-13,3629
