date,munitions sell
2020-08-25,2865
2020-08-26,2763
2020-08-27,2736
2020-08-28,2688
2020-08-29,2810
2020-08-30,2782
2020-08-31,2648
2020-09-01,2603
2020-09-02,2403
2020-09-03,2358
2020-09-04,2384
2020-09-05,2383
2020-09-06,2340
2020-09-07,2259
2020-09-08,2103
2020-09-09,2131
2020-09-10,2549
2020-09-11,2271
2020-09-12,2245
2020-09-13,2074
2020-09-14,2073
2020-09-15,2051
2020-09-16,2050
2020-09-17,1999
2020-09-18,1965
2020-09-19,1962
2020-09-20,1942
2020-09-21,1947
2020-09-22,1963
2020-09-23,2144
2020-09-24,2277
2020-09-25,2068
2020-09-26,2050
2020-09-27,1995
2020-09-28,1977
2020-09-29,1943
2020-09-30,1893
2020-10-01,1903
2020-10-02,2072
2020-10-03,2017
2020-10-04,2031
2020-10-05,2030
2020-10-06,2154
2020-10-07,2153
2020-10-08,2091
2020-10-09,2031
2020-10-10,2044
2020-10-11,2045
2020-10-12,2036
2020-10-13,2341
2020-10-14,2290
2020-10-15,2194
2020-10-16,2126
2020-10-17,1983
2020-10-18,1927
2020-10-19,1934
2020-10-20,1969
2020-10-21,2112
2020-10-22,2139
2020-10-23,2409
2020-10-24,2385
2020-10-25,2367
2020-10-26,2518
2020-10-27,3194
2020-10-28,2829
2020-10-29,2733
2020-10-30,2707
2020-10-31,2699
2020-11-01,2696
2020-11-02,3134
2020-11-03,3106
2020-11-04,2938
2020-11-05,2899
2020-11-06,2712
2020-11-07,2593
2020-11-08,2690
2020-11-09,2669
2020-11-10,2595
2020-11-11,2526
2020-11-12,2348
2020-11-13,2259
2020-11-14,2219
2020-11-15,2126
2020-11-16,2148
2020-11-17,2598
2020-11-18,2276
2020-11-19,2212
2020-11-20,2120
2020-11-21,2077
2020-11-22,2088
2020-11-23,2390
2020-11-24,2471
2020-11-25,2238
2020-11-26,2178
2020-11-27,2152
2020-11-28,2022
2020-11-29,1976
2020-11-30,1943
2020-12-01,2128
2020-12-02,2336
2020-12-03,2179
2020-12-04,2131
2020-12-05,2132
2020-12-06,2079
2020-12-07,1959
2020-12-08,1942
2020-12-09,1858
2020-12-10,1841
2020-12-11,1830
2020-12-12,2015
2020-12-13,2322
2020-12-14,2056
2020-12-15,1800
2020-12-16,1747
2020-12-17,1725
2020-12-18,1686
2020-12-19,1684
2020-12-20,1722
2020-12-21,1925
2020-12-22,1855
2020-12-23,1949
2020-12-24,1856
2020-12-25,1836
2020-12-26,1805
2020-12-27,2040
2020-12-28,1920
2020-12-29,1881
2020-12-30,1911
2020-12-31,1874
2021-01-01,1822
2021-01-02,1769
2021-01-03,1782
2021-01-04,1804
2021-01-05,1934
2021-01-06,1817
2021-01-07,1794
2021-01-08,1764
2021-01-09,1731
2021-01-10,1709
2021-01-11,1694
2021-01-12,1718
2021-01-13,1781
2021-01-14,1766
2021-01-15,1895
2021-01-16,1882
2021-01-17,1882
2021-01-18,1834
2021-01-19,1853
2021-01-20,1867
2021-01-21,2006
2021-01-22,1913
2021-01-23,1846
2021-01-24,1837
2021-01-25,1805
2021-01-26,1818
2021-01-27,1718
2021-01-28,1884
2021-01-29,1872
2021-01-30,1805
2021-01-31,1810
2021-02-01,1822
2021-02-02,1807
2021-02-03,1782
2021-02-04,1783
2021-02-05,1758
2021-02-06,1778
2021-02-07,1766
2021-02-08,1779
2021-02-09,1763
2021-02-10,1823
2021-02-11,1793
2021-02-12,2045
2021-02-13,1872
2021-02-14,1806
2021-02-15,1745
2021-02-16,1795
2021-02-17,1859
2021-02-18,1919
2021-02-19,1841
2021-02-20,1805
2021-02-21,1807
2021-02-22,2073
2021-02-23,1969
2021-02-24,1948
2021-02-25,1939
2021-02-26,1916
2021-02-27,1911
2021-02-28,1895
2021-03-01,1926
2021-03-02,2008
2021-03-03,2166
2021-03-04,1866
2021-03-05,1967
2021-03-06,1982
2021-03-07,1958
2021-03-08,1952
2021-03-09,1942
2021-03-10,2027
2021-03-11,2157
2021-03-12,2047
2021-03-13,2098
2021-03-14,2109
2021-03-15,2003
2021-03-16,2068
2021-03-17,1891
2021-03-18,2087
2021-03-19,2210
2021-03-20,2168
2021-03-21,2185
2021-03-22,2137
2021-03-23,2141
2021-03-24,2213
2021-03-25,2336
2021-03-26,2238
2021-03-27,2188
2021-03-28,2171
2021-03-29,2173
2021-03-30,2149
2021-03-31,2132
2021-04-01,2164
2021-04-02,2273
2021-04-03,2336
2021-04-04,2252
2021-04-05,2216
2021-04-06,2136
2021-04-07,2254
2021-04-08,2508
2021-04-09,2333
2021-04-10,2283
2021-04-11,2297
2021-04-12,2290
2021-04-13,2469
2021-04-14,2503
2021-04-15,2449
2021-04-16,2398
2021-04-17,2317
2021-04-18,2246
2021-04-19,2249
2021-04-20,2257
2021-04-21,2315
2021-04-22,2172
2021-04-23,2116
2021-04-24,2081
2021-04-25,2071
2021-04-26,2075
2021-04-27,2068
2021-04-28,2056
2021-04-29,2031
2021-04-30,1989
2021-05-01,1955
2021-05-02,2075
2021-05-03,2438
2021-05-04,2346
2021-05-05,2321
2021-05-06,2228
2021-05-07,2428
2021-05-08,2045
2021-05-09,2013
2021-05-10,2015
2021-05-11,2043
2021-05-12,1994
2021-05-13,1925
2021-05-14,1916
2021-05-15,1867
2021-05-16,1840
2021-05-17,1751
2021-05-18,1772
2021-05-19,1987
2021-05-20,1940
2021-05-21,1912
2021-05-22,1945
2021-05-23,2144
2021-05-24,2111
2021-05-25,2264
2021-05-26,2293
2021-05-27,2255
2021-05-28,2172
2021-05-29,2117
2021-05-30,2031
2021-05-31,1998
2021-06-01,1813
2021-06-02,1931
2021-06-03,2057
2021-06-04,2405
2021-06-05,2395
2021-06-06,2230
2021-06-07,2172
2021-06-08,2126
2021-06-09,2093
2021-06-10,2041
2021-06-11,2085
2021-06-12,2175
2021-06-13,2041
2021-06-14,1803
2021-06-15,1714
2021-06-16,1874
2021-06-17,1903
2021-06-18,1898
2021-06-19,1912
2021-06-20,1876
2021-06-21,1868
2021-06-22,1953
2021-06-23,1949
2021-06-24,1958
2021-06-25,1939
2021-06-26,1988
2021-06-27,1996
2021-06-28,1918
2021-06-29,1871
2021-06-30,1901
2021-07-01,1912
2021-07-02,1909
2021-07-03,1968
2021-07-04,1923
2021-07-05,1930
2021-07-06,1969
2021-07-07,1953
2021-07-08,1900
2021-07-09,1895
2021-07-10,1931
2021-07-11,1950
2021-07-12,1917
2021-07-13,1991
2021-07-14,1968
2021-07-15,1980
2021-07-16,1962
2021-07-17,1923
2021-07-18,1918
2021-07-19,1893
2021-07-20,2009
2021-07-21,1987
2021-07-22,1978
2021-07-23,1998
2021-07-24,2029
2021-07-25,2016
2021-07-26,2006
2021-07-27,1952
2021-07-28,2012
2021-07-29,1981
2021-07-30,1965
2021-07-31,1983
2021-08-01,1978
2021-08-02,1932
2021-08-03,1944
2021-08-04,2024
2021-08-05,2065
2021-08-06,2125
2021-08-07,2121
2021-08-08,2114
2021-08-09,2104
2021-08-10,2113
2021-08-11,2088
2021-08-12,2069
2021-08-13,2029
2021-08-14,2102
2021-08-15,2246
2021-08-16,2345
2021-08-17,2327
2021-08-18,2312
2021-08-19,2191
2021-08-20,2155
2021-08-21,2114
2021-08-22,1991
2021-08-23,1967
2021-08-24,1954
2021-08-25,1957
2021-08-26,2066
2021-08-27,2022
2021-08-28,1949
2021-08-29,1914
2021-08-30,1916
2021-08-31,1917
2021-09-01,1956
2021-09-02,1914
2021-09-03,1913
2021-09-04,1975
2021-09-05,1923
2021-09-06,1914
2021-09-07,1896
2021-09-08,1897
2021-09-09,1894
2021-09-10,1877
2021-09-11,1894
2021-09-12,1838
2021-09-13,1847
2021-09-14,1857
2021-09-15,1837
2021-09-16,1843
2021-09-17,1839
2021-09-18,1863
2021-09-19,1742
2021-09-20,1803
2021-09-21,1843
2021-09-22,1801
2021-09-23,1817
2021-09-24,1819
2021-09-25,1885
2021-09-26,1844
2021-09-27,1797
2021-09-28,1826
2021-09-29,1806
2021-09-30,1769
2021-10-01,1790
2021-10-02,1840
2021-10-03,1838
2021-10-04,1864
2021-10-05,1850
2021-10-06,1928
2021-10-07,1866
2021-10-08,1830
2021-10-09,1828
2021-10-10,1827
2021-10-11,1877
2021-10-12,1928
2021-10-13,1892
2021-10-14,1875
2021-10-15,1848
2021-10-16,1841
2021-10-17,1832
2021-10-18,1822
2021-10-19,1817
2021-10-20,1797
2021-10-21,1902
2021-10-22,1815
2021-10-23,1851
2021-10-24,1925
2021-10-25,1949
2021-10-26,1903
2021-10-27,1914
2021-10-28,1932
2021-10-29,1930
2021-10-30,1915
2021-10-31,1898
2021-11-01,1881
2021-11-02,1832
2021-11-03,1870
2021-11-04,1885
2021-11-05,1884
2021-11-06,1885
2021-11-07,1941
2021-11-08,1926
2021-11-09,1896
2021-11-10,1888
2021-11-11,1877
2021-11-12,1874
2021-11-13,1880
2021-11-14,1894
2021-11-15,1958
2021-11-16,1848
2021-11-17,1820
2021-11-18,1856
2021-11-19,1900
2021-11-20,1868
2021-11-21,1886
2021-11-22,1917
2021-11-23,1936
2021-11-24,1937
2021-11-25,1913
2021-11-26,2001
2021-11-27,2030
2021-11-28,1913
2021-11-29,1954
2021-11-30,1944
2021-12-01,1937
2021-12-02,1903
2021-12-03,2053
2021-12-04,2000
2021-12-05,2001
2021-12-06,2055
2021-12-07,1978
2021-12-08,2039
2021-12-09,2075
2021-12-10,2092
2021-12-11,2052
2021-12-12,2098
2021-12-13,2174
2021-12-14,2138
2021-12-15,2075
2021-12-16,1999
2021-12-17,1955
2021-12-18,1943
2021-12-19,1982
2021-12-20,2262
2021-12-21,2044
2021-12-22,1997
2021-12-23,1983
2021-12-24,1962
2021-12-25,1929
2021-12-26,1881
2021-12-27,1868
2021-12-28,1869
2021-12-29,1866
2021-12-30,1800
2021-12-31,1809
2022-01-01,1822
2022-01-02,1821
2022-01-03,1812
2022-01-04,1842
2022-01-05,1799
2022-01-06,1795
2022-01-07,1799
2022-01-08,1824
2022-01-09,1835
2022-01-10,1834
2022-01-11,1821
2022-01-12,1862
2022-01-13,1937
2022-01-14,1976
2022-01-15,1988
2022-01-16,1965
2022-01-17,1921
2022-01-18,1897
2022-01-19,1951
2022-01-20,2085
2022-01-21,2296
2022-01-22,2082
2022-01-23,2098
2022-01-24,2161
2022-01-25,2093
2022-01-26,2036
2022-01-27,1941
2022-01-28,1929
2022-01-29,1982
2022-01-30,2086
2022-01-31,2049
2022-02-01,2036
2022-02-02,2027
2022-02-03,2027
2022-02-04,2011
2022-02-05,2015
2022-02-06,2092
2022-02-07,2107
2022-02-08,2100
2022-02-09,2040
2022-02-10,1986
2022-02-11,1976
2022-02-12,1944
2022-02-13,1921
2022-02-14,1945
2022-02-15,1895
2022-02-16,1939
2022-02-17,1972
2022-02-18,1946
2022-02-19,1934
2022-02-20,1913
2022-02-21,1852
2022-02-22,1861
2022-02-23,1900
