date,oil sell
2020-08-25,6145
2020-08-26,5754
2020-08-27,5525
2020-08-28,5546
2020-08-29,5374
2020-08-30,5354
2020-08-31,5091
2020-09-01,5078
2020-09-02,5051
2020-09-03,4906
2020-09-04,4869
2020-09-05,4816
2020-09-06,4858
2020-09-07,4640
2020-09-08,4463
2020-09-09,4260
2020-09-10,4131
2020-09-11,4205
2020-09-12,4109
2020-09-13,4110
2020-09-14,4005
2020-09-15,3969
2020-09-16,4081
2020-09-17,4580
2020-09-18,4219
2020-09-19,4062
2020-09-20,3934
2020-09-21,4006
2020-09-22,4059
2020-09-23,3803
2020-09-24,3859
2020-09-25,3842
2020-09-26,3864
2020-09-27,4694
2020-09-28,4246
2020-09-29,4030
2020-09-30,3822
2020-10-01,4055
2020-10-02,4006
2020-10-03,3827
2020-10-04,3794
2020-10-05,3837
2020-10-06,3583
2020-10-07,3540
2020-10-08,3622
2020-10-09,4249
2020-10-10,4201
2020-10-11,4129
2020-10-12,3887
2020-10-13,4046
2020-10-14,3757
2020-10-15,3636
2020-10-16,3379
2020-10-17,3301
2020-10-18,4211
2020-10-19,3403
2020-10-20,3209
2020-10-21,3160
2020-10-22,3080
2020-10-23,3083
2020-10-24,3047
2020-10-25,3196
2020-10-26,3376
2020-10-27,3121
2020-10-28,3065
2020-10-29,3107
2020-10-30,3508
2020-10-31,3672
2020-11-01,3540
2020-11-02,3274
2020-11-03,3102
2020-11-04,2902
2020-11-05,2968
2020-11-06,2951
2020-11-07,2882
2020-11-08,2735
2020-11-09,2740
2020-11-10,2836
2020-11-11,3295
2020-11-12,3220
2020-11-13,3161
2020-11-14,3256
2020-11-15,3197
2020-11-16,2963
2020-11-17,2985
2020-11-18,3023
2020-11-19,3051
2020-11-20,3000
2020-11-21,3159
2020-11-22,3028
2020-11-23,3070
2020-11-24,3043
2020-11-25,3388
2020-11-26,3131
2020-11-27,3078
2020-11-28,2991
2020-11-29,3033
2020-11-30,2854
2020-12-01,3037
2020-12-02,3447
2020-12-03,3074
2020-12-04,3123
2020-12-05,3199
2020-12-06,3204
2020-12-07,3151
2020-12-08,3127
2020-12-09,3128
2020-12-10,3202
2020-12-11,3064
2020-12-12,2951
2020-12-13,2917
2020-12-14,3048
2020-12-15,3387
2020-12-16,3007
2020-12-17,2927
2020-12-18,2838
2020-12-19,2875
2020-12-20,2933
2020-12-21,2951
2020-12-22,2958
2020-12-23,2953
2020-12-24,2934
2020-12-25,3276
2020-12-26,3273
2020-12-27,3038
2020-12-28,3037
2020-12-29,2866
2020-12-30,2868
2020-12-31,2914
2021-01-01,3222
2021-01-02,3439
2021-01-03,3435
2021-01-04,3590
2021-01-05,3577
2021-01-06,3381
2021-01-07,3370
2021-01-08,3252
2021-01-09,3231
2021-01-10,3175
2021-01-11,3108
2021-01-12,3122
2021-01-13,3824
2021-01-14,3848
2021-01-15,3774
2021-01-16,3525
2021-01-17,3424
2021-01-18,3372
2021-01-19,3394
2021-01-20,3356
2021-01-21,3841
2021-01-22,3936
2021-01-23,3761
2021-01-24,3575
2021-01-25,3714
2021-01-26,3616
2021-01-27,3685
2021-01-28,3924
2021-01-29,3785
2021-01-30,3845
2021-01-31,3937
2021-02-01,3863
2021-02-02,4062
2021-02-03,4020
2021-02-04,3987
2021-02-05,3822
2021-02-06,3768
2021-02-07,3895
2021-02-08,4112
2021-02-09,3874
2021-02-10,3847
2021-02-11,3830
2021-02-12,3630
2021-02-13,3390
2021-02-14,3659
2021-02-15,3703
2021-02-16,3669
2021-02-17,3473
2021-02-18,3352
2021-02-19,3262
2021-02-20,3365
2021-02-21,3403
2021-02-22,3517
2021-02-23,3578
2021-02-24,3602
2021-02-25,3488
2021-02-26,3519
2021-02-27,3536
2021-02-28,3561
2021-03-01,3640
2021-03-02,3628
2021-03-03,3571
2021-03-04,3305
2021-03-05,3333
2021-03-06,3427
2021-03-07,3546
2021-03-08,3682
2021-03-09,3786
2021-03-10,3794
2021-03-11,3685
2021-03-12,3635
2021-03-13,3660
2021-03-14,3810
2021-03-15,4186
2021-03-16,3972
2021-03-17,3986
2021-03-18,4519
2021-03-19,3994
2021-03-20,4254
2021-03-21,4275
2021-03-22,4023
2021-03-23,3964
2021-03-24,3836
2021-03-25,3862
2021-03-26,3745
2021-03-27,3924
2021-03-28,4219
2021-03-29,4178
2021-03-30,4247
2021-03-31,3971
2021-04-01,4608
2021-04-02,4019
2021-04-03,4075
2021-04-04,4158
2021-04-05,4142
2021-04-06,4043
2021-04-07,3814
2021-04-08,4083
2021-04-09,3930
2021-04-10,3918
2021-04-11,3774
2021-04-12,3917
2021-04-13,4038
2021-04-14,4056
