date,steel sell
2020-08-25,5731
2020-08-26,5524
2020-08-27,5453
2020-08-28,5552
2020-08-29,5638
2020-08-30,5513
2020-08-31,5266
2020-09-01,4963
2020-09-02,4644
2020-09-03,4515
2020-09-04,4303
2020-09-05,4377
2020-09-06,4405
2020-09-07,4320
2020-09-08,4116
2020-09-09,3979
2020-09-10,3925
2020-09-11,4052
2020-09-12,4225
2020-09-13,4136
2020-09-14,4174
2020-09-15,4235
2020-09-16,4040
2020-09-17,3932
2020-09-18,3936
2020-09-19,3941
2020-09-20,3969
2020-09-21,3926
2020-09-22,3911
2020-09-23,3875
2020-09-24,3987
2020-09-25,3879
2020-09-26,3834
2020-09-27,3616
2020-09-28,3544
2020-09-29,3684
2020-09-30,3631
2020-10-01,3695
2020-10-02,3785
2020-10-03,3835
2020-10-04,3768
2020-10-05,3807
2020-10-06,3791
2020-10-07,3687
2020-10-08,3741
2020-10-09,3751
2020-10-10,3720
2020-10-11,3724
2020-10-12,3620
2020-10-13,3721
2020-10-14,3700
2020-10-15,3714
2020-10-16,3753
2020-10-17,3841
2020-10-18,3908
2020-10-19,3822
2020-10-20,3800
2020-10-21,3842
2020-10-22,3809
2020-10-23,3925
2020-10-24,4001
2020-10-25,4093
2020-10-26,4705
2020-10-27,5244
2020-10-28,5359
2020-10-29,5379
2020-10-30,5727
2020-10-31,5927
2020-11-01,5776
2020-11-02,6068
2020-11-03,5789
2020-11-04,5641
2020-11-05,5592
2020-11-06,5476
2020-11-07,5310
2020-11-08,5417
2020-11-09,5439
2020-11-10,5301
2020-11-11,5208
2020-11-12,5185
2020-11-13,5071
2020-11-14,5033
2020-11-15,4972
2020-11-16,4940
2020-11-17,4787
2020-11-18,4374
2020-11-19,4326
2020-11-20,4315
2020-11-21,4312
2020-11-22,4249
2020-11-23,4275
2020-11-24,4263
2020-11-25,4249
2020-11-26,4140
2020-11-27,4092
2020-11-28,3935
2020-11-29,3835
2020-11-30,3838
2020-12-01,3691
2020-12-02,3962
2020-12-03,3814
2020-12-04,3771
