date,uranium sell
2020-08-25,5384
2020-08-26,4040
2020-08-27,3986
2020-08-28,4035
2020-08-29,3836
2020-08-30,7160
2020-08-31,3655
2020-09-01,3506
2020-09-02,3286
2020-09-03,3207
2020-09-04,3127
2020-09-05,3084
2020-09-06,3551
2020-09-07,3059
2020-09-08,3047
2020-09-09,2907
2020-09-10,2831
2020-09-11,2792
2020-09-12,2842
2020-09-13,3614
2020-09-14,2710
2020-09-15,2713
2020-09-16,2756
2020-09-17,2657
2020-09-18,2563
2020-09-19,2554
2020-09-20,2552
2020-09-21,2997
2020-09-22,2539
2020-09-23,2587
2020-09-24,3018
2020-09-25,2711
2020-09-26,2696
2020-09-27,2637
2020-09-28,3407
2020-09-29,3161
2020-09-30,3039
2020-10-01,2939
2020-10-02,2895
2020-10-03,2879
2020-10-04,2788
2020-10-05,2781
2020-10-06,2728
2020-10-07,2692
2020-10-08,2615
2020-10-09,2824
2020-10-10,3639
2020-10-11,3994
2020-10-12,4208
2020-10-13,3236
2020-10-14,3203
2020-10-15,3151
2020-10-16,3025
2020-10-17,3022
2020-10-18,4161
2020-10-19,3072
2020-10-20,2985
2020-10-21,3036
2020-10-22,2942
2020-10-23,3093
2020-10-24,3173
2020-10-25,3637
2020-10-26,3052
2020-10-27,3037
2020-10-28,2961
2020-10-29,3056
2020-10-30,3703
2020-10-31,3692
2020-11-01,6476
2020-11-02,3645
2020-11-03,3409
2020-11-04,2960
2020-11-05,2848
2020-11-06,2729
2020-11-07,2728
2020-11-08,2818
2020-11-09,2636
2020-11-10,2617
2020-11-11,2608
2020-11-12,2454
2020-11-13,2236
2020-11-14,5309
2020-11-15,2146
2020-11-16,2112
2020-11-17,2230
2020-11-18,2238
2020-11-19,2215
2020-11-20,2082
2020-11-21,2046
2020-11-22,2022
2020-11-23,2298
2020-11-24,2337
2020-11-25,2218
2020-11-26,2134
2020-11-27,2014
2020-11-28,2126
2020-11-29,1964
2020-11-30,1971
2020-12-01,2517
2020-12-02,2130
2020-12-03,2008
2020-12-04,1983
2020-12-05,1947
2020-12-06,1929
2020-12-07,1888
2020-12-08,1691
2020-12-09,1841
2020-12-10,1850
2020-12-11,1919
2020-12-12,1839
2020-12-13,1815
2020-12-14,1766
2020-12-15,1617
2020-12-16,1903
2020-12-17,3272
2020-12-18,1772
2020-12-19,1836
2020-12-20,2223
2020-12-21,1982
2020-12-22,1972
2020-12-23,2068
2020-12-24,2035
2020-12-25,1980
2020-12-26,1945
2020-12-27,1930
2020-12-28,2170
2020-12-29,2249
2020-12-30,2121
2020-12-31,1918
2021-01-01,1929
2021-01-02,1921
2021-01-03,1987
2021-01-04,2346
2021-01-05,2454
2021-01-06,2268
2021-01-07,2241
2021-01-08,2278
2021-01-09,2481
2021-01-10,2386
2021-01-11,2169
2021-01-12,2148
2021-01-13,2077
2021-01-14,3855
2021-01-15,1982
2021-01-16,2231
2021-01-17,2223
2021-01-18,2143
2021-01-19,2078
2021-01-20,2074
2021-01-21,2132
2021-01-22,2398
2021-01-23,2354
2021-01-24,2229
2021-01-25,2171
2021-01-26,2111
2021-01-27,2106
2021-01-28,2093
2021-01-29,2062
2021-01-30,2168
2021-01-31,2222
2021-02-01,2556
2021-02-02,2415
2021-02-03,2359
2021-02-04,2312
2021-02-05,2452
2021-02-06,2512
2021-02-07,2483
2021-02-08,2556
2021-02-09,2935
2021-02-10,2642
2021-02-11,2700
2021-02-12,2673
2021-02-13,2792
2021-02-14,2643
2021-02-15,2642
2021-02-16,2686
2021-02-17,2473
2021-02-18,2553
2021-02-19,2490
2021-02-20,2456
2021-02-21,2480
2021-02-22,2681
2021-02-23,2844
2021-02-24,2814
2021-02-25,2903
2021-02-26,2855
2021-02-27,2896
2021-02-28,2954
2021-03-01,2944
2021-03-02,2946
2021-03-03,3016
2021-03-04,2878
2021-03-05,2781
2021-03-06,2762
2021-03-07,2878
2021-03-08,2857
2021-03-09,3114
2021-03-10,3060
2021-03-11,3022
2021-03-12,2971
2021-03-13,2972
2021-03-14,2933
2021-03-15,2817
2021-03-16,2784
2021-03-17,2817
2021-03-18,3089
2021-03-19,3325
2021-03-20,3237
2021-03-21,3224
2021-03-22,3107
2021-03-23,3363
2021-03-24,3767
2021-03-25,3519
2021-03-26,3596
2021-03-27,3759
2021-03-28,3642
2021-03-29,3553
2021-03-30,3571
2021-03-31,3613
2021-04-01,3652
2021-04-02,3595
2021-04-03,3592
2021-04-04,3886
2021-04-05,3556
2021-04-06,3530
2021-04-07,3598
2021-04-08,3601
2021-04-09,3467
2021-04-10,3458
2021-04-11,3532
2021-04-12,3420
2021-04-13,3357
2021-04-14,3290
2021-04-15,3592
2021-04-16,4002
2021-04-17,3899
2021-04-18,3817
2021-04-19,3734
2021-04-20,3740
2021-04-21,3847
2021-04-22,3615
2021-04-23,3567
2021-04-24,3491
2021-04-25,3436
2021-04-26,3123
2021-04-27,3287
2021-04-28,3383
2021-04-29,3349
2021-04-30,3231
2021-05-01,3493
2021-05-02,3787
2021-05-03,3556
2021-05-04,3471
2021-05-05,3395
2021-05-06,3388
2021-05-07,3332
2021-05-08,3340
2021-05-09,3190
2021-05-10,2970
2021-05-11,2945
2021-05-12,3113
2021-05-13,3630
2021-05-14,3570
2021-05-15,3605
2021-05-16,3132
2021-05-17,3276
2021-05-18,3840
2021-05-19,3417
2021-05-20,3288
2021-05-21,3318
2021-05-22,3143
2021-05-23,3543
2021-05-24,3720
2021-05-25,3495
2021-05-26,3217
2021-05-27,3177
2021-05-28,3075
2021-05-29,2860
2021-05-30,3033
2021-05-31,3124
2021-06-01,2803
2021-06-02,3103
2021-06-03,3118
2021-06-04,3096
2021-06-05,3054
2021-06-06,3007
2021-06-07,2866
2021-06-08,2797
2021-06-09,2752
2021-06-10,2864
2021-06-11,3015
2021-06-12,2862
2021-06-13,2813
2021-06-14,2609
2021-06-15,2466
2021-06-16,2635
2021-06-17,2781
2021-06-18,3306
2021-06-19,2781
2021-06-20,2459
2021-06-21,2409
2021-06-22,2453
2021-06-23,2863
2021-06-24,2678
2021-06-25,2595
2021-06-26,2632
2021-06-27,2573
2021-06-28,2485
2021-06-29,2404
2021-06-30,2319
2021-07-01,2443
2021-07-02,2535
2021-07-03,2645
2021-07-04,2436
2021-07-05,2645
2021-07-06,2586
2021-07-07,2539
2021-07-08,2554
2021-07-09,2751
2021-07-10,3039
2021-07-11,3008
2021-07-12,2956
2021-07-13,2932
2021-07-14,2805
2021-07-15,2799
2021-07-16,2752
2021-07-17,2701
2021-07-18,2698
2021-07-19,2689
2021-07-20,2675
2021-07-21,2718
2021-07-22,2670
2021-07-23,2884
2021-07-24,2782
2021-07-25,2744
2021-07-26,2971
2021-07-27,2882
2021-07-28,2768
2021-07-29,2764
2021-07-30,2747
2021-07-31,2575
2021-08-01,2530
2021-08-02,2709
2021-08-03,2821
2021-08-04,2774
2021-08-05,2774
2021-08-06,2654
2021-08-07,2706
2021-08-08,2739
2021-08-09,2930
2021-08-10,2896
2021-08-11,3141
2021-08-12,3118
2021-08-13,2877
2021-08-14,2815
2021-08-15,2821
2021-08-16,3454
2021-08-17,3235
2021-08-18,3109
2021-08-19,2967
2021-08-20,2930
2021-08-21,2518
2021-08-22,2645
2021-08-23,2576
2021-08-24,2493
2021-08-25,2493
2021-08-26,2589
2021-08-27,2535
2021-08-28,2494
2021-08-29,2464
2021-08-30,2546
2021-08-31,2742
2021-09-01,2661
2021-09-02,2691
2021-09-03,2685
2021-09-04,2656
2021-09-05,2659
2021-09-06,2666
2021-09-07,2691
2021-09-08,3153
2021-09-09,3134
2021-09-10,2848
2021-09-11,2800
2021-09-12,2654
2021-09-13,2583
2021-09-14,2858
2021-09-15,3140
2021-09-16,2907
2021-09-17,2810
2021-09-18,2802
2021-09-19,2695
2021-09-20,2736
2021-09-21,2706
2021-09-22,2960
2021-09-23,3079
2021-09-24,2877
2021-09-25,2875
2021-09-26,2846
2021-09-27,2836
2021-09-28,3047
2021-09-29,3209
2021-09-30,3144
2021-10-01,2908
2021-10-02,2906
2021-10-03,3098
2021-10-04,3056
2021-10-05,3037
2021-10-06,3081
2021-10-07,3138
2021-10-08,3294
2021-10-09,3327
2021-10-10,3297
2021-10-11,3188
2021-10-12,3236
2021-10-13,3299
2021-10-14,3379
2021-10-15,3371
2021-10-16,3353
2021-10-17,3371
2021-10-18,3490
2021-10-19,3308
2021-10-20,3225
2021-10-21,3082
2021-10-22,3055
2021-10-23,3047
2021-10-24,3222
2021-10-25,3213
2021-10-26,3240
2021-10-27,3241
2021-10-28,3271
2021-10-29,3279
2021-10-30,2993
2021-10-31,2966
2021-11-01,2873
2021-11-02,2902
2021-11-03,2930
2021-11-04,3122
2021-11-05,3118
2021-11-06,3231
2021-11-07,3195
2021-11-08,3171
2021-11-09,3266
2021-11-10,3294
2021-11-11,3304
2021-11-12,3376
2021-11-13,3336
2021-11-14,3485
2021-11-15,3590
2021-11-16,3525
2021-11-17,3503
2021-11-18,3482
2021-11-19,3381
2021-11-20,3310
2021-11-21,3312
2021-11-22,3971
2021-11-23,3584
2021-11-24,3462
2021-11-25,3457
2021-11-26,3386
2021-11-27,3380
2021-11-28,3438
2021-11-29,3930
2021-11-30,3497
2021-12-01,3585
2021-12-02,3414
2021-12-03,3527
2021-12-04,3848
2021-12-05,3907
2021-12-06,3889
2021-12-07,3785
2021-12-08,4185
2021-12-09,4216
2021-12-10,4012
2021-12-11,3906
2021-12-12,3976
2021-12-13,3956
2021-12-14,3916
2021-12-15,3717
2021-12-16,3621
2021-12-17,3540
2021-12-18,3439
2021-12-19,3744
2021-12-20,4210
2021-12-21,3603
2021-12-22,3286
2021-12-23,3134
2021-12-24,3078
2021-12-25,3035
2021-12-26,2977
2021-12-27,2922
2021-12-28,2752
2021-12-29,3010
2021-12-30,2847
2021-12-31,2805
2022-01-01,2807
2022-01-02,2898
2022-01-03,2924
2022-01-04,2891
2022-01-05,2907
2022-01-06,3267
2022-01-07,3236
2022-01-08,3144
2022-01-09,3117
2022-01-10,3133
2022-01-11,3770
2022-01-12,3221
2022-01-13,3228
2022-01-14,3151
2022-01-15,3109
2022-01-16,3061
2022-01-17,3039
2022-01-18,2957
2022-01-19,3019
2022-01-20,3557
2022-01-21,3151
2022-01-22,3284
2022-01-23,3336
2022-01-24,3693
2022-01-25,3786
2022-01-26,3464
2022-01-27,3174
2022-01-28,3269
2022-01-29,3198
2022-01-30,3208
2022-01-31,3133
2022-02-01,3121
2022-02-02,3418
2022-02-03,3426
2022-02-04,3411
2022-02-05,3360
2022-02-06,3397
2022-02-07,3715
2022-02-08,3551
2022-02-09,3310
2022-02-10,3087
2022-02-11,3008
2022-02-12,2926
2022-02-13,2858
2022-02-14,2764
2022-02-15,2785
2022-02-16,2708
2022-02-17,2682
2022-02-18,2657
2022-02-19,2643
2022-02-20,2649
2022-02-21,2577
2022-02-22,2586
2022-02-23,2723
2022-02-24,2833
2022-02-25,2783
2022-02-26,2751
2022-02-27,2737
2022-02-28,2746
2022-03-01,2713
2022-03-02,2687
2022-03-03,2697
2022-03-04,2826
2022-03-05,3139
2022-03-06,2993
2022-03-07,2929
2022-03-08,2890
2022-03-09,2878
2022-03-10,2856
2022-03-11,2847
2022-03-12,2846
2022-03-13,2913
2022-03-14,3031
2022-03-15,2987
2022-03-16,2965
2022-03-17,2948
2022-03-18,2869
2022-03-19,2872
2022-03-20,2855
2022-03-21,2850
2022-03-22,2797
2022-03-23,2777
2022-03-24,2779
2022-03-25,2751
2022-03-26,2754
2022-03-27,2728
2022-03-28,2742
2022-03-29,2736
2022-03-30,2781
2022-03-31,2757
2022-04-01,2737
2022-04-02,2743
2022-04-03,2722
2022-04-04,2713
2022-04-05,2706
2022-04-06,2708
2022-04-07,2695
2022-04-08,2726
2022-04-09,2673
2022-04-10,2660
2022-04-11,2628
2022-04-12,2603
2022-04-13,2703
2022-04-14,2775
2022-04-15,2714
2022-04-16,2656
2022-04-17,2661
2022-04-18,2601
2022-04-19,2704
2022-04-20,2738
2022-04-21,2707
2022-04-22,2651
2022-04-23,2687
2022-04-24,2693
2022-04-25,2643
2022-04-26,2660
2022-04-27,2636
2022-04-28,2613
2022-04-29,2597
2022-04-30,2627
2022-05-01,2737
2022-05-02,2744
2022-05-03,2708
2022-05-04,2630
2022-05-05,2629
2022-05-06,2711
2022-05-07,2709
2022-05-08,2753
2022-05-09,2782
2022-05-10,2792
2022-05-11,2807
2022-05-12,2801
2022-05-13,2773
2022-05-14,2757
2022-05-15,2756
2022-05-16,2738
2022-05-17,2834
2022-05-18,2832
2022-05-19,2745
2022-05-20,2841
2022-05-21,2805
2022-05-22,2703
2022-05-23,2684
2022-05-24,2684
2022-05-25,2737
2022-05-26,2724
2022-05-27,2724
2022-05-28,2672
2022-05-29,2670
2022-05-30,2659
2022-05-31,2692
2022-06-01,2682
2022-06-02,2644
2022-06-03,2616
2022-06-04,2641
2022-06-05,2634
2022-06-06,2693
2022-06-07,2695
2022-06-08,2652
2022-06-09,2737
2022-06-10,2773
2022-06-11,2810
2022-06-12,2779
2022-06-13,2839
2022-06-14,2883
2022-06-15,2854
2022-06-16,2866
2022-06-17,2841
2022-06-18,2822
2022-06-19,2852
2022-06-20,2889
2022-06-21,2860
2022-06-22,2954
2022-06-23,2941
2022-06-24,2954
2022-06-25,2933
2022-06-26,2813
2022-06-27,2774
2022-06-28,2863
2022-06-29,2885
2022-06-30,2783
2022-07-01,2795
2022-07-02,2863
2022-07-03,2771
2022-07-04,2812
2022-07-05,2750
2022-07-06,2724
2022-07-07,2739
2022-07-08,2720
2022-07-09,2404
2022-07-10,2778
2022-07-11,2773
2022-07-12,2761
2022-07-13,2735
2022-07-14,2694
2022-07-15,2807
2022-07-16,2818
2022-07-17,2791
2022-07-18,2737
2022-07-19,2733
2022-07-20,2723
2022-07-21,2686
2022-07-22,2675
2022-07-23,2621
2022-07-24,2576
2022-07-25,2811
2022-07-26,2935
2022-07-27,2839
2022-07-28,2889
2022-07-29,2781
2022-07-30,2787
2022-07-31,2809
2022-08-01,3078
2022-08-02,2809
2022-08-03,2848
2022-08-04,2904
2022-08-05,2904
2022-08-06,2864
2022-08-07,2883
2022-08-08,2976
2022-08-09,3136
2022-08-10,3096
2022-08-11,2996
2022-08-12,3030
2022-08-13,3049
2022-08-14,3342
2022-08-15,3319
2022-08-16,3264
2022-08-17,3180
2022-08-18,3112
2022-08-19,3082
2022-08-20,3080
2022-08-21,3040
2022-08-22,2998
2022-08-23,2984
2022-08-24,2948
2022-08-25,3032
2022-08-26,3834
2022-08-27,3700
2022-08-28,3774
2022-08-29,3527
2022-08-30,3511
2022-08-31,3452
2022-09-01,3168
2022-09-02,3135
2022-09-03,3537
2022-09-04,3185
2022-09-05,3212
2022-09-06,3313
2022-09-07,3310
2022-09-08,3227
2022-09-09,3095
2022-09-10,3079
2022-09-11,3770
2022-09-12,3808
2022-09-13,3937
2022-09-14,3678
2022-09-15,3483
2022-09-16,3331
2022-09-17,3200
2022-09-18,3248
2022-09-19,3244
2022-09-20,3148
2022-09-21,3298
2022-09-22,3158
2022-09-23,3083
2022-09-24,3110
2022-09-25,3037
2022-09-26,3048
2022-09-27,3270
2022-09-28,3434
2022-09-29,3346
2022-09-30,3187
2022-10-01,3075
2022-10-02,3195
2022-10-03,3515
2022-10-04,3351
2022-10-05,3328
2022-10-06,3248
2022-10-07,3325
2022-10-08,3465
2022-10-09,3548
2022-10-10,3424
2022-10-11,3305
2022-10-12,3225
2022-10-13,3179
2022-10-14,3081
2022-10-15,3308
2022-10-16,3024
2022-10-17,3084
2022-10-18,3602
2022-10-19,3707
2022-10-20,3638
2022-10-21,3673
2022-10-22,3623
2022-10-23,3635
2022-10-24,3513
2022-10-25,3661
2022-10-26,3743
2022-10-27,3885
2022-10-28,3998
2022-10-29,3722
2022-10-30,3693
2022-10-31,3811
2022-11-01,3722
2022-11-02,3625
2022-11-03,3531
2022-11-04,3419
2022-11-05,3378
2022-11-06,3439
2022-11-07,3561
2022-11-08,3540
2022-11-09,3535
2022-11-10,3459
2022-11-11,3565
2022-11-12,3852
2022-11-13,3656
2022-11-14,3415
2022-11-15,3355
2022-11-16,3354
2022-11-17,3343
2022-11-18,3399
2022-11-19,3371
2022-11-20,3361
2022-11-21,3202
2022-11-22,3190
2022-11-23,3137
2022-11-24,3149
2022-11-25,3136
2022-11-26,3072
2022-11-27,3125
2022-11-28,3070
2022-11-29,3238
2022-11-30,3227
2022-12-01,3222
2022-12-02,3242
2022-12-03,3178
2022-12-04,4148
2022-12-05,3296
2022-12-06,3197
2022-12-07,3070
2022-12-08,2969
2022-12-09,3005
2022-12-10,3146
2022-12-11,3084
2022-12-12,3036
2022-12-13,2967
2022-12-14,2897
2022-12-15,2892
2022-12-16,2972
2022-12-17,2928
2022-12-18,2918
2022-12-19,2799
2022-12-20,2694
2022-12-21,2671
2022-12-22,2846
2022-12-23,2840
2022-12-24,2773
2022-12-25,2765
2022-12-26,2749
2022-12-27,2601
2022-12-28,2758
2022-12-29,2857
2022-12-30,2713
2022-12-31,2543
2023-01-01,2418
2023-01-02,2485
2023-01-03,2525
2023-01-04,2326
2023-01-05,2212
2023-01-06,2388
2023-01-07,2174
2023-01-08,2201
2023-01-09,2260
2023-01-10,2062
2023-01-11,2205
2023-01-12,2590
2023-01-13,2437
2023-01-14,2146
2023-01-15,2187
2023-01-16,2388
2023-01-17,2719
2023-01-18,2236
2023-01-19,2154
2023-01-20,2124
2023-01-21,2271
2023-01-22,2152
2023-01-23,2312
2023-01-24,2234
2023-01-25,2087
2023-01-26,2085
2023-01-27,2063
2023-01-28,2312
2023-01-29,2169
2023-01-30,2172
2023-01-31,2281
2023-02-01,2252
2023-02-02,2263
2023-02-03,2349
2023-02-04,2346
2023-02-05,2371
2023-02-06,2372
2023-02-07,2660
2023-02-08,2656
2023-02-09,2589
2023-02-10,2584
2023-02-11,2535
2023-02-12,2445
2023-02-13,2349
2023-02-14,2309
2023-02-15,2277
2023-02-16,2408
2023-02-17,2342
2023-02-18,2291
2023-02-19,2281
2023-02-20,2308
2023-02-21,2435
2023-02-22,2770
2023-02-23,2488
2023-02-24,2426
2023-02-25,2475
2023-02-26,2446
2023-02-27,2619
2023-02-28,2415
2023-03-01,2396
2023-03-02,2402
2023-03-03,2520
2023-03-04,2513
2023-03-05,2591
2023-03-06,2627
2023-03-07,2323
2023-03-08,2457
2023-03-09,2489
2023-03-10,2392
2023-03-11,2321
2023-03-12,2419
2023-03-13,2661
2023-03-14,2475
2023-03-15,2305
2023-03-16,2357
2023-03-17,2329
2023-03-18,2418
2023-03-19,2471
2023-03-20,2806
2023-03-21,2775
2023-03-22,2758
2023-03-23,2609
2023-03-24,2609
