date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,1000,5300,2725,0,5,339,3625,1609,138,0,0,560,0,1300,300,0,81,0,160,15,1285,14405,492,13808
2020-08-26,6803,86,1900,150,3350,10900,2000,1092,0,127252,0,0,0,700,100,200,3454,1705,2094,0,100,600,15900,3936
2020-08-27,10631,400,4600,300,921,500,0,50,0,815,100,700,0,7270,494,3500,9870,1372,295,18905,0,16,3000,2469
2020-08-28,300,7379,6055,902,0,1000,50,3250,4914,0,0,5098,247,0,800,4536,0,447,15,0,116,2456,2569,2000
2020-08-29,14700,7448,6908,1250,1170,4909,35,200,1700,8758,172,50,478,550,0,1868,1315,0,300,80,115,3700,0,1242
2020-08-30,400,505,3000,500,0,318,70,0,388,79,27851,0,4175,0,7000,260,17840,10000,0,0,9116,0,2800,1380
2020-08-31,9665,1001,1100,2000,176,0,2380,34362,1151,5000,3396,2607,0,0,3200,3207,20010,0,2200,17,90,7000,80,300
2020-09-01,7250,10520,0,7000,550,0,5200,9670,2802,0,9940,9600,32,0,1168,0,10010,5940,6000,30060,210,0,1286,12000
2020-09-02,10105,0,2000,195,0,24756,80,0,2561,415,534,1320,15080,2618,6146,1000,20900,12,3356,0,2000,1225,0,12570
2020-09-03,90,13428,38777,291,50,0,10920,460,0,1060,0,1985,570,0,1000,500,230,23829,1500,100,15537,1816,3700,2
2020-09-04,29798,11359,7373,0,10768,0,0,0,6000,0,100,11290,279,840,500,7850,5012,141,2774,82,0,1008,2164,3000
2020-09-05,1000,111,0,661,4305,4847,3300,2000,2338,129,5000,0,1222,0,4000,1545,3003,500,3200,4500,31400,530,2550,4100
2020-09-06,884,11191,100,937,0,14430,0,2830,0,411,0,0,28410,2080,250,0,6100,26650,22305,2939,3530,0,5650,600
2020-09-07,123,0,2885,3164,400,31,10075,0,10163,0,3078,1100,756,48464,722,26978,1416,160,232,41,52549,200,16310,21145
2020-09-08,4792,22471,15878,100,763,0,27313,3,0,5489,0,0,37,11344,536,3000,1246,2100,15,100,13309,200074,344,20
2020-09-09,1600,2771,355,0,0,3174,4500,500,617,600,0,0,122,30153,8483,7134,1151,17845,180,35,0,0,2000,0
2020-09-10,20,6845,4734,34488,0,16172,25000,0,0,0,19345,13673,15200,16911,0,399,875,0,5524,0,20,1294,200,5000
2020-09-11,1381,13200,0,1000,8402,0,500,0,0,0,0,3427,3007,0,0,4423,28085,0,6000,0,6400,0,0,0
2020-09-12,3000,900,2013,19071,0,1,700,8425,35000,1575,0,0,22599,0,1115,1285,0,852,6728,11009,30021,1300,73,6000
2020-09-13,0,6200,844,0,0,0,8390,732,8138,238,11000,77845,0,1500,50,2772,5894,24290,10,50,5,4002,0,9824
2020-09-14,150,0,10147,0,0,1600,0,0,0,7370,126,4642,7529,6249,4060,5,2000,300,0,0,5000,5540,0,3907
2020-09-15,0,1500,289,6000,80,2000,1125,14000,15,0,0,2570,10499,8000,3286,23,19000,3123,450,4600,10,6800,0,16000
2020-09-16,836,18,6345,120,150,8147,5,25,2900,0,1001,18570,3050,51436,1062,0,0,0,2051,11617,0,0,890,1219
2020-09-17,65,775,8231,222,0,7000,900,71,0,14425,25555,3094,15500,4500,10669,10038,1147,4183,1402,551,300,6107,0,3980
2020-09-18,25390,130,0,1028,0,300,16000,0,0,0,300,38,0,0,1291,6102,0,1684,10661,31339,0,4641,17900,2627
2020-09-19,0,250,850,300,75,3000,0,0,50,850,540,0,13014,3350,444,2063,22262,2271,360,1750,0,8034,0,901
2020-09-20,1000,3056,1000,5,11000,0,0,10000,700,50,48,6003,10598,11000,2096,14514,5999,0,20580,2000,9240,6900,15,0
2020-09-21,25107,2600,0,5000,171,9829,2310,0,24390,0,24061,2100,1348,10752,4398,6100,0,0,0,2168,0,3998,9423,0
2020-09-22,1011,2000,1656,760,2864,500,10015,0,0,0,5,40,4714,10467,20,4400,3000,0,12881,771,2260,0,0,1893
2020-09-23,5876,19785,78,0,0,0,750,25250,952,0,5600,5856,290,32201,0,170,0,5384,1000,0,14985,13000,0,7510
2020-09-24,6646,1500,80,1200,0,4000,0,0,1700,0,5900,7000,4000,3133,49915,0,0,11276,30,1000,2125,1206,1878,1378
2020-09-25,0,0,0,7500,0,26606,1879,0,2451,0,1112,3855,0,10790,21137,100,9081,0,0,0,0,4712,1400,4000
2020-09-26,10,4179,3500,4280,50,500,1042,3618,131,0,36387,0,684,0,3088,5000,7000,35903,12700,0,100,22000,15000,0
