date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,0,0,0,0,0,0,63,183,172,32,252,0,0,223,491,343,952,4665,550,1354,2269,268,1002,10781
2020-08-26,38,249,5225,82,0,1349,0,0,434,0,0,0,207,20,668,50,0,0,2,255,232,20,173,1030
2020-08-27,1372,0,464,0,602,85,116,0,197,166,0,0,90,0,322,410,493,208,446,98,6375,362,1500,0
2020-08-28,563,2079,255,11349,750,0,2,510,47,0,100,5300,724,0,2825,3907,0,133,626,129,86,1140,860,100
2020-08-29,5003,1404,385,0,15,98,15,835,354,0,0,370,1273,0,436,0,1354,611,297,1920,13382,0,83,360
2020-08-30,496,0,741,0,75,451,257,0,1883,0,4228,23984,0,100,0,100,0,30,103,0,0,5025,5,107
2020-08-31,1312,0,1494,54,53,0,60,236,215,447,0,11,80,712,24288,1420,1630,135,70,6366,0,95,1900,682
2020-09-01,2466,4,298,0,0,500,4,800,78,539,6,127,4488,0,55000,0,524,3372,241,301,60,106,1562,220
2020-09-02,3251,99,52,90,747,200,1000,21,150,265,41,0,1528,1066,300,540,818,757,5000,25033,15797,0,665,2340
2020-09-03,684,290,1390,380,1543,5000,2265,318,20,20,1308,0,599,61,0,1901,1377,192,6859,6693,39831,1190,1157,4400
2020-09-04,1059,174,288,0,975,0,17,95,0,90,0,1015,7499,552,2961,12646,601,521,250,286,0,172,727,730
2020-09-05,1141,1753,1591,2180,1574,100,0,0,484,1658,12668,970,635,208,634,5681,379,50,1570,12753,1464,536,208,257
2020-09-06,318,175,3407,40,20,65,1000,783,2425,42,0,40,848,26,0,1057,0,0,3119,95,0,54,100,297
2020-09-07,365,447,1745,0,100,65,808,0,264,0,1187,57,2,134,53,528,0,250,0,885,2065,335,253,0
2020-09-08,1729,2260,372,633,563,15,0,227,5000,0,35,1287,1841,437,11149,1200,2726,494,45642,500,1369,0,150,236
2020-09-09,525,1121,945,150,0,409,630,0,310,0,0,0,6777,2848,32,5732,286,6750,86,500,3168,0,20118,1932
2020-09-10,4646,589,181,350,292,116,449,85,2927,1300,313,29,1400,0,2400,172,907,10000,1321,300,416,42,817,0
2020-09-11,1095,298,363,1399,8597,249,141,0,0,2429,0,398,53,863,1616,4019,463,0,548,0,906,422,2852,6266
2020-09-12,188,8161,2453,63,271,867,0,448,1786,2700,210,0,1670,0,292,0,0,3490,568,115,82,0,0,2790
2020-09-13,2673,15011,118,0,0,3322,15,138,1906,788,2955,0,1891,0,420,2200,6,560,2334,404,980,300,145,48
2020-09-14,5231,50,75,1624,61,0,0,260,264,361,0,7379,200,50,8320,230,138,1371,19,4800,1000,889,5665,490
2020-09-15,2081,7713,400,20,1570,3717,0,0,2773,1064,0,0,3777,1177,1113,1837,550,10080,201,0,0,2662,25,11182
2020-09-16,379,1719,605,14,0,500,50,0,191,57800,1066,1156,6612,0,447,2628,7468,251,1129,0,211,302,600,2305
2020-09-17,806,0,0,1577,0,0,944,92,0,0,0,914,0,0,688,1354,120,364,936,250,1420,6558,754,3213
2020-09-18,0,525,2,421,2137,155,117,55,402,0,129,69,262,74,787,4420,150,357,696,160,20,0,2868,1300
2020-09-19,7018,0,0,50,50,439,859,20,255,756,0,0,157,545,3216,1167,2522,23,948,513,1401,0,0,36
2020-09-20,645,63,1000,0,11450,67,583,0,0,237,209,0,3211,2333,0,4795,10,0,1149,4042,0,0,1000,658
2020-09-21,1700,634,249,1612,4239,0,416,19,1793,0,7920,600,898,8500,1140,0,0,110,390,1268,0,4240,923,50
2020-09-22,1067,347,13006,602,0,284,0,0,0,15,698,0,100,1000,0,1600,4900,2200,1748,76,0,10,0,0
2020-09-23,1050,8423,50,1,6563,0,0,0,0,0,529,100,0,89,58,757,744,2000,1599,3920,0,1218,225,1928
2020-09-24,1697,0,0,561,0,0,225,0,0,300,233,0,602,250,10500,175,204,192,250,3415,4871,108,11643,1926
2020-09-25,5661,800,0,4234,136,816,733,524,82,0,1746,294,258,32595,2376,807,6168,0,471,168,1975,700,1500,800
2020-09-26,1711,1255,665,0,1613,0,121,0,1256,634,0,134,83,92,439,55,474,0,3048,3791,0,0,0,0
2020-09-27,11477,114,5130,107,71,0,3817,878,22,0,172,405,400,151,2217,200,1165,6043,4050,310,1131,2009,0,0
2020-09-28,0,70,51,0,6129,500,4405,136,0,0,627,1192,1024,83,0,156,173,535,1146,3383,0,65,0,225
2020-09-29,1797,0,7630,1259,681,1200,0,2187,0,0,116,386,443,400,0,4116,0,814,462,1286,577,905,2312,950
2020-09-30,0,14231,868,821,0,0,536,0,36,0,100,0,5719,0,25,30,5021,955,0,50,1712,0,133,0
2020-10-01,12742,2800,0,4482,423,3901,819,0,996,20000,0,848,1332,3833,3950,242,4279,1767,4,0,1617,121,350,53
