date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,0,0,0,196,204,0,2303,1449,0,28,5,0,232,199,3800,570,320,735,197,3380,766,1400,1721,429
2020-08-26,1507,738,100,1550,789,3338,33372,46,2808,450,0,1294,105,35,1501,0,1500,2705,214,5010,1587,782,324,3000
2020-08-27,539,2000,1448,509,102,44,497,1000,90,80,52,519,582,601,80,1441,9913,60,1694,2749,1318,119,1,93
2020-08-28,608,5731,299,16168,0,1400,413,0,105,31,2691,13890,411,300,27,3572,40,83,1793,15,283,0,1998,602
2020-08-29,2184,867,678,1338,96,38,0,500,944,76,327,225,2275,6052,2317,25,2739,182,85,500,5120,8204,12561,920
2020-08-30,621,294,697,1200,641,1706,127,0,744,939,2524,5959,18,395,290,253,1101,2120,1920,43,525,1614,599,0
2020-08-31,80,0,1375,98,3124,0,385,365,1609,5340,4794,404,4122,110,13636,0,200,2687,123,573,261,50,1814,704
2020-09-01,5487,1,144,285,258,150,597,413,614,6984,1895,3327,314,261,28,5227,773,0,819,11681,1,550,1897,221
2020-09-02,19636,263,467,0,1273,6200,382,6955,192,188,15,74,0,27,70,1170,3621,2697,1495,0,2003,0,511,889
2020-09-03,4275,3525,2298,885,382,0,641,801,330,1008,300,3013,7,1367,2167,90,3371,1461,2853,1017,2088,6,1537,4277
2020-09-04,226,459,2607,47,0,57,236,10,52353,400,31,2778,5,1802,26,900,800,100,2829,129,1287,12,5909,0
2020-09-05,12126,1363,311,0,138,218,1000,1138,966,2099,1779,901,758,227,3051,0,2826,2000,7702,2394,11580,6680,65,0
2020-09-06,0,570,5188,235,0,5500,30,4841,0,3279,11,798,6695,17,2862,0,2280,153,1066,5526,692,1763,2188,3300
2020-09-07,887,36,30,0,1174,88,23,50,1223,0,972,537,306,760,1772,9329,547,1280,56,1944,909,916,1849,0
2020-09-08,892,7172,2518,2484,0,1660,1055,908,1224,212,99,372,1411,6368,11757,994,5015,2265,35,0,485,92,107,2137
2020-09-09,1607,1500,2396,718,39,20,2059,0,627,0,210,0,2751,3854,738,427,6265,20,2740,242,4125,2449,119,9004
2020-09-10,1642,3189,3456,17,4732,148,4547,2185,78,0,0,1687,466,3087,4325,5705,156,224,22,1284,248,247,3,99
2020-09-11,20,0,9000,0,195,0,5585,0,0,0,20,850,6300,141,1355,1003,1479,250,5400,594,9255,5030,205,60
2020-09-12,0,621,580,1080,280,1551,569,102,0,107,490,0,24,150,2162,89,1911,1484,680,1570,299,20,77,20
2020-09-13,555,33323,10,100,7,875,909,1770,1024,25,2913,183,19,0,500,128,332,400,1959,256,10265,46,3649,1549
2020-09-14,6837,24,559,2170,695,5626,0,1637,0,6873,95,24,1011,4255,403,2617,895,1157,63,45,1583,3080,2423,75
2020-09-15,1849,555,900,270,1372,3794,273,119,0,1608,274,290,2231,367,812,109,4543,25,385,56,208,811,3077,17396
2020-09-16,1580,3000,2841,128,580,100,459,148,492,95,1654,2461,278,963,450,3463,0,231,100,162,380,1204,1888,0
2020-09-17,554,193,1621,5379,1932,0,1746,1177,0,0,15101,118,0,1052,414,0,1959,2411,450,1405,638,163,1017,3828
2020-09-18,1267,2376,231,244,102,1575,1116,1000,120,0,0,5000,596,4977,1978,9125,0,3832,5811,1482,1189,76,215,25
2020-09-19,197,1853,4174,0,121,25,320,182,966,3464,338,136,0,850,2305,1454,4568,1005,1646,1403,2504,279,0,205
2020-09-20,1906,195,0,859,23220,458,4532,1115,78,616,35,23,4208,1726,1083,509,1216,3300,810,7800,350,1009,883,338
2020-09-21,3789,733,98,21,1000,0,1341,2404,2367,2309,689,3200,295,536,1805,100,1471,173,725,976,510,841,223,92
2020-09-22,1822,324,25,0,0,529,60,1582,0,0,251,4310,1962,5000,37,15,4198,746,658,4339,1173,704,24,177
2020-09-23,2182,18359,2092,686,5447,0,0,324,22,1100,0,0,2286,0,629,1353,5793,2390,1386,576,0,5894,68,89
2020-09-24,2040,2010,300,101,25,1268,100,15055,668,2000,3013,1092,2537,617,1471,30,287,4512,2000,946,3064,1086,3243,0
2020-09-25,500,1381,2519,0,27606,531,1908,0,569,151,2354,510,473,140,2841,401,564,3037,3560,1240,3168,1129,5,2377
