date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,1694,45,1017,721,668,9540,673,416,8011,430,2493,889,1339,4351,3317,651,1583,612,353,859,1023,15,1346,219
2020-08-26,652,270,13,1647,460,5247,250,755,2179,784,174,2288,3326,20,1742,1112,123,2430,51,1101,3552,240,4756,253
2020-08-27,2102,11,4692,98,2459,0,6061,961,267,300,154,25197,0,114,122,1264,9066,381,1352,2908,10513,245,364,1030
2020-08-28,650,1616,436,57458,80,0,515,2487,882,0,34,0,453,191,0,426,9,771,1093,0,459,1015,4402,449
2020-08-29,388,333,426,0,1262,0,0,633,806,100,4374,2397,84,3238,1030,0,804,155,0,240,26260,2017,2942,653
2020-08-30,2834,1041,26,0,0,478,89,2202,805,520,1629,8119,1,1140,410,163,6189,1093,1081,2163,200,721,510,577
2020-08-31,1120,0,337,40,229,6785,227,897,1858,4279,2283,417,3494,425,24667,17,2161,418,129,1326,414,843,1481,594
2020-09-01,24,2,0,257,73,47718,0,1344,695,87,1536,2531,351,1061,100,3154,134,200,1231,1000,623,1869,2859,184
2020-09-02,1286,249,400,2000,307,4,1216,29,14,593,22,167,0,112,208,2341,3580,3380,2187,6156,4661,315,6662,1493
2020-09-03,6586,1174,0,618,395,2515,1290,506,414,11744,160,2501,4,650,713,600,7390,13389,2382,380,2916,281,6303,4801
2020-09-04,97,7268,1672,2706,45469,9248,96,92,1580,6493,224,164,70,1512,623,3369,1162,50,548,400,1129,0,1046,0
2020-09-05,1166,1064,577,2090,239,242,15,975,908,740,1230,638,1117,520,2398,100,8876,100,440,1455,1647,126,0,1155
2020-09-06,931,1560,7718,401,15,2098,2314,172,4008,1721,139,0,732,0,193,2447,2103,34,336,7358,572,335,0,6396
2020-09-07,4477,3,0,3891,2440,261,25,297,1942,435,13447,298,10270,4114,1798,2910,331,137,1686,3068,212,4493,400,0
2020-09-08,1007,6258,50,88,0,1300,21,216,21,844,87,1292,2223,22143,10624,22,3015,2518,500,7154,188,281,253,527
2020-09-09,1598,186,1759,12,19,30,500,0,368,7506,337,154,620,4745,2933,5210,4488,2617,1727,451,1299,1755,186,406
2020-09-10,10083,2355,3069,413,327,761,561,800,85,0,510,197,381,2952,2863,4184,514,738,118,3307,3430,280,1400,690
2020-09-11,2340,366,20,1010,3101,250,3,1009,3961,0,714,425,1626,20,325,1016,726,401,42,5825,654,30,2,54
2020-09-12,1540,386,580,0,451,1402,2203,92,0,107,1802,5,0,759,2260,137,2123,227,0,97,110,60,2,563
2020-09-13,4872,24068,5290,1640,1,126,454,492,795,136,10268,450,39,0,377,177,1001,0,439,850,37,787,0,6154
2020-09-14,9210,213,1105,4696,1713,2063,1551,551,80,312,100,2500,402,1164,1633,460,2936,2324,268,498,1109,7033,26,0
2020-09-15,2497,530,2841,369,1883,166,14,658,217,0,559,210,160,0,258,1000,5059,247,2208,569,36,3873,1423,18744
2020-09-16,1196,4481,16270,222,0,30,425,50,436,129,2261,715,255,445,506,409,638,964,3116,1275,100,1932,2591,1231
2020-09-17,2013,0,555,90,0,1850,467,263,720,613,275,374,46,960,19876,162,388,983,3640,33,489,497,650,231
2020-09-18,949,245,0,487,132,0,259,49,266,300,0,3466,964,272,2016,9011,0,963,1304,3181,1457,2322,221,191
2020-09-19,405,426,1511,1989,321,151,234,431,747,0,43,809,40,2134,3366,1628,2698,509,6207,1381,1919,617,1013,172
2020-09-20,12134,267,0,2005,26169,484,797,1794,2734,8049,2127,177,4805,1271,293,88,80,154,4032,1050,1101,852,338,2545
2020-09-21,1560,1060,3578,98,755,29,60,1020,3193,0,612,1108,412,184,200,128,5889,106,768,1413,619,2213,2668,5247
