date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,0,0,61,54,970,220,140,254,500,100,135,489,600,572,2655,2140,1227,1314,166,48,130,921,848,0
2020-08-26,656,5519,17162,140,0,1000,0,139,1021,72,2,686,175,1300,152,0,68,1432,33,84,2363,0,3864,546
2020-08-27,430,3,138,272,12,535,2067,0,252,50,73,2470,0,130,435,532,10261,135,167,0,0,182,362,0
2020-08-28,3415,1401,114,12060,0,0,119,209,305,832,33,0,132,627,89,645,43,213,678,206,181,135,1504,118
2020-08-29,0,3389,2963,1319,27,60,0,645,992,161,148,860,9,1800,1109,0,351,247,8,100,0,1162,3894,295
2020-08-30,10706,89,152,1840,0,2849,1500,215,395,270,209,1410,0,93,4000,5502,207,0,931,178,2800,357,4728,153
2020-08-31,399,0,86,60,100,0,556,1469,1513,0,2370,115,3348,140,21157,700,0,727,60,1119,373,60,3004,100
2020-09-01,64662,156,797,0,500,460,0,544,94,5002,85,0,156,0,6676,322,1823,80,1148,590,472,10000,2066,442
2020-09-02,4078,730,783,0,804,2882,1982,0,848,314,5,1060,294,1463,137,31902,5341,5917,6571,1137,6456,0,400,266
2020-09-03,1212,131,6429,399,2451,3500,3730,122,55,5249,44,2038,117,857,0,1220,2855,136,4212,40,16048,0,4,8202
2020-09-04,13473,272,814,28,0,8548,55,95,0,121,160,421,436,297,338,4876,678,50,1060,69,164,475,1243,535
2020-09-05,0,2991,4758,5393,827,271,0,405,105,120,4494,74,1497,1479,298,0,140,1100,1563,1743,114,137,749,50
2020-09-06,700,0,2270,1500,0,0,3492,108,615,1067,1034,0,1725,76,171,0,70,153,1314,4603,196,233,2000,2690
2020-09-07,2009,3,3510,0,1800,247,2382,5700,4,408,454,694,15551,569,1440,70937,2805,0,75,1573,392,1400,1894,673
2020-09-08,237,4660,1612,2456,306,2010,55,551,398,854,105,0,2909,243,7687,307,594,628,262,0,1236,1983,800,952
2020-09-09,1677,5263,818,633,514,99,940,0,275,3500,571,99,5547,12,1530,68,1719,33,1740,376,9561,221,259,0
2020-09-10,35,1971,3444,54,967,62,263,318,0,0,545,276,0,2237,4779,2370,264,0,0,867,1582,473,2754,366
2020-09-11,500,163,791,0,90,11030,107,0,0,2799,0,533,771,20,150,288,60,6002,7335,1258,1614,118,0,0
2020-09-12,0,58,2434,4890,1134,1945,138,140,0,0,12064,0,1500,0,322,1000,12244,679,308,16,5,42,0,0
2020-09-13,13,14371,7450,15,0,1235,3,67,666,0,2857,3442,37,2000,2044,2000,107,0,2108,0,247,250,105,800
2020-09-14,202,0,0,930,2035,0,68,156,0,139,0,107,0,18867,1555,99,1776,26,1150,0,0,4500,6,0
2020-09-15,26,26,900,90,1257,4300,300,7330,2396,0,344,1152,10,0,1000,2027,0,245,1194,413,113,2724,535,10290
2020-09-16,70,3527,48,498,100,0,1597,403,10,450,196,0,70,897,1035,1165,835,280,836,0,0,2000,6715,200
2020-09-17,24,187,6,366,0,3227,1000,1649,0,0,0,1324,0,180,1687,0,180,40,500,754,300,500,1400,2090
2020-09-18,384,100,0,207,0,1000,450,0,670,2050,0,57,6754,17,3067,379,4304,292,1419,584,703,200,0,0
2020-09-19,79,515,0,1075,430,36,0,0,1055,248,0,52,5690,3312,1304,966,5515,150,0,406,0,209,0,0
2020-09-20,1200,6424,309,0,16245,2204,2805,900,3050,489,1250,0,2433,0,747,1600,128,0,2520,852,0,1202,2000,247
2020-09-21,313,340,33,1210,97,0,26,920,2411,1320,411,62,782,399,2176,383,0,1831,600,18370,1834,0,500,220
2020-09-22,528,308,0,13589,12,4527,4650,2335,0,800,2,627,183,300,0,639,2211,2070,1088,970,0,54,640,0
2020-09-23,904,10412,0,0,2079,1015,270,2145,510,0,0,146,0,250,280,697,279,995,1110,897,1982,589,0,326
2020-09-24,704,34,1300,0,0,1313,100,0,96,1738,100,0,807,297,953,84,186,2033,20183,204,7645,148,580,27
2020-09-25,15488,0,1190,95,44,1917,75,0,524,516,333,0,4120,770,210,1368,915,150,506,731,247,310,0,55
2020-09-26,390,24,1895,10409,711,0,1586,0,4592,248,800,98,936,1429,3930,123,12472,0,1605,0,0,3837,0,75
2020-09-27,140,650,5630,2041,15,200,3005,2570,1794,1250,1604,196,5000,81,198,2432,3972,0,54,3046,657,0,0,3651
2020-09-28,0,0,168,95,426,115,2266,131,32,495,2088,623,85,115,135,913,1865,0,7258,350,656,2317,0,189
2020-09-29,1243,0,602,859,1361,46,1350,0,1375,469,500,0,642,2445,0,1000,6766,218,1414,9375,0,0,1122,2
2020-09-30,90,14413,51,517,0,2167,26,0,114,0,192,350,2227,0,4345,0,0,2043,0,66,806,0,1252,0
