date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,1048,86,1500,3000,398,6919,582,0,0,35,637,0,1200,1385,422,2445,215,1126,2874,1004,3621,332,502,4324
2020-08-26,5631,76,2376,475,270,1,29099,15,400,189,0,1428,1293,1022,2927,992,0,3030,7066,1246,1530,1035,5805,2622
2020-08-27,8323,1779,999,1540,3134,0,405,0,528,2,412,1525,294,700,2202,1000,3697,0,1680,418,1660,673,977,1203
2020-08-28,1289,1887,5093,30312,80,55,1398,2739,1441,1158,10,84,3040,345,0,615,255,228,7677,1675,126,707,777,1823
2020-08-29,1465,4478,1908,5010,216,0,1291,2384,0,112,778,480,494,572,0,50,2078,273,2367,943,35819,250,975,150
2020-08-30,2184,70,7033,1000,105,224,1219,2961,3953,184,10,40511,0,8889,0,5607,71,2342,5,0,0,1293,790,810
2020-08-31,2023,1250,134,1812,14,0,906,358,74,4040,0,342,616,1032,60155,20,527,7364,88,7975,10,75,1425,1752
2020-09-01,45903,0,944,723,0,14,1669,1929,2163,308,510,253,936,332,1000,1070,10957,260,257,2957,253,51,2584,4316
2020-09-02,2516,126,5139,830,333,21237,1781,1114,5422,273,2208,25,2094,2149,3551,3176,1459,3931,200,2134,5296,0,915,3600
2020-09-03,1430,2754,11244,1819,3534,0,1184,103,108,3575,1163,3185,867,140,710,613,7417,14,78,383,10871,258,431,1658
2020-09-04,13013,362,6900,101,133,2600,298,2131,475,5641,3419,196,1369,706,4232,1885,8,407,10675,346,3583,233,0,627
2020-09-05,2842,2783,8635,6767,1024,2010,15,375,603,1177,6173,107,7954,231,3013,50547,1732,2039,8972,1387,1388,648,4424,0
2020-09-06,141,527,16780,533,340,19203,213,515,3792,1319,230,0,909,142,354,4256,236,1540,1694,7093,4937,7009,7716,138
2020-09-07,616,3890,5335,1759,30,2,1423,280,4327,60,1913,0,474,2496,51,670,70,381,3043,2826,611,598,950,519
2020-09-08,3679,6970,1312,10,50,84,1823,2995,827,206,71,826,892,20824,21529,2777,491,377,12,0,1415,344,2,1984
2020-09-09,2283,9014,1995,637,305,30,46,210,824,9490,47,716,2923,5289,7299,1881,223,0,1591,133,5092,35,223,6316
2020-09-10,4807,1839,553,100,1291,4486,565,1110,1800,33,87,2731,850,1984,216,2393,1446,201,665,2302,372,788,311,730
2020-09-11,1078,146,500,0,47,12943,88,25,3970,900,953,296,2097,0,1920,2118,1992,0,156,1,450,0,821,611
2020-09-12,2137,160,4628,560,556,3457,1168,3515,10,273,1742,100,3019,1272,225,14065,1211,5648,262,118,624,90,0,0
2020-09-13,89,29522,8156,1685,0,182,4698,1000,893,0,160,130,2217,10593,795,1971,3010,326,1000,1188,19051,4127,3347,3019
2020-09-14,6063,362,769,500,4362,2942,1174,1432,12013,5364,2626,1605,789,1821,12454,15,537,4260,96,300,0,3940,1130,1362
2020-09-15,2207,2006,3521,21,1594,8344,52,942,52,675,1327,132,334,2947,1674,0,8400,8090,8105,0,0,2052,1437,17870
2020-09-16,662,3335,340,519,0,1041,4210,75,1032,0,2056,345,1676,49,88,1513,481,179,2035,70,0,947,1661,240
2020-09-17,3854,0,10,1631,200,10780,1562,675,5630,0,15487,1043,62,1009,2748,1989,83,5488,1185,877,5284,8556,993,4176
2020-09-18,8004,221,10,269,5134,291,2380,273,0,0,387,0,619,20,6877,2010,65,209,2102,14242,1068,1,399,1024
2020-09-19,1145,1903,420,2859,13460,1598,1279,379,0,220,11834,9401,210,0,2620,3365,4474,572,1028,3366,1071,0,0,4
2020-09-20,3821,6184,65,313,20289,3725,1100,833,12233,802,565,104,5442,1636,406,804,115,6889,5672,2822,0,58,1530,492
