date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,0,3083,752,2296,250,11903,1522,0,615,271,0,469,2746,193,514,1020,1634,26162,2394,424,570,37995,206,7702
2020-08-26,7211,1199,4650,38,5008,7800,0,1983,0,33727,21,0,14819,0,21193,7000,1271,3858,1347,21000,5481,327,490,191
2020-08-27,100,0,1270,0,29288,0,18,0,104,0,0,2015,0,3360,2143,3299,15764,118,536,400,1000,2967,536,2023
2020-08-28,4400,291,7359,4000,2941,1500,0,2250,6850,129,738,633,0,4307,350,938,7500,119,146,877,35,249,0,0
2020-08-29,4916,288,3747,2275,131981,0,378,605,26,4661,1338,0,0,340,0,987,1070,1930,5005,2756,0,0,30,307
2020-08-30,1000,24,4604,904,0,280,0,2200,333,22887,28,0,1235,400,124,189,200,701,7881,570,49860,400,3228,13
2020-08-31,2589,2000,178,50000,0,0,57,23606,8829,7075,4824,738,189,15638,1708,13718,69361,628,748,800,2133,4500,108,336
2020-09-01,15349,15000,0,7100,19893,20,2400,100,1516,1281,23173,164,1524,0,43712,0,10005,46,3702,290,7245,0,1063,15045
2020-09-02,20000,2220,4205,0,0,1985,908,2778,4000,722,1237,557,0,158,8265,2882,28500,15300,9970,42000,3977,0,0,500
2020-09-03,21398,82741,16,2527,1000,0,750,899,5000,1820,5000,0,4111,3050,3058,500,30583,20224,5500,1800,601,8524,600,1209
2020-09-04,41687,2050,347,2314,26108,0,0,0,0,0,773,2100,50,26415,537,3399,3546,451,5882,394,764,8227,7,22643
2020-09-05,3000,13987,1000,6000,3737,5448,0,1108,3124,38,42,430,0,1500,2720,2000,31,323,4480,8178,12600,14320,12240,1082
2020-09-06,1764,35915,827,115,0,31800,0,70,2559,5359,15377,0,1999,0,1444,250,850,36215,21810,1700,500,244,0,114
2020-09-07,1635,1259,18251,22292,2994,156240,2966,0,13000,59,0,10923,2079,38000,2700,4335,1,1648,1555,2,300,1200,15055,13592
2020-09-08,1000,3877,79,12668,0,1100,400,426,4840,0,284,12399,10,10347,5968,1676,410,4895,2083,2165,325,0,5000,5818
2020-09-09,3713,1250,7100,0,6658,245,5795,2911,506,227,0,2500,30,44246,8040,0,3013,174,6884,260,69,886,22667,4600
2020-09-10,1800,3450,27000,56576,18072,4014,3500,0,1598,258,11583,1537,16365,5941,1296,466,476,4055,10,479,3720,23,117,11000
2020-09-11,605,24000,0,1416,0,0,2000,339,2000,0,223,2281,780,2000,12216,1680,41050,1260,0,349,0,1680,0,0
2020-09-12,5320,0,0,2069,0,0,3146,2387,0,0,100,0,10200,3950,0,0,0,7198,257,0,3796,11525,0,1489
2020-09-13,3000,1800,5000,10300,1943,20694,9772,131,998,3300,129,122679,170,4576,535,4231,4000,870,6260,7871,1305,617,441,15500
2020-09-14,0,0,220,0,0,3108,1000,106952,607,198,0,5035,6000,913,4383,4949,600,7556,13300,0,3642,2099,41943,187466
2020-09-15,115,1000,477,1724,0,11040,1170,2189,6000,0,100,35,15200,170,5340,420,2006,10594,200,3478,0,300,1500,157811
2020-09-16,5628,1510,760,1558,0,0,0,0,600,3197,3472,1109,560,39949,120,12,3,500,400,1030,900,0,12162,5550
2020-09-17,11,300,345,2729,0,3000,0,2000,0,0,30000,890,600,2992,1815,26968,12283,6554,8614,16510,4604,6582,200,2500
2020-09-18,20326,699,5335,10050,0,23,2534,100,1037,0,150,522,40,7641,488,2785,3726,645,7589,6443,1345,277,2638,3971
2020-09-19,2470,4500,1513,7938,0,0,0,70,0,1000,410,31153,428,17009,10947,13553,1721,4540,32608,130,1171,3800,0,2581
2020-09-20,15191,19506,0,1000,1000,1104,6129,4000,1000,483,0,0,4752,4253,0,29000,2232,20,18540,12240,429,1568,20,227875
2020-09-21,2250,0,82,523,6,0,475,0,10000,16539,838,290,145,3500,12478,100200,128,3855,2607,0,0,267,2689,23422
2020-09-22,2360,1370,12839,464,1000,0,10100,1095,0,2615,1814,0,124,0,157,3135,1027,211900,7307,3003,1391,775,0,1591
2020-09-23,1778,440,2500,200,672,0,53,10388,0,0,6000,5604,541,40,9,0,3121,0,14030,21,18502,1802,12900,1000
2020-09-24,7638,1391,3400,2016,1021,0,614,150,0,0,257,2000,485,680,18,0,25934,8000,7100,515,118,8525,10010,558
2020-09-25,1222,500,0,103804,500,15061,6355,1500,807,129,3804,1300,10188,42566,131094,566,2818,2102,1558,22996,51934,19,19383,2608
2020-09-26,7294,1300,2900,4520,90,0,859,0,0,419,21076,0,8633,1800,900,903,9182,0,2020,23306,0,525,26977,1590
2020-09-27,700,8865,2200,0,3000,2,7220,5317,1414,2014,0,2312,400,1273,38009,30595,1610,0,21923,10400,1000,9274,200,0
2020-09-28,1154,10421,650,0,0,3210,31008,48,757,18932,9453,75,1331,0,4500,0,37350,29223,675,808,5925,8,8,5000
2020-09-29,1064,250,3047,0,0,1159,0,1630,15224,0,10,10000,13,0,64068,0,2537,6476,100,42,4221,25,0,1925
2020-09-30,3720,4700,1380,1400,1632,10378,10000,860,500,35,60,56,2180,8532,1049,0,5289,585,1011,68300,30,0,96,0
2020-10-01,8190,171,0,2847,100,22058,92,4300,147,0,34,220,1279,10371,5117,1463,4486,27,4340,1522,934,1000,850,4090
2020-10-02,0,10288,3156,0,6000,24489,7050,160,226,200,1718,3000,1734,13266,29,100,0,16671,500,16375,1573,3155,81,4356
2020-10-03,53,19488,191473,739,200,24769,0,0,100,14215,134,0,8,18016,3015,70,625,26,702,1059,302,2900,12987,0
2020-10-04,23,2524,6593,21267,0,450,50,1700,50,0,1599,10710,1014,541,2570,4100,27000,6049,5000,0,1500,15185,827,37701
2020-10-05,4005,3829,11,45,580,2000,59,450,12008,4000,24347,2025,1826,1223,14,11689,397,12,515,1076,0,3487,200,0
2020-10-06,1900,0,818,0,195,0,16181,1680,0,60,463,96,209,3000,7075,0,19,0,20260,0,1898,21,58,69
2020-10-07,163,41143,15410,20040,24130,1513,5000,1500,1159,12500,7610,21416,1100,2202,94,5000,20243,2686,125,3000,641,0,0,2000
2020-10-08,2200,820,41,1300,2207,0,0,0,1823,0,1251,23745,177,250,0,13,5040,0,25000,9862,283,378,1033,10
2020-10-09,216,4831,0,1721,14080,25,6102,2000,0,0,0,300,15,800,16367,309,2931,942,730,187,9000,266,0,2000
2020-10-10,3807,205,0,489,0,523,1060,7568,3032,515,0,30,0,0,31449,3900,2184,551,0,0,1163,0,0,475
2020-10-11,0,0,560,3450,2500,0,10068,17000,2800,0,1600,1430,320,26932,1150,2379,30010,1034,1766,30,3616,223,31,2300
2020-10-12,159,4550,2419,0,0,0,5168,30,14140,0,0,10832,10484,6516,1545,5,26,633,150,20,455,45,1017,200
2020-10-13,443,8130,347,0,0,5000,0,0,0,0,1340,48169,2000,9468,0,12332,200,2350,872,3701,80,0,0,1300
2020-10-14,240,1405,0,25,423,15795,1000,31982,912,788,2400,1500,428,999,4788,300,28,11000,3274,25443,1879,2410,380,184
2020-10-15,6185,100,0,8883,242,13278,5400,0,30,4970,0,2300,3420,24017,2326,1802,0,9323,900,11134,0,20,72,48
2020-10-16,21,8800,0,50,1029,13037,932,200,2100,0,2059,152,3000,2500,215,50107,2219,150,487,1000,24000,950,149,13962
2020-10-17,1245,2090,0,0,5020,3,3178,13127,0,150,0,700,680,2000,1151,4045,2305,2317,0,3496,0,1311,119,0
2020-10-18,98,6143,16946,15409,0,2000,10100,0,1342,11700,2073,550,1160,4648,5300,0,3794,4264,2300,3234,0,15604,3141,2500
2020-10-19,0,2900,500,5000,2320,0,25,300,0,10429,43071,1856,2501,11714,32685,10055,29285,40301,4300,5493,4247,0,716,150
2020-10-20,13407,3624,13090,0,11362,100000,11312,6649,1000,0,924,0,17780,1617,700,0,5500,0,261,3331,441,350,23081,489
2020-10-21,3600,2001,201,76,43,877,500,5881,0,0,11139,0,1000,376,10930,3843,3625,3,0,6046,7389,17774,100,300
2020-10-22,8281,0,23901,739,0,222,250,4585,538,0,1,6100,2830,0,904,5504,1808,1800,7870,0,0,3702,0,0
2020-10-23,553,200,417,300,0,2000,14814,916,383,0,474,30,4854,11757,30194,26315,23497,16000,3582,12071,1600,1000,4119,0
2020-10-24,0,0,1500,0,1976,4000,22791,1070,0,946,0,11134,3000,10432,2513,561,3336,1000,539,2425,5000,900,0,2900
2020-10-25,500,904,9386,1301,300,0,792,700,3207,0,2000,0,22719,1121,891,404,2856,415,0,100205,535,6830,0,3014
2020-10-26,342,5100,1875,8,0,4596,203,4002,1272,105,7377,1000,0,1054,1730,2398,6000,10000,1119,0,255,2500,3844,2000
2020-10-27,2000,1730,20170,6400,0,0,1400,1,2654,600,3900,10128,9000,10885,200,0,59,3543,9434,355,102,100,1147,19330
2020-10-28,1375,3071,10078,0,0,12,0,0,820,20,7000,0,379,3000,5221,7483,579,0,581,16390,0,13948,6000,1693
2020-10-29,9000,11720,2627,2780,468,0,0,500,0,0,0,178,42474,180,35,6142,4915,6559,1012,19116,4541,1339,0,224
2020-10-30,3500,400,0,1289,0,0,0,0,1000,10000,0,105,400,0,50,8930,1321,0,6025,4120,438,20672,7025,12750
2020-10-31,9800,130,600,2000,1836,7500,40168,0,30,0,1000,0,1329,103,0,2005,1402,1139,1079,6000,824,9812,0,680
2020-11-01,1000,24900,1225,2410,9100,0,0,0,0,462,700,0,2300,2350,900,180,1200,27100,2884,110,2017,2972,136,500
2020-11-02,745,0,731,750,50,1500,10518,1951,6600,317,1500,0,100,100,1318,541,59,708,3545,7936,60,3068,966,1219
2020-11-03,0,30,1700,0,20,150,71,7720,100250,127,8014,1000,0,15607,0,253,0,5206,1353,49929,0,20000,0,1350
