date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,0,0,3005,0,200,3000,45,110,24,0,960,0,1000,483,1161,260,337,180,90,0,3359,0,418,4154
2020-08-26,717,200,140,100,0,5760,176,3627,3826,800,100,100,745,15,5194,0,18249,447,332,290,749,3077,324,5
2020-08-27,4200,1000,1300,2,2728,0,691,3009,401,749,2153,100,0,1274,306,6000,0,0,456,595,1759,14,71,0
2020-08-28,1255,2051,361,17194,355,5349,20,578,1645,0,0,0,661,200,634,200,0,1250,9250,1000,850,10297,0,0
2020-08-29,12560,345,6,15,6000,400,4030,1,0,0,14,13010,2272,121,0,0,9667,0,1000,0,135,192,1000,470
2020-08-30,2514,0,100,423,54,5000,78,0,1000,596,3000,3800,0,904,165,0,3976,1182,0,0,2875,10035,1588,0
2020-08-31,1347,600,83,4,1317,500,105,218,0,14,0,0,8331,852,2607,0,806,0,72,5796,517,1400,372,979
2020-09-01,6962,0,5702,1000,1820,9080,5600,1300,96,21500,122,10,1100,266,87,5313,11600,20,500,0,4345,1300,5000,3000
2020-09-02,7112,23,400,225,25,693,0,0,0,2300,47,1608,75,6000,1355,5686,5043,2172,1040,1061,186,3000,0,3502
2020-09-03,796,1000,1843,66723,4600,542,3289,266,0,68,8,17,0,16388,4407,700,1640,150,2139,42,1222,0,6362,9125
2020-09-04,4892,8425,9974,3000,0,400,825,1000,0,1500,1000,300,77,50,1873,0,525,9695,12190,700,0,0,4319,3300
2020-09-05,1507,1633,19508,539,4165,3783,0,3444,197,1224,325,600,80,200,794,7393,0,0,12599,3500,1078,347,2760,487
2020-09-06,539,640,8011,0,0,0,1000,0,1070,1523,5000,0,361,0,0,3406,498,8019,0,0,3100,0,2142,451
2020-09-07,2300,0,130,0,190,1404,21,501,1257,0,292,100,0,500,1000,2541,5016,4500,406,6616,1800,0,2003,1100
2020-09-08,1900,26031,86,464,759,0,651,116,133,0,0,1275,3200,2000,5119,0,42,4800,4750,10220,238,1000,1900,12
2020-09-09,1135,1764,11689,49,165,1586,0,0,147,0,0,0,2286,6000,673,1000,1791,14226,1080,148,315,889,26,7085
2020-09-10,5862,262,646,2565,8175,4880,0,19,0,205,300,130,1513,0,500,485,1008,4114,64,89,0,0,1750,5473
2020-09-11,850,3761,0,1400,1050,0,730,0,4770,0,0,360,2817,0,0,211,1311,0,15,575,2131,560,670,8000
2020-09-12,1972,0,39,1200,0,1454,7675,515,276,5945,315,100,5777,0,10926,0,0,1599,350,1650,381,0,10200,218
2020-09-13,46,28998,0,2000,2000,7400,1659,392,700,0,102,0,2418,0,0,0,42716,96,0,67,40,3326,522,4422
2020-09-14,3637,43,0,820,43,6697,49,163,326,45,67,5000,5,30,118,275,0,5610,4224,431,1000,4000,0,10130
2020-09-15,513,2540,32,50,3,4251,726,9697,8,0,1100,14,10131,3042,920,650,502,0,0,0,683,940,214,6400
2020-09-16,1150,1090,3966,12,0,0,0,220,2168,58,1349,1000,0,500,1259,1100,6471,16,161,5536,0,1732,6,462
2020-09-17,3006,137,22,800,0,0,890,214,1006,0,300,2000,255,1600,2981,3,430,10432,500,410,1307,3015,200,3439
2020-09-18,388,533,0,600,2000,140,5660,14,1000,0,0,2068,5519,0,1100,6224,118,220,2001,39059,245,330,266,700
2020-09-19,6500,964,44,0,0,0,185,1403,2000,17501,0,0,50,200,1170,5367,567,78,1055,0,207,0,10,2502
2020-09-20,0,3542,6,33,10000,1381,1545,68,93,22200,30,4,6870,0,7000,9192,153,10,990,1000,1000,2000,1,118
2020-09-21,1563,1713,11644,74,0,12016,0,2499,1410,0,271,5,58,289,3310,500,2792,500,76,431,402,5000,447,1360
2020-09-22,1898,820,21868,3862,3050,2,0,39,0,0,1290,2000,21030,0,4,0,1027,1651,0,254,1045,7,2,6
2020-09-23,1000,10551,2176,2767,1512,0,33,0,75,0,1,0,57,100,500,100,10600,4104,2218,31,9157,3430,1900,3771
2020-09-24,954,407,94,156,3250,107,0,2295,350,150,0,3832,165,1019,50950,0,100,0,1,3004,146,2954,3184,12
