date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,11550,10018,14821,11790,5380,3012,4996,2044,2003,2085,481,10333,3611,4740,59339,6001,14461,8027,16178,7898,15418,4310,4080,17219
2020-08-26,3318,10066,5140,8499,5890,3196,1740,2650,5107,2779,2985,13640,5083,6860,2333,18963,17114,6077,1539,5542,39404,27225,12967,6005
2020-08-27,12735,9558,11385,15382,1311,7932,6468,5161,4897,3234,2252,5296,5539,1948,12856,6549,9523,4953,63073,21909,13287,11331,1565,10619
2020-08-28,5655,8405,12899,7876,294,10859,2330,9209,13679,5693,8329,9934,37766,5160,15750,12175,2245,8142,15858,4726,7994,21029,3379,5265
2020-08-29,28676,7316,14407,3320,2678,3467,2468,2590,105,3700,4734,4277,9053,5868,5209,4971,9361,10500,21222,2730,5786,4836,5510,2775
2020-08-30,24021,7329,26162,5809,4438,7191,3792,1647,10066,1708,535,2765,4383,10292,8418,3130,7878,15711,8074,2538,12911,6185,10542,6051
2020-08-31,18584,8602,3309,2166,5662,1262,2526,3310,3671,586,2315,3327,4926,32991,3426,6506,8801,25265,11229,9969,5937,11525,23079,5826
2020-09-01,33220,18969,4422,7646,17831,10156,5195,9313,1720,12855,13308,6007,6238,18933,10670,24375,12376,7641,23307,27154,6366,4644,3206,8868
2020-09-02,25667,8580,14207,29826,13625,15764,44359,4262,4150,1924,6711,60672,15661,15270,4007,12728,11550,6057,53837,18170,16597,16015,91308,34160
2020-09-03,17818,15483,8392,8377,19396,1965,9703,7074,10687,5423,3428,10233,19640,14609,23812,44915,14839,3447,32125,13407,19228,20120,22226,6975
2020-09-04,33998,7334,4222,6293,29588,22436,12494,2884,16563,2394,10437,15620,5809,9644,4393,7936,17028,24992,7092,22717,25480,12124,11649,7550
2020-09-05,13988,10354,27008,16735,13398,7450,3471,5990,4264,2101,8469,17285,5080,6020,11309,1795,19426,6560,43920,23767,14171,10860,4200,19886
2020-09-06,20783,12971,13494,5800,6551,18599,2390,2585,6471,18415,8372,5356,15871,15514,8231,14338,11501,22722,24400,2332,3860,9967,6275,1859
2020-09-07,33573,12757,1422,10306,11174,3838,6134,4929,1100,4137,4593,6293,3448,1805,8421,35510,27410,6479,10449,7928,6897,11970,11912,6070
2020-09-08,30991,14559,15541,9684,7857,11096,11980,7994,10709,1137,5626,20695,23824,22833,17863,34675,9934,10535,29222,6855,9608,29011,9471,12990
