date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,3385,2837,5940,3309,0,431,90,1358,1514,1050,261,781,578,1862,2855,2153,436,1781,3972,775,220,4401,2180,3877
2020-08-26,6709,1875,3579,7300,388,5279,4817,4777,12461,30,1353,3598,1625,2354,832,1187,1720,36,2034,2286,3227,8830,1426,1832
2020-08-27,2040,5301,1053,575,8986,560,1376,3100,146,3819,4497,1602,223,734,3688,4091,1671,135,3121,11799,3796,15435,6200,6145
2020-08-28,2201,1573,10144,2550,944,122,448,3508,1150,10684,4123,1260,828,1473,1168,4831,439,10583,3755,4570,58,2273,1264,34
2020-08-29,1360,5572,1889,1522,5892,0,0,71,1247,5222,160,7182,2970,40,2902,3739,3499,1738,4400,4105,144,3776,4311,8941
2020-08-30,1172,1480,574,1354,264,6700,2491,865,1991,55,4167,177,5024,2726,5241,7289,8954,1169,26,1626,23832,617,1851,6808
2020-08-31,12105,3825,315,6430,340,4580,5098,257,925,344,158,854,1767,2329,764,8046,5270,1275,1282,387,3454,3995,1396,840
2020-09-01,2323,900,8613,4334,399,25,203,813,12651,2117,18987,6416,2,1155,2123,12386,3204,10499,733,4324,5197,27,646,1909
2020-09-02,7738,2869,2171,16020,2011,4626,2608,4112,1736,950,2045,4044,3512,818,2736,3361,1529,1331,1080,8304,1220,1008,3997,1054
2020-09-03,1543,24430,475,5185,4893,2900,28829,360,921,1133,150,1721,2409,1809,2583,1917,2552,13339,1073,280,510,203,3716,2813
2020-09-04,421,638,3579,1148,116,822,620,200,3008,65,650,500,1399,744,200,1240,1465,2824,3719,8188,5,1332,2749,20573
2020-09-05,3614,9454,3013,5001,2701,1223,4469,2330,55,1200,29,3422,3364,1061,8378,2372,328,4042,12848,7949,966,7327,5000,10928
2020-09-06,9960,14368,9408,946,0,3694,356,1321,5117,192,512,20,5202,4111,10175,703,1303,8156,2281,3019,8616,2138,17548,3753
2020-09-07,2583,4325,1910,390,2395,1850,1230,0,3129,2495,2226,4019,11947,5711,931,4986,6009,4347,399,152,4100,1104,9214,3976
2020-09-08,1263,7481,1386,3181,1700,923,6559,4721,1651,2726,325,3131,158,5049,2125,12420,4147,1417,2884,628,2158,1957,2041,627
2020-09-09,2671,8342,480,7121,60,988,1545,1370,0,1170,2084,10708,4942,5288,1639,1456,5372,9477,28510,50,2716,1902,1455,9204
2020-09-10,1519,7784,5220,1366,300,379,2506,0,8034,20,645,3250,2706,2224,7516,6998,5080,0,254,3327,28,9991,351,1424
2020-09-11,4045,4565,5569,2401,713,822,30,631,7,6270,1100,2403,1290,963,4079,3648,2783,312,2149,2825,1941,4632,3556,4826
2020-09-12,7435,8480,4958,5878,317,3303,2867,4507,2081,1427,70,28528,2581,960,3315,4249,1526,6346,8385,3196,6744,1320,945,2684
2020-09-13,1890,191,0,284,0,5775,6033,274,1050,2194,1788,1250,3825,170,3241,7484,2403,1048,13498,6541,3354,750,2627,18223
2020-09-14,1949,1486,1438,420,5353,2150,1435,100,3561,4800,550,8586,500,3501,66,3889,1155,1274,1181,570,830,6350,1900,1427
2020-09-15,1610,1326,5538,4464,1324,5168,1955,2253,1009,0,1609,1071,4082,761,1501,4695,7684,3440,236,3404,3626,100,1250,7749
2020-09-16,6396,5362,7128,2412,894,790,23682,588,3604,60402,1727,10291,10513,2575,2063,1753,2714,5919,2045,6409,9913,5612,5550,771
2020-09-17,6121,13438,8286,1905,6852,2600,9766,974,26,674,812,2012,4275,3547,1585,17764,4861,7427,6690,2109,8535,2350,5219,11652
2020-09-18,313,3128,700,275,213,5554,6840,120,106,623,504,1603,2739,653,6554,4252,2156,29,105,1493,510,2338,4071,14064
2020-09-19,5710,4510,166,631,2788,744,5512,1510,658,1717,175,2975,1764,602,1600,724,3278,580,2738,1530,2924,2598,1200,1500
2020-09-20,3368,7422,3043,5906,1510,800,1770,701,6148,1290,357,3610,1500,2320,6834,30319,6739,9132,1157,8494,5390,5174,215,4255
2020-09-21,4429,540,892,6356,797,715,3049,3565,6540,0,283,503,1192,6004,7103,3509,2892,4509,20,1496,338,7431,3684,28620
2020-09-22,3812,9907,700,1134,735,2374,20762,20,98,0,1610,2089,2271,28559,4502,838,4866,1531,2068,6284,2902,4030,1800,3273
2020-09-23,11646,220,825,15,1834,1300,11286,120,1087,3010,3895,2900,98,1981,1384,2370,2203,1780,3693,5887,4747,4309,6048,7874
2020-09-24,512,6729,2206,4527,2100,3021,2179,92,20,200,1100,4799,5467,1171,279,1980,372,6560,7197,2050,4255,3042,567,446
2020-09-25,5711,78,6946,1800,4497,3483,946,0,1177,568,1410,3613,3519,4549,2723,2667,3250,1190,1612,970,3166,2093,990,44
2020-09-26,127,1471,9483,2498,8756,5181,626,114,0,240,7307,16141,599,344,2643,2615,3244,4163,2146,18474,13900,3525,6235,3917
2020-09-27,774,1181,1020,7254,739,220,707,750,600,11746,1,6896,703,3311,18087,2720,6653,5505,232,4006,5584,0,244,10749
2020-09-28,3830,4217,1622,1024,8,2279,1855,2519,511,500,2594,430,807,1400,6001,3331,4455,2875,4298,0,4289,731,5213,1663
2020-09-29,5507,2709,3884,10110,1688,2604,8359,535,0,230,600,1863,621,5942,203,3452,3042,3562,1210,3865,4013,3388,4902,3216
2020-09-30,11879,4561,2903,8573,2326,2800,320,8694,34,0,1100,4703,4937,1826,3118,10175,2933,2442,2474,103,956,6511,835,1639
2020-10-01,11005,5369,311,830,860,12519,559,20,1527,300,12724,1910,6581,4792,10219,11474,155,559,1016,1375,4876,6545,2007,6446
2020-10-02,2464,770,11491,1934,565,1935,700,26,8682,100,2250,3100,1458,29810,3366,2613,1146,798,5424,5925,3269,2016,2379,208
2020-10-03,5527,11866,75,1117,12340,3061,2725,0,213,11,689,200,2117,2958,19200,11987,1311,535,5294,3631,1777,3954,6226,503
2020-10-04,1917,1363,7267,7009,325,1832,12241,1426,899,457,1641,34,323,2445,7560,14112,404,2655,7464,7684,241,155,24333,4859
2020-10-05,7112,6503,2879,7246,2061,1515,6,307,5661,4000,1400,85,294,1164,1429,1616,2248,1587,2086,3230,2527,6758,871,150
2020-10-06,8785,8118,9128,638,3300,5256,237,2699,15600,761,3451,5262,1297,6136,2898,4397,1087,1451,2292,3594,1967,4434,3485,3068
2020-10-07,5525,1446,5211,3117,2910,218,0,59,320,2278,347,2410,5398,2158,2185,3684,362,9802,11391,1897,21667,1292,2268,3100
2020-10-08,12144,370,2271,6080,1119,11512,3790,1347,6920,1500,0,5669,648,210,1849,15030,4400,18139,4476,3005,4043,2631,1878,8402
2020-10-09,2360,9028,5221,5775,2122,7625,530,2900,1065,1820,112,886,7836,5457,2727,7110,9565,1862,285,3748,734,3543,195,4412
2020-10-10,8414,5675,812,4368,12601,6327,2450,39,240,4474,7460,629,0,5198,10194,1280,1765,7466,1004,1500,350,180,0,3377
2020-10-11,3628,4116,1058,5637,6,3385,6233,9715,3098,1000,326,2353,8591,2091,2444,4940,1670,2618,1189,5971,5590,3264,4053,4641
2020-10-12,3472,961,24097,1006,1451,969,5962,1760,2322,8593,192,693,13867,6165,1105,6288,54796,1557,2109,1065,750,3275,1294,56
2020-10-13,5593,3904,3007,7094,280,3263,312,768,10319,194,1669,227,21445,1848,3216,13580,17361,8787,11785,1879,28684,9098,3858,929
2020-10-14,11747,60,7393,5188,2845,10530,12635,13091,1992,0,9,12001,12214,3469,2377,16557,1565,5145,2434,10,4330,7842,3243,8792
2020-10-15,243,4770,1030,1257,1039,2576,498,995,2808,6005,554,967,3900,443,9290,6910,12180,2002,611,1750,1502,2764,359,8773
2020-10-16,975,16946,20,8116,3291,823,6826,1688,0,3135,415,200,4902,5240,6371,3217,5777,1824,334,7309,614,355,1011,3725
2020-10-17,1364,7727,79,10217,1727,1125,1063,0,263,2174,72,2046,2662,13,5786,3055,5086,9646,22389,10043,5061,555,18328,7951
2020-10-18,10832,22915,16894,4407,431,232,2610,80,302,10,1980,332,10051,2491,1813,7552,7169,750,20025,6463,91,800,10080,5784
2020-10-19,2327,3637,1300,715,1420,3424,0,1015,10001,2475,1006,2254,13047,2339,829,820,631,516,810,7311,3327,2744,4391,5936
2020-10-20,4971,1015,1323,18917,4143,5498,81,501,60,2647,415,2077,530,13149,350,4816,12692,8685,380,16290,63,10682,2877,8942
2020-10-21,5626,226,1112,31622,2447,2099,500,1824,0,5035,0,1182,13403,2750,74,4070,1039,7460,12827,30,757,7389,60,1045
2020-10-22,8061,8593,1904,2445,4271,3089,1353,0,250,5218,170,0,3800,2580,1169,6257,6938,309,2154,19107,922,365,2624,47376
2020-10-23,4109,2719,4,5081,3915,877,1415,300,542,100,1857,788,1690,5394,5790,321,9266,2235,4834,3367,9,2160,127,740
2020-10-24,4002,1534,1000,9430,3513,85652,5070,411,100,5634,3384,2920,7431,5712,7210,27957,15178,2192,10350,300,6670,600,6740,164
2020-10-25,6602,10322,1320,4416,4815,5578,13827,9057,2897,562,15521,2032,3443,0,1540,150,21993,2950,15035,8383,3543,1047,4650,2679
