date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,1301,5563,1989,240,15,409,2162,7343,4433,2623,1403,3296,4510,6540,3540,1884,2100,2962,17764,1235,16080,1926,2321,1690
2020-08-26,3531,1972,3985,1322,1205,804,1254,578,1723,3824,2998,1717,5137,2001,4330,15623,748,3056,4223,1670,345,3518,8139,5577
2020-08-27,3764,2450,8439,1889,6126,457,1726,2153,13012,1939,11566,2005,4473,745,3211,4080,4956,695,3953,572,440,1840,2472,1224
2020-08-28,268,1482,4037,4501,0,7151,413,6670,982,353,1682,1550,2964,2799,2571,5088,2396,2079,8862,7056,8721,239,7173,1124
2020-08-29,12395,3134,3094,4342,1548,3856,5607,1956,2405,8039,141,2027,1713,753,8157,1492,3643,3624,692,7830,6577,9386,2254,1346
2020-08-30,14255,3320,9819,9694,8620,2061,6255,1740,9146,913,1534,10172,2338,2255,7422,5483,2839,4641,1060,1281,2071,4226,4863,11260
2020-08-31,16217,4608,20701,3645,1695,620,381,3462,6812,2690,520,6986,2802,1463,16492,144,3619,20194,2591,7511,8168,7780,7004,410
2020-09-01,14695,2899,1267,2523,7512,3960,10375,601,2781,5774,2541,2340,15247,3837,14791,3647,4480,2930,125,1200,6297,768,584,8521
2020-09-02,21791,6187,659,13996,2113,15929,9118,1670,1872,3295,1162,1016,34949,7330,7732,3949,4545,1049,4126,2553,6988,15940,2420,11232
2020-09-03,2667,7689,2249,2207,7331,3426,5251,3999,1680,2699,2972,4047,3185,2212,1379,3811,3996,15698,26250,2978,5742,2868,4300,121
2020-09-04,21307,4246,6534,2448,12806,9049,22365,2742,3527,3718,452,950,2194,16288,2461,1770,8585,5611,4791,2300,4316,3139,38127,7768
2020-09-05,10595,26337,14885,3864,451,2251,15653,1344,4735,9211,752,3449,3686,2120,8211,3651,6961,12102,7341,2671,1284,7166,4413,9930
2020-09-06,2572,7938,11842,9003,11796,2362,2230,2469,4109,525,1329,3459,7007,18877,9150,7756,13576,17725,2788,1019,1842,340,1523,3192
2020-09-07,9346,1437,11005,5640,2585,3364,3070,712,1143,4174,2775,5409,8155,4262,279,10518,23086,7251,9263,972,5477,2852,8051,10752
2020-09-08,13754,5526,2647,6917,1592,1405,343,1444,2720,2560,5360,609,10676,5088,12742,25487,6550,1903,15993,17190,34,9202,1164,12605
2020-09-09,14129,9363,4342,3586,493,1214,7275,2204,2050,4888,1585,1376,3357,2529,5964,4559,6204,762,6683,2220,9228,2701,7457,4955
2020-09-10,2218,726,6593,1069,6011,12998,6348,1381,1761,1499,12038,6606,2788,3964,5259,2311,5699,28627,1072,6549,469,7552,7086,11010
2020-09-11,3267,2525,8893,1079,8480,3288,1241,990,1120,2470,1703,5665,3007,8497,1469,456,9098,9516,18640,986,3908,14458,6975,652
2020-09-12,4355,13820,1447,2624,4165,240,4954,4292,8470,7000,18379,320,8810,1415,5928,2083,3600,13900,13125,526,3139,1263,1448,1755
2020-09-13,2829,24278,2524,2338,2205,3820,2833,1759,2700,3667,3511,451,2284,6619,5856,4834,15733,1210,15102,4082,7542,27101,11397,3659
2020-09-14,5983,3207,5520,8399,880,2949,3294,5520,9250,6851,3752,1707,4046,10410,2161,2691,9494,12936,10955,6009,10115,17299,2462,3559
2020-09-15,16434,881,4469,2147,1344,1672,5593,2470,10719,663,2620,2618,2883,9009,3358,21397,3780,2350,4790,11383,10373,665,16311,1232
2020-09-16,6419,4768,8281,9151,0,1501,6234,1127,3404,607,16836,2622,12164,6112,4067,7510,1925,7223,4949,7374,2207,20633,9094,59346
2020-09-17,2874,4869,2632,8340,17079,1714,13584,3506,400,9555,9110,904,1908,8976,12490,20890,5840,1875,11787,14065,10703,3572,347,983
2020-09-18,6611,4119,5105,872,8728,3133,2002,4844,675,1730,1550,720,8895,3416,3489,10193,2122,597,14039,2270,2071,1095,9705,6228
