date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,148930,3800,126101,169853,214256,63124,109490,303911,45102,48182,157656,186092,459060,523200,180367,286573,384976,241790,1384810,937900,145085,103198,226028,495368
2020-08-26,531233,75251,186224,178043,438373,16820,111588,84050,212342,76758,378093,140372,186853,104751,162517,922397,283057,350877,959590,276401,1447520,1446001,541600,430200
2020-08-27,590574,110534,103790,1010,373160,129800,361898,112993,107141,175759,223959,72501,382601,100490,201150,389767,114130,354633,433046,214502,329800,281418,121320,174165
2020-08-28,198506,718516,318762,163865,210808,429387,174810,53156,118770,159015,495439,654313,424596,139826,299849,89143,276650,468723,175469,198701,719299,799649,65140,196284
2020-08-29,320464,195110,169270,370134,356819,104813,49077,54452,793600,166146,13910,618328,150077,204771,210113,237869,368803,76250,77186,256202,313500,202758,45224,289847
2020-08-30,1742361,319990,342191,594325,368290,213205,189844,137050,244400,42251,172678,1530464,125577,130531,696850,228251,107350,508846,190515,469915,491281,202890,361427,43617
2020-08-31,626424,95050,8610,351910,346679,300179,110125,212005,144519,277492,79610,223868,1735438,138780,521842,377333,412396,1005017,1008987,347169,469186,216599,464352,109042
2020-09-01,780218,392002,916902,416430,146634,481055,135500,312000,206800,142980,192770,319190,401053,742586,595460,857401,953700,3061654,177850,319660,72489,142031,322085,463250
2020-09-02,461496,2228200,134044,98500,203021,446220,184233,194770,327001,21630,65319,156900,222310,46323,225130,569310,125586,288026,724496,716093,1288365,352701,260685,453677
2020-09-03,148052,650233,547765,85073,619597,201613,546800,207109,887391,389426,215584,559027,340358,386466,332264,275302,102102,193225,266957,401600,1741406,289014,98693,234213
2020-09-04,1046385,461513,917411,318244,1503154,960095,261299,28800,51352,67110,208398,244081,252670,1041296,1273104,780865,277925,1501808,156705,68355,102401,323714,286533,77800
2020-09-05,323019,331845,274851,368767,139804,288597,51627,816904,180810,58823,74881,688265,1586461,569564,296864,111211,430359,219090,120759,499198,202554,698150,46819,152138
2020-09-06,415296,2260319,687231,236986,460767,166491,1203908,509400,171270,898125,206971,321851,484061,267214,575845,791676,453376,485651,354372,241618,452310,198560,46825,210326
2020-09-07,487938,308056,162044,741236,535708,189446,1183840,150947,58710,168747,175500,552567,129995,125265,1152128,612845,1231571,366835,372097,285810,1156226,1560900,313937,429112
2020-09-08,1789844,531959,922713,91898,599820,204832,584822,383708,214220,107330,236450,232990,392959,199898,267985,826985,488873,162963,360098,342478,51020,271168,793627,1013172
2020-09-09,1098194,515708,390694,1462950,1608679,283930,257442,100100,312331,134650,131134,339448,1150078,679001,672910,263804,191342,594829,787724,346214,475688,430927,655275,171132
2020-09-10,678087,676418,506316,228095,124885,618404,490010,86340,281896,247832,1241350,185672,836483,638878,64951,375127,230858,121119,412600,397336,271325,302120,483401,580791
2020-09-11,453185,156704,769496,484875,699935,237220,332220,98800,176294,284765,295998,141065,612779,1378767,565108,1279652,325386,263600,537126,172800,56940,714448,639460,290188
2020-09-12,226922,508700,612670,1617629,380174,174199,792039,38200,369700,59619,1117781,143501,301318,337551,501090,300992,203261,711783,320700,410370,231969,1086665,766600,252112
2020-09-13,654587,1645355,186803,294523,355614,3344644,1637441,75650,137776,287853,143870,582900,412411,85200,395010,809885,3270056,711557,580542,415751,385246,173800,1314922,277663
2020-09-14,1212236,436630,170866,375120,115459,279026,201668,460291,99308,38173,178698,283054,973507,971198,735073,288591,233155,1170000,241325,1234741,279433,489727,123298,456635
2020-09-15,493662,633151,457800,524147,350521,156320,194259,186500,834641,932010,346639,269362,136953,57370,504806,1041234,291450,551137,321135,443498,554650,160185,384200,235456
2020-09-16,768398,450706,269190,177948,335614,560490,495171,117329,459845,57065,859175,146420,676913,346645,260491,321965,530953,460007,213300,167784,249649,47345,258370,1180068
2020-09-17,1467033,500092,298280,211300,802235,522302,365415,82460,121705,293698,91440,95765,551151,456931,702104,1699663,405179,358829,133266,439434,409946,522856,251315,190160
2020-09-18,831886,246754,147055,537718,139681,327707,306713,376901,357763,494701,218539,1151622,1192680,276001,444754,410401,394005,272469,189570,279340,193770,142958,211401,157039
2020-09-19,602290,564935,2151664,611754,473800,156440,385569,664133,204200,74513,839874,119288,294827,2813288,335023,378200,465600,400550,431263,456433,255755,696502,554352,284739
