date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,1348,3320,4124,9391,1036,735,8028,10227,1134,9998,10494,7757,628,6840,9950,5930,6887,11270,12641,6993,8180,10288,7894,1353
2020-08-26,6126,13600,3751,3451,8123,6033,2136,186,551,2889,9238,1500,8853,6285,9658,6655,26553,3469,1026,9677,632,2221,13084,4655
2020-08-27,14616,4200,12075,26814,8229,1758,5318,815,2817,1213,2194,4778,8125,4436,5181,2487,10900,50128,4784,196,7960,2171,11544,3282
2020-08-28,36542,2797,2191,2005,2605,9938,6472,4879,880,1405,10378,13181,14682,20350,5864,1260,2678,18252,16059,5650,5734,8011,12482,2590
2020-08-29,39194,10506,13015,2317,2229,735,5160,1687,170,1523,7695,11285,5013,6180,18052,1823,10228,11634,20255,7364,48149,7487,11740,4749
2020-08-30,16571,2938,5135,5292,1621,11927,6422,1660,1490,260,270,1725,3232,9531,18701,5650,8133,2300,8331,15341,43359,7800,15622,5500
2020-08-31,12112,14668,19951,2008,6111,2011,6150,8950,4300,1500,7000,9068,3652,4093,13510,12882,14223,45065,2479,10683,4662,7607,4306,6458
2020-09-01,9997,15356,6818,7171,51222,3727,12231,2070,3173,10145,4667,3488,30580,18168,23604,18351,1542,5676,1300,2185,10703,6244,4650,2866
2020-09-02,32354,10152,5113,8753,8909,1064,37852,4669,4100,24391,830,6525,10379,1970,8253,8490,7150,13522,160,7448,38535,10157,185200,1383
2020-09-03,4803,11040,7938,1531,4385,9788,6850,1000,5535,2361,3630,2850,15850,28122,5965,18508,9219,12707,16623,2454,18351,15082,9230,10314
2020-09-04,8960,756,10133,890,6749,4653,6550,2417,22500,3405,370,4482,12334,12353,7143,8347,24103,7131,33654,6572,6713,28035,11785,978
2020-09-05,10622,10383,10981,3605,12002,19328,0,2724,1906,130,15530,730,5100,6067,5916,7727,11668,8560,10693,17666,9133,2750,4844,7764
2020-09-06,28272,19277,49,59123,15735,3705,750,1977,4300,14893,18772,3124,12051,1778,4300,4599,6873,21746,29132,2850,1840,4941,8906,2030
2020-09-07,4398,3891,321,2500,1712,14460,2551,2542,12529,4304,1044,2376,1462,3754,5228,12673,2538,5123,25629,780,2932,18839,34051,2854
2020-09-08,12610,2477,10290,6147,7705,10773,35528,7780,8316,3906,2989,9156,30038,7330,3041,9123,56193,4762,37371,40894,708,11851,6488,42534
2020-09-09,7173,14250,13558,13200,27152,260,7301,7323,670,6384,8886,6179,4833,24276,15762,24113,33626,19458,2030,19211,8324,9762,20595,81270
2020-09-10,22972,18790,15290,31984,2695,3195,8488,12750,305,2120,507,5922,37367,6427,11119,7283,3068,1206,3563,21257,2485,1521,7607,6207
2020-09-11,13793,6356,10907,3001,22206,3704,13128,150,0,442,1145,1624,7793,7172,24816,7500,29194,6351,34020,12323,6750,20549,8939,3126
