date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,6419,14039,3689,3301,3021,1538,782,2382,7160,2697,1008,1280,13788,4457,8320,1043,1949,1837,351,53,4326,10336,1395,1380
2020-08-26,3858,1077,3648,1104,140,150,1154,713,3270,1733,2200,1385,3541,632,10501,6413,1491,1411,2964,3298,1250,5445,6960,7507
2020-08-27,290,2079,135,4185,7453,1020,4032,1163,8255,3933,8584,220,5633,4158,17446,3767,6283,1786,7130,2843,1075,5578,134,2283
2020-08-28,284,510,13216,3662,1130,5111,1,7782,2110,199,7055,1256,1690,1992,2914,7769,2624,11933,329,2039,6838,3025,1006,7840
2020-08-29,9643,5921,1509,3103,1451,3949,5721,1488,2522,5320,368,1192,3852,1320,55,1234,2920,1670,919,8771,3887,2000,4329,8557
2020-08-30,4802,2320,183,230,1283,12458,901,2290,6035,1588,50,861,2819,599,5264,4543,3844,1220,3893,1650,3309,5559,486,60
2020-08-31,12677,5616,5735,4085,720,500,1010,455,3525,645,200,1010,3866,8439,7537,9203,5087,14965,904,5345,5006,4699,8117,769
2020-09-01,10273,927,9102,5577,2895,725,5925,1701,1680,800,3739,364,8885,3272,6120,4834,2207,2438,768,9854,10040,1227,1500,3748
2020-09-02,1456,3218,1444,877,3175,9212,10217,4397,1233,1267,0,100,15376,1847,4941,6383,9744,980,787,708,2086,9759,62712,918
2020-09-03,9110,11930,3293,2210,4036,1170,2534,4663,3158,5135,5261,2036,778,3981,3557,3676,13006,13831,1438,7367,2762,471,2005,6326
2020-09-04,13510,5135,1183,5219,3006,21576,500,3520,2677,2000,420,1588,635,1256,1536,1445,17669,2385,3342,6571,1201,1735,23042,6260
2020-09-05,26023,12606,1372,4960,4228,4944,2730,100,2272,3141,3601,6195,5028,2445,11292,2900,10442,2363,12239,22183,12308,10418,5127,1789
2020-09-06,2034,15687,2539,1242,240,1220,249,2281,6134,8219,2606,1467,3262,3515,5800,1186,779,2953,3194,7026,8111,8742,20332,8344
2020-09-07,6548,1232,1238,7234,2857,5232,5478,3402,878,370,21299,1738,22349,12149,4040,5079,13917,7650,1591,2517,3310,11486,1734,7792
2020-09-08,4105,5196,2469,19692,3464,1902,5478,400,2117,509,2025,2946,3675,2463,13241,7614,5624,1058,3260,10450,130,4683,580,7346
2020-09-09,3506,4199,15618,3152,1645,11199,7451,1710,4080,1938,60,12247,4791,5663,13069,3897,4548,7230,1065,2200,3715,4262,14034,9885
2020-09-10,4226,7027,7196,1603,2239,1876,2500,1693,3897,3156,0,2905,23084,2617,2027,2264,1331,614,8119,4115,2728,5138,4951,3716
2020-09-11,9162,1777,5911,1898,3750,285,1060,1595,27,3577,2865,1739,1900,9091,6712,4812,17558,2478,12059,1384,673,3854,4585,2000
2020-09-12,10519,5805,6851,3493,3336,160,11992,4018,2354,330,2775,1500,2700,2493,4077,3957,6537,5505,1981,976,3950,2541,550,9846
2020-09-13,8253,9237,0,4707,11200,9368,3220,10713,0,3047,1438,2215,2909,1396,10598,2229,4801,2850,22467,8965,18267,27901,9557,5636
2020-09-14,5885,1399,8722,6590,594,3615,3451,2890,200,820,14264,3426,5357,1694,1309,75,3813,2713,6654,448,14469,8511,1380,3812
2020-09-15,6591,2076,3798,14345,1888,383,7824,14893,20225,2500,470,554,1157,7448,2193,13616,2679,27446,11569,5576,2693,3150,2529,5320
2020-09-16,3528,24469,7879,6101,5709,1845,4300,2049,5184,4750,1907,791,10396,4661,4495,8074,2147,5272,11106,4512,3208,8095,11388,2015
2020-09-17,26968,15964,903,0,4345,4223,12708,1027,0,587,175,1370,26503,5060,38833,7139,9144,3962,361,15520,11862,1221,1263,4338
2020-09-18,3994,2859,419,2060,2732,2835,2420,2065,4518,1409,5031,4104,13906,5457,3347,5103,1020,1401,10331,265,2320,7286,940,10609
2020-09-19,9735,1564,3861,14789,5842,1621,6764,373,282,25000,515,1636,2759,3795,600,14381,7382,3161,6253,1025,2458,1057,231,20413
2020-09-20,778,17128,1249,4051,4200,1849,683,4439,32824,1431,10,11906,6099,13113,4736,14488,3770,3351,5684,6999,15775,141,3972,3000
2020-09-21,18606,722,16400,4872,5709,10369,1136,5597,5263,7085,4200,8847,3098,4903,2159,3128,6518,6781,1288,2871,1481,10587,4563,2627
2020-09-22,19556,7379,11669,6071,967,2515,1873,4298,1083,1904,1096,3079,17238,4479,9996,900,4009,4264,1115,620,17466,885,286,181
