date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,524,2310,3918,764,52,4719,477,790,50,1984,300,51,2553,5234,1457,1849,656,7818,853,2239,349,3630,4364,3480
2020-08-26,6704,910,4404,23373,300,1798,1345,3742,654,3141,7699,3207,1737,1218,3083,1525,1021,837,2156,330,1809,12047,8470,5200
2020-08-27,6139,597,5100,2042,2105,699,387,154,1783,220,2421,55,3237,4447,461,743,1359,4028,8053,10396,1384,1868,4760,141
2020-08-28,1800,2975,8686,1550,1114,7955,1490,9544,177,918,100,652,1025,1407,8241,2608,1724,801,970,1719,80,6344,4024,1936
2020-08-29,2695,700,228,896,2827,2642,25,311,5837,11552,1649,12398,215,83,414,1513,2981,214,1189,614,682,42,2339,6110
2020-08-30,2223,10925,766,6881,260,253,21755,1718,2314,147,1340,364,27,850,11184,3221,6475,5972,698,3962,2185,7004,8402,4335
2020-08-31,1023,1602,2350,810,104,316,99,914,2140,310,9846,614,3025,1718,8063,11350,2342,2954,4934,4692,3200,634,3886,3080
2020-09-01,6647,2352,5684,14850,393,9838,11019,461,2047,2775,461,5515,1555,3705,8264,19966,1498,5297,863,2070,1398,2916,2065,6344
2020-09-02,6935,11118,4563,618,7162,14745,7847,1126,6762,1050,3586,4429,4336,7549,2620,578,465,8484,550,34,3038,3852,914,3150
2020-09-03,3998,670,1683,3633,2691,953,7310,1100,1353,2080,100,1394,6526,932,4375,4012,5371,6658,1816,0,845,2222,2059,5235
2020-09-04,1795,82,650,979,1089,4153,9422,710,382,1938,3139,5228,3088,2494,2540,2488,100,8966,722,4424,4103,8500,3163,2940
2020-09-05,2950,4300,2426,1424,1000,630,2322,3855,12735,12890,4766,2861,4467,879,417,11484,820,2760,1800,1212,1675,3176,1070,11686
