date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,4801,15021,9746,10689,6885,5820,1615,20858,1155,4896,7501,10897,23333,12023,15161,1250,5345,7328,18881,17747,30276,14250,15400,10769
2020-08-26,17877,23658,3870,9163,4480,8490,15853,390,3427,9857,7997,77,12642,3237,19733,10244,19525,6765,5128,5109,1059,4380,12498,16871
2020-08-27,7345,4776,3790,26475,68548,3000,2427,3635,927,1850,2616,4011,6000,16596,15097,14739,13569,80129,3327,2127,5985,7250,10903,3578
2020-08-28,14018,52733,2526,1308,5971,14296,6732,750,1616,1545,4875,17556,4795,10972,19336,7140,6102,6349,13401,9630,8346,4735,14586,14740
2020-08-29,55572,25600,36216,8953,11213,20073,6987,1657,12478,9500,12203,19645,10825,16255,11955,3200,19022,7261,5893,3750,49205,2193,31355,3037
2020-08-30,35875,4182,4876,1345,3811,15174,7673,10180,1380,10155,2950,1606,16710,30405,31265,8819,3849,100,6878,8827,15849,2776,3410,12540
2020-08-31,21294,17349,30563,3653,6021,830,1770,2008,4700,100,3670,6552,7388,5160,6733,35157,4275,7823,7050,17230,11026,28774,25715,3717
2020-09-01,8604,3325,6027,8483,66114,1120,16649,4276,897,3500,2500,8621,9338,28067,22070,17531,3860,18324,26387,7752,13484,12594,1470,23550
2020-09-02,6037,26796,11222,8170,7148,23559,18299,4833,250,9785,1300,27400,23557,12804,2139,10525,25123,6970,12860,31540,42743,58664,4609,20303
2020-09-03,3945,2020,7538,5802,8871,5873,4118,1026,9090,825,2400,6888,11791,46230,4776,38053,1961,29148,5300,1390,67365,14424,5110,3810
2020-09-04,26710,4770,14660,3361,47952,8300,17,2500,18911,2777,440,6628,15260,22656,17756,940,35036,17354,23528,9090,8358,35281,9324,621
2020-09-05,6530,12502,27263,10758,24649,18287,5206,5500,3178,203,16977,10431,7652,490,4326,17396,10030,1762,35555,20048,8482,8032,3708,22292
2020-09-06,11321,22465,1430,1470,10620,12862,2005,10258,6050,13000,950,2072,9170,3780,22681,310,25055,24500,20192,19731,57466,3575,13606,10134
2020-09-07,8550,26605,1100,1000,8872,7257,5732,5515,9284,4387,11702,3464,370,26952,40779,17100,33526,52925,6988,2450,3102,32279,4770,1783
2020-09-08,12812,11268,13346,4937,3195,10842,43548,8190,349,1207,3940,27287,31619,12704,15687,28160,23179,8895,12426,27614,55230,19757,9270,6208
2020-09-09,14141,15450,59142,13118,6783,5755,11734,8327,4400,11875,11693,2157,3166,28019,8983,14200,1302,19895,5268,29998,4740,98604,58997,233295
2020-09-10,31296,11486,15510,16406,1441,2654,94,1370,1161,1011,2614,20491,4650,11106,4559,23348,6300,12865,4948,4019,3972,7632,10815,4628
2020-09-11,8864,23223,6811,2141,24263,2699,3955,500,5450,3207,674,3295,14581,7406,34657,2628,9703,2065,25453,10544,3550,17596,8775,19715
2020-09-12,3748,3560,18163,11498,4812,3220,9091,3216,933,24,25295,8512,2189,16224,31957,3563,4573,8458,25580,2578,13980,18504,983,4750
2020-09-13,4514,61769,2960,6671,19451,19983,9211,16114,3640,550,5138,500,31370,9782,9476,7227,59186,15529,9888,7425,18317,38236,1791,6265
2020-09-14,3654,3654,10450,16808,1833,30467,2433,5209,8379,8100,11791,3639,6527,4830,16666,2411,3023,9216,5425,10255,11331,17420,5760,27867
2020-09-15,5683,1680,5806,451,8549,9343,3386,58694,14811,1169,1780,37058,32747,62126,1871,18941,27597,21480,18527,5760,6848,9414,24149,8650
2020-09-16,5738,20137,7813,4316,11918,19487,10151,250,5379,4100,6055,4000,15601,991,16717,17459,13278,1394,13372,4510,1805,13015,2461,6794
2020-09-17,8245,52116,11886,13550,9865,8826,3579,8774,1796,290,600,2890,1771,1890,10001,20866,4384,27848,8330,1900,44629,9098,6762,9391
2020-09-18,14557,2165,8011,6107,5592,23331,2750,2700,5945,100,973,14550,15440,10953,7521,21971,7166,16438,35500,4500,9515,18370,6024,1020
2020-09-19,5964,4200,6400,26792,2125,23325,6477,9046,2510,1485,23177,2780,18710,2125,5646,6525,13093,15569,20193,25840,8411,2606,11142,8334
2020-09-20,13740,15016,2856,2714,3512,13463,8800,1662,13130,1982,8328,11070,5030,11860,22664,37030,6132,10314,8845,11247,34261,5760,7654,6967
2020-09-21,68480,28776,36875,1170,6135,4114,4052,7998,1054,10250,5158,4148,39772,11970,2355,29901,8378,2786,3130,16900,24450,3650,23353,5680
2020-09-22,2601,26981,8158,25655,2686,39702,1314,12169,260,400,3027,1722,9999,10327,2553,2991,22613,23400,7865,22374,4071,7132,3943,10183
2020-09-23,8752,15758,19150,23622,17703,2353,20006,3602,574,31889,24856,9584,7191,29298,17113,24833,6099,586,15180,7617,10629,21000,3776,8117
2020-09-24,24260,7340,10071,9286,3875,3870,1234,31785,1225,13550,1000,14143,28271,36244,8851,2376,5015,31960,1950,7973,8206,2180,1547,272
2020-09-25,4140,7750,5395,16435,5149,359,10370,3262,1405,30,6720,2402,36471,20897,32061,5240,4080,10122,24173,10915,10495,3800,1350,1785
2020-09-26,14245,50787,12783,15197,8567,10596,239,5655,1000,1392,1660,1390,3952,1765,9066,2659,25169,3710,7972,105,1356,2150,2479,6912
2020-09-27,9301,36898,3624,10284,7161,7803,7206,7550,12424,17380,12977,1929,12107,12335,8705,23433,8972,10657,17468,29116,10444,6215,524,10886
2020-09-28,29341,21394,7499,21278,5404,1500,51328,3040,1420,1600,956,19046,1526,9854,15267,8949,6947,38126,32983,15179,22442,12483,12806,14894
2020-09-29,28275,1429,3583,6199,7509,7673,1940,2474,6721,6413,9709,18350,23506,5658,9028,7856,10500,10690,5830,3706,15572,14363,8708,9294
2020-09-30,1070,9672,12730,30563,4749,8575,2567,650,1918,12750,2882,9398,19867,13278,6040,13235,1795,9000,34205,7150,12646,14227,2365,2284
2020-10-01,54760,13877,7925,13546,19944,255,2784,3244,11740,0,5790,13131,24084,16429,12621,44508,22665,10560,9355,28906,79350,88033,2900,23254
2020-10-02,13787,18394,5900,15235,2583,7526,3810,1540,665,250,150,2138,31710,6690,4437,24450,2853,25645,22463,17609,29754,6018,5800,10569
2020-10-03,33168,23232,5536,1460,7029,19691,1987,11577,3481,2570,8299,2864,4024,550,37761,19009,5675,16757,7750,40008,16637,10676,3454,3639
2020-10-04,11512,17995,68489,7223,5814,21500,27772,6836,46458,500,3004,4202,11877,17604,24159,15573,49130,17663,48250,6724,18862,2863,5540,1605
2020-10-05,101310,14216,6037,25989,9417,3000,6924,6030,7250,10521,18039,20024,37082,6458,13771,8842,24380,14532,51455,1352,6110,10859,8450,773
2020-10-06,3790,15485,101594,4525,7050,3704,5319,5730,3842,2832,3050,9048,10428,10320,3265,14059,2200,29000,7422,10581,28100,2456,25640,8535
2020-10-07,1904,998,4566,4673,5320,200,2000,9940,3930,20586,0,1700,13978,35114,17076,5766,5660,9589,13085,1200,6160,1154,2343,9547
2020-10-08,22511,7914,14520,6685,6889,1650,2651,250,7677,4750,7040,255,3324,562,33962,65948,1289,7300,17334,14500,8116,3450,19000,977
2020-10-09,22460,21197,14363,8805,2091,4510,7099,3000,1628,3500,3100,4625,8289,7279,7468,7351,5710,8862,10059,4225,19096,40303,5009,4100
2020-10-10,21719,35809,198,18691,1479,1971,4300,4250,1283,3785,13982,11600,6260,4920,40253,1920,6170,48144,23142,1110,4741,25,0,3379
2020-10-11,36658,22271,29205,22946,5048,16929,5093,501,4456,11018,1750,2684,6550,3415,14430,20371,8232,26987,5831,1722,6080,3980,3026,33287
2020-10-12,12386,30097,34521,8418,400,8590,3821,49375,5378,8770,1043,6200,3805,33425,20509,2474,13598,12684,11542,44993,20092,1100,9475,11422
2020-10-13,24442,8034,293210,9602,1447,14586,1577,3151,3088,2790,3981,1923,7684,28111,8630,47930,9801,5552,902,45394,8250,3782,27243,34491
2020-10-14,13353,16305,3267,9351,6182,51931,9020,758,5056,560,6430,4337,2706,5934,30160,31900,14726,12764,1754,7915,11998,10730,38897,4550
2020-10-15,6382,32601,6805,2221,5649,3500,12659,8967,1300,12450,10590,4822,13485,18689,27406,12770,6878,4504,12070,22685,6255,4771,37599,3831
2020-10-16,14002,9565,1450,2739,41511,1599,1072,2000,1350,2000,56750,1750,5254,1882,7543,1224,817,6438,14445,5916,5329,6007,10023,13393
2020-10-17,13196,7775,6869,5891,4805,1250,1450,1030,3252,30648,999,21636,804,9962,1187,4150,26105,3865,14215,33154,13577,103079,15353,14678
2020-10-18,11500,5920,4680,27992,4621,6772,2580,9811,2267,55811,690,2092,19408,7609,6248,5371,4534,25750,9711,29405,4260,3000,18722,36194
2020-10-19,31556,14378,7854,21908,6100,450,9871,6291,25481,300,2000,4654,7210,16528,36650,21289,23661,16510,10522,25120,3127,13257,11083,5695
2020-10-20,13125,9880,12538,15616,33922,13891,12109,32373,3060,1504,2515,9348,3971,15407,7993,9400,21368,33477,3162,5958,413226,14463,13104,5600
2020-10-21,19076,2959,9334,12324,10417,4604,3205,1760,1009,8005,12667,862,6792,6127,45567,3400,1325,33837,10832,13605,5622,10989,5224,2672
2020-10-22,16872,2412,11116,4743,115,26827,7972,28633,2050,218,248489,3796,6652,2250,12445,4498,3851,20504,10346,15303,13200,16025,20633,5996
2020-10-23,19258,2975,41805,80,3368,1568,1125,21135,1070,7787,5575,6896,17558,49966,6970,45159,21620,10116,48005,390,19030,71851,6175,4700
2020-10-24,14860,737,8542,12276,8131,310,1301,13498,1300,3408,0,888,16177,20378,300,5160,2617,6968,6059,7446,4800,62601,3810,183577
2020-10-25,4000,24100,7991,1501,4600,140,9691,4014,5200,11759,10131,2986,40012,14548,11922,12401,3300,2365,51645,6790,7630,21339,5288,4697
2020-10-26,136461,8200,78160,3705,17407,8450,11369,1260,28561,166,2837,18863,158702,16282,22739,13319,20500,79401,163438,226877,49345,112118,26379,90086
2020-10-27,16825,24443,29593,30228,233,7543,2131,1239,4038,6180,5940,4549,82509,25497,2400,40614,14077,13763,70711,21679,13324,430,25432,9387
2020-10-28,14319,10170,11040,16437,5190,4804,669,1951,2407,2200,1192,2880,4898,7666,31475,10369,37075,13499,22066,13529,5345,8075,2778,68350
2020-10-29,4100,16205,68555,31882,5870,3000,17218,8155,9026,4663,3302,805,14069,17543,10083,11379,7348,49410,2445,21180,20124,27650,3331,1630
2020-10-30,6433,1000,16711,7750,15530,10713,27,13000,5795,11750,14519,290,12485,5189,11350,5950,3192,63719,11850,37797,21200,40086,20162,53911
2020-10-31,4600,22305,65477,28192,270385,12694,17793,33136,2182,16585,21609,3924,19050,32696,27183,7875,25790,16540,21479,44574,47800,26748,11000,10858
2020-11-01,27052,10912,24372,22935,15343,11674,25582,11307,13475,20300,29590,7205,10383,18121,19177,13707,13743,12260,37399,22832,18015,6973,26065,19856
2020-11-02,50807,22888,7410,4950,21675,196949,109070,38900,65472,7300,5080,11420,14860,27569,16708,15509,19169,8394,27605,29773,10460,10081,19738,17604
2020-11-03,22710,24833,20450,13558,47888,8615,13311,9741,49468,6060,2162,13975,27755,64768,52946,14082,25124,9622,12696,39929,32844,2858,14105,9000
2020-11-04,11565,18850,9994,26424,40486,13183,19020,5694,11370,14781,6978,2290,7753,8403,14808,23898,33314,12030,125379,7034,15150,10770,3319,7952
2020-11-05,18723,8115,34366,16394,8375,21400,16806,9604,14723,17675,7080,7745,20859,24879,19340,9894,30238,10527,9702,15520,12339,13264,3400,23682
2020-11-06,27620,21810,10888,12615,2325,2145,18763,16538,13380,4913,8927,6082,3357,11871,12550,10809,14701,12580,33432,6505,18030,5701,13435,17016
2020-11-07,23890,16792,9821,14107,22529,26267,9200,8310,12764,4880,1400,14198,9846,9219,12431,6900,52006,4485,1533,14974,14036,12175,33440,3885
2020-11-08,15372,20837,19394,7612,9930,2999,6436,4451,3419,1770,9200,3877,19655,12905,11895,17251,6563,26402,3901,9725,17079,5600,80700,23422
2020-11-09,28383,14486,8729,3077,17154,13990,5359,7075,7181,4105,13229,3704,4334,11756,10262,1818,24732,52635,32664,9393,15941,18015,17484,22845
2020-11-10,20100,21583,4675,8407,10249,24365,12182,4250,2526,713,9068,10618,17190,23510,11865,4126,26780,13045,2232,10256,14588,17102,8006,8336
2020-11-11,33045,15434,20038,12851,9055,3320,16619,7866,6769,11055,17203,5507,8844,6566,12232,5131,17361,5503,25266,9395,18689,4793,9805,9513
2020-11-12,12336,24675,12669,7328,8816,10740,14425,8168,5289,16652,13145,7173,16727,7782,32522,7783,7882,5654,11527,16912,17866,11177,13480,6344
2020-11-13,48310,30410,12095,14819,10037,13491,7708,8580,13603,7138,17600,7903,18293,6250,10814,9978,39449,19015,16998,36993,6442,12208,29962,7439
2020-11-14,9203,4977,13127,2953,10430,4160,9582,3554,1235,2843,12450,900,14428,5718,8310,1615,14015,8640,9748,25898,20165,12650,23595,6534
2020-11-15,18905,4310,12741,18600,16310,2281,4875,9748,10265,4277,3303,2635,8282,15903,10865,10893,12361,95844,7910,20890,12084,20067,28679,7495
