date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,7904,6927,2077,9278,2190,1074,1288,8144,4585,6968,597,1588,25018,3616,15816,9565,416,5200,2570,16407,3255,8513,3725,4445
2020-08-26,8083,5701,8293,1159,1911,484,3266,1751,7062,2295,3059,3436,5560,6735,2809,6798,1629,1561,40,10060,2764,1685,2938,4164
2020-08-27,9623,5583,1800,2138,12430,1758,6019,5329,20,3698,399,577,137,1092,9706,12202,20518,2291,1781,37044,2506,5971,335,12455
2020-08-28,3083,5253,6440,8732,522,4010,221,18149,2563,7338,5134,1230,823,2548,1867,8329,7007,3845,740,4452,9779,5491,20488,370
2020-08-29,6026,9508,300,1549,11491,2300,5842,471,4124,5454,100,7429,3378,4638,2365,2337,4284,3645,1907,6075,4138,11857,6048,15378
2020-08-30,9661,986,3161,1405,8129,4264,4738,5328,1088,932,76,3810,7288,7918,2542,3241,14641,2217,9520,4718,9432,491,14537,1755
2020-08-31,4467,2177,12474,5734,581,3623,2772,205,5971,7355,11365,50,2218,7502,16086,29890,5225,9601,6349,2189,4626,10373,2184,2868
2020-09-01,14432,2825,5921,6830,13546,3307,1950,1817,1250,3956,649,8054,9328,253,13824,29397,14253,3591,584,6262,5232,290,5601,4054
2020-09-02,4604,6717,7474,17349,4071,2993,2393,7672,1090,353,310,350,12628,4400,4834,7032,2766,8834,15219,2824,1310,8100,4899,15086
2020-09-03,2743,3225,3120,3936,4638,6993,2000,1885,1793,2293,1011,1996,1737,2620,1157,15845,4220,13267,14159,1320,3883,20003,30013,1984
2020-09-04,16341,4830,4255,1691,9906,7730,3410,12990,2384,395,6144,7036,3289,2809,3467,3487,8079,5277,14203,15846,11182,26,12807,1246
2020-09-05,5278,26127,10296,562,2431,2353,3501,3145,375,130,4880,6342,6274,630,1030,2492,1143,3121,2993,588,13056,13968,1436,27189
2020-09-06,11550,11386,10044,1012,21765,4625,13719,555,4803,3760,292,1059,8559,26126,33160,7529,10409,11750,5966,7509,22670,4956,21157,4376
2020-09-07,5539,2956,3632,10455,3629,2325,908,3413,6146,5416,3051,1911,22884,3850,3945,16345,6021,9177,2515,4419,1880,23283,6508,20546
2020-09-08,2489,16043,18106,6924,1777,1472,5258,504,376,3856,5272,231,2490,10417,5609,11626,4761,1045,3307,1562,14026,1124,1128,2538
2020-09-09,17129,10946,1446,1369,1565,150,5850,1000,1525,1923,4187,12130,24269,10105,4543,1860,8082,8488,4507,396,4618,8826,1989,8032
2020-09-10,3814,2020,4976,4571,18603,2704,7884,3163,923,885,9944,4146,1987,4705,1828,920,20827,3757,3289,5550,8766,4361,1750,3912
2020-09-11,15350,16943,1283,19147,6441,13161,1509,4250,1470,10140,5610,3362,5229,2117,2824,6722,2124,492,14842,3729,108,15482,3393,1197
