date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,11184,13513,12528,9636,1141,4742,9225,12921,9267,11470,6826,12931,14711,6693,11192,8640,13028,16045,26698,30928,20065,7875,26103,15793
2020-08-26,25441,16087,11016,5958,18279,6884,8062,10935,9108,4359,6750,5097,7286,13994,20195,11499,17788,7982,13459,4010,23042,8999,27361,13773
2020-08-27,28749,20342,17116,11351,7921,11274,5874,3629,16253,12096,4126,8404,8569,22732,10583,10315,10412,19178,9789,3853,41348,46929,12659,7774
2020-08-28,16539,15411,15687,6006,8530,27500,3839,3668,6784,6594,7450,4960,17484,16839,14343,9528,4931,57612,10902,4866,3020,1966,6341,12420
2020-08-29,12384,10468,26864,14471,6925,3772,51361,2097,1501,3838,11780,8230,9881,4963,8861,9085,9680,11780,8692,4482,24100,3240,26638,3359
2020-08-30,10770,12605,24976,4324,3470,6094,15591,3859,5024,41423,4684,67342,4669,8312,22708,6022,10332,15493,4734,5823,21551,2091,14392,31911
2020-08-31,20581,6434,8835,7936,9266,1528,4830,2654,6879,25102,6842,4974,4591,15916,19346,18111,16297,7085,14741,30219,10613,21370,15580,25900
2020-09-01,15754,9946,31620,12850,12821,52888,10000,4720,8750,15083,8694,35154,6906,3177,16039,8317,5769,57181,17922,5482,4473,49599,9084,5102
2020-09-02,36263,10606,12807,7557,4040,8299,14328,20049,6912,7921,3297,2537,3561,27488,27344,12414,9725,28093,8047,15860,4541,46978,213270,16033
2020-09-03,14052,10953,28523,11005,11012,6886,11639,5210,3071,8724,2185,6797,6232,14970,11003,15810,8251,45352,12196,3635,46982,3798,22390,36915
2020-09-04,15186,3613,51269,11710,18333,3663,5340,9040,16143,1145,5208,11811,3489,35044,6420,12114,12834,10215,4030,9871,6864,9616,12520,11238
2020-09-05,21858,7893,32953,8595,8308,4850,9428,16446,9704,4672,22801,229269,25333,7631,6671,3459,3828,5081,40640,47157,6394,28815,1070,20639
2020-09-06,21325,13115,14863,3406,5747,4980,804,30616,5161,29248,3079,7927,7895,10807,8094,6930,9499,4892,25133,4817,3682,2060,4950,5392
2020-09-07,5127,17135,13147,14345,9416,2644,5687,7229,11182,11316,6836,13960,39016,5096,14965,6047,8658,4842,3515,11611,5131,7280,13665,3768
2020-09-08,50928,8002,12552,13758,6001,10342,31314,8043,13275,6269,8008,9759,30468,40238,23191,28562,10550,9432,15967,10701,4909,14820,24202,17768
2020-09-09,14224,71029,27330,19926,7191,2644,6255,11124,18539,3119,13292,9475,7780,11164,31906,12583,6062,37222,11079,10435,34471,5112,24526,14460
2020-09-10,37832,7061,22012,43659,15677,6779,5648,10554,10600,4962,260,12592,14992,6025,9900,34489,6904,79987,23457,1830,49373,21139,5957,16045
2020-09-11,19880,15318,8574,6864,8217,3705,5010,465,1868,24561,975,10326,22753,13975,58100,11482,21191,11276,9877,5024,4018,26635,11424,3046
2020-09-12,8107,1617,18874,11683,14405,8541,10362,17695,4779,1223,21652,10278,4431,3864,16572,4107,22551,3591,5846,2449,7211,11768,3393,19521
2020-09-13,24472,9955,16282,11477,12758,5818,8918,3615,520,19424,2810,2864,5538,33287,8806,14243,50454,19857,4726,6361,8700,82162,8980,23196
2020-09-14,29997,6193,17508,13026,4849,14613,3577,1558,8707,20209,9863,8322,13431,12350,7155,18577,13666,21378,40148,4929,132766,33393,6004,957
2020-09-15,109431,19412,14905,6214,7404,2540,5540,9264,7692,3201,3593,9229,15410,6414,17142,12604,14362,2545,5206,13679,14419,12065,15760,10079
2020-09-16,11010,22267,5336,5876,11845,45094,22061,6683,4905,3951,523,8860,32586,23395,6860,11325,13608,15635,15688,13300,4911,9457,1076,7711
2020-09-17,11687,12012,6047,2972,24345,8246,2314,13907,3280,1845,1805,7252,10664,8398,13032,17842,32651,6379,80876,26136,6720,18686,2353,4402
2020-09-18,15465,10563,21656,15716,13430,8911,1462,4151,9016,216,15199,6284,12227,15879,11666,19330,7122,23411,9884,2059,530,5506,13479,35884
2020-09-19,10953,12338,10175,3870,15166,3311,1860,193828,3261,2610,6032,19412,5537,8010,7251,10386,8221,22942,28524,9996,10043,1860,3290,7404
2020-09-20,24510,11726,12496,2691,15433,4338,4220,2388,3375,7123,12822,1305,5324,9670,13064,38340,18980,36316,5449,4986,17210,16280,19120,28571
2020-09-21,28781,80503,46313,9654,3505,7365,5072,6004,1290,3295,38900,9003,14274,7705,12821,17966,30413,28414,5008,15886,45562,7694,17039,3613
2020-09-22,12611,14771,3163,14027,2046,7460,3985,13587,2280,13930,1640,6331,48262,15592,17988,18058,17694,60556,13419,11271,16707,1717,13820,6521
2020-09-23,37604,3817,12655,12786,20138,4002,19042,3467,2095,2444,17956,4422,14277,16077,12554,5262,7879,38925,52480,4059,4916,6211,15624,11303
2020-09-24,42474,26828,38234,19321,99157,5068,3306,10555,340,15584,25146,22972,41654,8471,4630,18159,34401,22792,15976,17010,13545,8525,51134,2082
2020-09-25,34544,4014,7430,2722,10921,7780,16183,5299,3806,2773,5452,2125,52283,2911,12237,12352,15149,14310,6884,39594,9913,4026,5785,4811
2020-09-26,10874,26159,15712,14825,9829,6940,4384,3642,7749,7019,4455,9887,13366,8290,5122,10067,10245,5268,16948,21391,5273,14599,1368,7143
