date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2020-08-25,322,791,1080,4585,3517,14677,1387,152,837,580,610,4070,9184,6372,1629,5059,298,5607,423,1973,1120,0,500,1560
2020-08-26,7105,2268,929,132,1606,100,121,1227,3131,5750,10151,1589,470,1837,14694,1230,192,1026,13493,2873,639,14091,3589,2860
2020-08-27,1281,11668,6331,5258,1134,2288,6758,834,1226,4461,13016,1004,1625,1388,14902,5080,3054,568,2523,5487,3387,659,2776,11416
2020-08-28,8945,8511,3867,800,6559,1763,3175,4150,1100,1338,558,853,12290,5476,3460,2920,1461,7246,1698,6237,6522,6564,1180,300
2020-08-29,6196,7284,2510,141,1929,610,500,806,2106,222,2047,2879,13899,1864,1342,4491,805,8080,1016,3656,1081,374,10,30
2020-08-30,2326,5811,30,5796,1447,4928,2300,400,1073,0,1087,180,515,697,3852,3127,5474,2200,1042,817,13132,3053,4837,2700
2020-08-31,6836,2700,800,1812,7226,765,1101,0,1815,701,331,4235,14528,3195,5270,1230,272,11670,9176,5335,1106,740,4483,1060
2020-09-01,3321,2654,1487,2271,708,2000,811,1912,7688,4980,4035,2883,5417,415,3482,2829,15283,9695,1155,4160,1535,839,1079,497
2020-09-02,9933,100,1368,300,3530,10728,708,1451,101,1599,440,12799,6871,1292,11587,5288,9321,1527,550,13464,150,20370,23992,1714
2020-09-03,6203,19300,4990,816,6868,1540,622,1750,379,1100,1050,3821,1086,5567,4500,23397,8600,1768,9175,3064,6307,1580,1301,9478
2020-09-04,13250,2184,11791,980,799,1150,1323,712,115,525,0,22945,3418,3445,11434,3779,1861,9400,15666,1572,13208,3711,1241,4970
2020-09-05,2864,6951,4742,46388,3212,416,1833,0,110,2363,1387,1734,14930,10025,5500,814,1166,2409,5120,3553,23025,5394,186,13354
2020-09-06,10149,13533,6385,4437,3806,2542,301,3201,1669,5550,174,2012,2443,7228,4439,1795,1507,6896,3705,4430,3836,1490,900,10515
2020-09-07,2031,4773,6680,5108,8540,298,5855,0,917,3145,775,440,24350,792,705,4600,1502,3038,8220,2195,5641,18728,900,25723
2020-09-08,2190,3220,18045,5202,497,520,3205,735,50,588,20,2735,2710,2105,750,873,7599,4681,6681,3834,1154,209,4168,1890
2020-09-09,4530,8821,367,2558,1228,818,1833,444,1528,1603,4799,6776,4661,13239,2152,2588,1440,4805,15016,100,2100,2144,39498,9600
2020-09-10,484,4145,2197,2284,631,744,4696,11585,1290,790,1495,2344,4070,1555,10038,3480,7616,3517,1906,779,6207,2303,1400,6188
2020-09-11,6995,2500,1700,1482,4884,4112,875,2682,1636,2240,4011,1118,10392,14695,10816,4614,4036,4096,3874,6466,1432,3222,1814,1697
2020-09-12,2658,3442,2852,4126,779,3482,2399,2764,1066,3068,13380,1001,1622,7651,4770,4504,10583,5547,4558,56,2023,2510,900,949
2020-09-13,20919,14681,9101,407,621,1777,3660,905,2950,262,1300,1000,940,2302,4970,31925,45006,2042,2130,8130,2255,9181,4100,2424
2020-09-14,1425,4086,1120,1143,11061,3165,13674,500,10613,700,1263,3837,795,4954,941,25395,1294,2510,22787,5987,1622,4729,152,19359
2020-09-15,496,555,2854,5707,18202,0,2295,5,46324,2292,612,1582,10610,1935,1655,40193,2053,2417,10044,3696,2056,4040,461,3758
2020-09-16,3574,24200,1135,6071,20988,15187,2089,316,1258,2360,550,1173,6889,1030,34540,2649,40108,3531,2295,4568,1742,598,619,42
2020-09-17,5095,13937,2723,6202,17685,2199,22490,6915,5412,700,1000,251,8969,6741,8226,23553,2282,1967,6483,4141,11406,1673,1882,2208
2020-09-18,3512,1602,4120,4710,22,3671,1981,100,1086,2760,816,12472,1874,3109,4662,1657,2540,13560,5136,5350,3064,922,2140,5056
2020-09-19,9030,319,6274,10015,3132,760,5237,544,2111,1567,100,1334,4632,3841,10460,654,5404,5734,13727,11007,4218,10844,2842,1139
2020-09-20,3271,4156,794,3050,972,1300,2637,1472,13017,2001,433,19614,3154,13718,4619,2669,1169,1190,9516,350,2317,13630,1435,4034
2020-09-21,18024,17886,12604,7568,8587,987,796,750,3983,4523,3025,1391,5332,3610,6766,15652,2206,23037,1400,32910,1261,1556,2609,5250
