date,aluminum buy
2020-08-25,47147
2020-08-26,182322
2020-08-27,66208
2020-08-28,42134
2020-08-29,56948
2020-08-30,85682
2020-08-31,98942
2020-09-01,129238
2020-09-02,106873
2020-09-03,115845
2020-09-04,100338
2020-09-05,80241
2020-09-06,129297
2020-09-07,199992
2020-09-08,308934
2020-09-09,81220
2020-09-10,165700
2020-09-11,75825
2020-09-12,151667
2020-09-13,161784
2020-09-14,58625
2020-09-15,99370
2020-09-16,109442
2020-09-17,118715
2020-09-18,119431
2020-09-19,60364
2020-09-20,115804
2020-09-21,133755
2020-09-22,59257
2020-09-23,138687
2020-09-24,103967
2020-09-25,94623
2020-09-26,155172
2020-09-27,99285
2020-09-28,168774
2020-09-29,103934
2020-09-30,147827
2020-10-01,192294
2020-10-02,95748
2020-10-03,151788
2020-10-04,133744
2020-10-05,57177
2020-10-06,107780
2020-10-07,113963
2020-10-08,104386
2020-10-09,179284
2020-10-10,96615
2020-10-11,81018
2020-10-12,54903
2020-10-13,118685
2020-10-14,96310
2020-10-15,90830
2020-10-16,119530
2020-10-17,77352
2020-10-18,59380
2020-10-19,36531
2020-10-20,77866
2020-10-21,51724
2020-10-22,94190
2020-10-23,99416
2020-10-24,139954
2020-10-25,133887
2020-10-26,135246
2020-10-27,122256
2020-10-28,90168
2020-10-29,63975
2020-10-30,89117
2020-10-31,146563
2020-11-01,64232
2020-11-02,41048
2020-11-03,38625
2020-11-04,63774
2020-11-05,44774
2020-11-06,53964
2020-11-07,179560
2020-11-08,46142
2020-11-09,43246
2020-11-10,26698
2020-11-11,47419
2020-11-12,35254
2020-11-13,69368
2020-11-14,17390
2020-11-15,46278
2020-11-16,60094
2020-11-17,165689
2020-11-18,48693
2020-11-19,67416
2020-11-20,35468
2020-11-21,87826
2020-11-22,73107
2020-11-23,41543
2020-11-24,68428
2020-11-25,50458
2020-11-26,41378
2020-11-27,54004
2020-11-28,18226
2020-11-29,29125
2020-11-30,37363
2020-12-01,24179
2020-12-02,119179
2020-12-03,49217
2020-12-04,36536
2020-12-05,54265
2020-12-06,16761
2020-12-07,43621
2020-12-08,118214
2020-12-09,137134
2020-12-10,52247
2020-12-11,39417
2020-12-12,93797
2020-12-13,20332
2020-12-14,120236
2020-12-15,184541
2020-12-16,278848
2020-12-17,117356
2020-12-18,81663
2020-12-19,187691
2020-12-20,452470
2020-12-21,268584
2020-12-22,194561
2020-12-23,165243
2020-12-24,223624
2020-12-25,129229
2020-12-26,76939
2020-12-27,51238
2020-12-28,104202
2020-12-29,83742
2020-12-30,47281
2020-12-31,106154
2021-01-01,60312
2021-01-02,114594
2021-01-03,74852
2021-01-04,79559
2021-01-05,139167
2021-01-06,147502
2021-01-07,141615
2021-01-08,49369
2021-01-09,84219
2021-01-10,65944
2021-01-11,52837
2021-01-12,82199
2021-01-13,83680
2021-01-14,143867
2021-01-15,122241
2021-01-16,100430
2021-01-17,40750
2021-01-18,83995
2021-01-19,109064
2021-01-20,139086
2021-01-21,108897
2021-01-22,95854
2021-01-23,236712
2021-01-24,130103
2021-01-25,278315
2021-01-26,52990
2021-01-27,93954
2021-01-28,126466
2021-01-29,176627
2021-01-30,112366
2021-01-31,173198
2021-02-01,183182
2021-02-02,258852
2021-02-03,163915
2021-02-04,108698
2021-02-05,141300
2021-02-06,88547
2021-02-07,183065
2021-02-08,84769
2021-02-09,93830
2021-02-10,68627
2021-02-11,80072
2021-02-12,75729
2021-02-13,96654
2021-02-14,113631
2021-02-15,125492
2021-02-16,97661
2021-02-17,140933
2021-02-18,84675
2021-02-19,168194
2021-02-20,136039
2021-02-21,94923
2021-02-22,80037
2021-02-23,61514
2021-02-24,57731
2021-02-25,91614
2021-02-26,186873
2021-02-27,94120
2021-02-28,103848
2021-03-01,56558
2021-03-02,402952
2021-03-03,110866
2021-03-04,195078
2021-03-05,154937
2021-03-06,182039
2021-03-07,101418
2021-03-08,97844
2021-03-09,118311
2021-03-10,116512
2021-03-11,84004
2021-03-12,151554
2021-03-13,49673
2021-03-14,124392
2021-03-15,84633
2021-03-16,147640
2021-03-17,55919
2021-03-18,247123
2021-03-19,84141
2021-03-20,221679
2021-03-21,94210
2021-03-22,65295
2021-03-23,58855
2021-03-24,51574
2021-03-25,114499
2021-03-26,27413
2021-03-27,53820
2021-03-28,145992
2021-03-29,93802
2021-03-30,215768
2021-03-31,161358
2021-04-01,66769
2021-04-02,128782
2021-04-03,86256
2021-04-04,98396
2021-04-05,121134
2021-04-06,52604
2021-04-07,80220
2021-04-08,142712
2021-04-09,151200
2021-04-10,205235
2021-04-11,123652
2021-04-12,102593
2021-04-13,72741
2021-04-14,124431
2021-04-15,84767
2021-04-16,156549
2021-04-17,109314
2021-04-18,100502
2021-04-19,115875
2021-04-20,159577
2021-04-21,141244
2021-04-22,175009
2021-04-23,70104
2021-04-24,57129
2021-04-25,151225
2021-04-26,126499
2021-04-27,106678
2021-04-28,137069
2021-04-29,233171
2021-04-30,151083
2021-05-01,162174
2021-05-02,65547
2021-05-03,161279
2021-05-04,101384
2021-05-05,154556
2021-05-06,114260
2021-05-07,75157
2021-05-08,120421
2021-05-09,158795
2021-05-10,155703
2021-05-11,72287
2021-05-12,175040
2021-05-13,109889
2021-05-14,106115
2021-05-15,176447
2021-05-16,73363
2021-05-17,181563
2021-05-18,136193
2021-05-19,87530
2021-05-20,158423
2021-05-21,93128
2021-05-22,134837
2021-05-23,74827
2021-05-24,55462
2021-05-25,69716
2021-05-26,127572
2021-05-27,81316
2021-05-28,261416
2021-05-29,46293
2021-05-30,99780
2021-05-31,88075
2021-06-01,70353
2021-06-02,44378
2021-06-03,62516
2021-06-04,33402
2021-06-05,70952
2021-06-06,63058
2021-06-07,55333
2021-06-08,114690
2021-06-09,158928
2021-06-10,143269
2021-06-11,92361
2021-06-12,119810
2021-06-13,232662
2021-06-14,192185
2021-06-15,144013
2021-06-16,161632
2021-06-17,205460
2021-06-18,154179
2021-06-19,99558
2021-06-20,183994
2021-06-21,174055
2021-06-22,157383
2021-06-23,76472
2021-06-24,100871
2021-06-25,121956
2021-06-26,258637
2021-06-27,90558
2021-06-28,84451
2021-06-29,152848
2021-06-30,143768
2021-07-01,126052
2021-07-02,109028
2021-07-03,90868
2021-07-04,138243
2021-07-05,226499
2021-07-06,72005
2021-07-07,145537
2021-07-08,168411
2021-07-09,142737
2021-07-10,149936
2021-07-11,84094
2021-07-12,155637
2021-07-13,41944
2021-07-14,179815
2021-07-15,104106
2021-07-16,204961
2021-07-17,214512
2021-07-18,85154
2021-07-19,141632
2021-07-20,211489
2021-07-21,162737
2021-07-22,111339
2021-07-23,90601
2021-07-24,63678
2021-07-25,459678
2021-07-26,233140
2021-07-27,122551
2021-07-28,97004
2021-07-29,112641
2021-07-30,169777
2021-07-31,99689
2021-08-01,185814
2021-08-02,271795
2021-08-03,154778
2021-08-04,171218
2021-08-05,229272
2021-08-06,112246
2021-08-07,200351
2021-08-08,176439
2021-08-09,288143
2021-08-10,162196
2021-08-11,288477
2021-08-12,165054
2021-08-13,142173
2021-08-14,217096
2021-08-15,119596
2021-08-16,189128
2021-08-17,89670
2021-08-18,147240
2021-08-19,199199
2021-08-20,163380
2021-08-21,183104
2021-08-22,65114
2021-08-23,166815
2021-08-24,60808
2021-08-25,95493
2021-08-26,80365
2021-08-27,88657
2021-08-28,105391
2021-08-29,103558
2021-08-30,87469
2021-08-31,60536
2021-09-01,79473
2021-09-02,169889
2021-09-03,171334
2021-09-04,91615
2021-09-05,150488
2021-09-06,68664
2021-09-07,73191
2021-09-08,123008
2021-09-09,169670
2021-09-10,84830
2021-09-11,105307
2021-09-12,111311
2021-09-13,106167
2021-09-14,117192
2021-09-15,186040
2021-09-16,106489
2021-09-17,153924
2021-09-18,99223
2021-09-19,288644
2021-09-20,224835
2021-09-21,284500
2021-09-22,105626
2021-09-23,54530
2021-09-24,204888
2021-09-25,132679
2021-09-26,107523
2021-09-27,266461
2021-09-28,440628
2021-09-29,105602
2021-09-30,147682
2021-10-01,139993
2021-10-02,84858
2021-10-03,293037
2021-10-04,66271
2021-10-05,196867
2021-10-06,277037
2021-10-07,96624
2021-10-08,293308
