date,bauxite buy
2020-08-25,23600
2020-08-26,10034
2020-08-27,13306
2020-08-28,31485
2020-08-29,28195
2020-08-30,37585
2020-08-31,41260
2020-09-01,70696
2020-09-02,59760
2020-09-03,77478
2020-09-04,30658
2020-09-05,48494
2020-09-06,13911
2020-09-07,9543
2020-09-08,77865
2020-09-09,52319
2020-09-10,29052
2020-09-11,32977
2020-09-12,26154
2020-09-13,36214
2020-09-14,38477
2020-09-15,51942
2020-09-16,85433
2020-09-17,19990
2020-09-18,15106
2020-09-19,19975
2020-09-20,31452
2020-09-21,36701
2020-09-22,27653
2020-09-23,29254
2020-09-24,37152
2020-09-25,62844
2020-09-26,15371
2020-09-27,39869
2020-09-28,19900
2020-09-29,27521
2020-09-30,30237
2020-10-01,64559
2020-10-02,13963
2020-10-03,39674
2020-10-04,9760
2020-10-05,43010
2020-10-06,32391
2020-10-07,31633
2020-10-08,73666
2020-10-09,41545
2020-10-10,18337
2020-10-11,37228
2020-10-12,15639
2020-10-13,42149
2020-10-14,77673
2020-10-15,23047
2020-10-16,84364
2020-10-17,16350
2020-10-18,22366
2020-10-19,43922
2020-10-20,102807
2020-10-21,31351
2020-10-22,26523
2020-10-23,48770
2020-10-24,71072
2020-10-25,22506
2020-10-26,36480
2020-10-27,72130
2020-10-28,26821
2020-10-29,64190
2020-10-30,32108
2020-10-31,27389
2020-11-01,20413
2020-11-02,84098
2020-11-03,17262
2020-11-04,19100
2020-11-05,20818
2020-11-06,15528
2020-11-07,16785
2020-11-08,7175
2020-11-09,19058
2020-11-10,33692
2020-11-11,19956
2020-11-12,21520
2020-11-13,17143
2020-11-14,10157
2020-11-15,17003
2020-11-16,16165
2020-11-17,33407
2020-11-18,82098
2020-11-19,112370
2020-11-20,132185
2020-11-21,144565
2020-11-22,25298
2020-11-23,46858
2020-11-24,19765
2020-11-25,15871
2020-11-26,21296
2020-11-27,17446
2020-11-28,33891
2020-11-29,16851
2020-11-30,23958
2020-12-01,28135
2020-12-02,36874
2020-12-03,33188
2020-12-04,17665
2020-12-05,36207
2020-12-06,55104
2020-12-07,14850
2020-12-08,13384
2020-12-09,28403
2020-12-10,18222
2020-12-11,34797
2020-12-12,7385
2020-12-13,13349
2020-12-14,17098
2020-12-15,112498
2020-12-16,159090
2020-12-17,97074
2020-12-18,58555
2020-12-19,68676
2020-12-20,32948
2020-12-21,21567
2020-12-22,25145
2020-12-23,71738
2020-12-24,58562
2020-12-25,42750
2020-12-26,25476
2020-12-27,37081
2020-12-28,14507
2020-12-29,22993
2020-12-30,40231
2020-12-31,19100
2021-01-01,15541
2021-01-02,25676
2021-01-03,79887
2021-01-04,27445
2021-01-05,21964
2021-01-06,16685
2021-01-07,10501
2021-01-08,15279
2021-01-09,30596
2021-01-10,40304
2021-01-11,21109
2021-01-12,50982
2021-01-13,25794
2021-01-14,43013
2021-01-15,55504
2021-01-16,24524
2021-01-17,34631
2021-01-18,33516
2021-01-19,37790
2021-01-20,32023
2021-01-21,34491
2021-01-22,58630
2021-01-23,14853
2021-01-24,21807
2021-01-25,63631
2021-01-26,65598
2021-01-27,92017
2021-01-28,28285
2021-01-29,35920
2021-01-30,27810
2021-01-31,32320
2021-02-01,65754
2021-02-02,102271
2021-02-03,60875
2021-02-04,37941
2021-02-05,18339
2021-02-06,24316
2021-02-07,42786
2021-02-08,45710
2021-02-09,34483
2021-02-10,19124
2021-02-11,49641
2021-02-12,41213
2021-02-13,37269
2021-02-14,19962
2021-02-15,40049
2021-02-16,24168
2021-02-17,53169
2021-02-18,11190
2021-02-19,44276
2021-02-20,55348
2021-02-21,69436
2021-02-22,43558
2021-02-23,38604
2021-02-24,29607
2021-02-25,45827
2021-02-26,55030
2021-02-27,11233
2021-02-28,40865
2021-03-01,24825
2021-03-02,16575
2021-03-03,58980
2021-03-04,21163
2021-03-05,14128
2021-03-06,52719
2021-03-07,28848
2021-03-08,45034
2021-03-09,26519
2021-03-10,46422
2021-03-11,39746
2021-03-12,52471
2021-03-13,71373
2021-03-14,31486
2021-03-15,63054
2021-03-16,20315
2021-03-17,31480
2021-03-18,40790
2021-03-19,45192
2021-03-20,35531
2021-03-21,18786
2021-03-22,52870
2021-03-23,41568
2021-03-24,24531
2021-03-25,58991
2021-03-26,52096
2021-03-27,39547
2021-03-28,29333
2021-03-29,109070
2021-03-30,45082
