date,coal buy
2020-08-25,17934
2020-08-26,62755
2020-08-27,25531
2020-08-28,50460
2020-08-29,48253
2020-08-30,24330
2020-08-31,41854
2020-09-01,41927
2020-09-02,48128
2020-09-03,37699
2020-09-04,73003
2020-09-05,59322
2020-09-06,46994
2020-09-07,24688
2020-09-08,49262
2020-09-09,41910
2020-09-10,37547
2020-09-11,46742
2020-09-12,13866
2020-09-13,60797
2020-09-14,42147
2020-09-15,41324
2020-09-16,22657
2020-09-17,41158
2020-09-18,42337
2020-09-19,27995
2020-09-20,56269
2020-09-21,25698
2020-09-22,27936
2020-09-23,50676
2020-09-24,47465
2020-09-25,56964
2020-09-26,63170
2020-09-27,28454
2020-09-28,20016
2020-09-29,40738
2020-09-30,65463
2020-10-01,118230
2020-10-02,39899
2020-10-03,74155
2020-10-04,39595
2020-10-05,33350
2020-10-06,15017
2020-10-07,55699
2020-10-08,28341
2020-10-09,66510
2020-10-10,42194
2020-10-11,43988
2020-10-12,37057
2020-10-13,34385
2020-10-14,27355
2020-10-15,38421
2020-10-16,88705
2020-10-17,34669
2020-10-18,48349
2020-10-19,26527
2020-10-20,47324
2020-10-21,30996
2020-10-22,31229
2020-10-23,39462
2020-10-24,56372
2020-10-25,40603
2020-10-26,96271
2020-10-27,75888
2020-10-28,43186
2020-10-29,17381
2020-10-30,35025
2020-10-31,61343
2020-11-01,41483
2020-11-02,16717
2020-11-03,28749
2020-11-04,22287
2020-11-05,34997
2020-11-06,22298
2020-11-07,25539
2020-11-08,32612
2020-11-09,38421
2020-11-10,45886
2020-11-11,32470
2020-11-12,30773
2020-11-13,47388
2020-11-14,41721
2020-11-15,27612
2020-11-16,104432
2020-11-17,49011
2020-11-18,54163
2020-11-19,29734
2020-11-20,35793
2020-11-21,45226
2020-11-22,49374
2020-11-23,50987
2020-11-24,28743
2020-11-25,27112
2020-11-26,59649
2020-11-27,15666
2020-11-28,26683
2020-11-29,29121
2020-11-30,42910
2020-12-01,20980
2020-12-02,37622
2020-12-03,37320
2020-12-04,46959
2020-12-05,36716
2020-12-06,44558
2020-12-07,37553
2020-12-08,35429
2020-12-09,23737
2020-12-10,24188
2020-12-11,25911
2020-12-12,27178
2020-12-13,17349
2020-12-14,22636
2020-12-15,68342
2020-12-16,153526
2020-12-17,37719
2020-12-18,28362
2020-12-19,60140
2020-12-20,44330
2020-12-21,44796
2020-12-22,78868
2020-12-23,50639
2020-12-24,29410
2020-12-25,30788
2020-12-26,50646
2020-12-27,92312
2020-12-28,43302
2020-12-29,31750
2020-12-30,22099
2020-12-31,35750
2021-01-01,52927
2021-01-02,48827
2021-01-03,34163
2021-01-04,88193
2021-01-05,27322
2021-01-06,70132
2021-01-07,38630
2021-01-08,64071
2021-01-09,20076
2021-01-10,42415
2021-01-11,26871
2021-01-12,32399
2021-01-13,51055
2021-01-14,125956
2021-01-15,131951
2021-01-16,72244
2021-01-17,24649
2021-01-18,58417
2021-01-19,44612
2021-01-20,215452
2021-01-21,34675
2021-01-22,72057
2021-01-23,24219
2021-01-24,57756
2021-01-25,144796
2021-01-26,32090
2021-01-27,56908
2021-01-28,72597
2021-01-29,77573
2021-01-30,33049
2021-01-31,50690
2021-02-01,89580
2021-02-02,68673
2021-02-03,71032
2021-02-04,59829
2021-02-05,34835
2021-02-06,35384
2021-02-07,50979
2021-02-08,75254
2021-02-09,46937
2021-02-10,47843
2021-02-11,252483
2021-02-12,54273
2021-02-13,38244
2021-02-14,51612
2021-02-15,46631
2021-02-16,26885
2021-02-17,25155
2021-02-18,69721
2021-02-19,64245
2021-02-20,46959
2021-02-21,97236
2021-02-22,57816
2021-02-23,68318
2021-02-24,58465
2021-02-25,34130
2021-02-26,46152
2021-02-27,34939
2021-02-28,81612
2021-03-01,70849
2021-03-02,44597
2021-03-03,104500
2021-03-04,101827
2021-03-05,62389
2021-03-06,116819
2021-03-07,109983
2021-03-08,68857
2021-03-09,46555
2021-03-10,49606
2021-03-11,51824
2021-03-12,51236
2021-03-13,35614
2021-03-14,103066
2021-03-15,31596
2021-03-16,56927
2021-03-17,37470
2021-03-18,56290
2021-03-19,34596
2021-03-20,46286
2021-03-21,33933
2021-03-22,43704
2021-03-23,50608
2021-03-24,51803
2021-03-25,55408
2021-03-26,103410
2021-03-27,51397
2021-03-28,69741
2021-03-29,112029
2021-03-30,43420
2021-03-31,91843
2021-04-01,33211
2021-04-02,47213
2021-04-03,64777
2021-04-04,56157
2021-04-05,38927
2021-04-06,47051
2021-04-07,48165
2021-04-08,47684
2021-04-09,47355
2021-04-10,84770
2021-04-11,66970
2021-04-12,54160
2021-04-13,41968
2021-04-14,82272
2021-04-15,67677
2021-04-16,39609
2021-04-17,27259
2021-04-18,49762
2021-04-19,44922
2021-04-20,47720
2021-04-21,53041
2021-04-22,69440
2021-04-23,74370
2021-04-24,33584
2021-04-25,31617
2021-04-26,39667
2021-04-27,72177
2021-04-28,149328
2021-04-29,22769
2021-04-30,60831
2021-05-01,115336
2021-05-02,58867
2021-05-03,66156
2021-05-04,46931
2021-05-05,74711
2021-05-06,41860
2021-05-07,52357
2021-05-08,50927
2021-05-09,47358
2021-05-10,49825
2021-05-11,41804
2021-05-12,63505
2021-05-13,50019
2021-05-14,34771
2021-05-15,29317
2021-05-16,112229
2021-05-17,54070
2021-05-18,31631
2021-05-19,66256
2021-05-20,67225
2021-05-21,67502
2021-05-22,104680
2021-05-23,31072
2021-05-24,54452
2021-05-25,61325
2021-05-26,60547
2021-05-27,64945
2021-05-28,65117
2021-05-29,50063
2021-05-30,141170
2021-05-31,28229
2021-06-01,57134
2021-06-02,50819
2021-06-03,39214
2021-06-04,32706
2021-06-05,48648
2021-06-06,67430
2021-06-07,44973
2021-06-08,74648
2021-06-09,51792
2021-06-10,38042
2021-06-11,53233
2021-06-12,34888
2021-06-13,80658
2021-06-14,72737
2021-06-15,86168
2021-06-16,35886
2021-06-17,48276
2021-06-18,45113
2021-06-19,35461
2021-06-20,68517
2021-06-21,125311
2021-06-22,50346
2021-06-23,121830
2021-06-24,61463
2021-06-25,91732
2021-06-26,58233
2021-06-27,112494
2021-06-28,30107
2021-06-29,100042
2021-06-30,54617
2021-07-01,33613
2021-07-02,93884
2021-07-03,62808
2021-07-04,75047
2021-07-05,99327
2021-07-06,52937
2021-07-07,51222
2021-07-08,32794
2021-07-09,80859
2021-07-10,54932
2021-07-11,62092
2021-07-12,34700
2021-07-13,63973
2021-07-14,77300
2021-07-15,39952
2021-07-16,51904
2021-07-17,56060
2021-07-18,66345
2021-07-19,56549
2021-07-20,72031
2021-07-21,58409
2021-07-22,131549
2021-07-23,33535
2021-07-24,32438
2021-07-25,42510
2021-07-26,117477
2021-07-27,35991
2021-07-28,42688
2021-07-29,36063
2021-07-30,35505
2021-07-31,70436
2021-08-01,50233
2021-08-02,102995
2021-08-03,52920
2021-08-04,61900
2021-08-05,33770
2021-08-06,85737
2021-08-07,56915
2021-08-08,53692
2021-08-09,60409
2021-08-10,44587
2021-08-11,88271
2021-08-12,53722
2021-08-13,74058
2021-08-14,65538
2021-08-15,94272
2021-08-16,63102
2021-08-17,62293
2021-08-18,60218
2021-08-19,52264
2021-08-20,69235
2021-08-21,83138
2021-08-22,38932
2021-08-23,71808
2021-08-24,47942
2021-08-25,48343
2021-08-26,58558
2021-08-27,52732
2021-08-28,26193
2021-08-29,36546
2021-08-30,48212
2021-08-31,36897
2021-09-01,36782
2021-09-02,49288
2021-09-03,49673
2021-09-04,114382
2021-09-05,98948
2021-09-06,42849
2021-09-07,95415
2021-09-08,66412
2021-09-09,46114
2021-09-10,89772
2021-09-11,42514
2021-09-12,138902
2021-09-13,58618
2021-09-14,59967
2021-09-15,46199
2021-09-16,52461
2021-09-17,65580
2021-09-18,78290
2021-09-19,108554
2021-09-20,123483
2021-09-21,65623
2021-09-22,88208
2021-09-23,83353
2021-09-24,46271
2021-09-25,69414
2021-09-26,57046
2021-09-27,65950
2021-09-28,72848
2021-09-29,119338
2021-09-30,76125
2021-10-01,72029
2021-10-02,40623
2021-10-03,47073
2021-10-04,48385
2021-10-05,56953
2021-10-06,45989
2021-10-07,120035
2021-10-08,31114
2021-10-09,33272
2021-10-10,88703
2021-10-11,167705
2021-10-12,58862
2021-10-13,29908
2021-10-14,42197
2021-10-15,116713
2021-10-16,61081
2021-10-17,40807
2021-10-18,69298
2021-10-19,62946
2021-10-20,58721
2021-10-21,91281
2021-10-22,45007
2021-10-23,50318
2021-10-24,42892
2021-10-25,78756
2021-10-26,54000
2021-10-27,108602
2021-10-28,89098
2021-10-29,91023
2021-10-30,52109
2021-10-31,55259
2021-11-01,59149
2021-11-02,68176
2021-11-03,59646
2021-11-04,88542
2021-11-05,103522
2021-11-06,53897
2021-11-07,74259
2021-11-08,100399
2021-11-09,88289
2021-11-10,64846
2021-11-11,54350
2021-11-12,43075
2021-11-13,96675
2021-11-14,59853
2021-11-15,55050
2021-11-16,45233
2021-11-17,108112
2021-11-18,52529
2021-11-19,45653
2021-11-20,58126
2021-11-21,71938
2021-11-22,88730
2021-11-23,99777
2021-11-24,89577
2021-11-25,88059
2021-11-26,86783
2021-11-27,100106
2021-11-28,49909
2021-11-29,83715
2021-11-30,76987
2021-12-01,115136
2021-12-02,45168
2021-12-03,52607
2021-12-04,52264
