date,food buy
2020-08-25,679510
2020-08-26,4848064
2020-08-27,2333735
2020-08-28,5269558
2020-08-29,4911733
2020-08-30,3232244
2020-08-31,2892128
2020-09-01,2983769
2020-09-02,1768673
2020-09-03,5981448
2020-09-04,8473550
2020-09-05,6014390
2020-09-06,2671285
2020-09-07,4865271
2020-09-08,10506206
2020-09-09,2692341
2020-09-10,2904567
2020-09-11,4763609
2020-09-12,4299306
2020-09-13,3445982
2020-09-14,5094080
2020-09-15,2451902
2020-09-16,2050939
2020-09-17,5937659
2020-09-18,12441151
2020-09-19,5542023
2020-09-20,5641168
2020-09-21,4255915
2020-09-22,2414076
2020-09-23,3205831
2020-09-24,4880047
2020-09-25,4228888
2020-09-26,6626256
2020-09-27,2770814
2020-09-28,3888273
2020-09-29,6972380
2020-09-30,3972020
2020-10-01,6545404
2020-10-02,4103981
2020-10-03,4547484
2020-10-04,4985788
2020-10-05,5232335
2020-10-06,2741780
2020-10-07,5150023
2020-10-08,5718912
2020-10-09,3311308
2020-10-10,7041382
2020-10-11,2045279
2020-10-12,3074498
2020-10-13,4210140
2020-10-14,3686523
2020-10-15,6274756
2020-10-16,4992454
2020-10-17,6425467
2020-10-18,5222584
2020-10-19,4781551
2020-10-20,7230477
2020-10-21,4471463
2020-10-22,6776556
2020-10-23,3012385
2020-10-24,6214382
2020-10-25,4612455
2020-10-26,6409107
2020-10-27,8659829
2020-10-28,2240164
2020-10-29,5864944
2020-10-30,1549326
2020-10-31,1969041
2020-11-01,1438001
2020-11-02,760414
2020-11-03,2267294
2020-11-04,3590479
2020-11-05,1615964
2020-11-06,594081
2020-11-07,278709
2020-11-08,167557
2020-11-09,1421979
2020-11-10,535758
2020-11-11,401920
2020-11-12,344476
2020-11-13,611338
2020-11-14,1455965
2020-11-15,2894655
2020-11-16,2038366
2020-11-17,1397633
2020-11-18,303507
2020-11-19,1221241
2020-11-20,1594260
2020-11-21,1849247
2020-11-22,2329705
2020-11-23,778677
2020-11-24,1119353
2020-11-25,1409283
2020-11-26,1933354
2020-11-27,181999
2020-11-28,427880
2020-11-29,2103671
2020-11-30,960045
2020-12-01,2266431
2020-12-02,1550115
