date,gasoline buy
2020-08-25,45515
2020-08-26,172303
2020-08-27,71627
2020-08-28,56813
2020-08-29,83192
2020-08-30,74873
2020-08-31,71617
2020-09-01,167291
2020-09-02,82934
2020-09-03,79662
2020-09-04,102773
2020-09-05,184406
2020-09-06,158941
2020-09-07,87655
2020-09-08,87171
2020-09-09,114330
2020-09-10,163815
2020-09-11,126289
2020-09-12,68066
2020-09-13,212743
2020-09-14,110163
2020-09-15,57979
2020-09-16,96521
2020-09-17,54554
2020-09-18,90576
2020-09-19,110864
2020-09-20,84394
2020-09-21,174533
2020-09-22,95864
2020-09-23,48289
2020-09-24,44436
2020-09-25,38532
2020-09-26,108414
2020-09-27,62733
2020-09-28,74292
2020-09-29,67886
2020-09-30,46383
2020-10-01,43386
2020-10-02,38082
2020-10-03,119357
2020-10-04,132109
2020-10-05,121801
2020-10-06,82461
2020-10-07,87650
2020-10-08,45763
2020-10-09,76930
2020-10-10,26228
2020-10-11,39382
2020-10-12,107031
2020-10-13,62961
2020-10-14,109405
2020-10-15,41873
2020-10-16,94580
2020-10-17,43078
2020-10-18,30307
2020-10-19,35238
2020-10-20,86346
2020-10-21,62113
2020-10-22,68894
2020-10-23,158220
2020-10-24,245838
2020-10-25,87657
2020-10-26,93795
2020-10-27,84370
2020-10-28,144471
2020-10-29,73219
2020-10-30,37442
2020-10-31,20036
2020-11-01,94772
2020-11-02,30485
2020-11-03,16416
2020-11-04,30033
2020-11-05,72569
2020-11-06,33618
2020-11-07,35115
2020-11-08,22998
2020-11-09,30653
2020-11-10,15834
2020-11-11,57279
2020-11-12,134091
2020-11-13,101940
2020-11-14,28411
2020-11-15,17016
2020-11-16,33464
2020-11-17,48360
2020-11-18,67984
2020-11-19,55543
2020-11-20,60041
2020-11-21,46025
2020-11-22,89713
2020-11-23,78016
2020-11-24,51066
2020-11-25,77187
2020-11-26,44540
2020-11-27,34656
2020-11-28,90787
2020-11-29,34419
2020-11-30,67046
2020-12-01,14185
2020-12-02,11767
2020-12-03,34036
2020-12-04,46061
2020-12-05,35610
2020-12-06,17991
2020-12-07,75512
2020-12-08,29198
2020-12-09,36412
2020-12-10,38917
2020-12-11,47987
2020-12-12,19724
2020-12-13,36178
2020-12-14,113777
2020-12-15,275613
2020-12-16,294684
2020-12-17,59983
2020-12-18,93442
2020-12-19,66956
2020-12-20,204117
2020-12-21,72915
2020-12-22,88487
2020-12-23,242793
2020-12-24,421180
2020-12-25,67445
2020-12-26,97744
2020-12-27,76037
2020-12-28,197162
2020-12-29,88628
2020-12-30,57998
2020-12-31,133958
2021-01-01,49992
2021-01-02,119058
2021-01-03,103375
2021-01-04,112324
2021-01-05,106962
2021-01-06,151475
2021-01-07,189935
2021-01-08,96220
2021-01-09,54955
2021-01-10,139477
2021-01-11,162752
2021-01-12,163334
2021-01-13,115616
2021-01-14,148611
2021-01-15,124181
2021-01-16,93152
2021-01-17,185724
2021-01-18,97054
2021-01-19,161357
2021-01-20,103359
2021-01-21,100505
2021-01-22,54562
2021-01-23,124837
2021-01-24,163983
2021-01-25,171423
2021-01-26,87509
2021-01-27,189779
2021-01-28,71676
2021-01-29,57908
2021-01-30,121845
2021-01-31,151728
2021-02-01,152628
2021-02-02,181713
2021-02-03,162493
2021-02-04,86213
2021-02-05,215286
2021-02-06,179362
2021-02-07,127952
2021-02-08,66346
2021-02-09,101777
2021-02-10,80519
2021-02-11,80216
2021-02-12,115550
2021-02-13,167113
2021-02-14,74838
2021-02-15,80913
2021-02-16,137997
2021-02-17,48533
2021-02-18,67394
2021-02-19,100122
2021-02-20,130745
2021-02-21,170464
2021-02-22,64611
2021-02-23,54630
2021-02-24,127138
2021-02-25,77526
2021-02-26,242512
2021-02-27,105831
2021-02-28,143334
2021-03-01,58583
2021-03-02,209093
2021-03-03,106308
2021-03-04,34737
2021-03-05,130733
2021-03-06,133946
2021-03-07,70435
2021-03-08,177079
2021-03-09,80730
2021-03-10,88527
2021-03-11,94199
2021-03-12,97388
2021-03-13,65582
2021-03-14,66431
2021-03-15,149544
2021-03-16,81626
2021-03-17,52460
2021-03-18,120220
2021-03-19,131665
2021-03-20,43259
2021-03-21,88990
2021-03-22,148618
2021-03-23,59783
2021-03-24,53607
2021-03-25,27930
2021-03-26,37774
2021-03-27,43627
2021-03-28,198620
2021-03-29,62552
2021-03-30,139154
2021-03-31,76929
2021-04-01,99796
2021-04-02,193382
2021-04-03,30970
2021-04-04,130838
2021-04-05,156659
2021-04-06,43885
2021-04-07,77242
2021-04-08,185257
2021-04-09,90544
2021-04-10,89058
2021-04-11,132247
2021-04-12,152376
2021-04-13,50588
2021-04-14,50221
2021-04-15,105812
2021-04-16,98825
2021-04-17,112615
2021-04-18,70144
2021-04-19,98397
2021-04-20,212847
2021-04-21,123530
2021-04-22,97167
2021-04-23,53841
2021-04-24,76799
2021-04-25,67142
2021-04-26,89131
2021-04-27,98587
2021-04-28,211625
2021-04-29,138454
2021-04-30,136013
2021-05-01,60131
2021-05-02,92707
2021-05-03,215369
2021-05-04,48871
2021-05-05,112165
2021-05-06,165161
2021-05-07,93143
2021-05-08,161303
2021-05-09,138668
2021-05-10,95924
2021-05-11,90654
2021-05-12,182392
2021-05-13,85224
2021-05-14,340983
2021-05-15,82957
2021-05-16,58817
2021-05-17,85759
2021-05-18,91236
2021-05-19,84357
2021-05-20,127153
2021-05-21,108297
2021-05-22,173807
2021-05-23,45519
2021-05-24,36116
2021-05-25,23602
2021-05-26,84567
2021-05-27,61951
2021-05-28,161338
2021-05-29,171026
2021-05-30,124672
2021-05-31,50518
2021-06-01,68837
2021-06-02,32611
2021-06-03,104676
2021-06-04,66083
2021-06-05,121288
2021-06-06,21519
2021-06-07,90731
2021-06-08,49728
2021-06-09,86143
2021-06-10,121595
2021-06-11,131257
2021-06-12,53072
2021-06-13,89908
2021-06-14,106497
2021-06-15,180100
2021-06-16,156495
2021-06-17,196983
2021-06-18,121192
2021-06-19,144963
2021-06-20,214366
2021-06-21,119189
2021-06-22,88293
2021-06-23,138129
2021-06-24,65593
2021-06-25,77540
2021-06-26,238128
2021-06-27,103254
2021-06-28,108515
2021-06-29,82200
2021-06-30,89388
2021-07-01,165979
2021-07-02,90417
2021-07-03,92240
2021-07-04,155722
2021-07-05,126117
2021-07-06,126723
2021-07-07,181015
2021-07-08,114917
2021-07-09,155483
2021-07-10,134899
2021-07-11,116660
2021-07-12,78661
2021-07-13,91365
2021-07-14,265939
2021-07-15,156987
2021-07-16,26370
2021-07-17,113524
2021-07-18,109628
2021-07-19,263830
2021-07-20,86691
2021-07-21,251914
2021-07-22,78865
2021-07-23,92438
2021-07-24,80148
2021-07-25,273648
2021-07-26,99166
2021-07-27,87217
2021-07-28,226792
2021-07-29,87136
2021-07-30,145904
2021-07-31,86680
2021-08-01,130668
2021-08-02,43925
2021-08-03,63961
2021-08-04,329160
2021-08-05,160466
2021-08-06,74630
2021-08-07,115802
2021-08-08,62659
2021-08-09,143269
2021-08-10,76508
2021-08-11,215542
2021-08-12,119036
2021-08-13,175558
2021-08-14,122262
2021-08-15,122747
2021-08-16,150645
2021-08-17,114899
2021-08-18,106962
2021-08-19,86906
2021-08-20,136755
2021-08-21,81945
2021-08-22,94009
2021-08-23,227073
2021-08-24,40888
2021-08-25,42097
2021-08-26,232498
2021-08-27,32245
2021-08-28,104084
2021-08-29,90435
2021-08-30,75828
2021-08-31,126203
2021-09-01,82647
2021-09-02,144018
2021-09-03,57491
2021-09-04,128543
2021-09-05,169455
2021-09-06,126169
2021-09-07,107320
2021-09-08,374264
2021-09-09,45737
2021-09-10,38013
2021-09-11,84779
2021-09-12,83345
2021-09-13,138474
2021-09-14,98116
2021-09-15,58853
2021-09-16,83232
2021-09-17,179923
2021-09-18,253442
2021-09-19,194566
2021-09-20,253170
2021-09-21,115054
2021-09-22,118348
2021-09-23,40663
2021-09-24,141252
2021-09-25,134639
2021-09-26,83523
2021-09-27,88585
