date,iron buy
2020-08-25,42265
2020-08-26,33425
2020-08-27,69661
2020-08-28,73426
2020-08-29,48142
2020-08-30,31991
2020-08-31,54441
2020-09-01,67033
2020-09-02,37382
2020-09-03,67712
2020-09-04,85018
2020-09-05,27818
2020-09-06,41583
2020-09-07,56935
2020-09-08,60632
2020-09-09,38906
2020-09-10,40018
2020-09-11,23920
2020-09-12,14906
2020-09-13,58453
2020-09-14,41947
2020-09-15,43521
2020-09-16,39677
2020-09-17,35175
2020-09-18,28055
2020-09-19,28751
2020-09-20,73346
2020-09-21,32920
2020-09-22,47040
2020-09-23,70155
2020-09-24,31090
2020-09-25,55022
2020-09-26,42441
2020-09-27,21527
2020-09-28,22554
2020-09-29,69756
2020-09-30,51419
2020-10-01,101946
2020-10-02,27438
2020-10-03,58521
2020-10-04,32070
2020-10-05,36405
2020-10-06,17386
2020-10-07,101384
2020-10-08,35099
2020-10-09,20058
2020-10-10,39057
2020-10-11,49748
2020-10-12,41641
2020-10-13,34889
2020-10-14,31174
2020-10-15,28242
2020-10-16,80866
2020-10-17,60703
2020-10-18,33494
2020-10-19,44216
2020-10-20,25038
2020-10-21,32695
2020-10-22,23022
2020-10-23,42243
2020-10-24,58493
2020-10-25,52364
2020-10-26,106383
2020-10-27,65021
2020-10-28,110184
2020-10-29,41322
2020-10-30,39886
2020-10-31,68904
2020-11-01,17659
2020-11-02,41866
2020-11-03,27764
2020-11-04,27057
2020-11-05,27492
2020-11-06,25139
2020-11-07,25380
2020-11-08,19910
2020-11-09,38329
2020-11-10,50798
2020-11-11,51480
2020-11-12,53552
2020-11-13,38217
2020-11-14,76298
2020-11-15,36018
2020-11-16,46801
2020-11-17,43885
2020-11-18,48934
2020-11-19,41617
2020-11-20,33737
2020-11-21,25242
2020-11-22,43214
2020-11-23,18757
2020-11-24,43582
2020-11-25,45017
2020-11-26,50879
2020-11-27,21007
2020-11-28,59261
2020-11-29,71067
2020-11-30,41159
2020-12-01,38713
2020-12-02,35662
2020-12-03,34354
2020-12-04,33649
2020-12-05,38457
2020-12-06,57388
2020-12-07,31345
2020-12-08,30925
2020-12-09,43645
2020-12-10,46825
2020-12-11,17049
2020-12-12,25364
2020-12-13,30576
2020-12-14,45280
2020-12-15,101091
2020-12-16,116682
2020-12-17,38723
2020-12-18,24267
2020-12-19,44145
2020-12-20,39424
2020-12-21,28671
2020-12-22,16749
2020-12-23,127386
2020-12-24,41895
2020-12-25,44844
2020-12-26,23525
2020-12-27,28299
2020-12-28,46287
2020-12-29,18394
2020-12-30,31690
2020-12-31,47116
2021-01-01,29022
2021-01-02,48743
2021-01-03,29336
2021-01-04,110053
2021-01-05,26764
2021-01-06,38767
2021-01-07,24477
2021-01-08,78781
2021-01-09,30075
2021-01-10,29212
2021-01-11,26020
2021-01-12,65389
2021-01-13,34478
2021-01-14,54049
2021-01-15,32475
2021-01-16,25786
2021-01-17,44553
2021-01-18,32388
2021-01-19,34130
2021-01-20,52986
2021-01-21,17240
2021-01-22,77675
2021-01-23,124890
2021-01-24,59948
2021-01-25,42074
2021-01-26,32690
2021-01-27,34570
2021-01-28,43638
2021-01-29,50204
2021-01-30,38861
2021-01-31,29451
2021-02-01,34491
2021-02-02,57855
2021-02-03,84214
2021-02-04,57579
2021-02-05,23189
2021-02-06,35103
2021-02-07,14945
2021-02-08,43636
2021-02-09,22689
2021-02-10,33424
2021-02-11,17237
2021-02-12,26311
2021-02-13,60729
2021-02-14,56521
2021-02-15,43222
2021-02-16,59625
2021-02-17,32433
2021-02-18,31078
2021-02-19,51565
2021-02-20,68228
2021-02-21,65428
2021-02-22,54813
2021-02-23,35543
2021-02-24,28021
2021-02-25,59013
2021-02-26,44868
2021-02-27,49362
2021-02-28,23894
2021-03-01,53239
2021-03-02,51960
2021-03-03,45511
2021-03-04,51042
2021-03-05,34108
2021-03-06,56729
2021-03-07,32027
2021-03-08,61163
2021-03-09,41371
2021-03-10,40705
2021-03-11,49363
2021-03-12,24553
2021-03-13,30934
2021-03-14,47426
2021-03-15,45906
2021-03-16,18067
2021-03-17,32223
2021-03-18,40883
2021-03-19,25336
2021-03-20,37949
2021-03-21,17351
2021-03-22,58317
2021-03-23,64961
2021-03-24,91823
2021-03-25,62174
2021-03-26,70368
2021-03-27,22010
2021-03-28,56472
2021-03-29,57084
2021-03-30,76874
2021-03-31,52450
2021-04-01,53001
2021-04-02,46985
2021-04-03,62136
2021-04-04,108153
2021-04-05,117482
2021-04-06,106259
2021-04-07,63315
2021-04-08,91064
2021-04-09,65857
2021-04-10,90249
2021-04-11,48148
2021-04-12,52115
2021-04-13,43684
2021-04-14,68901
2021-04-15,44567
2021-04-16,19203
