date,lead buy
2020-08-25,13544
2020-08-26,36414
2020-08-27,18506
2020-08-28,23059
2020-08-29,19539
2020-08-30,38584
2020-08-31,37456
2020-09-01,96075
2020-09-02,73370
2020-09-03,59051
2020-09-04,34208
2020-09-05,28308
2020-09-06,24017
2020-09-07,114520
2020-09-08,30845
2020-09-09,35455
2020-09-10,23627
2020-09-11,33629
2020-09-12,38919
2020-09-13,39817
2020-09-14,31616
2020-09-15,36672
2020-09-16,20932
2020-09-17,15414
2020-09-18,22637
2020-09-19,21042
2020-09-20,46605
2020-09-21,34238
2020-09-22,35533
2020-09-23,24886
2020-09-24,38532
2020-09-25,29564
2020-09-26,45160
2020-09-27,38186
2020-09-28,20322
2020-09-29,30789
2020-09-30,28659
2020-10-01,49292
2020-10-02,27606
2020-10-03,40979
2020-10-04,15142
2020-10-05,29898
2020-10-06,31929
2020-10-07,22908
2020-10-08,38670
2020-10-09,11767
2020-10-10,27473
2020-10-11,16349
2020-10-12,30927
2020-10-13,60847
2020-10-14,13755
2020-10-15,22376
2020-10-16,73345
2020-10-17,21323
2020-10-18,27374
2020-10-19,68900
2020-10-20,28590
2020-10-21,20159
2020-10-22,26152
2020-10-23,21450
2020-10-24,83047
2020-10-25,22924
2020-10-26,59734
2020-10-27,47202
2020-10-28,28711
2020-10-29,32863
2020-10-30,54164
2020-10-31,54844
2020-11-01,29517
2020-11-02,18953
2020-11-03,23812
2020-11-04,13795
2020-11-05,29698
2020-11-06,19839
2020-11-07,19526
2020-11-08,13900
2020-11-09,18210
2020-11-10,35614
2020-11-11,31854
2020-11-12,26021
2020-11-13,24308
2020-11-14,22819
2020-11-15,7999
2020-11-16,16869
2020-11-17,24468
2020-11-18,35164
2020-11-19,10791
2020-11-20,23099
2020-11-21,10186
2020-11-22,40353
2020-11-23,42616
2020-11-24,20903
2020-11-25,44847
2020-11-26,45792
2020-11-27,14190
2020-11-28,8561
2020-11-29,16485
2020-11-30,27051
2020-12-01,17929
2020-12-02,38535
2020-12-03,22783
2020-12-04,34037
2020-12-05,20151
2020-12-06,19306
2020-12-07,22016
2020-12-08,29332
2020-12-09,32826
2020-12-10,65934
2020-12-11,21645
2020-12-12,53238
2020-12-13,15336
2020-12-14,37114
2020-12-15,83461
2020-12-16,129710
2020-12-17,59483
2020-12-18,25374
2020-12-19,66894
2020-12-20,64595
2020-12-21,53770
2020-12-22,18381
