date,munitions buy
2020-08-25,65009
2020-08-26,115719
2020-08-27,106870
2020-08-28,150731
2020-08-29,21971
2020-08-30,40871
2020-08-31,81124
2020-09-01,196547
2020-09-02,67851
2020-09-03,98911
2020-09-04,120841
2020-09-05,74566
2020-09-06,210357
2020-09-07,280871
2020-09-08,263377
2020-09-09,95369
2020-09-10,273434
2020-09-11,233480
2020-09-12,76722
2020-09-13,252958
2020-09-14,306540
2020-09-15,77925
2020-09-16,160125
2020-09-17,87247
2020-09-18,101214
2020-09-19,98222
2020-09-20,183200
2020-09-21,62761
2020-09-22,88649
2020-09-23,116501
2020-09-24,210232
2020-09-25,102548
2020-09-26,204292
2020-09-27,85953
2020-09-28,43736
2020-09-29,104596
2020-09-30,192835
2020-10-01,84959
2020-10-02,96267
2020-10-03,149626
2020-10-04,89917
2020-10-05,148956
2020-10-06,62766
2020-10-07,20931
2020-10-08,159230
2020-10-09,99772
2020-10-10,142389
2020-10-11,82252
2020-10-12,86508
2020-10-13,128410
2020-10-14,121081
2020-10-15,172423
2020-10-16,295005
2020-10-17,122412
2020-10-18,61384
2020-10-19,115768
2020-10-20,54871
2020-10-21,66459
2020-10-22,74998
2020-10-23,99350
2020-10-24,137019
2020-10-25,91506
2020-10-26,284934
2020-10-27,76024
2020-10-28,143052
2020-10-29,106083
2020-10-30,69160
2020-10-31,69461
2020-11-01,30439
2020-11-02,44453
2020-11-03,67300
2020-11-04,49953
2020-11-05,112880
2020-11-06,66018
2020-11-07,47780
2020-11-08,77029
2020-11-09,94352
2020-11-10,90996
2020-11-11,92103
2020-11-12,81176
2020-11-13,44723
2020-11-14,72196
2020-11-15,45001
2020-11-16,119687
2020-11-17,61213
2020-11-18,153479
2020-11-19,92505
2020-11-20,128699
2020-11-21,34497
2020-11-22,143718
2020-11-23,46658
2020-11-24,74660
2020-11-25,270418
2020-11-26,55501
2020-11-27,51689
2020-11-28,145563
2020-11-29,109331
2020-11-30,139770
2020-12-01,29423
2020-12-02,38525
2020-12-03,68228
2020-12-04,45416
2020-12-05,87826
2020-12-06,61422
2020-12-07,96603
2020-12-08,187948
2020-12-09,162731
2020-12-10,66194
2020-12-11,61095
2020-12-12,37594
2020-12-13,86986
2020-12-14,149291
2020-12-15,192492
2020-12-16,266756
2020-12-17,187738
2020-12-18,277592
2020-12-19,252252
2020-12-20,99261
2020-12-21,128895
2020-12-22,130033
2020-12-23,147049
2020-12-24,193675
2020-12-25,102192
2020-12-26,85965
2020-12-27,72858
2020-12-28,157097
2020-12-29,152945
2020-12-30,85747
2020-12-31,205306
2021-01-01,95973
2021-01-02,156799
2021-01-03,103384
2021-01-04,154283
2021-01-05,90623
2021-01-06,136554
2021-01-07,253730
2021-01-08,138410
2021-01-09,93944
2021-01-10,75616
2021-01-11,65343
2021-01-12,122584
2021-01-13,114888
2021-01-14,112128
2021-01-15,49514
2021-01-16,73578
2021-01-17,97108
2021-01-18,209319
2021-01-19,98223
2021-01-20,150665
2021-01-21,178106
2021-01-22,150887
2021-01-23,279776
2021-01-24,147027
2021-01-25,192654
2021-01-26,114533
2021-01-27,60454
2021-01-28,218049
2021-01-29,166611
2021-01-30,194898
2021-01-31,195797
2021-02-01,137972
2021-02-02,226746
2021-02-03,129201
2021-02-04,95041
2021-02-05,69384
2021-02-06,113786
2021-02-07,204786
2021-02-08,88587
2021-02-09,209991
2021-02-10,214375
2021-02-11,69482
2021-02-12,139213
2021-02-13,144884
2021-02-14,154246
2021-02-15,191780
2021-02-16,149214
2021-02-17,157177
2021-02-18,341366
2021-02-19,156275
2021-02-20,108234
2021-02-21,104918
2021-02-22,64971
2021-02-23,124228
2021-02-24,111195
2021-02-25,149201
2021-02-26,209097
2021-02-27,82416
2021-02-28,89679
2021-03-01,165345
2021-03-02,243508
2021-03-03,181473
2021-03-04,106451
2021-03-05,168381
2021-03-06,206228
2021-03-07,192278
2021-03-08,217377
2021-03-09,65636
2021-03-10,95697
2021-03-11,106328
2021-03-12,164386
2021-03-13,55128
2021-03-14,178345
2021-03-15,214169
2021-03-16,169545
2021-03-17,106736
2021-03-18,159933
2021-03-19,75261
2021-03-20,166128
2021-03-21,89901
2021-03-22,320657
2021-03-23,148020
2021-03-24,176310
2021-03-25,147139
2021-03-26,170769
2021-03-27,104502
2021-03-28,106261
2021-03-29,212157
2021-03-30,336962
2021-03-31,68647
2021-04-01,56301
2021-04-02,72300
2021-04-03,63104
2021-04-04,143504
2021-04-05,244338
2021-04-06,169752
2021-04-07,183571
2021-04-08,403522
2021-04-09,207846
2021-04-10,139036
2021-04-11,69669
2021-04-12,60589
2021-04-13,59999
2021-04-14,270373
2021-04-15,139903
2021-04-16,201641
2021-04-17,182591
2021-04-18,136759
2021-04-19,201026
2021-04-20,182212
2021-04-21,214898
2021-04-22,195918
2021-04-23,166410
2021-04-24,198605
2021-04-25,93530
2021-04-26,82498
2021-04-27,158818
2021-04-28,158971
2021-04-29,219329
2021-04-30,158195
2021-05-01,213110
2021-05-02,84956
2021-05-03,166113
2021-05-04,95035
2021-05-05,200654
2021-05-06,119449
2021-05-07,230784
2021-05-08,146602
2021-05-09,172307
2021-05-10,162029
2021-05-11,119060
2021-05-12,146751
2021-05-13,100489
2021-05-14,313297
2021-05-15,128972
2021-05-16,314487
2021-05-17,141594
2021-05-18,116449
2021-05-19,125871
2021-05-20,297602
2021-05-21,120877
2021-05-22,161927
2021-05-23,175361
2021-05-24,46635
2021-05-25,61983
2021-05-26,118926
2021-05-27,184540
2021-05-28,171920
2021-05-29,315743
2021-05-30,181914
2021-05-31,302885
2021-06-01,335132
2021-06-02,51031
2021-06-03,63895
2021-06-04,25092
2021-06-05,148529
2021-06-06,103203
2021-06-07,92618
2021-06-08,89068
2021-06-09,109721
2021-06-10,145324
2021-06-11,61163
2021-06-12,174741
2021-06-13,249995
2021-06-14,210393
2021-06-15,285388
2021-06-16,265640
2021-06-17,207127
2021-06-18,150296
2021-06-19,162711
2021-06-20,161532
2021-06-21,119120
2021-06-22,113101
2021-06-23,148661
2021-06-24,134253
2021-06-25,112836
2021-06-26,134459
2021-06-27,144368
2021-06-28,149401
2021-06-29,396036
2021-06-30,472136
2021-07-01,124121
2021-07-02,112960
2021-07-03,110792
2021-07-04,105751
2021-07-05,145684
2021-07-06,248548
2021-07-07,131223
2021-07-08,98785
2021-07-09,117390
2021-07-10,124305
2021-07-11,334092
2021-07-12,43228
2021-07-13,72513
2021-07-14,115823
2021-07-15,78972
2021-07-16,137908
2021-07-17,58398
2021-07-18,81287
2021-07-19,110757
2021-07-20,61238
2021-07-21,90225
2021-07-22,73084
2021-07-23,80899
2021-07-24,145173
2021-07-25,328207
2021-07-26,211343
2021-07-27,69823
2021-07-28,184401
2021-07-29,70700
2021-07-30,181995
2021-07-31,49712
2021-08-01,194089
2021-08-02,135690
2021-08-03,79949
2021-08-04,177605
2021-08-05,148900
2021-08-06,46459
2021-08-07,120891
2021-08-08,179210
2021-08-09,44795
2021-08-10,123848
2021-08-11,226889
2021-08-12,64957
2021-08-13,140632
2021-08-14,96682
2021-08-15,127168
2021-08-16,186900
2021-08-17,229132
2021-08-18,196542
2021-08-19,234433
2021-08-20,127035
2021-08-21,130898
2021-08-22,177158
2021-08-23,77161
2021-08-24,45021
2021-08-25,158087
2021-08-26,87994
2021-08-27,176452
2021-08-28,159344
2021-08-29,67126
2021-08-30,116182
2021-08-31,43139
2021-09-01,196843
2021-09-02,363409
2021-09-03,172210
2021-09-04,167642
2021-09-05,100028
2021-09-06,103628
2021-09-07,221776
2021-09-08,112130
2021-09-09,104021
2021-09-10,185817
2021-09-11,79643
2021-09-12,220012
2021-09-13,128567
2021-09-14,160219
2021-09-15,179920
2021-09-16,136779
2021-09-17,189488
2021-09-18,203289
2021-09-19,340588
2021-09-20,287681
2021-09-21,292545
2021-09-22,152923
2021-09-23,99764
2021-09-24,136604
2021-09-25,46652
2021-09-26,197757
2021-09-27,50642
2021-09-28,91074
2021-09-29,215093
2021-09-30,122451
2021-10-01,102339
2021-10-02,67809
2021-10-03,72000
2021-10-04,74057
