date,oil buy
2020-08-25,33655
2020-08-26,68528
2020-08-27,33151
2020-08-28,62814
2020-08-29,62093
2020-08-30,79261
2020-08-31,91992
2020-09-01,79389
2020-09-02,69509
2020-09-03,53539
2020-09-04,59340
2020-09-05,114846
2020-09-06,79617
2020-09-07,32324
2020-09-08,69500
2020-09-09,56602
2020-09-10,31660
2020-09-11,31112
2020-09-12,44840
2020-09-13,97159
2020-09-14,65916
2020-09-15,71782
2020-09-16,22554
2020-09-17,73322
2020-09-18,45605
2020-09-19,61208
2020-09-20,75900
2020-09-21,52985
2020-09-22,85722
2020-09-23,69167
2020-09-24,74944
2020-09-25,28517
2020-09-26,45709
2020-09-27,31200
2020-09-28,41588
2020-09-29,37473
2020-09-30,90583
2020-10-01,22359
2020-10-02,43622
2020-10-03,70835
2020-10-04,60142
2020-10-05,63085
2020-10-06,43889
2020-10-07,76121
2020-10-08,29619
2020-10-09,43822
2020-10-10,53101
2020-10-11,36225
2020-10-12,33378
2020-10-13,48530
2020-10-14,30335
2020-10-15,95588
2020-10-16,82510
2020-10-17,32544
2020-10-18,35194
2020-10-19,243446
2020-10-20,35857
2020-10-21,39505
2020-10-22,90443
2020-10-23,54651
2020-10-24,57919
2020-10-25,44079
2020-10-26,137677
2020-10-27,84445
2020-10-28,48188
2020-10-29,44514
2020-10-30,37838
2020-10-31,74908
2020-11-01,20252
2020-11-02,28065
2020-11-03,41813
2020-11-04,30048
2020-11-05,69868
2020-11-06,25397
2020-11-07,14189
2020-11-08,33778
2020-11-09,30581
2020-11-10,42320
2020-11-11,29169
2020-11-12,61996
2020-11-13,37598
2020-11-14,24443
2020-11-15,23580
2020-11-16,41826
2020-11-17,40937
2020-11-18,27568
2020-11-19,35732
2020-11-20,33784
2020-11-21,19759
2020-11-22,35144
2020-11-23,55205
2020-11-24,41818
2020-11-25,27240
2020-11-26,30292
2020-11-27,60270
2020-11-28,26852
2020-11-29,136131
2020-11-30,28486
2020-12-01,30603
2020-12-02,45021
2020-12-03,52323
2020-12-04,40446
2020-12-05,30504
2020-12-06,33378
2020-12-07,45591
2020-12-08,42485
2020-12-09,30964
2020-12-10,166331
2020-12-11,30467
2020-12-12,24795
2020-12-13,52619
2020-12-14,25962
2020-12-15,57346
2020-12-16,67656
2020-12-17,49631
2020-12-18,26746
2020-12-19,63893
2020-12-20,58967
2020-12-21,40719
2020-12-22,17922
2020-12-23,62330
2020-12-24,38511
2020-12-25,21644
