date,steel buy
2020-08-25,102721
2020-08-26,138614
2020-08-27,64941
2020-08-28,45612
2020-08-29,162640
2020-08-30,97061
2020-08-31,209763
2020-09-01,168628
2020-09-02,150164
2020-09-03,200911
2020-09-04,147694
2020-09-05,97388
2020-09-06,158912
2020-09-07,310086
2020-09-08,75770
2020-09-09,121774
2020-09-10,173336
2020-09-11,93879
2020-09-12,51437
2020-09-13,226122
2020-09-14,389971
2020-09-15,220869
2020-09-16,79020
2020-09-17,129497
2020-09-18,78364
2020-09-19,137542
2020-09-20,350342
2020-09-21,180294
2020-09-22,264067
2020-09-23,79601
2020-09-24,80430
2020-09-25,422814
2020-09-26,114294
2020-09-27,147728
2020-09-28,160536
2020-09-29,111791
2020-09-30,121793
2020-10-01,73638
2020-10-02,114127
2020-10-03,290881
2020-10-04,146453
2020-10-05,73798
2020-10-06,54002
2020-10-07,188675
2020-10-08,75433
2020-10-09,62822
2020-10-10,56951
2020-10-11,109199
2020-10-12,58394
2020-10-13,95732
2020-10-14,107583
2020-10-15,94450
2020-10-16,127119
2020-10-17,42937
2020-10-18,112306
2020-10-19,207848
2020-10-20,214918
2020-10-21,75704
2020-10-22,69035
2020-10-23,155076
2020-10-24,76023
2020-10-25,158080
2020-10-26,56780
2020-10-27,103138
2020-10-28,77650
2020-10-29,113810
2020-10-30,78025
2020-10-31,87437
2020-11-01,82446
2020-11-02,44282
2020-11-03,212780
2020-11-04,43826
2020-11-05,96101
2020-11-06,66562
2020-11-07,193507
2020-11-08,101391
2020-11-09,40694
2020-11-10,57196
2020-11-11,84914
2020-11-12,85990
2020-11-13,47639
2020-11-14,56883
2020-11-15,34154
2020-11-16,31818
2020-11-17,65515
2020-11-18,77652
2020-11-19,66867
2020-11-20,21869
2020-11-21,38007
2020-11-22,72976
2020-11-23,87850
2020-11-24,38309
2020-11-25,36988
2020-11-26,49306
2020-11-27,35191
2020-11-28,11704
2020-11-29,37302
2020-11-30,34761
2020-12-01,57522
2020-12-02,50049
