date,uranium buy
2020-08-25,18786
2020-08-26,44973
2020-08-27,26808
2020-08-28,53150
2020-08-29,51238
2020-08-30,37290
2020-08-31,25920
2020-09-01,85723
2020-09-02,41553
2020-09-03,121327
2020-09-04,64045
2020-09-05,66163
2020-09-06,35760
2020-09-07,31677
2020-09-08,64696
2020-09-09,52054
2020-09-10,38040
2020-09-11,29211
2020-09-12,50592
2020-09-13,96904
2020-09-14,42713
2020-09-15,42416
2020-09-16,28256
2020-09-17,32947
2020-09-18,68185
2020-09-19,39803
2020-09-20,67236
2020-09-21,46360
2020-09-22,59855
2020-09-23,54083
2020-09-24,73130
2020-09-25,68268
2020-09-26,73947
2020-09-27,66352
2020-09-28,25974
2020-09-29,29480
2020-09-30,57447
2020-10-01,69047
2020-10-02,38337
2020-10-03,45095
2020-10-04,27465
2020-10-05,56529
2020-10-06,26316
2020-10-07,117453
2020-10-08,109593
2020-10-09,73811
2020-10-10,34883
2020-10-11,30696
2020-10-12,51182
2020-10-13,27976
2020-10-14,28610
2020-10-15,42855
2020-10-16,68059
2020-10-17,33310
2020-10-18,58190
2020-10-19,36399
2020-10-20,34824
2020-10-21,14810
2020-10-22,155548
2020-10-23,48766
2020-10-24,70992
2020-10-25,76571
2020-10-26,56093
2020-10-27,36778
2020-10-28,47986
2020-10-29,30996
2020-10-30,40465
2020-10-31,42588
2020-11-01,20214
2020-11-02,23337
2020-11-03,17459
2020-11-04,16771
2020-11-05,46610
2020-11-06,14079
2020-11-07,20860
2020-11-08,31800
2020-11-09,22911
2020-11-10,29585
2020-11-11,28158
2020-11-12,42243
2020-11-13,30330
2020-11-14,19653
2020-11-15,19149
2020-11-16,31475
2020-11-17,39916
2020-11-18,39344
2020-11-19,15225
2020-11-20,49380
2020-11-21,22767
2020-11-22,21860
2020-11-23,29034
2020-11-24,33793
2020-11-25,31010
2020-11-26,27163
2020-11-27,17723
2020-11-28,23010
2020-11-29,45753
2020-11-30,16635
2020-12-01,27495
2020-12-02,33401
2020-12-03,27007
2020-12-04,19844
2020-12-05,15082
2020-12-06,21747
2020-12-07,169348
2020-12-08,34735
2020-12-09,16474
2020-12-10,34356
2020-12-11,31747
2020-12-12,9694
2020-12-13,42402
2020-12-14,63128
2020-12-15,99493
2020-12-16,146061
2020-12-17,45531
2020-12-18,61572
2020-12-19,48236
2020-12-20,33693
2020-12-21,56989
2020-12-22,92977
2020-12-23,45143
2020-12-24,399788
2020-12-25,107041
2020-12-26,29605
2020-12-27,46918
2020-12-28,17365
2020-12-29,41294
2020-12-30,121327
2020-12-31,39831
2021-01-01,31027
2021-01-02,10247
2021-01-03,25187
2021-01-04,29865
2021-01-05,66724
2021-01-06,217209
2021-01-07,20952
2021-01-08,38591
2021-01-09,41511
2021-01-10,100451
2021-01-11,19842
2021-01-12,97016
2021-01-13,38263
2021-01-14,55645
2021-01-15,35956
2021-01-16,10624
2021-01-17,57859
2021-01-18,133997
2021-01-19,23258
2021-01-20,26132
2021-01-21,36220
2021-01-22,69885
2021-01-23,72311
2021-01-24,104326
2021-01-25,30973
2021-01-26,62810
2021-01-27,86808
2021-01-28,60062
2021-01-29,43894
2021-01-30,22656
2021-01-31,89598
2021-02-01,40144
2021-02-02,62606
2021-02-03,46629
2021-02-04,73676
2021-02-05,16982
2021-02-06,43377
2021-02-07,137238
2021-02-08,39721
2021-02-09,128669
2021-02-10,50940
2021-02-11,17549
2021-02-12,50544
2021-02-13,41288
2021-02-14,25459
2021-02-15,29410
2021-02-16,25287
2021-02-17,73885
2021-02-18,95401
2021-02-19,48188
2021-02-20,58490
2021-02-21,36536
2021-02-22,20360
2021-02-23,76795
2021-02-24,13486
2021-02-25,109600
2021-02-26,48383
2021-02-27,44697
2021-02-28,77147
2021-03-01,35497
2021-03-02,139362
2021-03-03,38616
2021-03-04,28880
2021-03-05,51266
2021-03-06,48185
2021-03-07,73085
2021-03-08,28635
2021-03-09,58621
2021-03-10,126408
2021-03-11,35720
2021-03-12,40156
2021-03-13,33275
2021-03-14,121235
2021-03-15,20699
2021-03-16,25949
2021-03-17,18818
2021-03-18,74614
2021-03-19,84610
2021-03-20,34100
2021-03-21,32184
2021-03-22,23618
2021-03-23,34093
2021-03-24,38213
2021-03-25,47623
2021-03-26,77935
2021-03-27,47416
2021-03-28,28779
2021-03-29,30917
2021-03-30,37119
2021-03-31,42750
2021-04-01,89533
2021-04-02,63101
2021-04-03,33568
2021-04-04,91777
2021-04-05,96539
2021-04-06,34113
2021-04-07,38733
2021-04-08,61262
2021-04-09,52124
2021-04-10,61867
2021-04-11,36362
2021-04-12,52810
2021-04-13,43458
2021-04-14,9335
2021-04-15,25813
2021-04-16,48920
2021-04-17,42187
2021-04-18,50860
2021-04-19,74437
2021-04-20,66192
2021-04-21,33330
2021-04-22,116361
2021-04-23,72522
2021-04-24,60359
2021-04-25,125128
2021-04-26,20687
2021-04-27,25128
2021-04-28,100976
2021-04-29,51248
2021-04-30,91042
2021-05-01,48549
2021-05-02,106736
2021-05-03,94662
2021-05-04,56368
2021-05-05,49027
2021-05-06,79023
2021-05-07,24210
2021-05-08,25671
2021-05-09,65570
2021-05-10,47899
2021-05-11,41060
2021-05-12,35604
2021-05-13,62139
2021-05-14,98030
2021-05-15,60500
2021-05-16,35754
2021-05-17,52311
2021-05-18,50660
2021-05-19,37304
2021-05-20,140184
2021-05-21,47949
2021-05-22,91963
2021-05-23,38038
2021-05-24,71989
2021-05-25,23091
2021-05-26,114880
2021-05-27,53765
2021-05-28,58965
2021-05-29,60214
2021-05-30,25148
2021-05-31,79879
2021-06-01,83092
2021-06-02,76903
2021-06-03,45587
2021-06-04,32491
2021-06-05,23030
2021-06-06,79711
2021-06-07,39487
2021-06-08,51583
2021-06-09,36519
2021-06-10,51223
2021-06-11,52059
2021-06-12,27076
2021-06-13,109627
2021-06-14,67390
2021-06-15,58682
2021-06-16,24201
2021-06-17,45246
2021-06-18,71797
2021-06-19,51592
2021-06-20,110464
2021-06-21,43944
2021-06-22,20255
2021-06-23,44483
2021-06-24,37086
2021-06-25,128592
2021-06-26,85381
2021-06-27,136427
2021-06-28,55443
2021-06-29,107516
2021-06-30,122538
2021-07-01,22396
2021-07-02,29489
2021-07-03,108328
2021-07-04,71817
2021-07-05,29774
2021-07-06,69161
2021-07-07,87738
2021-07-08,54321
2021-07-09,18534
2021-07-10,46306
2021-07-11,13443
2021-07-12,37851
2021-07-13,38743
2021-07-14,143213
2021-07-15,61936
2021-07-16,70317
2021-07-17,43863
2021-07-18,11336
2021-07-19,27156
2021-07-20,54933
2021-07-21,61287
2021-07-22,29796
2021-07-23,35404
2021-07-24,37132
2021-07-25,44172
2021-07-26,61422
2021-07-27,91414
2021-07-28,16351
2021-07-29,68175
2021-07-30,34267
2021-07-31,41431
2021-08-01,57163
2021-08-02,29403
2021-08-03,23591
2021-08-04,167743
2021-08-05,73928
2021-08-06,49651
2021-08-07,51131
2021-08-08,27763
2021-08-09,120571
2021-08-10,27304
2021-08-11,143375
2021-08-12,18697
2021-08-13,172989
2021-08-14,51214
2021-08-15,21264
2021-08-16,55643
2021-08-17,125828
2021-08-18,120786
2021-08-19,38936
2021-08-20,196103
2021-08-21,89619
2021-08-22,17444
2021-08-23,18731
2021-08-24,45390
2021-08-25,14112
2021-08-26,39611
2021-08-27,19592
2021-08-28,46034
2021-08-29,68684
2021-08-30,36388
2021-08-31,66043
2021-09-01,26812
2021-09-02,41089
2021-09-03,83870
2021-09-04,50367
2021-09-05,51669
2021-09-06,25753
2021-09-07,33351
2021-09-08,42184
2021-09-09,29428
2021-09-10,22740
2021-09-11,161471
2021-09-12,31171
2021-09-13,43438
2021-09-14,41140
2021-09-15,25436
2021-09-16,46920
2021-09-17,30320
2021-09-18,90358
2021-09-19,37691
2021-09-20,51101
2021-09-21,74796
2021-09-22,88224
2021-09-23,80442
2021-09-24,68976
2021-09-25,43787
2021-09-26,29028
2021-09-27,18920
2021-09-28,65591
2021-09-29,32550
2021-09-30,128278
2021-10-01,30711
2021-10-02,67439
2021-10-03,66829
2021-10-04,48004
2021-10-05,30421
2021-10-06,45813
2021-10-07,19137
2021-10-08,40748
2021-10-09,80888
2021-10-10,35576
2021-10-11,53424
2021-10-12,31338
2021-10-13,24093
2021-10-14,29013
2021-10-15,37633
2021-10-16,23634
2021-10-17,63073
2021-10-18,73840
2021-10-19,110648
2021-10-20,123790
2021-10-21,35631
2021-10-22,22233
2021-10-23,30478
2021-10-24,64874
2021-10-25,107916
2021-10-26,45827
2021-10-27,32158
2021-10-28,160765
2021-10-29,139460
2021-10-30,151516
2021-10-31,30719
2021-11-01,131110
2021-11-02,74740
2021-11-03,35547
2021-11-04,36080
2021-11-05,58883
2021-11-06,31348
2021-11-07,40908
2021-11-08,35967
2021-11-09,45780
2021-11-10,45301
2021-11-11,32980
2021-11-12,17248
2021-11-13,45755
2021-11-14,67211
2021-11-15,34827
2021-11-16,35398
2021-11-17,68850
2021-11-18,58420
2021-11-19,42104
2021-11-20,46049
2021-11-21,65402
2021-11-22,39366
2021-11-23,70855
2021-11-24,93184
2021-11-25,65363
2021-11-26,39878
2021-11-27,40178
2021-11-28,59343
2021-11-29,53217
2021-11-30,115096
2021-12-01,35840
2021-12-02,48289
2021-12-03,18187
2021-12-04,51535
2021-12-05,17456
2021-12-06,33607
2021-12-07,54152
2021-12-08,103748
2021-12-09,140696
2021-12-10,44864
2021-12-11,90184
2021-12-12,58608
2021-12-13,26490
2021-12-14,38669
2021-12-15,115662
2021-12-16,52885
2021-12-17,57700
2021-12-18,59176
2021-12-19,20972
2021-12-20,73631
2021-12-21,64607
2021-12-22,35697
2021-12-23,27522
2021-12-24,75220
2021-12-25,71926
2021-12-26,102804
2021-12-27,116683
2021-12-28,48300
2021-12-29,90411
2021-12-30,132938
2021-12-31,47798
2022-01-01,68678
2022-01-02,63971
2022-01-03,44321
2022-01-04,54723
2022-01-05,41975
2022-01-06,25812
2022-01-07,53371
2022-01-08,42799
2022-01-09,67352
2022-01-10,87963
2022-01-11,130579
2022-01-12,118862
2022-01-13,178336
2022-01-14,62020
2022-01-15,62993
2022-01-16,60495
2022-01-17,121508
2022-01-18,69240
2022-01-19,29730
2022-01-20,32314
2022-01-21,32918
2022-01-22,46710
2022-01-23,34082
2022-01-24,64346
2022-01-25,44825
2022-01-26,42256
2022-01-27,36679
2022-01-28,28550
2022-01-29,27577
2022-01-30,130261
2022-01-31,55085
2022-02-01,73049
2022-02-02,44949
2022-02-03,61625
2022-02-04,68234
2022-02-05,53635
2022-02-06,58816
2022-02-07,39057
2022-02-08,49991
2022-02-09,77371
2022-02-10,71455
2022-02-11,72152
2022-02-12,66809
2022-02-13,89095
2022-02-14,108481
2022-02-15,123390
2022-02-16,113886
2022-02-17,165321
2022-02-18,108502
2022-02-19,116652
2022-02-20,118254
2022-02-21,108979
2022-02-22,67389
2022-02-23,42681
2022-02-24,46121
2022-02-25,64906
2022-02-26,77302
2022-02-27,93870
2022-02-28,46488
2022-03-01,164505
2022-03-02,82668
2022-03-03,136823
2022-03-04,102996
2022-03-05,376927
2022-03-06,82657
2022-03-07,79531
2022-03-08,51989
2022-03-09,83725
2022-03-10,141921
2022-03-11,35695
2022-03-12,65883
2022-03-13,29602
2022-03-14,96347
2022-03-15,118076
2022-03-16,91858
2022-03-17,136621
2022-03-18,67143
2022-03-19,177134
2022-03-20,110200
2022-03-21,43129
2022-03-22,82496
2022-03-23,50470
2022-03-24,59671
2022-03-25,83173
2022-03-26,86519
2022-03-27,81194
2022-03-28,131231
2022-03-29,76716
2022-03-30,85007
2022-03-31,69632
2022-04-01,162741
2022-04-02,144217
2022-04-03,132666
2022-04-04,87704
2022-04-05,144865
2022-04-06,71143
2022-04-07,105867
2022-04-08,113626
2022-04-09,90873
2022-04-10,132013
2022-04-11,71519
2022-04-12,127935
2022-04-13,87238
2022-04-14,95949
2022-04-15,116272
2022-04-16,89727
2022-04-17,74373
2022-04-18,144007
2022-04-19,74856
2022-04-20,93434
2022-04-21,133635
2022-04-22,48812
2022-04-23,120276
2022-04-24,157606
2022-04-25,95988
2022-04-26,84308
2022-04-27,135570
2022-04-28,52012
2022-04-29,54118
2022-04-30,105473
2022-05-01,90202
2022-05-02,60133
2022-05-03,84901
2022-05-04,88067
2022-05-05,39306
2022-05-06,112656
2022-05-07,91532
2022-05-08,62207
2022-05-09,81075
2022-05-10,223979
2022-05-11,76726
2022-05-12,108892
2022-05-13,81261
2022-05-14,102643
2022-05-15,64699
2022-05-16,137554
2022-05-17,128344
2022-05-18,198990
2022-05-19,60034
2022-05-20,54129
2022-05-21,121300
2022-05-22,69878
2022-05-23,81887
2022-05-24,51224
2022-05-25,85941
2022-05-26,90848
2022-05-27,148029
2022-05-28,152909
2022-05-29,110698
2022-05-30,120583
2022-05-31,108880
2022-06-01,100661
2022-06-02,70150
2022-06-03,64332
2022-06-04,49880
2022-06-05,90454
2022-06-06,66454
2022-06-07,99223
2022-06-08,80342
2022-06-09,67455
2022-06-10,71397
2022-06-11,158340
2022-06-12,90843
2022-06-13,109090
2022-06-14,113913
2022-06-15,101555
2022-06-16,109787
2022-06-17,78027
2022-06-18,82435
2022-06-19,86088
2022-06-20,118864
2022-06-21,92503
2022-06-22,79819
2022-06-23,69981
2022-06-24,92357
2022-06-25,52924
2022-06-26,73433
2022-06-27,94188
2022-06-28,92005
2022-06-29,107354
2022-06-30,72782
2022-07-01,72541
2022-07-02,105386
2022-07-03,64849
2022-07-04,82398
2022-07-05,64673
2022-07-06,48805
2022-07-07,110148
2022-07-08,62563
2022-07-09,51725
2022-07-10,79252
2022-07-11,89236
2022-07-12,64342
2022-07-13,105772
2022-07-14,66575
2022-07-15,52866
2022-07-16,76223
2022-07-17,137516
2022-07-18,60066
2022-07-19,67265
2022-07-20,59438
2022-07-21,73069
2022-07-22,105439
2022-07-23,79232
2022-07-24,87171
2022-07-25,67885
2022-07-26,161287
2022-07-27,112556
2022-07-28,113901
2022-07-29,101750
2022-07-30,58674
2022-07-31,85329
2022-08-01,253156
2022-08-02,70886
2022-08-03,120332
2022-08-04,182682
2022-08-05,121968
2022-08-06,158561
2022-08-07,174722
2022-08-08,83302
2022-08-09,108589
2022-08-10,132360
2022-08-11,82298
2022-08-12,90702
2022-08-13,65180
2022-08-14,58364
2022-08-15,200976
2022-08-16,141089
2022-08-17,175060
2022-08-18,140341
2022-08-19,74492
2022-08-20,85204
2022-08-21,109267
2022-08-22,117231
2022-08-23,147561
2022-08-24,87828
2022-08-25,118952
2022-08-26,153066
2022-08-27,199100
2022-08-28,188287
2022-08-29,128354
2022-08-30,70885
2022-08-31,82465
2022-09-01,156361
2022-09-02,91872
2022-09-03,53180
2022-09-04,159902
2022-09-05,70299
2022-09-06,201138
2022-09-07,90901
2022-09-08,145842
2022-09-09,68283
2022-09-10,101249
2022-09-11,66226
2022-09-12,115646
2022-09-13,129493
2022-09-14,151743
2022-09-15,96434
2022-09-16,100086
2022-09-17,199963
2022-09-18,99070
2022-09-19,158084
2022-09-20,98447
2022-09-21,218922
2022-09-22,169096
2022-09-23,179749
2022-09-24,96207
2022-09-25,157714
2022-09-26,101599
2022-09-27,163045
2022-09-28,222235
2022-09-29,116899
2022-09-30,79214
2022-10-01,146698
2022-10-02,88534
2022-10-03,161180
2022-10-04,82128
2022-10-05,89948
2022-10-06,100652
2022-10-07,135147
2022-10-08,97134
2022-10-09,157597
2022-10-10,223278
2022-10-11,192450
2022-10-12,95513
2022-10-13,183995
2022-10-14,161554
2022-10-15,153637
2022-10-16,140194
2022-10-17,70185
2022-10-18,91912
2022-10-19,88974
2022-10-20,77740
2022-10-21,157958
2022-10-22,83930
2022-10-23,130105
2022-10-24,195228
2022-10-25,140649
2022-10-26,81006
