date,aluminum sell
2020-08-25,239795
2020-08-26,214122
2020-08-27,248763
2020-08-28,234651
2020-08-29,165559
2020-08-30,191576
2020-08-31,204800
2020-09-01,294420
2020-09-02,525107
2020-09-03,353322
2020-09-04,320677
2020-09-05,297507
2020-09-06,258657
2020-09-07,238555
2020-09-08,364690
2020-09-09,574433
2020-09-10,228843
2020-09-11,320865
2020-09-12,322664
2020-09-13,387805
2020-09-14,324279
2020-09-15,284341
2020-09-16,301282
2020-09-17,222277
2020-09-18,309984
2020-09-19,307248
2020-09-20,447796
2020-09-21,356366
2020-09-22,361591
2020-09-23,350018
2020-09-24,355374
2020-09-25,296932
2020-09-26,321583
2020-09-27,360106
2020-09-28,417033
2020-09-29,302308
2020-09-30,228133
2020-10-01,442635
2020-10-02,300160
2020-10-03,338326
2020-10-04,453309
2020-10-05,561333
2020-10-06,242346
2020-10-07,372800
2020-10-08,380294
2020-10-09,304327
2020-10-10,312141
2020-10-11,479083
2020-10-12,471347
2020-10-13,326551
2020-10-14,334621
2020-10-15,331648
2020-10-16,315181
2020-10-17,329192
2020-10-18,463983
2020-10-19,314216
2020-10-20,275181
2020-10-21,381387
2020-10-22,304803
2020-10-23,553635
2020-10-24,473540
2020-10-25,272139
2020-10-26,891559
2020-10-27,620036
2020-10-28,325789
2020-10-29,391071
2020-10-30,468635
2020-10-31,319317
2020-11-01,261667
2020-11-02,169638
2020-11-03,243889
2020-11-04,135809
2020-11-05,262405
2020-11-06,226223
2020-11-07,193495
2020-11-08,479206
2020-11-09,201858
2020-11-10,257912
2020-11-11,200457
2020-11-12,342880
2020-11-13,539824
2020-11-14,242230
2020-11-15,146123
2020-11-16,148489
2020-11-17,295577
2020-11-18,195453
2020-11-19,358831
2020-11-20,173329
2020-11-21,277869
2020-11-22,188900
2020-11-23,144492
2020-11-24,230642
2020-11-25,164678
2020-11-26,140057
2020-11-27,192221
2020-11-28,134641
2020-11-29,164279
2020-11-30,414419
2020-12-01,196709
2020-12-02,347754
2020-12-03,202584
2020-12-04,183149
2020-12-05,155127
2020-12-06,167729
2020-12-07,210036
2020-12-08,200244
2020-12-09,354030
2020-12-10,159022
2020-12-11,129371
2020-12-12,277499
2020-12-13,337471
2020-12-14,327800
2020-12-15,881003
2020-12-16,652171
2020-12-17,904450
2020-12-18,646079
2020-12-19,285275
2020-12-20,355381
2020-12-21,443385
2020-12-22,915073
2020-12-23,332368
2020-12-24,612089
2020-12-25,221671
2020-12-26,325489
2020-12-27,389570
2020-12-28,414359
2020-12-29,331563
2020-12-30,233252
2020-12-31,222924
2021-01-01,274059
2021-01-02,334578
2021-01-03,426993
2021-01-04,293273
2021-01-05,387717
2021-01-06,346106
2021-01-07,247063
2021-01-08,268478
2021-01-09,351991
2021-01-10,257823
2021-01-11,311673
2021-01-12,313694
2021-01-13,374035
2021-01-14,419061
2021-01-15,376612
2021-01-16,297162
2021-01-17,581187
2021-01-18,362642
2021-01-19,501241
2021-01-20,396842
2021-01-21,424406
2021-01-22,260572
2021-01-23,318827
2021-01-24,366536
2021-01-25,342966
2021-01-26,447667
2021-01-27,365997
2021-01-28,437056
2021-01-29,298859
2021-01-30,325946
2021-01-31,684071
2021-02-01,571220
2021-02-02,397714
2021-02-03,402776
2021-02-04,311580
2021-02-05,362251
2021-02-06,404930
2021-02-07,350685
2021-02-08,374286
2021-02-09,512908
2021-02-10,427350
2021-02-11,398724
2021-02-12,471817
2021-02-13,294743
2021-02-14,296658
2021-02-15,298454
2021-02-16,385934
2021-02-17,381907
2021-02-18,313059
2021-02-19,340741
2021-02-20,434853
2021-02-21,312440
2021-02-22,327314
2021-02-23,438166
2021-02-24,323990
2021-02-25,273831
2021-02-26,317860
2021-02-27,346850
2021-02-28,730840
2021-03-01,459538
2021-03-02,488471
2021-03-03,598051
2021-03-04,428095
2021-03-05,573977
2021-03-06,428153
2021-03-07,350143
2021-03-08,289356
2021-03-09,526205
2021-03-10,323874
2021-03-11,254668
2021-03-12,352988
2021-03-13,406679
2021-03-14,433735
2021-03-15,487021
2021-03-16,536857
