date,bauxite sell
2020-08-25,46046
2020-08-26,79555
2020-08-27,90093
2020-08-28,69983
2020-08-29,70682
2020-08-30,86453
2020-08-31,66036
2020-09-01,99986
2020-09-02,80880
2020-09-03,105744
2020-09-04,56205
2020-09-05,101074
2020-09-06,112899
2020-09-07,79428
2020-09-08,70658
2020-09-09,108550
2020-09-10,70922
2020-09-11,61560
2020-09-12,112102
2020-09-13,83893
2020-09-14,54471
2020-09-15,65855
2020-09-16,179113
2020-09-17,129480
2020-09-18,58943
2020-09-19,48134
2020-09-20,117454
2020-09-21,94467
2020-09-22,106165
2020-09-23,80512
2020-09-24,60871
2020-09-25,57002
2020-09-26,113749
2020-09-27,89682
2020-09-28,56452
2020-09-29,75505
2020-09-30,85842
2020-10-01,103979
2020-10-02,92429
2020-10-03,97317
2020-10-04,108646
2020-10-05,62735
2020-10-06,99341
2020-10-07,89045
2020-10-08,117433
2020-10-09,86918
2020-10-10,85803
2020-10-11,87617
2020-10-12,143805
2020-10-13,159100
2020-10-14,145469
2020-10-15,73226
2020-10-16,83114
2020-10-17,118432
2020-10-18,134094
2020-10-19,72275
2020-10-20,121104
2020-10-21,102577
2020-10-22,128955
2020-10-23,57640
2020-10-24,213154
2020-10-25,142362
2020-10-26,159161
2020-10-27,143875
2020-10-28,136339
2020-10-29,123249
2020-10-30,88203
2020-10-31,43702
2020-11-01,78889
2020-11-02,34528
2020-11-03,51743
2020-11-04,65509
2020-11-05,36814
2020-11-06,52253
2020-11-07,53263
2020-11-08,108297
2020-11-09,49672
2020-11-10,64243
2020-11-11,58619
2020-11-12,59353
2020-11-13,38913
2020-11-14,52885
2020-11-15,46565
2020-11-16,74891
2020-11-17,70194
2020-11-18,67475
2020-11-19,86791
2020-11-20,66988
2020-11-21,28491
2020-11-22,60478
2020-11-23,94971
2020-11-24,64823
2020-11-25,41795
2020-11-26,67933
2020-11-27,50453
2020-11-28,122813
2020-11-29,85303
2020-11-30,52235
2020-12-01,50958
2020-12-02,80878
2020-12-03,64966
2020-12-04,50172
2020-12-05,95761
2020-12-06,182004
2020-12-07,68675
2020-12-08,32719
2020-12-09,68512
2020-12-10,115850
2020-12-11,42530
2020-12-12,78037
2020-12-13,56339
2020-12-14,70945
2020-12-15,73371
2020-12-16,134692
2020-12-17,231825
2020-12-18,121973
2020-12-19,191985
2020-12-20,68588
2020-12-21,76984
2020-12-22,84357
2020-12-23,63603
2020-12-24,46125
2020-12-25,104383
2020-12-26,86966
2020-12-27,68855
2020-12-28,86179
2020-12-29,70532
2020-12-30,80698
2020-12-31,40179
2021-01-01,149904
2021-01-02,104216
2021-01-03,160342
2021-01-04,64697
2021-01-05,114854
2021-01-06,127285
2021-01-07,98413
2021-01-08,65092
2021-01-09,112074
2021-01-10,79462
2021-01-11,113515
2021-01-12,97387
2021-01-13,82189
2021-01-14,134374
2021-01-15,143833
2021-01-16,86236
2021-01-17,134630
2021-01-18,101890
2021-01-19,91386
2021-01-20,80565
2021-01-21,75967
2021-01-22,96308
2021-01-23,138065
2021-01-24,108171
2021-01-25,143572
2021-01-26,80710
2021-01-27,109082
2021-01-28,95802
2021-01-29,96931
2021-01-30,101736
2021-01-31,128953
2021-02-01,158680
2021-02-02,137602
2021-02-03,93378
2021-02-04,121927
2021-02-05,47181
2021-02-06,130454
2021-02-07,69685
2021-02-08,101809
2021-02-09,98445
2021-02-10,67321
2021-02-11,85854
2021-02-12,84097
2021-02-13,73153
2021-02-14,85110
2021-02-15,70931
2021-02-16,75535
2021-02-17,130604
2021-02-18,76020
2021-02-19,120249
2021-02-20,65154
2021-02-21,113953
2021-02-22,97456
2021-02-23,155815
2021-02-24,100756
2021-02-25,85552
2021-02-26,102070
2021-02-27,76992
2021-02-28,67511
2021-03-01,128839
2021-03-02,78715
2021-03-03,67929
2021-03-04,118608
2021-03-05,98546
2021-03-06,62848
2021-03-07,89084
2021-03-08,104091
2021-03-09,113250
2021-03-10,80710
2021-03-11,98474
2021-03-12,109745
2021-03-13,124138
2021-03-14,125902
2021-03-15,127300
2021-03-16,94456
2021-03-17,150255
2021-03-18,135353
2021-03-19,85739
2021-03-20,66176
2021-03-21,73448
2021-03-22,118125
2021-03-23,88539
2021-03-24,85092
2021-03-25,107485
2021-03-26,120235
2021-03-27,72769
2021-03-28,100436
2021-03-29,139146
2021-03-30,100449
2021-03-31,88535
2021-04-01,102396
2021-04-02,260523
2021-04-03,81183
2021-04-04,160616
2021-04-05,178277
2021-04-06,123819
2021-04-07,189999
2021-04-08,158606
2021-04-09,133068
2021-04-10,120124
2021-04-11,113493
2021-04-12,91839
2021-04-13,96010
2021-04-14,93672
2021-04-15,101050
2021-04-16,69800
2021-04-17,156879
2021-04-18,83667
2021-04-19,142248
2021-04-20,666589
2021-04-21,127477
2021-04-22,174499
2021-04-23,63587
2021-04-24,63231
2021-04-25,120941
2021-04-26,113038
2021-04-27,90582
2021-04-28,100654
2021-04-29,91249
2021-04-30,109093
2021-05-01,126047
2021-05-02,185854
2021-05-03,78865
2021-05-04,83855
2021-05-05,68429
2021-05-06,65749
2021-05-07,70486
2021-05-08,90558
2021-05-09,84758
2021-05-10,71424
2021-05-11,65244
2021-05-12,114165
2021-05-13,100442
2021-05-14,101464
2021-05-15,83820
2021-05-16,90724
2021-05-17,131305
2021-05-18,93603
2021-05-19,69512
2021-05-20,148200
2021-05-21,125838
2021-05-22,149264
2021-05-23,107417
2021-05-24,88182
2021-05-25,78547
2021-05-26,111403
2021-05-27,67846
2021-05-28,104803
2021-05-29,124888
2021-05-30,116964
2021-05-31,80352
2021-06-01,71662
2021-06-02,100561
2021-06-03,109766
2021-06-04,91042
2021-06-05,129341
2021-06-06,113404
2021-06-07,66709
2021-06-08,105553
2021-06-09,73429
2021-06-10,77727
2021-06-11,167060
2021-06-12,94924
2021-06-13,110023
2021-06-14,116967
2021-06-15,123965
2021-06-16,188477
2021-06-17,99020
2021-06-18,338763
2021-06-19,158902
2021-06-20,164494
2021-06-21,194107
2021-06-22,96774
2021-06-23,170717
2021-06-24,126581
2021-06-25,157723
2021-06-26,129671
2021-06-27,118929
2021-06-28,146328
2021-06-29,200326
2021-06-30,83429
2021-07-01,166791
2021-07-02,108106
2021-07-03,112731
2021-07-04,145787
2021-07-05,154458
2021-07-06,213928
2021-07-07,158281
