date,coal sell
2020-08-25,93329
2020-08-26,79280
2020-08-27,84187
2020-08-28,80161
2020-08-29,96011
2020-08-30,127268
2020-08-31,146515
2020-09-01,119695
2020-09-02,181621
2020-09-03,118757
2020-09-04,187494
2020-09-05,163063
2020-09-06,144429
2020-09-07,141578
2020-09-08,163511
2020-09-09,109124
2020-09-10,141634
2020-09-11,118383
2020-09-12,127058
2020-09-13,158334
2020-09-14,149449
2020-09-15,139161
2020-09-16,203554
2020-09-17,168003
2020-09-18,104209
2020-09-19,123333
2020-09-20,156513
2020-09-21,152951
2020-09-22,112059
2020-09-23,130194
2020-09-24,161781
2020-09-25,141386
2020-09-26,146539
2020-09-27,146628
2020-09-28,168772
2020-09-29,105274
2020-09-30,117668
2020-10-01,165426
2020-10-02,141975
2020-10-03,118503
2020-10-04,165823
2020-10-05,268485
2020-10-06,155487
2020-10-07,198838
2020-10-08,130401
2020-10-09,143246
2020-10-10,108017
2020-10-11,127216
2020-10-12,121795
2020-10-13,150419
2020-10-14,124851
2020-10-15,157653
2020-10-16,125573
2020-10-17,133810
2020-10-18,123039
2020-10-19,131978
2020-10-20,144950
2020-10-21,136813
2020-10-22,123216
2020-10-23,151423
2020-10-24,256643
2020-10-25,138490
2020-10-26,393898
2020-10-27,176129
2020-10-28,176852
2020-10-29,254007
2020-10-30,123287
2020-10-31,73516
2020-11-01,58348
2020-11-02,61427
2020-11-03,60348
2020-11-04,72968
2020-11-05,70307
2020-11-06,91934
2020-11-07,95947
2020-11-08,156682
2020-11-09,52208
2020-11-10,90692
2020-11-11,90423
2020-11-12,62995
2020-11-13,99581
2020-11-14,103182
2020-11-15,75975
2020-11-16,121833
2020-11-17,124898
2020-11-18,82668
2020-11-19,102779
2020-11-20,139716
2020-11-21,189543
2020-11-22,77103
2020-11-23,130989
2020-11-24,139117
2020-11-25,90874
2020-11-26,91539
2020-11-27,75962
2020-11-28,101548
2020-11-29,58333
2020-11-30,100608
2020-12-01,134821
2020-12-02,93601
2020-12-03,103387
2020-12-04,87071
2020-12-05,99989
2020-12-06,124848
2020-12-07,73202
2020-12-08,69227
2020-12-09,76760
2020-12-10,156145
2020-12-11,87090
2020-12-12,48610
2020-12-13,92449
2020-12-14,88818
2020-12-15,207536
2020-12-16,183450
2020-12-17,179183
2020-12-18,101020
2020-12-19,187002
2020-12-20,122562
2020-12-21,162755
2020-12-22,162620
2020-12-23,125620
2020-12-24,175134
2020-12-25,131697
2020-12-26,128442
2020-12-27,113340
2020-12-28,119185
2020-12-29,154341
2020-12-30,139688
2020-12-31,134927
2021-01-01,112052
2021-01-02,213848
2021-01-03,146758
2021-01-04,136808
2021-01-05,164579
2021-01-06,169151
2021-01-07,248767
2021-01-08,180526
2021-01-09,149377
2021-01-10,153919
2021-01-11,190909
2021-01-12,128502
2021-01-13,217549
2021-01-14,393550
2021-01-15,211893
2021-01-16,188378
2021-01-17,181631
2021-01-18,182747
2021-01-19,199719
2021-01-20,141774
2021-01-21,235450
2021-01-22,162170
2021-01-23,156759
2021-01-24,149362
2021-01-25,156848
2021-01-26,198346
2021-01-27,201565
2021-01-28,165269
2021-01-29,267529
2021-01-30,112298
2021-01-31,226860
2021-02-01,210388
2021-02-02,150205
2021-02-03,165674
2021-02-04,169184
2021-02-05,133677
2021-02-06,137456
2021-02-07,175688
2021-02-08,133841
2021-02-09,144299
2021-02-10,136873
2021-02-11,206578
2021-02-12,171106
2021-02-13,122101
2021-02-14,116450
2021-02-15,185582
2021-02-16,177865
2021-02-17,134234
2021-02-18,144296
2021-02-19,152222
2021-02-20,173172
2021-02-21,131653
2021-02-22,154929
2021-02-23,168091
2021-02-24,152511
2021-02-25,90959
2021-02-26,148345
2021-02-27,137127
2021-02-28,212164
2021-03-01,223086
2021-03-02,158978
2021-03-03,169404
2021-03-04,151034
2021-03-05,260919
2021-03-06,180284
2021-03-07,213924
2021-03-08,211366
2021-03-09,146376
2021-03-10,154932
2021-03-11,147490
2021-03-12,138345
2021-03-13,156549
2021-03-14,183887
2021-03-15,193482
2021-03-16,195676
2021-03-17,160467
2021-03-18,163893
2021-03-19,176668
2021-03-20,118384
2021-03-21,126743
2021-03-22,151500
2021-03-23,261769
2021-03-24,132693
2021-03-25,162945
2021-03-26,251848
2021-03-27,159375
2021-03-28,175995
2021-03-29,233113
2021-03-30,133452
2021-03-31,177098
2021-04-01,188944
2021-04-02,232150
2021-04-03,165921
2021-04-04,255920
2021-04-05,235192
2021-04-06,195895
2021-04-07,177856
2021-04-08,146209
2021-04-09,310644
2021-04-10,187863
2021-04-11,155882
2021-04-12,156925
2021-04-13,198296
2021-04-14,143925
2021-04-15,240495
2021-04-16,145342
2021-04-17,164285
2021-04-18,137930
2021-04-19,162686
2021-04-20,188833
2021-04-21,155934
2021-04-22,173285
2021-04-23,178707
2021-04-24,210207
2021-04-25,155474
2021-04-26,182575
2021-04-27,203412
2021-04-28,231696
2021-04-29,183554
2021-04-30,175318
2021-05-01,288265
2021-05-02,296607
2021-05-03,233948
2021-05-04,164150
2021-05-05,98492
2021-05-06,160060
2021-05-07,135012
2021-05-08,153592
2021-05-09,132428
2021-05-10,155319
2021-05-11,140712
2021-05-12,139585
2021-05-13,167476
2021-05-14,118089
2021-05-15,155656
2021-05-16,131642
2021-05-17,275616
2021-05-18,205868
2021-05-19,172607
2021-05-20,147207
2021-05-21,136323
2021-05-22,155814
2021-05-23,193082
2021-05-24,205673
2021-05-25,101759
2021-05-26,167153
2021-05-27,154953
2021-05-28,129272
2021-05-29,112605
2021-05-30,141885
2021-05-31,277422
2021-06-01,146069
2021-06-02,146407
2021-06-03,268733
2021-06-04,98583
2021-06-05,132711
2021-06-06,179233
2021-06-07,201946
2021-06-08,180199
2021-06-09,122905
2021-06-10,93253
2021-06-11,177733
2021-06-12,120072
2021-06-13,189860
2021-06-14,154333
2021-06-15,190346
2021-06-16,173867
2021-06-17,206706
2021-06-18,194616
2021-06-19,218624
2021-06-20,209039
2021-06-21,259929
2021-06-22,183602
2021-06-23,176986
2021-06-24,165392
2021-06-25,156898
2021-06-26,202082
2021-06-27,172410
2021-06-28,253032
2021-06-29,181013
2021-06-30,219910
2021-07-01,225695
2021-07-02,139781
2021-07-03,171080
2021-07-04,150721
2021-07-05,192735
2021-07-06,264622
2021-07-07,122813
2021-07-08,251947
2021-07-09,168788
2021-07-10,217548
2021-07-11,199215
2021-07-12,191254
2021-07-13,202042
2021-07-14,132637
2021-07-15,219179
2021-07-16,278531
2021-07-17,190885
2021-07-18,244887
2021-07-19,223955
2021-07-20,246854
2021-07-21,281877
2021-07-22,250442
2021-07-23,206122
2021-07-24,193179
2021-07-25,217755
2021-07-26,270051
2021-07-27,161655
2021-07-28,176896
2021-07-29,200680
2021-07-30,198418
2021-07-31,152288
2021-08-01,247400
2021-08-02,239296
2021-08-03,241352
2021-08-04,145734
2021-08-05,180856
2021-08-06,213379
2021-08-07,231410
2021-08-08,166888
2021-08-09,186701
2021-08-10,170901
2021-08-11,187844
2021-08-12,181310
2021-08-13,180086
2021-08-14,143125
2021-08-15,240609
2021-08-16,188445
2021-08-17,167900
2021-08-18,203989
2021-08-19,132358
2021-08-20,125235
2021-08-21,182137
2021-08-22,209653
2021-08-23,247204
2021-08-24,147859
2021-08-25,236862
2021-08-26,167534
2021-08-27,197236
2021-08-28,211205
2021-08-29,173516
2021-08-30,153768
2021-08-31,132902
2021-09-01,157984
2021-09-02,217960
2021-09-03,206560
2021-09-04,215343
