date,credits sell
2020-08-25,13
2020-08-26,23
2020-08-27,7
2020-08-28,9
2020-08-29,10
2020-08-30,12
2020-08-31,12
2020-09-01,47
2020-09-02,29
2020-09-03,19
2020-09-04,37
2020-09-05,37
2020-09-06,33
2020-09-07,27
2020-09-08,14
2020-09-09,31
2020-09-10,21
2020-09-11,10
2020-09-12,21
2020-09-13,11
2020-09-14,32
2020-09-15,7
2020-09-16,34
2020-09-17,22
2020-09-18,7
2020-09-19,9
2020-09-20,32
2020-09-21,10
2020-09-22,9
2020-09-23,8
2020-09-24,20
2020-09-25,12
2020-09-26,41
2020-09-27,17
2020-09-28,20
2020-09-29,26
2020-09-30,18
2020-10-01,29
2020-10-02,50
2020-10-03,24
2020-10-04,13
2020-10-05,15
2020-10-06,20
2020-10-07,12
2020-10-08,30
2020-10-09,12
2020-10-10,31
2020-10-11,19
2020-10-12,19
2020-10-13,14
2020-10-14,18
2020-10-15,17
2020-10-16,15
2020-10-17,10
2020-10-18,42
2020-10-19,8
2020-10-20,8
2020-10-21,18
2020-10-22,17
2020-10-23,23
2020-10-24,30
2020-10-25,15
2020-10-26,55
2020-10-27,15
2020-10-28,8
2020-10-29,13
2020-10-30,37
2020-10-31,45
2020-11-01,25
2020-11-02,27
2020-11-03,23
2020-11-04,23
2020-11-05,16
2020-11-06,13
2020-11-07,8
2020-11-08,8
2020-11-09,11
2020-11-10,20
2020-11-11,11
2020-11-12,12
2020-11-13,25
2020-11-14,12
2020-11-15,23
2020-11-16,12
2020-11-17,4
2020-11-18,9
2020-11-19,22
2020-11-20,28
2020-11-21,19
2020-11-22,7
2020-11-23,9
2020-11-24,14
2020-11-25,11
2020-11-26,12
2020-11-27,8
2020-11-28,16
2020-11-29,21
2020-11-30,26
2020-12-01,15
2020-12-02,28
2020-12-03,16
2020-12-04,18
2020-12-05,20
2020-12-06,16
2020-12-07,10
2020-12-08,36
2020-12-09,10
2020-12-10,12
2020-12-11,8
2020-12-12,23
2020-12-13,6
2020-12-14,37
2020-12-15,41
2020-12-16,45
2020-12-17,38
2020-12-18,13
2020-12-19,20
2020-12-20,37
2020-12-21,32
2020-12-22,36
2020-12-23,13
2020-12-24,17
2020-12-25,15
2020-12-26,17
2020-12-27,11
2020-12-28,26
2020-12-29,19
2020-12-30,18
2020-12-31,19
2021-01-01,11
2021-01-02,26
2021-01-03,26
2021-01-04,30
2021-01-05,34
2021-01-06,26
2021-01-07,16
2021-01-08,14
2021-01-09,27
2021-01-10,15
2021-01-11,22
2021-01-12,33
2021-01-13,22
2021-01-14,13
2021-01-15,21
