date,food sell
2020-08-25,6944852
2020-08-26,9540911
2020-08-27,5460141
2020-08-28,7548676
2020-08-29,5644723
2020-08-30,9454099
2020-08-31,9582612
2020-09-01,12551700
2020-09-02,9794036
2020-09-03,9719270
2020-09-04,12211018
2020-09-05,8531360
2020-09-06,12100449
2020-09-07,12451460
2020-09-08,11071812
2020-09-09,13054184
2020-09-10,10080294
2020-09-11,10966811
2020-09-12,11465545
2020-09-13,18179059
2020-09-14,11047212
2020-09-15,10061086
2020-09-16,9410841
2020-09-17,10972559
2020-09-18,9301428
2020-09-19,14214992
2020-09-20,10918851
2020-09-21,19549973
2020-09-22,10299755
2020-09-23,11831924
2020-09-24,15332242
2020-09-25,12385398
2020-09-26,17045362
2020-09-27,15668425
2020-09-28,17531949
2020-09-29,13690606
2020-09-30,12869976
2020-10-01,14255249
2020-10-02,9733491
2020-10-03,14255411
2020-10-04,12743067
2020-10-05,18862189
2020-10-06,10137699
2020-10-07,14320496
2020-10-08,15912009
2020-10-09,11402072
2020-10-10,10692379
2020-10-11,16807945
2020-10-12,10324868
2020-10-13,13086000
2020-10-14,12690380
2020-10-15,12546560
2020-10-16,11151616
2020-10-17,9672039
2020-10-18,14800464
2020-10-19,15169851
2020-10-20,10859815
2020-10-21,14476410
2020-10-22,12370370
2020-10-23,14026691
2020-10-24,14563954
2020-10-25,14563919
2020-10-26,24205282
2020-10-27,35707663
2020-10-28,13921870
2020-10-29,14382936
2020-10-30,14804667
2020-10-31,6663669
2020-11-01,6324517
2020-11-02,8979168
2020-11-03,7945044
2020-11-04,11329259
2020-11-05,9821601
2020-11-06,7346886
2020-11-07,4320392
2020-11-08,4574389
2020-11-09,4484609
2020-11-10,8525382
2020-11-11,4240561
2020-11-12,4627066
2020-11-13,7656384
2020-11-14,4572390
2020-11-15,6365841
2020-11-16,6793190
2020-11-17,5834479
2020-11-18,5596467
2020-11-19,6210455
2020-11-20,6452318
2020-11-21,5492000
2020-11-22,4844125
2020-11-23,7079209
2020-11-24,5951115
2020-11-25,5924542
2020-11-26,3849595
2020-11-27,5653442
2020-11-28,4289614
2020-11-29,5528111
2020-11-30,6057932
2020-12-01,7236694
2020-12-02,7815644
2020-12-03,6581107
2020-12-04,5672436
2020-12-05,6366899
2020-12-06,8467292
2020-12-07,7030933
2020-12-08,6965530
2020-12-09,6150098
2020-12-10,5809852
2020-12-11,5353588
2020-12-12,6248955
2020-12-13,7619874
2020-12-14,6748840
2020-12-15,15806239
2020-12-16,15598147
2020-12-17,9251323
2020-12-18,13836044
2020-12-19,12272525
2020-12-20,10950916
2020-12-21,9818910
2020-12-22,9237782
2020-12-23,9521483
2020-12-24,8835558
2020-12-25,9616305
2020-12-26,11338137
2020-12-27,15251591
2020-12-28,9978635
2020-12-29,9982971
2020-12-30,8237055
2020-12-31,11783727
2021-01-01,24624369
2021-01-02,10923367
2021-01-03,16718797
2021-01-04,16904265
2021-01-05,11446001
2021-01-06,17907554
2021-01-07,11939186
2021-01-08,12904981
2021-01-09,15666589
2021-01-10,13124048
2021-01-11,12906225
2021-01-12,17384974
2021-01-13,16852182
2021-01-14,13398756
2021-01-15,13332487
2021-01-16,17045925
2021-01-17,16335062
2021-01-18,20635698
2021-01-19,18307458
2021-01-20,18118107
2021-01-21,16860374
2021-01-22,13116948
2021-01-23,18008404
2021-01-24,14302941
2021-01-25,15386481
2021-01-26,22949396
2021-01-27,18330179
2021-01-28,21726219
2021-01-29,15152312
2021-01-30,15222491
2021-01-31,18705241
2021-02-01,24867495
2021-02-02,18016381
2021-02-03,12866828
2021-02-04,16495224
2021-02-05,18741226
2021-02-06,17481550
2021-02-07,18674362
2021-02-08,20461236
2021-02-09,22143652
2021-02-10,19112945
2021-02-11,19577716
2021-02-12,15946920
