date,gasoline sell
2020-08-25,156446
2020-08-26,150352
2020-08-27,196021
2020-08-28,206885
2020-08-29,248190
2020-08-30,198811
2020-08-31,223449
2020-09-01,255934
2020-09-02,437359
2020-09-03,224136
2020-09-04,231013
2020-09-05,185829
2020-09-06,271023
2020-09-07,168491
2020-09-08,368010
2020-09-09,375596
2020-09-10,234128
2020-09-11,244989
2020-09-12,236040
2020-09-13,308057
2020-09-14,225207
2020-09-15,422696
2020-09-16,254393
2020-09-17,155052
2020-09-18,226653
2020-09-19,126907
2020-09-20,259433
2020-09-21,306521
2020-09-22,285295
2020-09-23,350410
2020-09-24,285868
2020-09-25,252558
2020-09-26,182605
2020-09-27,235659
2020-09-28,289190
2020-09-29,162039
2020-09-30,279812
2020-10-01,339693
2020-10-02,258087
2020-10-03,242950
2020-10-04,303669
2020-10-05,295313
2020-10-06,205867
2020-10-07,296072
2020-10-08,227934
2020-10-09,247686
2020-10-10,130631
2020-10-11,280894
2020-10-12,269069
2020-10-13,209588
2020-10-14,268654
2020-10-15,325426
2020-10-16,147310
2020-10-17,175383
2020-10-18,636593
2020-10-19,212099
2020-10-20,303589
2020-10-21,274933
2020-10-22,380072
2020-10-23,273520
2020-10-24,451511
2020-10-25,408854
2020-10-26,913280
2020-10-27,563829
2020-10-28,291870
2020-10-29,457900
2020-10-30,433694
2020-10-31,543741
2020-11-01,285966
2020-11-02,363248
2020-11-03,336300
2020-11-04,196224
2020-11-05,325359
2020-11-06,196843
2020-11-07,233316
2020-11-08,220834
2020-11-09,154402
2020-11-10,140118
2020-11-11,159452
2020-11-12,195318
2020-11-13,219576
2020-11-14,129825
2020-11-15,190315
2020-11-16,246775
2020-11-17,288885
2020-11-18,174396
2020-11-19,187158
2020-11-20,246681
2020-11-21,227822
2020-11-22,419144
2020-11-23,143326
2020-11-24,174659
2020-11-25,259672
2020-11-26,182828
2020-11-27,152579
2020-11-28,182469
2020-11-29,207266
2020-11-30,251842
2020-12-01,244886
2020-12-02,214024
2020-12-03,234978
2020-12-04,169045
2020-12-05,185783
2020-12-06,221777
2020-12-07,154946
2020-12-08,167915
2020-12-09,177570
2020-12-10,150374
2020-12-11,364439
2020-12-12,160743
2020-12-13,178989
2020-12-14,188505
2020-12-15,524561
2020-12-16,245065
2020-12-17,378704
2020-12-18,276728
2020-12-19,307253
2020-12-20,328279
2020-12-21,298596
2020-12-22,314576
2020-12-23,224534
2020-12-24,226557
2020-12-25,340796
2020-12-26,202317
2020-12-27,214398
2020-12-28,153341
2020-12-29,314379
2020-12-30,140250
2020-12-31,269799
2021-01-01,300080
2021-01-02,330444
2021-01-03,249023
2021-01-04,187813
2021-01-05,268802
2021-01-06,295467
2021-01-07,229660
2021-01-08,285781
2021-01-09,298196
2021-01-10,248624
2021-01-11,462362
2021-01-12,254939
2021-01-13,313620
2021-01-14,469351
2021-01-15,344997
2021-01-16,331565
2021-01-17,238189
2021-01-18,430007
2021-01-19,259401
2021-01-20,332520
2021-01-21,257395
2021-01-22,487777
2021-01-23,217499
2021-01-24,383532
2021-01-25,454782
2021-01-26,370157
2021-01-27,378653
2021-01-28,450691
2021-01-29,211920
2021-01-30,315979
2021-01-31,414605
2021-02-01,456848
2021-02-02,298997
2021-02-03,323134
2021-02-04,377921
2021-02-05,307993
2021-02-06,338903
2021-02-07,503919
2021-02-08,437943
2021-02-09,275387
2021-02-10,356393
2021-02-11,495621
2021-02-12,459774
2021-02-13,232706
2021-02-14,252901
2021-02-15,276685
2021-02-16,368107
2021-02-17,318659
2021-02-18,291952
2021-02-19,253887
2021-02-20,293632
2021-02-21,489046
2021-02-22,280992
2021-02-23,496615
2021-02-24,328680
2021-02-25,272254
2021-02-26,202216
2021-02-27,240311
2021-02-28,390700
2021-03-01,374968
2021-03-02,449464
2021-03-03,390122
2021-03-04,407769
2021-03-05,260397
2021-03-06,226562
2021-03-07,278636
2021-03-08,366584
2021-03-09,242955
2021-03-10,351553
2021-03-11,557771
2021-03-12,530594
2021-03-13,273574
2021-03-14,250889
2021-03-15,395161
2021-03-16,349742
2021-03-17,301354
2021-03-18,567418
2021-03-19,290248
2021-03-20,270123
2021-03-21,336984
2021-03-22,540942
2021-03-23,334919
2021-03-24,398197
2021-03-25,259178
2021-03-26,559110
2021-03-27,249262
2021-03-28,372941
2021-03-29,416038
2021-03-30,596249
2021-03-31,298960
2021-04-01,491054
2021-04-02,455734
2021-04-03,313876
2021-04-04,477076
2021-04-05,374612
2021-04-06,400535
2021-04-07,453766
2021-04-08,537496
2021-04-09,265340
2021-04-10,410672
2021-04-11,609678
2021-04-12,473087
2021-04-13,453124
2021-04-14,403384
2021-04-15,288893
2021-04-16,300051
2021-04-17,338204
2021-04-18,309656
2021-04-19,372843
2021-04-20,172248
2021-04-21,258257
2021-04-22,292065
2021-04-23,289178
2021-04-24,253982
2021-04-25,245741
2021-04-26,210998
2021-04-27,293963
2021-04-28,287397
2021-04-29,422971
2021-04-30,285650
2021-05-01,482316
2021-05-02,521047
2021-05-03,509288
2021-05-04,380718
2021-05-05,301184
2021-05-06,215290
2021-05-07,381672
2021-05-08,295309
2021-05-09,279969
2021-05-10,415317
2021-05-11,352092
2021-05-12,360714
2021-05-13,356322
2021-05-14,354539
2021-05-15,317297
2021-05-16,272593
2021-05-17,312190
2021-05-18,407835
2021-05-19,364088
2021-05-20,626774
2021-05-21,291382
2021-05-22,372997
2021-05-23,423532
2021-05-24,533535
2021-05-25,481532
2021-05-26,473457
2021-05-27,418624
2021-05-28,426842
2021-05-29,409663
2021-05-30,337298
2021-05-31,391503
2021-06-01,478079
2021-06-02,427636
2021-06-03,425177
2021-06-04,316121
2021-06-05,232107
2021-06-06,270683
2021-06-07,380646
2021-06-08,431568
2021-06-09,360512
2021-06-10,291319
2021-06-11,403589
2021-06-12,263336
2021-06-13,297614
2021-06-14,309181
2021-06-15,372406
2021-06-16,444441
2021-06-17,479515
2021-06-18,350376
2021-06-19,501647
2021-06-20,440699
2021-06-21,526509
2021-06-22,325282
2021-06-23,309054
2021-06-24,406313
2021-06-25,281234
2021-06-26,421009
2021-06-27,336393
2021-06-28,417284
2021-06-29,288529
2021-06-30,236659
2021-07-01,497522
2021-07-02,327845
2021-07-03,276957
2021-07-04,271529
2021-07-05,297496
2021-07-06,220535
2021-07-07,315407
2021-07-08,276305
2021-07-09,395252
2021-07-10,271722
2021-07-11,337141
2021-07-12,460951
2021-07-13,535283
2021-07-14,334839
2021-07-15,441310
2021-07-16,330403
2021-07-17,333534
2021-07-18,361488
2021-07-19,473011
2021-07-20,340459
2021-07-21,450886
2021-07-22,461616
2021-07-23,313034
2021-07-24,315859
2021-07-25,631705
2021-07-26,483291
2021-07-27,284085
2021-07-28,446249
2021-07-29,554615
2021-07-30,500175
2021-07-31,326066
2021-08-01,437656
2021-08-02,378293
2021-08-03,346139
2021-08-04,360920
2021-08-05,522439
2021-08-06,371255
2021-08-07,319022
2021-08-08,464004
2021-08-09,428477
2021-08-10,361471
2021-08-11,425149
2021-08-12,310774
2021-08-13,260990
2021-08-14,467512
2021-08-15,557079
2021-08-16,605248
2021-08-17,505569
2021-08-18,574110
2021-08-19,357386
2021-08-20,321832
2021-08-21,294780
2021-08-22,274056
2021-08-23,380287
2021-08-24,462447
2021-08-25,273020
2021-08-26,311939
2021-08-27,218234
2021-08-28,343259
2021-08-29,247413
2021-08-30,411668
2021-08-31,344819
2021-09-01,375737
2021-09-02,401335
2021-09-03,295623
2021-09-04,302813
2021-09-05,306856
2021-09-06,368533
2021-09-07,336669
2021-09-08,277025
2021-09-09,306615
2021-09-10,270202
2021-09-11,322307
2021-09-12,236658
2021-09-13,279572
2021-09-14,250903
2021-09-15,282687
2021-09-16,285680
2021-09-17,324248
2021-09-18,302181
2021-09-19,488984
2021-09-20,468543
2021-09-21,419157
2021-09-22,503018
2021-09-23,369297
2021-09-24,355747
2021-09-25,342216
2021-09-26,354449
2021-09-27,466787
2021-09-28,468782
2021-09-29,328574
2021-09-30,369745
2021-10-01,389791
2021-10-02,355038
2021-10-03,429095
2021-10-04,509168
2021-10-05,340888
2021-10-06,365176
2021-10-07,365986
2021-10-08,304496
2021-10-09,305908
2021-10-10,309620
2021-10-11,492232
2021-10-12,549657
2021-10-13,273227
2021-10-14,401494
2021-10-15,416817
2021-10-16,312048
2021-10-17,507349
2021-10-18,439387
2021-10-19,507527
2021-10-20,398980
2021-10-21,377976
2021-10-22,354177
2021-10-23,402135
2021-10-24,458111
2021-10-25,310418
2021-10-26,322924
2021-10-27,325251
2021-10-28,430744
2021-10-29,411369
2021-10-30,376375
2021-10-31,346533
2021-11-01,568413
2021-11-02,629791
2021-11-03,396217
2021-11-04,509673
2021-11-05,325738
2021-11-06,356392
2021-11-07,569648
2021-11-08,407435
2021-11-09,479218
2021-11-10,380221
2021-11-11,401810
2021-11-12,593383
2021-11-13,551142
2021-11-14,482702
2021-11-15,537610
2021-11-16,383450
2021-11-17,508038
2021-11-18,578045
2021-11-19,521032
2021-11-20,398548
2021-11-21,577188
2021-11-22,334298
2021-11-23,396854
2021-11-24,395839
2021-11-25,382076
2021-11-26,587846
2021-11-27,383189
2021-11-28,326640
2021-11-29,817055
2021-11-30,626609
2021-12-01,539253
2021-12-02,542281
2021-12-03,355540
2021-12-04,424017
2021-12-05,541502
2021-12-06,833765
2021-12-07,706630
2021-12-08,976326
2021-12-09,658298
2021-12-10,341270
2021-12-11,493910
2021-12-12,772028
2021-12-13,532291
2021-12-14,567358
2021-12-15,366661
2021-12-16,466583
2021-12-17,341254
2021-12-18,532801
2021-12-19,477913
2021-12-20,503098
2021-12-21,366007
2021-12-22,362837
2021-12-23,329356
2021-12-24,451161
2021-12-25,566915
2021-12-26,408237
2021-12-27,502980
2021-12-28,459439
2021-12-29,345071
2021-12-30,333487
2021-12-31,322335
2022-01-01,734698
2022-01-02,487622
2022-01-03,709200
2022-01-04,386319
2022-01-05,521503
2022-01-06,454453
2022-01-07,411608
2022-01-08,890881
2022-01-09,452979
2022-01-10,542427
2022-01-11,446598
2022-01-12,429445
2022-01-13,497313
2022-01-14,412915
2022-01-15,488800
2022-01-16,589826
2022-01-17,517878
2022-01-18,460055
2022-01-19,413820
2022-01-20,575191
2022-01-21,781642
2022-01-22,541713
2022-01-23,688844
2022-01-24,433446
2022-01-25,298332
2022-01-26,305903
2022-01-27,271716
2022-01-28,287054
2022-01-29,347619
2022-01-30,338837
2022-01-31,331818
2022-02-01,429036
2022-02-02,340368
2022-02-03,413949
2022-02-04,444846
2022-02-05,376698
2022-02-06,447439
