date,iron sell
2020-08-25,96551
2020-08-26,71845
2020-08-27,99465
2020-08-28,92315
2020-08-29,81701
2020-08-30,66247
2020-08-31,110115
2020-09-01,98601
2020-09-02,152837
2020-09-03,113734
2020-09-04,127411
2020-09-05,170706
2020-09-06,117162
2020-09-07,151120
2020-09-08,110427
2020-09-09,141164
2020-09-10,99022
2020-09-11,100752
2020-09-12,98246
2020-09-13,180974
2020-09-14,102091
2020-09-15,160923
2020-09-16,143881
2020-09-17,193476
2020-09-18,96431
2020-09-19,135497
2020-09-20,161676
2020-09-21,138810
2020-09-22,122929
2020-09-23,150593
2020-09-24,102657
2020-09-25,108853
2020-09-26,165784
2020-09-27,150944
2020-09-28,159128
2020-09-29,102840
2020-09-30,162438
2020-10-01,116321
2020-10-02,78566
2020-10-03,123857
2020-10-04,140938
2020-10-05,220048
2020-10-06,80498
2020-10-07,184483
2020-10-08,135123
2020-10-09,172404
2020-10-10,88479
2020-10-11,189940
2020-10-12,116653
2020-10-13,113620
2020-10-14,184885
2020-10-15,95826
2020-10-16,79555
2020-10-17,116928
2020-10-18,112128
2020-10-19,129477
2020-10-20,164611
2020-10-21,162779
2020-10-22,107723
2020-10-23,127014
2020-10-24,189439
2020-10-25,175275
2020-10-26,264192
2020-10-27,176357
2020-10-28,192927
2020-10-29,186207
2020-10-30,114260
2020-10-31,116788
2020-11-01,54974
2020-11-02,44517
2020-11-03,61394
2020-11-04,103061
2020-11-05,84119
2020-11-06,68289
2020-11-07,134865
2020-11-08,100282
2020-11-09,143470
2020-11-10,108233
2020-11-11,260542
2020-11-12,65843
2020-11-13,68721
2020-11-14,64417
2020-11-15,64969
2020-11-16,82092
2020-11-17,215574
2020-11-18,78591
2020-11-19,90684
2020-11-20,119516
2020-11-21,94100
2020-11-22,83486
2020-11-23,93814
2020-11-24,103828
2020-11-25,59795
2020-11-26,143188
2020-11-27,86547
2020-11-28,100457
2020-11-29,64248
2020-11-30,96734
2020-12-01,88196
2020-12-02,190154
2020-12-03,126992
2020-12-04,79126
2020-12-05,84864
2020-12-06,119477
2020-12-07,56207
2020-12-08,120889
2020-12-09,148592
2020-12-10,59090
2020-12-11,90853
2020-12-12,50512
2020-12-13,91796
2020-12-14,86746
2020-12-15,287498
2020-12-16,147250
2020-12-17,164717
2020-12-18,140340
2020-12-19,138522
2020-12-20,114827
2020-12-21,86118
2020-12-22,143491
2020-12-23,127951
2020-12-24,105382
2020-12-25,76479
2020-12-26,166625
2020-12-27,131185
2020-12-28,143389
2020-12-29,120494
2020-12-30,82496
2020-12-31,74523
2021-01-01,110243
2021-01-02,324412
2021-01-03,183949
2021-01-04,147334
2021-01-05,177457
2021-01-06,187914
