date,lead sell
2020-08-25,50421
2020-08-26,96710
2020-08-27,62579
2020-08-28,67840
2020-08-29,58156
2020-08-30,103261
2020-08-31,70006
2020-09-01,117983
2020-09-02,105511
2020-09-03,67016
2020-09-04,73095
2020-09-05,93605
2020-09-06,87935
2020-09-07,98657
2020-09-08,108980
2020-09-09,61961
2020-09-10,66919
2020-09-11,79678
2020-09-12,84645
2020-09-13,75053
2020-09-14,86166
2020-09-15,71212
2020-09-16,110225
2020-09-17,86663
2020-09-18,65092
2020-09-19,62914
2020-09-20,94183
2020-09-21,117289
2020-09-22,68346
2020-09-23,77703
2020-09-24,85154
2020-09-25,65956
2020-09-26,81291
2020-09-27,82471
2020-09-28,70761
2020-09-29,91505
2020-09-30,107628
2020-10-01,84011
2020-10-02,72799
2020-10-03,78362
2020-10-04,121017
2020-10-05,107218
2020-10-06,64063
2020-10-07,102845
2020-10-08,112051
2020-10-09,77878
2020-10-10,74712
2020-10-11,87929
2020-10-12,82305
2020-10-13,76609
2020-10-14,98522
2020-10-15,56573
2020-10-16,82456
2020-10-17,58423
2020-10-18,102129
2020-10-19,121264
2020-10-20,116428
2020-10-21,93166
2020-10-22,90335
2020-10-23,61414
2020-10-24,158755
2020-10-25,118694
2020-10-26,169954
2020-10-27,209670
2020-10-28,115908
2020-10-29,222625
2020-10-30,110088
2020-10-31,43043
2020-11-01,154000
2020-11-02,45024
2020-11-03,50988
2020-11-04,57743
2020-11-05,38205
2020-11-06,74125
2020-11-07,46156
2020-11-08,60551
2020-11-09,58624
2020-11-10,57261
2020-11-11,88858
2020-11-12,48906
2020-11-13,63078
2020-11-14,62570
2020-11-15,56872
2020-11-16,74799
2020-11-17,79796
2020-11-18,102833
2020-11-19,77231
2020-11-20,65278
2020-11-21,63106
2020-11-22,64159
2020-11-23,81519
2020-11-24,121069
2020-11-25,50562
2020-11-26,56533
2020-11-27,58510
2020-11-28,79040
2020-11-29,59443
2020-11-30,68468
2020-12-01,78270
2020-12-02,56393
2020-12-03,84245
2020-12-04,58241
2020-12-05,98076
2020-12-06,78422
2020-12-07,94043
2020-12-08,46414
2020-12-09,62954
2020-12-10,39980
2020-12-11,124324
2020-12-12,77737
2020-12-13,52986
2020-12-14,57824
2020-12-15,164924
2020-12-16,142326
2020-12-17,124360
2020-12-18,96544
2020-12-19,101048
2020-12-20,83958
2020-12-21,149832
2020-12-22,150674
2020-12-23,71614
2020-12-24,86263
2020-12-25,87170
2020-12-26,77912
2020-12-27,122209
2020-12-28,158278
2020-12-29,105276
2020-12-30,102890
2020-12-31,89313
2021-01-01,126007
2021-01-02,80247
2021-01-03,78180
2021-01-04,63792
2021-01-05,119596
2021-01-06,161665
2021-01-07,138855
2021-01-08,59923
2021-01-09,150368
2021-01-10,94982
2021-01-11,134624
2021-01-12,76139
2021-01-13,74796
2021-01-14,103650
2021-01-15,110919
2021-01-16,100172
2021-01-17,186528
2021-01-18,115539
2021-01-19,121775
2021-01-20,98351
2021-01-21,141258
2021-01-22,130945
2021-01-23,175800
2021-01-24,201470
2021-01-25,149869
2021-01-26,127624
2021-01-27,96318
2021-01-28,104047
2021-01-29,145600
2021-01-30,114596
2021-01-31,135701
2021-02-01,149028
2021-02-02,154291
2021-02-03,134414
2021-02-04,114866
2021-02-05,129521
2021-02-06,105733
2021-02-07,96083
2021-02-08,157401
2021-02-09,93389
2021-02-10,122092
2021-02-11,110629
2021-02-12,158643
2021-02-13,116473
2021-02-14,107098
2021-02-15,90078
2021-02-16,95810
2021-02-17,105705
2021-02-18,86286
2021-02-19,112425
2021-02-20,153202
2021-02-21,124078
2021-02-22,121026
2021-02-23,135503
2021-02-24,121236
2021-02-25,138945
2021-02-26,96168
2021-02-27,112154
2021-02-28,122917
2021-03-01,133580
2021-03-02,97665
2021-03-03,126276
2021-03-04,77137
2021-03-05,135122
2021-03-06,107810
2021-03-07,136765
2021-03-08,81447
2021-03-09,119161
2021-03-10,82413
2021-03-11,85265
2021-03-12,113770
2021-03-13,166702
2021-03-14,104206
2021-03-15,103416
2021-03-16,122994
2021-03-17,168326
2021-03-18,117817
2021-03-19,113825
2021-03-20,91815
2021-03-21,102176
2021-03-22,130504
2021-03-23,133490
2021-03-24,63627
2021-03-25,106662
2021-03-26,125899
2021-03-27,85949
2021-03-28,127327
2021-03-29,114627
2021-03-30,124643
2021-03-31,137405
2021-04-01,154314
2021-04-02,101136
2021-04-03,154433
2021-04-04,126181
2021-04-05,182178
2021-04-06,124091
2021-04-07,150660
2021-04-08,102831
2021-04-09,134599
2021-04-10,120235
2021-04-11,126657
2021-04-12,100231
2021-04-13,153547
2021-04-14,86082
2021-04-15,85392
2021-04-16,116447
2021-04-17,122362
2021-04-18,96795
2021-04-19,94920
2021-04-20,86711
2021-04-21,182573
2021-04-22,133663
2021-04-23,103688
2021-04-24,166112
2021-04-25,93439
2021-04-26,93470
2021-04-27,127380
2021-04-28,129135
2021-04-29,100970
2021-04-30,91662
2021-05-01,144051
2021-05-02,135392
2021-05-03,100847
2021-05-04,136479
2021-05-05,124035
2021-05-06,79392
2021-05-07,116021
2021-05-08,201583
2021-05-09,96673
2021-05-10,122838
2021-05-11,115023
2021-05-12,150293
2021-05-13,95947
2021-05-14,107325
2021-05-15,114410
2021-05-16,126216
2021-05-17,173869
2021-05-18,159026
2021-05-19,139256
2021-05-20,138261
2021-05-21,130894
2021-05-22,116633
2021-05-23,89608
2021-05-24,99967
2021-05-25,201671
2021-05-26,147464
2021-05-27,121111
2021-05-28,101704
2021-05-29,102899
2021-05-30,100952
2021-05-31,94926
2021-06-01,120349
2021-06-02,84566
2021-06-03,130614
2021-06-04,95280
2021-06-05,56981
2021-06-06,111839
2021-06-07,85615
2021-06-08,138472
2021-06-09,89548
2021-06-10,111449
2021-06-11,120482
2021-06-12,73874
2021-06-13,114658
2021-06-14,126025
2021-06-15,110825
2021-06-16,132097
2021-06-17,146851
2021-06-18,115994
2021-06-19,115972
2021-06-20,114987
2021-06-21,129376
2021-06-22,131852
2021-06-23,143352
2021-06-24,108302
2021-06-25,200940
2021-06-26,198789
2021-06-27,116073
2021-06-28,130435
2021-06-29,173052
2021-06-30,83758
2021-07-01,193323
2021-07-02,114436
2021-07-03,148577
2021-07-04,128216
2021-07-05,114063
2021-07-06,87933
2021-07-07,108617
2021-07-08,113710
2021-07-09,111576
2021-07-10,130622
2021-07-11,127844
2021-07-12,85855
2021-07-13,99853
2021-07-14,90294
2021-07-15,160593
2021-07-16,96593
2021-07-17,102446
2021-07-18,105662
2021-07-19,152765
2021-07-20,119148
2021-07-21,214015
2021-07-22,127560
2021-07-23,100301
2021-07-24,101141
2021-07-25,114599
2021-07-26,120173
2021-07-27,155468
2021-07-28,104729
2021-07-29,101440
2021-07-30,120696
2021-07-31,176416
2021-08-01,168189
2021-08-02,162121
2021-08-03,123923
2021-08-04,100607
2021-08-05,105720
2021-08-06,131764
2021-08-07,142057
2021-08-08,144209
2021-08-09,102576
2021-08-10,161451
2021-08-11,146104
2021-08-12,158654
2021-08-13,109177
2021-08-14,131100
2021-08-15,318931
2021-08-16,156013
2021-08-17,185473
2021-08-18,209891
2021-08-19,93248
2021-08-20,87029
2021-08-21,100010
2021-08-22,118333
2021-08-23,110974
2021-08-24,63659
2021-08-25,164452
2021-08-26,79440
2021-08-27,229672
2021-08-28,102581
2021-08-29,104058
2021-08-30,75822
2021-08-31,112289
2021-09-01,126796
2021-09-02,120688
2021-09-03,86463
2021-09-04,144564
2021-09-05,101553
2021-09-06,136953
2021-09-07,151685
2021-09-08,129842
2021-09-09,86250
2021-09-10,67285
2021-09-11,115018
2021-09-12,64932
2021-09-13,218057
2021-09-14,101360
2021-09-15,85187
2021-09-16,115054
2021-09-17,120256
2021-09-18,130650
2021-09-19,153204
2021-09-20,83006
2021-09-21,181977
