date,munitions sell
2020-08-25,271647
2020-08-26,222330
2020-08-27,308700
2020-08-28,244058
2020-08-29,384048
2020-08-30,240635
2020-08-31,258558
2020-09-01,314543
2020-09-02,396636
2020-09-03,287754
2020-09-04,332230
2020-09-05,281257
2020-09-06,304703
2020-09-07,316492
2020-09-08,391670
2020-09-09,671042
2020-09-10,204376
2020-09-11,241755
2020-09-12,225411
2020-09-13,364993
2020-09-14,227148
2020-09-15,386520
2020-09-16,206741
2020-09-17,269287
2020-09-18,241199
2020-09-19,252475
2020-09-20,264037
2020-09-21,350535
2020-09-22,252126
2020-09-23,329288
2020-09-24,256484
2020-09-25,224806
2020-09-26,190806
2020-09-27,285399
2020-09-28,355262
2020-09-29,224986
2020-09-30,233616
2020-10-01,509661
2020-10-02,259976
2020-10-03,286834
2020-10-04,441155
2020-10-05,412821
2020-10-06,317975
2020-10-07,176489
2020-10-08,258554
2020-10-09,224129
2020-10-10,259131
2020-10-11,292470
2020-10-12,354118
2020-10-13,595601
2020-10-14,300584
2020-10-15,278889
2020-10-16,214059
2020-10-17,338930
2020-10-18,304948
2020-10-19,321495
2020-10-20,707010
2020-10-21,232214
2020-10-22,484946
2020-10-23,414182
2020-10-24,385144
2020-10-25,268050
2020-10-26,1294625
2020-10-27,452765
2020-10-28,298384
2020-10-29,358973
2020-10-30,390409
2020-10-31,790475
2020-11-01,438278
2020-11-02,759391
2020-11-03,538500
2020-11-04,450445
2020-11-05,374650
2020-11-06,305993
2020-11-07,339088
2020-11-08,340395
2020-11-09,348351
2020-11-10,285772
2020-11-11,291860
2020-11-12,297072
2020-11-13,405535
2020-11-14,226730
2020-11-15,359523
2020-11-16,561562
2020-11-17,300790
2020-11-18,256260
2020-11-19,293639
2020-11-20,305796
2020-11-21,317326
2020-11-22,363120
2020-11-23,452717
2020-11-24,247574
2020-11-25,292063
2020-11-26,243608
2020-11-27,224510
2020-11-28,299877
2020-11-29,314615
2020-11-30,298448
2020-12-01,278071
2020-12-02,291126
2020-12-03,310258
2020-12-04,230167
2020-12-05,246275
2020-12-06,398195
2020-12-07,222580
2020-12-08,297232
2020-12-09,320488
2020-12-10,395229
2020-12-11,332842
2020-12-12,527795
2020-12-13,209516
2020-12-14,259564
2020-12-15,539994
2020-12-16,422201
2020-12-17,535860
2020-12-18,585205
2020-12-19,302840
2020-12-20,347104
2020-12-21,307512
2020-12-22,340828
2020-12-23,272337
2020-12-24,269933
2020-12-25,296043
2020-12-26,267770
2020-12-27,344336
2020-12-28,190267
2020-12-29,240177
2020-12-30,185864
2020-12-31,326079
2021-01-01,297412
2021-01-02,195743
2021-01-03,374864
2021-01-04,322918
2021-01-05,291080
2021-01-06,291536
2021-01-07,278579
2021-01-08,238507
2021-01-09,523012
2021-01-10,354218
2021-01-11,455885
2021-01-12,345336
2021-01-13,415067
2021-01-14,520075
2021-01-15,487654
2021-01-16,321083
2021-01-17,386636
2021-01-18,464205
2021-01-19,400875
2021-01-20,566697
2021-01-21,269530
2021-01-22,382592
2021-01-23,259615
2021-01-24,393379
2021-01-25,461984
2021-01-26,417516
2021-01-27,557180
2021-01-28,466662
2021-01-29,279279
2021-01-30,363690
2021-01-31,741211
2021-02-01,493628
2021-02-02,401164
2021-02-03,438160
2021-02-04,390811
2021-02-05,384015
2021-02-06,375275
2021-02-07,396734
2021-02-08,408287
2021-02-09,336515
2021-02-10,515234
2021-02-11,482881
2021-02-12,527449
2021-02-13,308111
2021-02-14,395105
2021-02-15,371616
2021-02-16,668123
2021-02-17,468242
2021-02-18,440650
2021-02-19,299310
2021-02-20,309990
2021-02-21,602416
2021-02-22,531882
2021-02-23,505588
2021-02-24,338714
2021-02-25,431177
2021-02-26,275237
2021-02-27,265420
2021-02-28,504218
2021-03-01,841152
2021-03-02,590573
2021-03-03,335086
