date,oil sell
2020-08-25,151166
2020-08-26,93243
2020-08-27,155412
2020-08-28,128414
2020-08-29,120644
2020-08-30,121878
2020-08-31,155885
2020-09-01,157206
2020-09-02,143308
2020-09-03,145841
2020-09-04,158830
2020-09-05,139340
2020-09-06,248737
2020-09-07,170754
2020-09-08,121941
2020-09-09,144935
2020-09-10,125285
2020-09-11,156925
2020-09-12,156574
2020-09-13,224144
2020-09-14,142584
2020-09-15,203558
2020-09-16,266023
2020-09-17,193517
2020-09-18,124016
2020-09-19,138573
2020-09-20,174573
2020-09-21,198852
2020-09-22,138893
2020-09-23,188217
2020-09-24,179503
2020-09-25,124102
2020-09-26,218473
2020-09-27,142515
2020-09-28,134922
2020-09-29,116396
2020-09-30,176762
2020-10-01,193710
2020-10-02,112702
2020-10-03,136421
2020-10-04,177236
2020-10-05,150615
2020-10-06,111885
2020-10-07,179646
2020-10-08,196068
2020-10-09,194942
2020-10-10,149556
2020-10-11,133994
2020-10-12,181331
2020-10-13,188101
2020-10-14,218606
2020-10-15,162957
2020-10-16,125347
2020-10-17,156346
2020-10-18,133120
2020-10-19,200894
2020-10-20,117891
2020-10-21,196691
2020-10-22,195130
2020-10-23,177438
2020-10-24,336229
2020-10-25,226236
2020-10-26,386862
2020-10-27,190675
2020-10-28,166674
2020-10-29,190605
2020-10-30,305908
2020-10-31,89363
2020-11-01,56980
2020-11-02,67400
2020-11-03,84758
2020-11-04,117592
2020-11-05,86859
2020-11-06,79874
2020-11-07,101510
2020-11-08,130848
2020-11-09,86440
2020-11-10,107488
2020-11-11,105304
2020-11-12,74769
2020-11-13,140496
2020-11-14,74774
2020-11-15,85427
2020-11-16,80082
2020-11-17,97416
2020-11-18,107639
2020-11-19,68195
2020-11-20,80715
2020-11-21,66306
2020-11-22,87095
2020-11-23,72604
2020-11-24,82741
2020-11-25,117694
2020-11-26,52472
2020-11-27,58868
2020-11-28,117176
2020-11-29,138662
2020-11-30,168926
2020-12-01,124244
2020-12-02,109112
2020-12-03,67517
2020-12-04,133035
2020-12-05,100568
2020-12-06,93334
2020-12-07,106551
2020-12-08,136029
2020-12-09,74514
2020-12-10,119502
2020-12-11,71254
2020-12-12,90166
2020-12-13,100644
2020-12-14,85045
2020-12-15,249230
2020-12-16,158463
2020-12-17,182042
2020-12-18,115094
2020-12-19,135643
2020-12-20,85188
2020-12-21,115912
2020-12-22,125171
2020-12-23,171208
2020-12-24,100642
2020-12-25,135082
2020-12-26,286987
2020-12-27,126866
2020-12-28,147798
2020-12-29,197638
2020-12-30,121151
2020-12-31,157809
2021-01-01,171070
2021-01-02,164662
2021-01-03,157475
2021-01-04,162613
2021-01-05,126395
2021-01-06,164118
