date,steel sell
2020-08-25,313155
2020-08-26,297364
2020-08-27,351276
2020-08-28,283220
2020-08-29,278452
2020-08-30,348200
2020-08-31,305630
2020-09-01,407331
2020-09-02,547970
2020-09-03,347591
2020-09-04,286716
2020-09-05,573495
2020-09-06,234422
2020-09-07,241618
2020-09-08,409059
2020-09-09,410948
2020-09-10,447734
2020-09-11,304564
2020-09-12,234520
2020-09-13,385223
2020-09-14,443176
2020-09-15,338110
2020-09-16,303963
2020-09-17,323851
2020-09-18,279046
2020-09-19,406280
2020-09-20,315737
2020-09-21,446080
2020-09-22,337436
2020-09-23,329995
2020-09-24,547364
2020-09-25,283304
2020-09-26,240555
2020-09-27,400523
2020-09-28,500503
2020-09-29,307019
2020-09-30,419388
2020-10-01,437885
2020-10-02,395813
2020-10-03,325893
2020-10-04,403005
2020-10-05,392215
2020-10-06,267816
2020-10-07,427323
2020-10-08,291540
2020-10-09,387633
2020-10-10,254684
2020-10-11,266219
2020-10-12,330536
2020-10-13,286851
2020-10-14,337530
2020-10-15,406531
2020-10-16,364874
2020-10-17,245030
2020-10-18,795711
2020-10-19,390003
2020-10-20,760872
2020-10-21,380992
2020-10-22,498385
2020-10-23,378765
2020-10-24,382446
2020-10-25,643735
2020-10-26,1397085
2020-10-27,1015924
2020-10-28,842308
2020-10-29,855075
2020-10-30,1217676
2020-10-31,728962
2020-11-01,580604
2020-11-02,355133
2020-11-03,417221
2020-11-04,334365
2020-11-05,424129
2020-11-06,341590
2020-11-07,472356
2020-11-08,349166
2020-11-09,334876
2020-11-10,286422
2020-11-11,340565
2020-11-12,259888
2020-11-13,259778
2020-11-14,203145
2020-11-15,224964
2020-11-16,225080
2020-11-17,255517
2020-11-18,228051
2020-11-19,256661
2020-11-20,276456
2020-11-21,227038
2020-11-22,261165
2020-11-23,273643
2020-11-24,216753
2020-11-25,208788
2020-11-26,180643
2020-11-27,216230
2020-11-28,270865
2020-11-29,245508
2020-11-30,287130
2020-12-01,321070
2020-12-02,217816
2020-12-03,235284
2020-12-04,203672
2020-12-05,183156
2020-12-06,212464
2020-12-07,196050
2020-12-08,176159
2020-12-09,317617
2020-12-10,269406
2020-12-11,205528
2020-12-12,209711
2020-12-13,173531
2020-12-14,271715
2020-12-15,576750
2020-12-16,469542
2020-12-17,726572
2020-12-18,511272
2020-12-19,754791
2020-12-20,304623
2020-12-21,534494
2020-12-22,628737
2020-12-23,301597
2020-12-24,321833
2020-12-25,629678
2020-12-26,368322
2020-12-27,378963
2020-12-28,354113
2020-12-29,326620
2020-12-30,305637
2020-12-31,407851
2021-01-01,345831
2021-01-02,398894
2021-01-03,363982
2021-01-04,339243
2021-01-05,218041
2021-01-06,368902
2021-01-07,359871
2021-01-08,301288
2021-01-09,499154
2021-01-10,282975
2021-01-11,307172
2021-01-12,267721
2021-01-13,380108
2021-01-14,433930
2021-01-15,388645
2021-01-16,401284
2021-01-17,516237
2021-01-18,465282
2021-01-19,388791
2021-01-20,489851
2021-01-21,380824
2021-01-22,586556
2021-01-23,527333
2021-01-24,574233
2021-01-25,475719
2021-01-26,482480
2021-01-27,447679
2021-01-28,300672
2021-01-29,328831
2021-01-30,437347
2021-01-31,615862
2021-02-01,522114
2021-02-02,626806
2021-02-03,406312
2021-02-04,309241
2021-02-05,396144
2021-02-06,484306
2021-02-07,408769
2021-02-08,451103
2021-02-09,448806
2021-02-10,501335
2021-02-11,459313
2021-02-12,552652
2021-02-13,312060
2021-02-14,412920
2021-02-15,490914
2021-02-16,561649
2021-02-17,456417
2021-02-18,417501
2021-02-19,402550
2021-02-20,368470
2021-02-21,508099
2021-02-22,517702
2021-02-23,717632
2021-02-24,463111
2021-02-25,517102
2021-02-26,312141
2021-02-27,390633
2021-02-28,473680
2021-03-01,575667
2021-03-02,743741
2021-03-03,417092
2021-03-04,618125
2021-03-05,589170
2021-03-06,324541
2021-03-07,391871
2021-03-08,434658
2021-03-09,574389
2021-03-10,496327
2021-03-11,487942
2021-03-12,651104
2021-03-13,618591
2021-03-14,342979
2021-03-15,383592
2021-03-16,481409
2021-03-17,435851
2021-03-18,912801
2021-03-19,323422
2021-03-20,353501
2021-03-21,421126
2021-03-22,714096
2021-03-23,605971
2021-03-24,584115
2021-03-25,541793
2021-03-26,772203
2021-03-27,420905
2021-03-28,533373
2021-03-29,615635
2021-03-30,703789
2021-03-31,489968
2021-04-01,548248
2021-04-02,549409
2021-04-03,464269
2021-04-04,587594
2021-04-05,508233
2021-04-06,580937
2021-04-07,901334
2021-04-08,716192
2021-04-09,628120
2021-04-10,740616
2021-04-11,533023
2021-04-12,702027
2021-04-13,586324
2021-04-14,707729
2021-04-15,432180
2021-04-16,428651
2021-04-17,442581
2021-04-18,521335
2021-04-19,531881
2021-04-20,507248
2021-04-21,434277
2021-04-22,460814
2021-04-23,424223
2021-04-24,418715
2021-04-25,383109
2021-04-26,528115
2021-04-27,463780
2021-04-28,452295
2021-04-29,467931
2021-04-30,591944
2021-05-01,998197
2021-05-02,807712
2021-05-03,932854
2021-05-04,604025
2021-05-05,492275
2021-05-06,477951
2021-05-07,494851
2021-05-08,523377
2021-05-09,457289
2021-05-10,542004
2021-05-11,536327
2021-05-12,470431
2021-05-13,459084
2021-05-14,528942
2021-05-15,466181
2021-05-16,437571
2021-05-17,500738
2021-05-18,560894
2021-05-19,636733
2021-05-20,560254
2021-05-21,591567
2021-05-22,717725
2021-05-23,904424
2021-05-24,984652
2021-05-25,664370
2021-05-26,536284
2021-05-27,684962
2021-05-28,480630
2021-05-29,623527
2021-05-30,710872
2021-05-31,914625
2021-06-01,810087
2021-06-02,489105
2021-06-03,622560
2021-06-04,426866
2021-06-05,418029
2021-06-06,419247
2021-06-07,555819
2021-06-08,455882
2021-06-09,520196
2021-06-10,417448
2021-06-11,454760
2021-06-12,304856
2021-06-13,349456
2021-06-14,709112
2021-06-15,646818
2021-06-16,517897
2021-06-17,602653
2021-06-18,474747
2021-06-19,616370
2021-06-20,534885
2021-06-21,697046
2021-06-22,492341
2021-06-23,521151
2021-06-24,344378
2021-06-25,500036
2021-06-26,455286
2021-06-27,410955
2021-06-28,317982
2021-06-29,361149
2021-06-30,475556
2021-07-01,568492
2021-07-02,427873
2021-07-03,606005
2021-07-04,390014
2021-07-05,582987
2021-07-06,430631
2021-07-07,485149
2021-07-08,498637
2021-07-09,500837
2021-07-10,453760
2021-07-11,561280
2021-07-12,552464
2021-07-13,588044
2021-07-14,529801
2021-07-15,467999
2021-07-16,427128
2021-07-17,517517
2021-07-18,452968
2021-07-19,592109
2021-07-20,603671
2021-07-21,524438
2021-07-22,457341
2021-07-23,440191
2021-07-24,467572
2021-07-25,678755
2021-07-26,505557
2021-07-27,463993
2021-07-28,550383
2021-07-29,556955
2021-07-30,644517
2021-07-31,444148
2021-08-01,659975
2021-08-02,519254
2021-08-03,776905
2021-08-04,494684
2021-08-05,630216
2021-08-06,515536
2021-08-07,507115
2021-08-08,574346
2021-08-09,504404
2021-08-10,450996
2021-08-11,573549
2021-08-12,534450
2021-08-13,549192
2021-08-14,725695
2021-08-15,969402
2021-08-16,976873
2021-08-17,1085389
2021-08-18,826609
2021-08-19,500581
2021-08-20,548438
2021-08-21,582734
2021-08-22,506129
2021-08-23,594682
2021-08-24,498787
2021-08-25,434311
2021-08-26,527077
2021-08-27,422847
2021-08-28,535017
2021-08-29,457664
2021-08-30,370009
2021-08-31,410991
2021-09-01,395747
2021-09-02,519350
2021-09-03,456856
2021-09-04,333216
2021-09-05,352011
2021-09-06,438915
2021-09-07,400563
2021-09-08,356059
2021-09-09,347301
2021-09-10,375743
2021-09-11,359585
2021-09-12,337196
2021-09-13,365414
2021-09-14,416804
2021-09-15,541639
2021-09-16,783461
2021-09-17,518109
2021-09-18,482143
2021-09-19,1060092
2021-09-20,739736
2021-09-21,557508
2021-09-22,514151
2021-09-23,525720
2021-09-24,618484
2021-09-25,619773
2021-09-26,610064
2021-09-27,619119
2021-09-28,734537
2021-09-29,451949
2021-09-30,533435
2021-10-01,730399
2021-10-02,569230
2021-10-03,662009
2021-10-04,706886
2021-10-05,586540
2021-10-06,643796
2021-10-07,406688
2021-10-08,736538
2021-10-09,711475
2021-10-10,612385
2021-10-11,544114
2021-10-12,625704
2021-10-13,448038
2021-10-14,547492
2021-10-15,413162
2021-10-16,426933
2021-10-17,428905
2021-10-18,658466
2021-10-19,602724
2021-10-20,528415
2021-10-21,558763
2021-10-22,416124
2021-10-23,639115
2021-10-24,644139
2021-10-25,617518
2021-10-26,616988
2021-10-27,553731
2021-10-28,662963
2021-10-29,407752
2021-10-30,642621
2021-10-31,454900
2021-11-01,660054
2021-11-02,451948
2021-11-03,782609
2021-11-04,536129
2021-11-05,597032
2021-11-06,473694
2021-11-07,629794
2021-11-08,604198
2021-11-09,500025
2021-11-10,492487
2021-11-11,728658
2021-11-12,580299
2021-11-13,500959
2021-11-14,758781
2021-11-15,543037
2021-11-16,516590
2021-11-17,501374
2021-11-18,469538
2021-11-19,433028
2021-11-20,424467
2021-11-21,542422
2021-11-22,1040007
2021-11-23,593409
2021-11-24,437995
2021-11-25,526786
2021-11-26,661973
2021-11-27,461016
2021-11-28,552398
2021-11-29,849016
2021-11-30,764022
2021-12-01,669735
2021-12-02,585705
2021-12-03,708844
2021-12-04,797818
2021-12-05,781862
2021-12-06,1161133
2021-12-07,1155907
2021-12-08,2130685
2021-12-09,1750598
2021-12-10,1081348
2021-12-11,1418942
2021-12-12,1327790
2021-12-13,759799
2021-12-14,645897
2021-12-15,661132
2021-12-16,527220
2021-12-17,681243
2021-12-18,781992
2021-12-19,784416
2021-12-20,591024
2021-12-21,642055
2021-12-22,605848
2021-12-23,500779
2021-12-24,606653
2021-12-25,422905
2021-12-26,491150
2021-12-27,550853
2021-12-28,543555
2021-12-29,570239
2021-12-30,541400
2021-12-31,460561
2022-01-01,673753
2022-01-02,677169
2022-01-03,743523
2022-01-04,630780
2022-01-05,849694
2022-01-06,517574
2022-01-07,682109
2022-01-08,600899
2022-01-09,650051
2022-01-10,620249
2022-01-11,475484
2022-01-12,565116
2022-01-13,517803
2022-01-14,540538
2022-01-15,538922
2022-01-16,481262
2022-01-17,706430
2022-01-18,794488
2022-01-19,709057
2022-01-20,883889
2022-01-21,1173603
2022-01-22,1114908
2022-01-23,1139410
2022-01-24,830054
2022-01-25,499820
2022-01-26,410977
2022-01-27,383315
2022-01-28,446738
2022-01-29,575660
2022-01-30,496271
2022-01-31,509769
2022-02-01,514793
2022-02-02,438437
2022-02-03,441677
2022-02-04,532721
2022-02-05,455665
2022-02-06,518561
2022-02-07,550606
2022-02-08,492760
2022-02-09,420875
2022-02-10,407259
2022-02-11,465679
2022-02-12,503878
2022-02-13,627957
2022-02-14,540973
2022-02-15,605860
2022-02-16,899476
2022-02-17,689465
2022-02-18,645475
2022-02-19,690770
2022-02-20,675804
2022-02-21,841814
2022-02-22,480585
2022-02-23,584316
2022-02-24,392246
2022-02-25,591075
2022-02-26,619316
2022-02-27,609414
2022-02-28,612147
2022-03-01,753844
2022-03-02,518069
2022-03-03,618363
2022-03-04,547845
2022-03-05,628910
2022-03-06,665494
2022-03-07,845571
2022-03-08,695994
2022-03-09,644035
2022-03-10,683217
2022-03-11,620650
2022-03-12,731531
2022-03-13,655181
2022-03-14,787511
2022-03-15,858513
2022-03-16,769266
2022-03-17,979406
2022-03-18,751834
2022-03-19,1248958
2022-03-20,905642
2022-03-21,801855
2022-03-22,671686
2022-03-23,741119
2022-03-24,803668
2022-03-25,675792
2022-03-26,888493
2022-03-27,662562
2022-03-28,742687
2022-03-29,714039
2022-03-30,714232
2022-03-31,708499
2022-04-01,751279
2022-04-02,588637
2022-04-03,639481
2022-04-04,558039
2022-04-05,672744
2022-04-06,594651
2022-04-07,691765
2022-04-08,610159
2022-04-09,485140
2022-04-10,696672
2022-04-11,815149
2022-04-12,552751
2022-04-13,701545
2022-04-14,778189
2022-04-15,1026284
2022-04-16,877492
2022-04-17,910717
2022-04-18,707252
2022-04-19,717710
2022-04-20,653164
2022-04-21,560984
2022-04-22,604648
2022-04-23,791496
2022-04-24,781716
2022-04-25,736331
2022-04-26,623898
2022-04-27,711804
2022-04-28,845364
2022-04-29,661463
2022-04-30,995975
2022-05-01,799499
2022-05-02,669574
2022-05-03,637399
2022-05-04,763502
2022-05-05,555191
2022-05-06,547524
2022-05-07,829276
2022-05-08,850192
2022-05-09,636647
2022-05-10,948871
2022-05-11,1058183
2022-05-12,928221
2022-05-13,665763
2022-05-14,606690
2022-05-15,1029015
2022-05-16,963514
2022-05-17,1592376
2022-05-18,1937419
2022-05-19,1475429
2022-05-20,1392858
2022-05-21,1102943
2022-05-22,806530
2022-05-23,639912
2022-05-24,554589
2022-05-25,733369
2022-05-26,773590
2022-05-27,633622
2022-05-28,707238
2022-05-29,711744
2022-05-30,670506
2022-05-31,636911
2022-06-01,691097
2022-06-02,631204
2022-06-03,731284
2022-06-04,652370
2022-06-05,881724
2022-06-06,511627
2022-06-07,554990
2022-06-08,540799
2022-06-09,530302
2022-06-10,667694
2022-06-11,616448
2022-06-12,678802
2022-06-13,926212
2022-06-14,930811
2022-06-15,655124
2022-06-16,672566
2022-06-17,920729
2022-06-18,644404
2022-06-19,761427
2022-06-20,597075
2022-06-21,692518
2022-06-22,806061
2022-06-23,653809
2022-06-24,730435
2022-06-25,590852
2022-06-26,687277
2022-06-27,702120
2022-06-28,433433
2022-06-29,862133
2022-06-30,915124
2022-07-01,568712
2022-07-02,593585
2022-07-03,615931
2022-07-04,591512
2022-07-05,750853
2022-07-06,720140
2022-07-07,650234
2022-07-08,733661
2022-07-09,692241
2022-07-10,638124
2022-07-11,530261
2022-07-12,554598
2022-07-13,572052
2022-07-14,657593
2022-07-15,492546
2022-07-16,497315
2022-07-17,602705
2022-07-18,490686
2022-07-19,650616
2022-07-20,542910
2022-07-21,447661
2022-07-22,461502
2022-07-23,488850
2022-07-24,635195
2022-07-25,465883
2022-07-26,665287
2022-07-27,551666
2022-07-28,505037
2022-07-29,599645
2022-07-30,414687
2022-07-31,543122
2022-08-01,1568613
2022-08-02,953645
2022-08-03,1421565
2022-08-04,1167120
2022-08-05,1154766
2022-08-06,994705
2022-08-07,1373925
2022-08-08,1177616
2022-08-09,884696
2022-08-10,690230
2022-08-11,730416
2022-08-12,912152
2022-08-13,748892
2022-08-14,675532
2022-08-15,1111359
2022-08-16,950762
2022-08-17,952214
2022-08-18,945002
2022-08-19,679632
2022-08-20,646820
2022-08-21,456397
2022-08-22,673077
2022-08-23,810837
2022-08-24,768232
2022-08-25,645490
2022-08-26,838690
2022-08-27,912447
2022-08-28,655795
2022-08-29,1107400
2022-08-30,1061214
2022-08-31,761684
2022-09-01,816441
2022-09-02,889577
2022-09-03,836633
2022-09-04,983562
2022-09-05,730940
2022-09-06,810358
2022-09-07,543566
2022-09-08,476912
2022-09-09,562478
2022-09-10,608830
2022-09-11,788267
2022-09-12,681782
2022-09-13,1324446
2022-09-14,670374
2022-09-15,562472
2022-09-16,638805
2022-09-17,753823
2022-09-18,601774
2022-09-19,737820
2022-09-20,827036
2022-09-21,822148
2022-09-22,639170
2022-09-23,775843
2022-09-24,778290
2022-09-25,1017053
2022-09-26,640959
2022-09-27,608737
2022-09-28,469450
